Bulan,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
Januari,377.8,146.1,255.6,404.9,581.7,230.5,445.9,364.9,258.7,464.7,167.1,400.7
Februari,886,517.4,209.1,652.5,487.6,212.8,179.1,287,247.1,437.4,589.6,257.6
Maret,288.2,314.3,249.5,120.8,313.5,398.5,210.9,461.1,455.1,479.8,251.6,193.8
April,262.8,200.1,136.4,140.8,140.8,140.8,140.8,140.8,273,259.2,235.1,283.2
Mei,228.5,20.8,22.1,360.1,373.8,156.8,114,195.8,104.7,181.6,392.8,75.6
Juni,0,30.1,3.7,109.6,91.9,31.3,67.7,239.5,201.8,0,174,53
Juli,0,39.6,0,0.6,135.8,30.7,0,109.2,47.8,1.6,258.4,39.8
Agustus,0,0,0,0,16,0,0,0.6,0,17.9,100.7,0
September,0,0,0,0,129,0,0,0.2,0,0,120.8,0.3
Oktober,0,7.7,48.9,0,269.2,9.7,2.1,3.6,0,0,501.7,83.3
November,31.1,29.2,205.3,26.7,140.8,260.9,58,108,72.4,52.6,52.6,309.2
Desember,147.9,210,372.3,171,214.9,317.1,171,359.3,319.6,129.9,132.4,427.3
