name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Nanggroe Aceh Darussalam,1,1,2014,24.5,89.2,85.8,1010.7,13.0,8.806
Nanggroe Aceh Darussalam,2,1,2014,24.7,85.5,78.7,1011.1,14.8,76.537
Nanggroe Aceh Darussalam,3,1,2014,23.9,90.4,90.1,1012.4,16.2,1.14
Nanggroe Aceh Darussalam,4,1,2014,24.5,86.1,83.4,1011.6,10.8,1.5
Nanggroe Aceh Darussalam,5,1,2014,24.6,85.5,66.4,1010.3,9.7,10.012
Nanggroe Aceh Darussalam,6,1,2014,24.9,82.4,78.1,1010.2,9.5,0.962
Nanggroe Aceh Darussalam,7,1,2014,24.8,86.0,77.1,1010.7,13.5,1.81
Nanggroe Aceh Darussalam,8,1,2014,24.8,84.0,70.4,1010.5,19.1,0.0
Nanggroe Aceh Darussalam,9,1,2014,24.8,81.8,68.3,1010.6,15.8,0.19
Nanggroe Aceh Darussalam,10,1,2014,24.0,88.6,83.2,1011.3,13.8,1.905
Nanggroe Aceh Darussalam,11,1,2014,24.6,86.5,83.3,1012.4,12.2,1.905
Nanggroe Aceh Darussalam,12,1,2014,25.2,84.5,72.2,1012.6,14.2,0.475
Nanggroe Aceh Darussalam,13,1,2014,25.0,83.0,67.6,1011.9,19.2,0.0
Nanggroe Aceh Darussalam,14,1,2014,24.7,83.3,65.1,1011.9,25.4,3.1
Nanggroe Aceh Darussalam,15,1,2014,24.6,80.9,66.1,1012.9,19.1,0.076
Nanggroe Aceh Darussalam,16,1,2014,24.5,83.1,80.7,1013.1,14.6,0.19
Nanggroe Aceh Darussalam,17,1,2014,24.2,86.4,81.5,1012.7,20.5,4.0
Nanggroe Aceh Darussalam,18,1,2014,24.2,82.6,77.3,1012.6,18.7,0.095
Nanggroe Aceh Darussalam,19,1,2014,24.0,82.0,76.0,1014.0,37.1,0.95
Nanggroe Aceh Darussalam,20,1,2014,24.0,81.1,84.2,1013.9,26.5,0.0
Nanggroe Aceh Darussalam,21,1,2014,23.9,82.5,75.1,1013.8,23.8,0.0
Nanggroe Aceh Darussalam,22,1,2014,23.8,80.7,73.7,1013.1,22.3,0.0
Nanggroe Aceh Darussalam,23,1,2014,24.0,79.2,63.8,1013.0,20.7,1.045
Nanggroe Aceh Darussalam,24,1,2014,24.3,80.5,41.8,1011.9,20.1,0.057
Nanggroe Aceh Darussalam,25,1,2014,24.7,79.2,77.7,1010.9,14.8,2.1
Nanggroe Aceh Darussalam,26,1,2014,24.8,81.6,67.9,1011.4,11.7,0.038
Nanggroe Aceh Darussalam,27,1,2014,24.7,81.5,87.8,1011.8,14.8,10.86
Nanggroe Aceh Darussalam,28,1,2014,25.2,77.7,78.2,1010.8,20.1,0.0
Nanggroe Aceh Darussalam,29,1,2014,25.0,77.8,81.8,1010.9,26.8,0.4
Nanggroe Aceh Darussalam,30,1,2014,25.2,81.1,81.9,1011.6,25.6,0.6
Nanggroe Aceh Darussalam,31,1,2014,24.3,80.6,82.8,1012.0,18.4,1.1
Nanggroe Aceh Darussalam,1,2,2014,24.9,79.1,78.1,1011.6,17.3,0.5
Nanggroe Aceh Darussalam,2,2,2014,25.0,80.1,66.3,1011.0,14.4,0.0
Nanggroe Aceh Darussalam,3,2,2014,24.7,79.6,50.4,1009.5,15.1,0.0
Nanggroe Aceh Darussalam,4,2,2014,24.4,80.2,69.7,1008.2,13.7,0.0
Nanggroe Aceh Darussalam,5,2,2014,24.5,78.1,74.6,1007.8,16.6,0.0
Nanggroe Aceh Darussalam,6,2,2014,24.4,76.9,65.6,1008.1,18.0,0.0
Nanggroe Aceh Darussalam,7,2,2014,24.6,80.6,81.8,1008.4,18.2,0.0
Nanggroe Aceh Darussalam,8,2,2014,25.2,81.0,79.9,1008.8,10.8,0.4
Nanggroe Aceh Darussalam,9,2,2014,25.2,79.8,70.7,1008.9,12.2,0.0
Nanggroe Aceh Darussalam,10,2,2014,25.2,76.8,73.2,1009.0,15.0,0.0
Nanggroe Aceh Darussalam,11,2,2014,24.8,76.7,77.6,1009.0,11.2,0.0
Nanggroe Aceh Darussalam,12,2,2014,24.6,74.3,80.0,1009.0,13.0,0.0
Nanggroe Aceh Darussalam,13,2,2014,25.3,74.4,53.8,1010.3,13.3,0.0
Nanggroe Aceh Darussalam,14,2,2014,25.7,77.0,50.1,1010.5,13.3,0.0
Nanggroe Aceh Darussalam,15,2,2014,26.0,75.8,55.4,1009.8,87.0,1.0
Nanggroe Aceh Darussalam,16,2,2014,25.8,79.2,70.0,1010.5,12.6,1.398
Nanggroe Aceh Darussalam,17,2,2014,25.7,83.4,86.2,1011.5,14.4,1.627
Nanggroe Aceh Darussalam,18,2,2014,26.0,82.3,91.7,1012.0,11.7,16.144
Nanggroe Aceh Darussalam,19,2,2014,25.7,83.2,81.3,1011.0,13.1,8.7
Nanggroe Aceh Darussalam,20,2,2014,24.8,81.5,84.6,1012.5,9.7,59.962
Nanggroe Aceh Darussalam,21,2,2014,25.5,77.2,49.9,1012.8,23.4,1.5
Nanggroe Aceh Darussalam,22,2,2014,26.0,79.1,75.7,1012.2,24.5,0.0
Nanggroe Aceh Darussalam,23,2,2014,26.3,76.5,51.3,1011.8,22.7,0.0
Nanggroe Aceh Darussalam,24,2,2014,25.9,76.8,57.6,1012.3,18.0,0.1
Nanggroe Aceh Darussalam,25,2,2014,25.4,76.0,71.2,1012.5,25.2,0.0
Nanggroe Aceh Darussalam,26,2,2014,25.0,76.1,25.0,1011.4,20.5,0.0
Nanggroe Aceh Darussalam,27,2,2014,25.2,74.7,64.0,1011.6,30.1,0.0
Nanggroe Aceh Darussalam,28,2,2014,25.9,77.2,66.9,1011.0,23.2,3.4
Nanggroe Aceh Darussalam,1,3,2014,26.2,79.3,77.6,1010.5,19.5,8.0
Nanggroe Aceh Darussalam,2,3,2014,25.8,82.7,82.9,1011.1,10.1,3.1
Nanggroe Aceh Darussalam,3,3,2014,25.9,81.0,72.0,1011.8,14.2,0.181
Nanggroe Aceh Darussalam,4,3,2014,26.0,74.7,66.9,1012.3,14.0,0.0
Nanggroe Aceh Darussalam,5,3,2014,26.6,75.6,63.0,1011.6,16.0,0.0
Nanggroe Aceh Darussalam,6,3,2014,26.3,77.4,76.2,1010.9,22.7,0.0
Nanggroe Aceh Darussalam,7,3,2014,25.8,73.3,76.7,1011.5,15.1,0.0
Nanggroe Aceh Darussalam,8,3,2014,26.3,76.0,52.3,1011.7,21.9,0.0
Nanggroe Aceh Darussalam,9,3,2014,26.1,75.7,74.2,1011.5,22.7,0.0
Nanggroe Aceh Darussalam,10,3,2014,25.7,73.1,69.9,1011.4,22.5,0.0
Nanggroe Aceh Darussalam,11,3,2014,26.3,75.0,72.0,1011.5,27.7,0.0
Nanggroe Aceh Darussalam,12,3,2014,26.2,73.3,64.6,1010.9,17.8,0.0
Nanggroe Aceh Darussalam,13,3,2014,26.3,75.5,53.3,1011.0,16.6,0.6
Nanggroe Aceh Darussalam,14,3,2014,27.1,71.6,67.1,1010.4,20.1,0.1
Nanggroe Aceh Darussalam,15,3,2014,26.4,81.2,84.6,1010.7,26.8,0.362
Nanggroe Aceh Darussalam,16,3,2014,25.7,82.1,91.6,1012.0,99.4,0.565
Nanggroe Aceh Darussalam,17,3,2014,25.6,83.6,84.4,1011.9,18.4,11.042
Nanggroe Aceh Darussalam,18,3,2014,25.6,85.0,82.6,1011.7,13.0,3.7
Nanggroe Aceh Darussalam,19,3,2014,26.0,81.5,73.0,1011.6,13.0,0.2
Nanggroe Aceh Darussalam,20,3,2014,26.2,79.0,86.4,1011.2,14.2,0.0
Nanggroe Aceh Darussalam,21,3,2014,26.8,73.9,62.2,1009.6,13.0,0.0
Nanggroe Aceh Darussalam,22,3,2014,26.7,75.2,67.2,1008.7,14.2,0.0
Nanggroe Aceh Darussalam,23,3,2014,27.1,74.2,73.7,1009.7,20.7,0.0
Nanggroe Aceh Darussalam,24,3,2014,26.7,77.7,81.4,1009.5,40.2,0.6
Nanggroe Aceh Darussalam,25,3,2014,26.9,79.1,78.5,1009.1,19.8,0.19
Nanggroe Aceh Darussalam,26,3,2014,27.1,77.6,75.4,1009.3,21.3,0.8
Nanggroe Aceh Darussalam,27,3,2014,27.2,77.5,71.6,1008.9,18.0,2.6
Nanggroe Aceh Darussalam,28,3,2014,26.9,78.8,80.1,1009.8,22.0,3.7
Nanggroe Aceh Darussalam,29,3,2014,27.1,74.5,74.1,1009.3,31.2,1.9
Nanggroe Aceh Darussalam,30,3,2014,27.1,78.3,79.6,1008.7,11.5,1.0
Nanggroe Aceh Darussalam,31,3,2014,25.6,84.9,93.1,1008.9,14.0,0.19
Nanggroe Aceh Darussalam,1,4,2014,25.6,77.9,85.2,1008.8,15.9,4.525
Nanggroe Aceh Darussalam,2,4,2014,25.6,85.0,83.8,1008.7,12.6,16.289
Nanggroe Aceh Darussalam,3,4,2014,25.8,82.8,88.5,1009.8,13.7,2.8
Nanggroe Aceh Darussalam,4,4,2014,24.9,85.7,89.6,1010.5,15.8,0.09
Nanggroe Aceh Darussalam,5,4,2014,24.3,84.2,88.9,1012.5,18.2,8.475
Nanggroe Aceh Darussalam,6,4,2014,26.2,71.5,63.4,1012.1,14.8,0.0
Nanggroe Aceh Darussalam,7,4,2014,26.5,76.0,60.7,1012.6,16.0,0.0
Nanggroe Aceh Darussalam,8,4,2014,26.4,74.9,75.8,1012.4,11.2,1.3
Nanggroe Aceh Darussalam,9,4,2014,26.5,76.6,63.8,1011.3,14.8,0.5
Nanggroe Aceh Darussalam,10,4,2014,26.8,73.4,69.0,1011.4,11.7,0.0
Nanggroe Aceh Darussalam,11,4,2014,26.4,77.7,61.0,1011.0,16.4,0.4
Nanggroe Aceh Darussalam,12,4,2014,26.0,77.5,80.5,1010.8,11.7,0.0
Nanggroe Aceh Darussalam,13,4,2014,25.4,81.9,72.0,1011.0,11.0,0.0
Nanggroe Aceh Darussalam,14,4,2014,25.4,81.4,66.6,1011.3,12.2,0.905
Nanggroe Aceh Darussalam,15,4,2014,25.1,82.0,74.2,1011.4,13.0,0.0
Nanggroe Aceh Darussalam,16,4,2014,26.0,79.2,79.3,1010.4,11.7,0.6
Nanggroe Aceh Darussalam,17,4,2014,26.3,78.1,77.1,1009.4,15.0,1.5
Nanggroe Aceh Darussalam,18,4,2014,27.0,72.9,70.4,1010.2,13.4,0.1
Nanggroe Aceh Darussalam,19,4,2014,26.9,75.3,77.4,1009.4,13.4,1.3
Nanggroe Aceh Darussalam,20,4,2014,26.3,79.1,80.1,1009.1,16.6,0.19
Nanggroe Aceh Darussalam,21,4,2014,26.4,76.6,77.6,1009.6,25.9,0.5
Nanggroe Aceh Darussalam,22,4,2014,26.7,74.8,72.5,1011.0,12.2,6.335
Nanggroe Aceh Darussalam,23,4,2014,27.5,75.7,79.0,1009.9,13.4,10.4
Nanggroe Aceh Darussalam,24,4,2014,26.1,83.3,84.0,1009.6,13.4,18.48
Nanggroe Aceh Darussalam,25,4,2014,26.2,82.3,76.7,1009.8,16.6,0.57
Nanggroe Aceh Darussalam,26,4,2014,26.8,78.3,84.1,1009.6,12.6,2.7
Nanggroe Aceh Darussalam,27,4,2014,26.2,83.6,88.0,1010.0,11.9,1.521
Nanggroe Aceh Darussalam,28,4,2014,25.9,82.9,80.3,1010.6,21.1,0.5
Nanggroe Aceh Darussalam,29,4,2014,26.1,82.6,82.4,1010.2,11.0,14.479
Nanggroe Aceh Darussalam,30,4,2014,26.7,78.1,65.8,1010.1,15.0,0.4
Nanggroe Aceh Darussalam,1,5,2014,26.5,79.2,75.4,1009.8,13.4,0.0
Nanggroe Aceh Darussalam,2,5,2014,25.7,82.2,79.0,1010.0,18.6,3.62
Nanggroe Aceh Darussalam,3,5,2014,26.4,82.2,77.4,1009.6,8.5,1.5
Nanggroe Aceh Darussalam,4,5,2014,27.2,78.9,76.8,1008.6,16.6,0.38
Nanggroe Aceh Darussalam,5,5,2014,27.2,81.6,87.9,1008.4,11.7,3.38
Nanggroe Aceh Darussalam,6,5,2014,25.9,88.2,85.6,1009.1,26.3,15.384
Nanggroe Aceh Darussalam,7,5,2014,25.6,88.4,92.5,1010.3,24.5,5.4
Nanggroe Aceh Darussalam,8,5,2014,26.3,80.5,84.0,1010.3,10.8,1.1
Nanggroe Aceh Darussalam,9,5,2014,26.0,82.7,84.8,1009.8,11.7,8.9
Nanggroe Aceh Darussalam,10,5,2014,26.2,81.2,77.5,1009.7,15.1,0.905
Nanggroe Aceh Darussalam,11,5,2014,26.4,81.5,88.0,1010.6,8.5,0.733
Nanggroe Aceh Darussalam,12,5,2014,25.5,85.8,88.2,1011.2,31.7,8.9
Nanggroe Aceh Darussalam,13,5,2014,25.8,81.9,82.0,1010.4,15.1,1.7
Nanggroe Aceh Darussalam,14,5,2014,25.7,83.0,83.3,1009.8,19.6,1.7
Nanggroe Aceh Darussalam,15,5,2014,25.9,83.4,75.1,1008.2,20.3,0.665
Nanggroe Aceh Darussalam,16,5,2014,25.3,85.3,87.1,1008.6,14.4,0.329
Nanggroe Aceh Darussalam,17,5,2014,26.0,80.2,80.0,1009.3,19.8,0.452
Nanggroe Aceh Darussalam,18,5,2014,25.8,83.7,85.6,1009.5,17.6,1.1
Nanggroe Aceh Darussalam,19,5,2014,25.1,80.1,88.9,1010.0,11.9,0.633
Nanggroe Aceh Darussalam,20,5,2014,26.0,78.9,70.4,1009.8,13.4,0.285
Nanggroe Aceh Darussalam,21,5,2014,26.5,78.5,71.1,1009.3,21.6,0.0
Nanggroe Aceh Darussalam,22,5,2014,26.2,78.3,69.6,1008.7,14.4,0.0
Nanggroe Aceh Darussalam,23,5,2014,26.5,75.5,72.1,1008.8,14.4,0.5
Nanggroe Aceh Darussalam,24,5,2014,27.3,75.7,81.5,1009.7,12.2,0.0
Nanggroe Aceh Darussalam,25,5,2014,27.2,79.6,79.9,1009.6,13.5,4.7
Nanggroe Aceh Darussalam,26,5,2014,26.6,82.0,84.9,1010.2,16.7,0.814
Nanggroe Aceh Darussalam,27,5,2014,26.1,80.8,89.8,1009.8,11.9,1.6
Nanggroe Aceh Darussalam,28,5,2014,25.8,81.7,89.9,1010.1,11.2,1.538
