name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
denpasar,1,1,2014,26.0,89.8,82.6,1009.9,28.9,64.0
denpasar,2,1,2014,25.5,89.9,84.6,1009.8,22.0,20.4
denpasar,3,1,2014,27.1,84.2,49.2,1008.6,18.4,0.6
denpasar,4,1,2014,26.9,85.9,48.8,1008.0,16.6,0.9
denpasar,5,1,2014,27.0,84.9,50.4,1007.1,17.8,5.1
denpasar,6,1,2014,28.2,81.6,45.1,1007.0,18.4,2.5
denpasar,7,1,2014,28.1,81.6,50.9,1008.3,14.8,8.0
denpasar,8,1,2014,27.7,85.4,43.5,1008.6,18.4,1.0
denpasar,9,1,2014,28.8,81.4,51.1,1008.3,25.9,0.8
denpasar,10,1,2014,27.9,82.5,57.9,1008.1,22.3,9.0
denpasar,11,1,2014,27.7,80.8,47.0,1009.3,13.0,5.0
denpasar,12,1,2014,28.0,79.8,50.9,1009.6,13.0,1.2
denpasar,13,1,2014,27.3,85.7,61.6,1008.9,29.5,23.0
denpasar,14,1,2014,27.2,83.5,64.0,1008.6,37.1,69.4
denpasar,15,1,2014,28.4,78.9,59.3,1007.6,40.7,19.0
denpasar,16,1,2014,28.4,81.2,65.3,1007.7,38.9,6.0
denpasar,17,1,2014,28.9,78.0,49.5,1007.9,33.5,1.1
denpasar,18,1,2014,28.7,78.5,49.6,1008.9,27.7,1.0
denpasar,19,1,2014,28.0,82.6,83.0,1009.4,34.2,7.8
denpasar,20,1,2014,28.6,78.8,58.5,1007.1,31.5,7.0
denpasar,21,1,2014,28.1,79.8,66.1,1007.3,42.5,17.1
denpasar,22,1,2014,28.6,76.2,44.7,1008.2,29.5,11.2
denpasar,23,1,2014,27.3,83.0,68.0,1008.7,25.9,30.0
denpasar,24,1,2014,26.6,83.9,69.6,1008.6,24.7,52.0
denpasar,25,1,2014,27.2,79.6,53.0,1008.9,26.5,4.1
denpasar,26,1,2014,27.7,79.3,52.6,1009.1,22.3,4.1
denpasar,27,1,2014,27.8,79.9,55.4,1008.4,25.9,6.0
denpasar,28,1,2014,28.3,74.9,38.9,1008.0,24.1,0.0
denpasar,29,1,2014,28.7,76.7,39.0,1007.7,29.5,1.0
denpasar,30,1,2014,28.8,77.5,56.2,1007.5,37.1,0.1
denpasar,31,1,2014,28.0,82.8,87.4,1007.4,35.3,5.0
denpasar,1,2,2014,28.4,78.6,79.8,1005.9,42.5,0.1
denpasar,2,2,2014,28.4,79.7,61.0,1005.5,32.0,20.0
denpasar,3,2,2014,27.9,82.5,61.0,1005.6,23.5,23.1
denpasar,4,2,2014,27.8,80.7,40.9,1004.9,20.5,6.9
denpasar,5,2,2014,28.5,79.2,40.3,1005.0,16.6,0.2
denpasar,6,2,2014,28.8,78.1,57.7,1005.3,16.6,0.0
denpasar,7,2,2014,28.1,83.0,49.6,1004.7,22.3,5.1
denpasar,8,2,2014,27.6,86.3,63.8,1004.2,25.9,14.0
denpasar,9,2,2014,28.8,79.1,50.6,1004.6,22.3,1.6
denpasar,10,2,2014,28.1,81.8,58.9,1005.1,18.0,3.6
denpasar,11,2,2014,27.6,83.2,49.3,1005.8,29.5,34.0
denpasar,12,2,2014,28.8,78.6,43.2,1006.5,25.9,2.1
denpasar,13,2,2014,28.4,80.2,49.3,1008.7,19.8,2.0
denpasar,14,2,2014,27.4,81.6,57.4,1008.8,27.7,0.8
denpasar,15,2,2014,26.5,81.9,51.0,1008.4,35.3,7.0
denpasar,16,2,2014,27.5,78.7,54.8,1010.4,27.7,0.6
denpasar,17,2,2014,26.4,82.5,53.3,1010.9,27.7,14.9
denpasar,18,2,2014,27.7,77.8,40.7,1009.9,16.0,4.0
denpasar,19,2,2014,26.6,85.5,61.4,1009.3,38.9,6.0
denpasar,20,2,2014,27.4,82.4,65.0,1009.6,29.5,0.4
denpasar,21,2,2014,27.4,81.2,54.8,1009.9,19.7,2.0
denpasar,22,2,2014,26.4,84.2,49.3,1010.4,19.1,2.0
denpasar,23,2,2014,26.9,83.1,50.5,1010.8,20.9,26.0
denpasar,24,2,2014,27.4,81.3,42.4,1011.3,18.4,5.0
denpasar,25,2,2014,27.4,79.9,42.0,1010.9,20.5,2.4
denpasar,26,2,2014,27.9,78.2,42.6,1010.3,18.4,46.0
denpasar,27,2,2014,27.9,81.7,42.9,1010.4,16.6,2.1
denpasar,28,2,2014,27.7,81.2,47.3,1010.6,23.4,2.0
denpasar,1,3,2014,27.7,78.8,33.0,1009.7,18.4,1.1
denpasar,2,3,2014,27.5,78.8,29.6,1009.2,16.0,0.0
denpasar,3,3,2014,27.9,80.6,40.8,1009.8,18.4,1.0
denpasar,4,3,2014,28.4,77.1,35.6,1010.8,13.0,0.9
denpasar,5,3,2014,28.1,78.6,33.7,1010.5,18.4,2.0
denpasar,6,3,2014,28.1,78.1,35.0,1009.9,18.4,0.0
denpasar,7,3,2014,28.0,77.2,40.8,1010.4,19.1,0.1
denpasar,8,3,2014,27.7,77.6,29.1,1010.1,20.5,0.3
denpasar,9,3,2014,28.3,77.4,38.3,1009.4,16.6,1.4
denpasar,10,3,2014,28.3,78.9,36.2,1009.7,16.6,0.9
denpasar,11,3,2014,28.4,80.0,35.1,1010.1,20.5,1.3
denpasar,12,3,2014,27.9,82.0,54.3,1008.9,16.0,0.4
denpasar,13,3,2014,27.6,82.4,46.7,1008.5,13.0,0.8
denpasar,14,3,2014,27.9,79.8,37.4,1009.8,14.8,0.8
denpasar,15,3,2014,28.0,77.7,31.8,1010.0,18.7,0.0
denpasar,16,3,2014,28.6,79.6,42.8,1010.4,13.0,0.2
denpasar,17,3,2014,28.6,79.7,40.0,1010.4,14.8,2.7
denpasar,18,3,2014,28.8,79.5,38.5,1010.5,18.4,1.6
