name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Bangka belitung,1,1,2014,25.6,92.6,90.1,1011.2,13.3,68.4
Bangka belitung,2,1,2014,25.9,91.3,83.6,1011.2,15.1,28.0
Bangka belitung,3,1,2014,26.0,91.9,86.3,1011.0,12.2,27.0
Bangka belitung,4,1,2014,26.0,91.9,89.4,1010.5,14.4,1.2
Bangka belitung,5,1,2014,25.7,90.7,86.6,1009.7,14.8,30.4
Bangka belitung,6,1,2014,25.5,92.3,90.2,1009.6,14.4,2.5
Bangka belitung,7,1,2014,25.5,88.7,91.0,1009.9,16.2,1.7
Bangka belitung,8,1,2014,26.0,87.0,70.8,1010.3,16.9,2.0
Bangka belitung,9,1,2014,26.4,85.5,90.4,1010.4,9.4,3.0
Bangka belitung,10,1,2014,25.8,86.0,88.1,1010.2,13.0,10.0
Bangka belitung,11,1,2014,25.6,90.2,90.0,1010.6,14.0,37.0
Bangka belitung,12,1,2014,25.9,89.8,83.6,1011.2,19.1,23.0
Bangka belitung,13,1,2014,26.1,91.6,82.4,1011.3,17.6,18.0
Bangka belitung,14,1,2014,25.7,90.8,83.1,1011.7,22.3,4.0
Bangka belitung,15,1,2014,25.7,88.4,84.5,1012.9,18.7,1.5
Bangka belitung,16,1,2014,25.7,87.4,83.8,1012.8,23.8,0.6
Bangka belitung,17,1,2014,25.5,87.3,87.3,1012.3,26.6,2.2
Bangka belitung,18,1,2014,25.7,85.7,90.5,1013.1,23.0,0.0
Bangka belitung,19,1,2014,25.9,84.5,91.0,1013.2,28.4,0.0
Bangka belitung,20,1,2014,25.7,84.1,93.0,1012.8,26.3,0.0
Bangka belitung,21,1,2014,25.7,82.9,90.2,1012.7,25.9,0.7
Bangka belitung,22,1,2014,25.5,83.0,90.4,1012.6,23.8,0.0
Bangka belitung,23,1,2014,25.7,83.8,92.9,1012.5,24.8,1.2
Bangka belitung,24,1,2014,25.5,84.4,84.0,1011.4,23.4,0.0
Bangka belitung,25,1,2014,25.5,85.4,71.5,1011.6,22.3,0.0
Bangka belitung,26,1,2014,25.6,85.7,77.7,1011.4,17.6,0.0
Bangka belitung,27,1,2014,25.6,85.0,69.2,1011.5,22.7,0.0
Bangka belitung,28,1,2014,25.9,84.8,86.9,1010.7,24.5,0.0
Bangka belitung,29,1,2014,25.6,84.2,94.8,1011.7,24.8,0.0
Bangka belitung,30,1,2014,25.6,83.3,88.8,1011.9,25.9,0.0
Bangka belitung,31,1,2014,25.3,82.4,86.5,1012.2,27.0,0.0
Bangka belitung,1,2,2014,25.3,82.1,87.0,1010.9,23.4,0.0
Bangka belitung,2,2,2014,25.3,83.5,86.7,1009.7,23.0,0.0
Bangka belitung,3,2,2014,25.4,82.0,68.6,1008.3,20.5,0.0
Bangka belitung,4,2,2014,25.8,81.1,82.0,1007.4,18.4,0.0
Bangka belitung,5,2,2014,25.3,84.9,89.1,1007.4,14.8,0.0
Bangka belitung,6,2,2014,25.8,84.0,93.8,1007.8,18.4,0.0
Bangka belitung,7,2,2014,26.3,83.0,95.3,1007.7,14.8,1.0
Bangka belitung,8,2,2014,26.5,86.3,94.8,1007.1,14.8,2.5
Bangka belitung,9,2,2014,26.7,85.6,88.7,1007.5,17.3,0.1
Bangka belitung,10,2,2014,27.0,84.7,90.1,1008.1,18.4,0.0
Bangka belitung,11,2,2014,26.5,85.9,85.2,1008.7,16.6,0.0
Bangka belitung,12,2,2014,26.5,84.1,90.7,1008.7,27.7,0.0
Bangka belitung,13,2,2014,26.8,84.8,86.5,1010.2,19.1,0.0
Bangka belitung,14,2,2014,26.9,84.9,78.5,1010.7,15.1,0.0
Bangka belitung,15,2,2014,26.1,89.5,87.6,1010.6,18.4,22.0
Bangka belitung,16,2,2014,26.2,85.9,74.4,1011.5,18.4,26.0
Bangka belitung,17,2,2014,26.5,88.2,86.7,1012.2,22.3,0.8
Bangka belitung,18,2,2014,26.8,87.5,85.4,1011.1,16.6,0.0
Bangka belitung,19,2,2014,26.6,87.4,82.1,1011.1,16.6,0.0
Bangka belitung,20,2,2014,26.6,84.8,79.7,1011.4,18.4,1.1
Bangka belitung,21,2,2014,26.6,85.3,82.0,1012.2,22.3,0.0
Bangka belitung,22,2,2014,26.2,86.1,82.3,1012.3,24.1,12.0
Bangka belitung,23,2,2014,26.1,84.7,83.7,1013.1,19.4,0.1
Bangka belitung,24,2,2014,26.3,83.4,82.4,1012.8,20.5,0.2
Bangka belitung,25,2,2014,26.5,81.6,66.7,1012.5,20.9,0.0
Bangka belitung,26,2,2014,26.3,83.4,58.2,1011.9,22.3,0.0
Bangka belitung,27,2,2014,26.5,84.0,61.7,1011.6,19.4,0.0
Bangka belitung,28,2,2014,26.8,83.2,58.6,1011.8,18.4,0.0
Bangka belitung,1,3,2014,26.9,83.3,75.9,1011.1,22.3,0.4
Bangka belitung,2,3,2014,26.6,85.3,80.3,1011.0,22.3,2.0
Bangka belitung,3,3,2014,26.9,83.1,93.2,1011.2,16.6,0.6
Bangka belitung,4,3,2014,26.9,82.6,80.2,1012.1,18.4,1.4
Bangka belitung,5,3,2014,26.8,81.3,86.0,1012.3,22.3,0.0
Bangka belitung,6,3,2014,26.7,80.9,65.8,1011.1,20.5,0.0
Bangka belitung,7,3,2014,26.7,81.8,59.0,1011.6,14.8,0.0
Bangka belitung,8,3,2014,26.8,85.6,78.9,1011.9,22.3,4.0
Bangka belitung,9,3,2014,26.9,84.3,69.1,1011.4,25.9,3.4
Bangka belitung,10,3,2014,27.1,81.1,84.6,1011.5,20.2,0.0
Bangka belitung,11,3,2014,27.0,82.0,66.6,1011.7,18.7,0.0
Bangka belitung,12,3,2014,26.9,81.8,68.5,1011.2,22.3,0.0
Bangka belitung,13,3,2014,26.8,83.2,87.6,1010.7,25.9,0.0
Bangka belitung,14,3,2014,27.3,82.5,73.0,1011.3,22.3,0.0
Bangka belitung,15,3,2014,27.4,83.5,83.4,1011.2,18.4,0.0
Bangka belitung,16,3,2014,27.7,81.4,91.9,1011.6,11.2,0.0
Bangka belitung,17,3,2014,27.2,84.1,80.3,1011.9,22.3,4.0
Bangka belitung,18,3,2014,27.4,82.4,81.8,1011.6,16.6,0.5
Bangka belitung,19,3,2014,27.3,84.4,83.0,1011.1,14.8,12.0
Bangka belitung,20,3,2014,27.0,86.2,91.7,1010.1,9.7,3.4
Bangka belitung,21,3,2014,26.7,87.0,91.5,1008.9,15.1,9.0
