name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Jawa barat,1,1,2014,24.3,85.6,84.7,1012.7,22.0,3.963
Jawa barat,2,1,2014,24.5,85.7,66.4,1012.3,15.5,8.905
Jawa barat,3,1,2014,25.0,83.6,74.7,1011.8,9.4,7.458
Jawa barat,4,1,2014,24.3,87.4,86.6,1011.3,27.6,20.238
Jawa barat,5,1,2014,23.8,88.0,88.0,1010.2,26.6,23.476
Jawa barat,6,1,2014,24.2,84.8,81.8,1010.1,22.3,19.381
Jawa barat,7,1,2014,24.8,82.4,84.6,1011.1,15.1,29.666
Jawa barat,8,1,2014,24.5,86.7,84.7,1012.1,16.2,17.237
Jawa barat,9,1,2014,24.5,85.8,75.3,1011.4,21.2,21.879
Jawa barat,10,1,2014,24.4,87.7,76.4,1011.1,18.3,20.858
Jawa barat,11,1,2014,24.6,88.4,79.8,1011.8,11.9,13.095
Jawa barat,12,1,2014,24.7,88.1,91.2,1012.5,16.2,59.952
Jawa barat,13,1,2014,23.9,88.0,91.5,1013.2,24.1,90.058
Jawa barat,14,1,2014,24.0,88.0,64.7,1012.0,22.7,9.333
Jawa barat,15,1,2014,23.5,86.0,77.4,1013.2,29.5,24.814
Jawa barat,16,1,2014,23.9,87.5,68.7,1013.0,25.8,5.216
Jawa barat,17,1,2014,23.7,90.0,78.7,1013.0,25.9,66.809
Jawa barat,18,1,2014,23.6,90.5,89.3,1013.5,30.6,56.19
Jawa barat,19,1,2014,23.9,88.8,91.8,1013.9,27.4,25.095
Jawa barat,20,1,2014,23.7,90.2,76.4,1012.9,31.3,19.677
Jawa barat,21,1,2014,23.5,90.3,83.9,1013.0,31.3,103.167
Jawa barat,22,1,2014,23.6,86.6,79.7,1013.0,29.9,5.239
Jawa barat,23,1,2014,23.6,88.7,84.2,1013.1,30.6,44.551
Jawa barat,24,1,2014,23.7,87.6,66.0,1012.2,25.6,27.29
Jawa barat,25,1,2014,24.2,85.7,54.0,1012.5,22.0,3.523
Jawa barat,26,1,2014,24.1,86.3,65.3,1012.3,17.6,8.147
Jawa barat,27,1,2014,24.1,86.1,63.4,1012.1,18.0,5.905
Jawa barat,28,1,2014,24.1,90.2,69.4,1012.1,19.1,22.141
Jawa barat,29,1,2014,24.0,88.8,92.2,1012.5,26.3,56.339
Jawa barat,30,1,2014,24.4,87.1,84.9,1012.6,31.6,54.428
Jawa barat,31,1,2014,24.4,86.8,77.4,1012.7,23.4,5.951
Jawa barat,1,2,2014,24.3,87.8,71.3,1010.9,23.8,5.334
Jawa barat,2,2,2014,24.1,89.2,65.8,1010.2,29.2,5.768
Jawa barat,3,2,2014,24.6,89.1,56.0,1009.2,25.9,17.057
Jawa barat,4,2,2014,24.6,88.6,74.2,1009.8,23.4,60.321
Jawa barat,5,2,2014,24.9,86.6,76.6,1009.3,21.6,11.214
Jawa barat,6,2,2014,25.0,86.8,88.1,1010.0,29.4,14.524
Jawa barat,7,2,2014,24.4,88.4,93.0,1009.7,19.4,80.628
Jawa barat,8,2,2014,24.4,91.5,92.2,1008.5,22.0,21.762
Jawa barat,9,2,2014,24.2,89.5,89.1,1009.5,22.2,19.761
Jawa barat,10,2,2014,24.7,86.6,86.9,1009.8,27.4,13.667
Jawa barat,11,2,2014,25.0,84.3,86.3,1010.2,23.0,0.9
Jawa barat,12,2,2014,25.4,81.8,83.9,1010.9,27.7,0.1
Jawa barat,13,2,2014,25.6,79.9,80.3,1012.2,11.3,0.9
Jawa barat,14,2,2014,25.3,83.4,78.5,1012.3,13.3,2.2
Jawa barat,15,2,2014,24.0,84.2,93.2,1012.2,24.1,0.448
Jawa barat,16,2,2014,24.0,84.0,86.0,1012.8,23.4,25.381
Jawa barat,17,2,2014,24.9,82.4,81.4,1013.3,17.3,0.581
Jawa barat,18,2,2014,25.0,83.6,66.4,1013.9,33.3,35.143
Jawa barat,19,2,2014,24.7,81.6,83.6,1012.3,13.7,8.809
Jawa barat,20,2,2014,24.9,83.4,72.7,1012.9,27.6,19.381
Jawa barat,21,2,2014,24.9,85.5,70.4,1014.0,16.6,4.22
