name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Kalimantan Tengah,1,1,2014,78.1,89.5,87.8,1012.6,4.7,0.039
Kalimantan Tengah,2,1,2014,80.2,84.9,77.8,1012.5,4.7,0.154
Kalimantan Tengah,3,1,2014,79.8,87.8,86.9,1011.5,10.3,0.433
Kalimantan Tengah,4,1,2014,78.7,89.9,85.3,1011.3,12.8,0.394
Kalimantan Tengah,5,1,2014,77.8,89.4,86.4,1011.3,5.8,0.41
Kalimantan Tengah,6,1,2014,78.1,88.1,82.0,1011.1,9.2,0.63
Kalimantan Tengah,7,1,2014,78.5,88.4,83.9,1011.4,13.9,0.476
Kalimantan Tengah,8,1,2014,78.8,88.2,73.0,1011.8,13.9,0.551
Kalimantan Tengah,9,1,2014,78.7,88.4,84.1,1011.9,9.2,0.193
Kalimantan Tengah,10,1,2014,79.4,87.9,87.8,1012.1,11.4,0.157
Kalimantan Tengah,11,1,2014,79.2,88.7,84.1,1011.9,6.9,0.336
Kalimantan Tengah,12,1,2014,79.3,87.5,88.2,1012.5,8.1,0.048
Kalimantan Tengah,13,1,2014,79.0,90.0,89.1,1011.6,12.8,0.06
Kalimantan Tengah,14,1,2014,79.0,89.7,87.1,1011.8,11.4,0.028
Kalimantan Tengah,15,1,2014,79.2,88.5,86.5,1012.0,11.4,0.447
Kalimantan Tengah,16,1,2014,77.3,91.2,85.6,1013.0,6.9,0.118
Kalimantan Tengah,17,1,2014,79.2,86.5,80.5,1012.8,9.2,0.004
Kalimantan Tengah,18,1,2014,80.5,82.9,88.5,1012.9,9.2,0.0
Kalimantan Tengah,19,1,2014,80.5,83.2,83.7,1012.5,13.9,0.178
Kalimantan Tengah,20,1,2014,79.6,82.1,83.7,1012.4,11.4,0.0
Kalimantan Tengah,21,1,2014,79.8,78.7,73.8,1012.0,17.2,0.0
Kalimantan Tengah,22,1,2014,79.1,81.8,85.6,1012.4,10.3,0.0
Kalimantan Tengah,23,1,2014,80.3,79.9,79.8,1012.4,13.9,0.0
Kalimantan Tengah,24,1,2014,80.2,80.0,86.0,1011.7,9.2,0.0
Kalimantan Tengah,25,1,2014,80.1,83.2,79.6,1011.7,10.3,0.008
Kalimantan Tengah,26,1,2014,79.5,87.6,81.2,1012.2,8.1,0.173
Kalimantan Tengah,27,1,2014,80.5,84.1,87.4,1011.9,10.3,0.536
Kalimantan Tengah,28,1,2014,81.2,84.1,87.2,1010.9,8.1,0.068
Kalimantan Tengah,29,1,2014,80.0,86.8,82.3,1011.2,9.2,0.273
Kalimantan Tengah,30,1,2014,80.1,83.5,79.0,1011.4,5.8,0.197
Kalimantan Tengah,31,1,2014,80.8,83.6,73.4,1011.5,13.9,0.104
Kalimantan Tengah,1,2,2014,80.5,81.3,78.1,1010.5,13.9,0.0
Kalimantan Tengah,2,2,2014,80.8,81.0,82.9,1009.5,10.3,0.0
Kalimantan Tengah,3,2,2014,81.1,83.3,75.2,1009.0,4.7,0.096
Kalimantan Tengah,4,2,2014,82.2,78.1,68.1,1008.5,6.9,0.0
Kalimantan Tengah,5,2,2014,80.1,88.6,81.8,1008.5,15.0,0.162
Kalimantan Tengah,6,2,2014,80.3,88.2,77.7,1008.8,4.7,0.039
Kalimantan Tengah,7,2,2014,80.0,86.8,80.9,1008.3,9.2,0.222
Kalimantan Tengah,8,2,2014,81.7,83.7,80.9,1008.2,5.8,0.079
Kalimantan Tengah,9,2,2014,77.9,93.8,91.0,1008.6,9.2,0.729
Kalimantan Tengah,10,2,2014,80.7,84.9,82.2,1008.9,9.2,0.571
Kalimantan Tengah,11,2,2014,79.1,88.5,85.4,1009.5,4.7,0.118
Kalimantan Tengah,12,2,2014,80.4,81.7,75.0,1009.9,5.8,0.016
Kalimantan Tengah,13,2,2014,82.2,80.8,75.6,1011.2,9.2,0.0
Kalimantan Tengah,14,2,2014,80.5,83.6,79.9,1012.0,6.9,0.0
Kalimantan Tengah,15,2,2014,78.9,86.0,87.1,1011.8,6.9,0.802
