name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Kalimantan Timur,1,1,2014,26.2,84.6,79.3,1010.4,13.0,6.6
Kalimantan Timur,2,1,2014,25.8,88.6,88.0,1011.3,7.6,2.5
Kalimantan Timur,3,1,2014,26.3,86.3,84.4,1010.6,7.6,5.5
Kalimantan Timur,4,1,2014,26.3,88.9,83.9,1009.2,11.2,19.9
Kalimantan Timur,5,1,2014,26.0,86.5,88.6,1010.0,7.6,11.1
Kalimantan Timur,6,1,2014,26.2,85.4,82.3,1009.5,9.4,8.5
Kalimantan Timur,7,1,2014,26.0,86.2,81.9,1010.0,9.4,9.8
Kalimantan Timur,8,1,2014,26.0,88.0,76.5,1009.8,13.0,11.8
Kalimantan Timur,9,1,2014,25.7,89.1,85.1,1010.4,13.0,23.3
Kalimantan Timur,10,1,2014,25.4,91.1,87.9,1011.0,9.4,9.6
Kalimantan Timur,11,1,2014,25.5,89.6,86.7,1010.7,11.2,11.3
Kalimantan Timur,12,1,2014,25.3,87.7,85.4,1010.9,5.8,5.9
Kalimantan Timur,13,1,2014,25.8,87.8,86.7,1009.7,7.6,14.4
Kalimantan Timur,14,1,2014,25.6,92.9,90.8,1009.9,13.0,13.3
Kalimantan Timur,15,1,2014,25.8,91.1,85.5,1010.2,13.0,15.9
Kalimantan Timur,16,1,2014,24.7,93.8,89.2,1012.2,7.6,11.1
Kalimantan Timur,17,1,2014,26.0,86.1,84.6,1010.8,7.6,1.2
Kalimantan Timur,18,1,2014,26.5,85.6,87.9,1011.1,13.0,5.2
Kalimantan Timur,19,1,2014,26.0,87.4,83.1,1010.9,11.2,2.6
Kalimantan Timur,20,1,2014,27.0,84.3,76.2,1010.0,11.2,0.0
Kalimantan Timur,21,1,2014,27.1,83.2,83.5,1009.9,9.4,0.0
Kalimantan Timur,22,1,2014,27.0,82.6,83.1,1009.9,9.4,0.0
Kalimantan Timur,23,1,2014,27.0,82.6,81.5,1010.8,11.2,0.0
Kalimantan Timur,24,1,2014,26.1,87.0,76.4,1010.2,7.6,0.9
Kalimantan Timur,25,1,2014,25.5,90.0,87.9,1010.8,7.6,0.0
Kalimantan Timur,26,1,2014,26.1,87.7,80.9,1010.7,9.4,0.8
Kalimantan Timur,27,1,2014,26.8,84.5,66.0,1010.5,16.6,0.4
Kalimantan Timur,28,1,2014,26.3,89.2,82.8,1009.8,14.8,16.1
Kalimantan Timur,29,1,2014,26.4,86.9,79.4,1009.8,11.2,13.7
Kalimantan Timur,30,1,2014,25.9,85.2,77.4,1010.6,11.2,5.7
Kalimantan Timur,31,1,2014,26.3,85.2,77.2,1010.5,14.8,2.7
Kalimantan Timur,1,2,2014,26.9,84.0,78.8,1008.6,11.2,0.7
Kalimantan Timur,2,2,2014,27.0,83.9,67.8,1008.5,13.0,0.0
Kalimantan Timur,3,2,2014,27.0,85.9,83.1,1008.1,16.6,0.0
Kalimantan Timur,4,2,2014,27.0,85.8,72.2,1007.7,16.6,0.0
Kalimantan Timur,5,2,2014,26.8,84.6,76.8,1007.3,14.8,0.0
Kalimantan Timur,6,2,2014,26.8,82.8,58.6,1007.3,16.6,0.0
Kalimantan Timur,7,2,2014,27.4,83.4,78.7,1006.6,11.2,0.0
Kalimantan Timur,8,2,2014,27.4,85.7,82.4,1006.5,13.0,5.1
Kalimantan Timur,9,2,2014,27.1,88.1,86.2,1006.9,11.2,22.0
Kalimantan Timur,10,2,2014,25.5,89.5,92.7,1007.6,27.7,13.5
Kalimantan Timur,11,2,2014,25.3,84.7,89.5,1008.2,11.2,7.8
Kalimantan Timur,12,2,2014,25.5,86.6,79.1,1009.1,9.4,4.3
Kalimantan Timur,13,2,2014,26.5,81.5,85.5,1010.1,11.2,4.1
Kalimantan Timur,14,2,2014,26.1,87.7,77.4,1010.6,7.6,4.7
Kalimantan Timur,15,2,2014,25.6,88.5,85.9,1010.5,16.6,12.5
Kalimantan Timur,16,2,2014,25.6,83.7,71.7,1012.2,7.6,10.1
Kalimantan Timur,17,2,2014,26.1,85.5,84.7,1013.0,11.2,1.0
Kalimantan Timur,18,2,2014,26.2,86.7,76.2,1011.7,9.4,0.0
Kalimantan Timur,19,2,2014,26.7,84.4,78.5,1010.7,9.4,5.8
Kalimantan Timur,20,2,2014,26.0,88.4,82.5,1011.6,7.6,12.9
Kalimantan Timur,21,2,2014,26.0,88.4,79.2,1012.0,11.2,5.6
Kalimantan Timur,22,2,2014,25.9,85.9,70.1,1011.4,13.0,6.0
Kalimantan Timur,23,2,2014,25.6,83.3,73.8,1012.3,9.4,7.9
Kalimantan Timur,24,2,2014,26.0,81.5,79.4,1012.4,11.2,4.1
Kalimantan Timur,25,2,2014,26.3,83.7,76.6,1012.6,11.2,2.7
Kalimantan Timur,26,2,2014,26.3,84.2,66.0,1012.0,16.6,0.6
Kalimantan Timur,27,2,2014,26.5,83.9,61.5,1011.6,16.6,0.0
Kalimantan Timur,28,2,2014,27.0,82.6,57.7,1011.6,13.0,0.6
Kalimantan Timur,1,3,2014,26.6,86.9,77.3,1010.8,14.8,0.9
Kalimantan Timur,2,3,2014,26.5,87.9,75.8,1010.0,13.0,5.7
Kalimantan Timur,3,3,2014,25.9,92.5,87.2,1011.8,7.6,31.5
Kalimantan Timur,4,3,2014,27.0,82.0,68.5,1012.2,13.0,1.7
Kalimantan Timur,5,3,2014,26.9,85.0,61.0,1011.4,13.0,21.4
Kalimantan Timur,6,3,2014,26.4,87.2,72.3,1012.0,14.8,23.9
Kalimantan Timur,7,3,2014,26.7,86.2,73.1,1011.3,13.0,2.0
Kalimantan Timur,8,3,2014,26.7,84.4,66.4,1010.9,13.0,0.0
Kalimantan Timur,9,3,2014,26.7,85.2,64.4,1011.1,13.0,1.0
Kalimantan Timur,10,3,2014,26.6,85.6,78.4,1011.4,13.0,0.4
Kalimantan Timur,11,3,2014,26.9,82.6,80.7,1011.5,7.6,0.1
Kalimantan Timur,12,3,2014,26.9,80.5,65.1,1010.0,13.0,0.0
Kalimantan Timur,13,3,2014,26.9,82.8,74.9,1010.1,9.4,22.2
Kalimantan Timur,14,3,2014,26.7,85.8,75.5,1011.7,9.4,29.3
Kalimantan Timur,15,3,2014,27.1,83.8,67.1,1011.3,18.4,0.9
Kalimantan Timur,16,3,2014,26.5,88.0,80.1,1011.9,20.5,2.0
Kalimantan Timur,17,3,2014,26.4,88.4,88.5,1011.5,16.6,0.8
Kalimantan Timur,18,3,2014,26.9,83.5,89.4,1010.9,14.8,0.0
Kalimantan Timur,19,3,2014,27.5,80.2,89.6,1009.9,13.0,3.9
Kalimantan Timur,20,3,2014,27.3,84.9,88.6,1009.3,13.0,13.1
Kalimantan Timur,21,3,2014,26.3,87.1,86.3,1009.6,5.4,9.8
Kalimantan Timur,22,3,2014,26.2,88.6,69.4,1009.6,7.6,5.9
