name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Papua barat daya,1,1,2014,24.0,89.2,81.4,1011.6,16.6,8.747
Papua barat daya,2,1,2014,25.8,82.6,64.6,1011.0,23.0,6.888
Papua barat daya,3,1,2014,27.0,80.3,61.1,1010.0,18.2,5.41
Papua barat daya,4,1,2014,27.0,78.8,60.3,1009.5,36.0,2.326
Papua barat daya,5,1,2014,26.1,77.4,57.8,1009.0,26.6,1.239
Papua barat daya,6,1,2014,26.0,80.3,73.0,1008.9,25.9,9.767
Papua barat daya,7,1,2014,26.1,81.8,73.0,1009.4,14.8,3.211
Papua barat daya,8,1,2014,24.3,91.7,85.1,1010.5,14.8,29.178
Papua barat daya,9,1,2014,27.6,73.1,57.2,1009.9,26.9,0.6
Papua barat daya,10,1,2014,26.9,76.9,66.8,1009.3,24.1,12.46
Papua barat daya,11,1,2014,26.3,81.4,66.4,1009.9,17.8,26.594
Papua barat daya,12,1,2014,23.9,93.4,81.1,1011.3,24.0,75.125
Papua barat daya,13,1,2014,24.7,89.2,80.7,1011.6,14.8,40.908
Papua barat daya,14,1,2014,26.1,83.5,78.2,1011.2,22.3,13.498
Papua barat daya,15,1,2014,24.2,89.7,84.8,1012.5,16.5,24.509
Papua barat daya,16,1,2014,24.9,87.9,88.7,1011.7,20.5,29.238
Papua barat daya,17,1,2014,24.6,89.6,93.3,1011.5,24.1,85.896
Papua barat daya,18,1,2014,25.0,85.1,93.8,1012.1,33.5,72.323
Papua barat daya,19,1,2014,25.5,84.1,88.5,1012.1,24.1,34.893
Papua barat daya,20,1,2014,24.9,88.5,84.2,1011.5,22.3,31.128
Papua barat daya,21,1,2014,23.9,90.9,95.8,1011.7,22.3,77.471
Papua barat daya,22,1,2014,24.8,85.8,79.2,1011.6,20.5,20.518
Papua barat daya,23,1,2014,24.3,87.6,91.9,1011.8,20.5,37.956
Papua barat daya,24,1,2014,24.9,86.5,86.7,1010.8,22.3,34.32
Papua barat daya,25,1,2014,25.4,83.3,63.7,1010.9,15.3,3.153
Papua barat daya,26,1,2014,26.2,82.0,64.3,1010.9,24.1,16.908
Papua barat daya,27,1,2014,25.2,87.5,79.8,1010.7,18.4,11.055
Papua barat daya,28,1,2014,25.5,86.1,85.8,1010.5,17.8,33.251
Papua barat daya,29,1,2014,25.1,86.9,83.4,1011.0,22.3,70.555
Papua barat daya,30,1,2014,24.9,86.7,80.5,1011.5,16.1,51.768
Papua barat daya,31,1,2014,23.3,90.5,74.5,1012.1,19.4,11.015
Papua barat daya,1,2,2014,23.2,91.1,71.8,1010.4,19.8,5.423
Papua barat daya,2,2,2014,23.1,92.3,69.0,1009.5,24.8,31.161
Papua barat daya,3,2,2014,24.1,90.9,87.2,1007.9,16.6,32.397
Papua barat daya,4,2,2014,25.6,86.9,89.4,1007.3,22.3,67.873
Papua barat daya,5,2,2014,25.6,88.3,74.8,1007.0,17.8,26.125
Papua barat daya,6,2,2014,26.0,87.2,70.0,1007.5,14.8,16.32
Papua barat daya,7,2,2014,25.9,86.3,70.4,1007.4,15.5,49.607
Papua barat daya,8,2,2014,25.3,88.6,68.4,1006.7,16.7,22.818
Papua barat daya,9,2,2014,25.6,87.3,88.5,1007.2,22.3,17.114
Papua barat daya,10,2,2014,25.5,86.5,82.0,1008.1,22.7,23.514
Papua barat daya,11,2,2014,26.6,82.1,63.2,1007.7,18.9,0.894
