name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
papua barat,1,1,2014,81.1,80.1,69.8,1009.5,6.9,0.079
papua barat,2,1,2014,82.0,78.8,70.4,1009.2,8.1,0.276
papua barat,3,1,2014,82.3,74.5,73.4,1008.9,7.8,0.039
papua barat,4,1,2014,82.2,79.2,85.2,1008.3,8.1,0.197
papua barat,5,1,2014,82.9,79.3,66.7,1008.2,5.8,0.157
papua barat,6,1,2014,82.7,79.8,78.8,1007.4,5.8,0.035
papua barat,7,1,2014,82.5,78.9,84.4,1007.4,9.2,0.036
papua barat,8,1,2014,81.1,83.1,88.1,1007.5,9.2,0.63
papua barat,9,1,2014,82.5,76.7,85.1,1007.0,9.6,0.035
papua barat,10,1,2014,82.2,80.0,84.1,1007.0,8.5,0.08
papua barat,11,1,2014,82.8,77.4,83.6,1007.1,6.9,0.04
papua barat,12,1,2014,80.7,85.6,84.5,1007.4,10.5,0.275
papua barat,13,1,2014,80.9,87.0,87.7,1007.4,15.7,0.752
papua barat,14,1,2014,81.5,83.6,84.8,1007.6,15.0,0.036
papua barat,15,1,2014,81.5,85.3,81.1,1008.3,57.5,0.004
papua barat,16,1,2014,79.8,89.1,88.4,1008.5,15.7,0.118
papua barat,17,1,2014,80.6,84.1,91.2,1008.3,6.9,0.704
papua barat,18,1,2014,81.1,80.8,85.6,1008.7,8.7,0.055
papua barat,19,1,2014,81.3,83.3,76.1,1007.9,8.1,1.102
papua barat,20,1,2014,82.2,79.6,76.7,1009.5,5.8,1.302
papua barat,21,1,2014,82.2,74.7,80.6,1008.4,7.8,0.678
papua barat,22,1,2014,82.4,76.8,87.6,1007.9,7.6,0.08
papua barat,23,1,2014,82.5,74.4,82.0,1007.7,6.5,0.079
papua barat,24,1,2014,81.1,84.1,85.2,1007.1,6.9,0.195
papua barat,25,1,2014,81.5,80.7,83.4,1007.7,13.9,0.393
papua barat,26,1,2014,80.7,79.2,88.1,1007.7,11.4,0.4
papua barat,27,1,2014,80.7,81.9,82.3,1007.5,13.9,0.118
papua barat,28,1,2014,81.3,80.0,79.2,1007.4,18.3,0.024
papua barat,29,1,2014,82.0,78.2,74.0,1007.0,11.4,0.0
papua barat,30,1,2014,81.8,80.0,67.7,1007.7,15.0,0.0
papua barat,31,1,2014,81.1,83.6,78.7,1008.0,8.3,0.0
papua barat,1,2,2014,81.6,82.8,65.9,1008.6,16.1,0.028
papua barat,2,2,2014,82.3,78.6,63.5,1007.8,17.2,0.0
papua barat,3,2,2014,82.8,76.5,71.3,1007.4,18.3,0.0
papua barat,4,2,2014,83.0,76.2,66.9,1007.0,13.6,0.004
papua barat,5,2,2014,82.8,77.2,61.9,1007.2,12.8,0.0
papua barat,6,2,2014,82.0,81.9,71.5,1005.9,6.3,0.118
papua barat,7,2,2014,82.5,79.6,68.5,1005.8,7.4,0.068
papua barat,8,2,2014,81.6,82.8,70.3,1006.4,9.2,0.079
papua barat,9,2,2014,82.6,79.3,48.3,1006.1,8.3,0.088
papua barat,10,2,2014,81.1,82.2,81.2,1007.3,8.3,0.087
papua barat,11,2,2014,81.6,80.4,87.7,1006.4,7.8,0.079
papua barat,12,2,2014,81.1,83.1,93.0,1007.6,9.2,0.112
papua barat,13,2,2014,80.7,77.6,85.9,1008.9,6.9,1.181
papua barat,14,2,2014,80.2,84.6,82.8,1008.9,15.4,0.315
papua barat,15,2,2014,81.4,78.4,80.6,1009.9,8.9,0.079
papua barat,16,2,2014,81.4,79.2,65.4,1009.9,12.8,0.02
papua barat,17,2,2014,82.0,78.0,88.4,1010.6,12.8,0.084
papua barat,18,2,2014,81.9,70.7,85.0,1009.9,17.2,0.016
papua barat,19,2,2014,80.1,82.1,90.3,1009.5,17.2,0.551
papua barat,20,2,2014,80.6,77.7,91.6,1010.0,10.3,0.02
papua barat,21,2,2014,80.3,78.7,85.9,1010.2,6.9,0.012
papua barat,22,2,2014,80.8,81.2,86.8,1009.2,8.1,0.032
papua barat,23,2,2014,81.8,73.5,82.3,1009.4,13.9,0.036
papua barat,24,2,2014,82.3,76.1,69.1,1009.1,15.0,0.016
papua barat,25,2,2014,81.5,79.7,87.6,1009.5,17.2,0.118
papua barat,26,2,2014,81.9,79.5,76.8,1009.3,6.9,0.068
papua barat,27,2,2014,81.1,82.1,75.2,1010.4,11.4,0.669
papua barat,28,2,2014,81.2,80.6,72.4,1010.0,11.4,0.039
papua barat,1,3,2014,81.0,82.0,81.4,1009.5,13.9,2.638
papua barat,2,3,2014,81.0,83.5,87.0,1009.1,6.9,1.418
papua barat,3,3,2014,81.7,81.1,83.3,1009.1,11.4,0.078
papua barat,4,3,2014,82.0,79.7,71.7,1010.1,13.9,2.362
papua barat,5,3,2014,81.5,80.5,74.3,1009.3,19.5,0.236
papua barat,6,3,2014,80.8,83.2,82.3,1009.2,17.2,0.236
papua barat,7,3,2014,80.6,82.0,78.4,1010.3,19.5,0.02
papua barat,8,3,2014,81.0,79.5,86.5,1010.3,12.8,0.024
papua barat,9,3,2014,80.6,81.4,78.6,1010.5,10.3,0.079
papua barat,10,3,2014,80.8,81.9,69.5,1010.8,9.2,0.63
papua barat,11,3,2014,80.4,85.3,84.6,1011.6,11.9,0.315
papua barat,12,3,2014,81.2,82.8,73.0,1011.0,12.8,0.047
papua barat,13,3,2014,81.6,80.6,66.6,1010.1,10.5,0.008
papua barat,14,3,2014,81.9,78.2,51.1,1011.2,11.2,0.004
papua barat,15,3,2014,81.5,81.0,76.8,1011.5,10.1,0.108
papua barat,16,3,2014,82.5,78.5,78.5,1011.3,17.2,0.036
papua barat,17,3,2014,81.0,83.6,70.1,1010.5,8.1,0.076
papua barat,18,3,2014,82.4,79.9,76.6,1009.0,10.3,0.079
papua barat,19,3,2014,82.5,80.5,78.5,1007.9,7.4,0.118
papua barat,20,3,2014,80.6,83.8,89.9,1007.9,6.9,0.157
papua barat,21,3,2014,81.6,80.3,83.5,1006.8,10.3,0.906
papua barat,22,3,2014,80.3,87.1,81.3,1008.4,10.5,0.59
papua barat,23,3,2014,80.0,84.9,83.3,1010.0,8.1,0.551
papua barat,24,3,2014,81.4,82.8,75.0,1009.4,12.8,0.112
papua barat,25,3,2014,82.4,81.4,61.5,1008.9,11.9,0.079
papua barat,26,3,2014,81.8,84.8,72.7,1009.0,9.2,0.039
papua barat,27,3,2014,82.3,80.8,77.4,1009.1,8.3,0.04
papua barat,28,3,2014,82.6,82.7,64.9,1009.1,15.4,0.068
papua barat,29,3,2014,83.1,78.4,79.7,1009.5,5.8,0.024
papua barat,30,3,2014,81.5,82.0,79.4,1009.4,9.2,0.04
papua barat,31,3,2014,81.3,83.6,73.0,1009.4,11.4,0.039
papua barat,1,4,2014,82.2,82.6,73.3,1007.9,16.1,0.87
papua barat,2,4,2014,80.5,88.9,89.0,1008.7,14.5,2.519
papua barat,3,4,2014,82.1,80.5,69.2,1008.7,8.1,0.036
papua barat,4,4,2014,83.0,79.5,68.7,1008.5,11.4,0.028
papua barat,5,4,2014,81.9,81.3,80.5,1008.7,11.4,0.039
papua barat,6,4,2014,82.3,82.2,65.4,1008.6,8.1,0.02
papua barat,7,4,2014,82.6,80.5,83.7,1008.1,13.4,0.116
papua barat,8,4,2014,82.2,80.5,84.7,1007.9,13.2,0.096
papua barat,9,4,2014,81.7,79.1,85.3,1008.6,9.8,1.496
papua barat,10,4,2014,81.8,79.9,81.9,1008.4,11.0,0.079
papua barat,11,4,2014,82.3,81.0,81.3,1007.4,11.9,1.26
papua barat,12,4,2014,81.6,82.7,82.1,1007.6,5.8,0.079
papua barat,13,4,2014,81.6,84.1,79.5,1008.6,5.8,1.22
papua barat,14,4,2014,82.0,81.2,78.5,1008.9,7.8,0.118
papua barat,15,4,2014,82.5,80.7,71.3,1008.9,4.7,0.472
papua barat,16,4,2014,82.4,82.3,80.2,1008.9,5.1,0.108
papua barat,17,4,2014,82.2,81.9,79.3,1009.2,5.8,0.118
papua barat,18,4,2014,82.8,80.4,64.6,1009.2,9.2,0.394
papua barat,19,4,2014,83.0,79.4,76.1,1008.1,8.9,0.079
papua barat,20,4,2014,82.9,79.2,82.5,1007.8,6.3,0.064
papua barat,21,4,2014,81.3,86.5,84.0,1008.8,6.9,0.827
papua barat,22,4,2014,81.7,86.5,75.3,1009.5,9.4,0.229
papua barat,23,4,2014,82.3,84.0,56.8,1009.4,15.0,0.02
