name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Papua Pegunungan ,1,1,2022,68.0,87.5,100.0,1013.6,4.7,0.504
Papua Pegunungan ,2,1,2022,67.1,91.5,99.8,1013.0,4.7,1.418
Papua Pegunungan ,3,1,2022,67.2,90.8,100.0,1011.8,4.0,0.568
Papua Pegunungan ,4,1,2022,67.2,91.7,99.6,1012.0,3.4,0.905
Papua Pegunungan ,5,1,2022,66.4,88.6,97.2,1013.0,4.9,0.689
Papua Pegunungan ,6,1,2022,66.4,89.2,99.9,1013.5,4.9,0.699
Papua Pegunungan ,7,1,2022,66.5,83.2,99.7,1014.1,6.3,0.068
Papua Pegunungan ,8,1,2022,66.8,80.1,98.0,1014.0,5.8,0.072
Papua Pegunungan ,9,1,2022,66.1,85.5,100.0,1013.7,3.1,0.394
Papua Pegunungan ,10,1,2022,67.5,85.8,97.9,1013.3,4.3,0.473
Papua Pegunungan ,11,1,2022,70.1,76.1,79.1,1012.1,5.4,0.131
Papua Pegunungan ,12,1,2022,69.4,84.1,39.9,1011.5,6.0,0.342
Papua Pegunungan ,13,1,2022,66.6,95.0,97.1,1012.9,4.5,0.664
Papua Pegunungan ,14,1,2022,67.5,91.4,79.7,1012.4,4.7,0.57
Papua Pegunungan ,15,1,2022,66.5,93.0,80.8,1012.4,4.5,0.679
Papua Pegunungan ,16,1,2022,64.8,95.3,97.0,1012.9,4.3,0.24
Papua Pegunungan ,17,1,2022,67.4,90.3,76.8,1011.4,4.3,0.353
Papua Pegunungan ,18,1,2022,66.0,95.3,96.3,1010.0,3.8,0.789
Papua Pegunungan ,19,1,2022,66.9,90.3,96.4,1009.6,4.7,0.263
Papua Pegunungan ,20,1,2022,66.9,92.9,94.2,1010.4,4.0,0.275
Papua Pegunungan ,21,1,2022,68.2,85.5,63.4,1010.8,4.5,0.259
Papua Pegunungan ,22,1,2022,67.4,88.5,88.4,1011.2,4.7,0.415
Papua Pegunungan ,23,1,2022,67.3,89.4,94.8,1011.0,4.0,0.343
Papua Pegunungan ,24,1,2022,68.5,86.3,95.9,1009.8,4.9,0.263
Papua Pegunungan ,25,1,2022,69.8,86.1,95.5,1010.5,4.5,0.61
Papua Pegunungan ,26,1,2022,68.8,85.2,78.1,1011.2,6.0,1.398
Papua Pegunungan ,27,1,2022,64.4,92.3,99.1,1013.0,5.8,0.494
Papua Pegunungan ,28,1,2022,70.0,75.1,81.6,1011.0,5.8,0.45
Papua Pegunungan ,29,1,2022,67.9,84.0,90.3,1011.4,5.1,0.313
Papua Pegunungan ,30,1,2022,66.0,91.9,99.1,1011.6,3.8,0.195
Papua Pegunungan ,31,1,2022,67.0,80.5,96.2,1011.5,4.3,0.032
Papua Pegunungan ,1,2,2022,66.5,78.9,98.8,1012.3,4.3,0.036
Papua Pegunungan ,2,2,2022,66.7,77.9,93.8,1012.4,4.5,0.02
Papua Pegunungan ,3,2,2022,68.7,72.6,87.3,1010.6,5.1,0.344
Papua Pegunungan ,4,2,2022,68.8,82.3,77.5,1010.0,5.6,0.225
Papua Pegunungan ,5,2,2022,68.5,81.4,95.0,1010.6,6.5,0.497
Papua Pegunungan ,6,2,2022,68.7,86.7,97.8,1012.1,5.8,0.623
Papua Pegunungan ,7,2,2022,68.2,88.0,95.1,1012.3,5.1,0.175
Papua Pegunungan ,8,2,2022,69.2,86.7,96.0,1011.2,4.9,0.685
Papua Pegunungan ,9,2,2022,68.8,90.2,88.1,1010.8,4.3,1.113
Papua Pegunungan ,10,2,2022,66.1,91.9,82.0,1011.3,4.0,0.419
Papua Pegunungan ,11,2,2022,64.9,94.0,99.6,1011.4,3.1,0.829
Papua Pegunungan ,12,2,2022,68.6,78.5,76.4,1009.6,5.4,0.16
Papua Pegunungan ,13,2,2022,67.3,87.6,79.2,1010.1,4.7,0.248
Papua Pegunungan ,14,2,2022,65.9,93.8,97.9,1011.2,4.7,0.214
Papua Pegunungan ,15,2,2022,68.3,83.9,95.5,1010.0,5.6,0.332
Papua Pegunungan ,16,2,2022,68.2,89.7,95.3,1008.8,5.8,0.671
Papua Pegunungan ,17,2,2022,68.0,87.6,84.9,1009.8,4.0,0.371
Papua Pegunungan ,18,2,2022,68.3,88.2,94.9,1010.1,5.4,0.334
Papua Pegunungan ,19,2,2022,67.2,92.5,91.4,1010.1,4.3,0.67
Papua Pegunungan ,20,2,2022,67.5,93.0,98.4,1009.1,3.8,0.898
Papua Pegunungan ,21,2,2022,68.4,86.4,100.0,1008.5,4.9,0.292
Papua Pegunungan ,22,2,2022,65.0,98.1,100.0,1010.8,2.7,0.828
Papua Pegunungan ,23,2,2022,65.1,94.9,99.0,1012.4,3.1,1.545
Papua Pegunungan ,24,2,2022,65.0,94.7,96.7,1013.0,4.0,0.394
Papua Pegunungan ,25,2,2022,65.8,89.5,96.5,1012.3,4.5,0.072
Papua Pegunungan ,26,2,2022,67.9,83.6,95.0,1011.7,5.4,0.425
Papua Pegunungan ,27,2,2022,67.0,91.8,77.8,1012.1,4.7,0.574
Papua Pegunungan ,28,2,2022,67.4,87.8,93.3,1012.3,5.4,0.307
Papua Pegunungan ,1,3,2022,67.4,85.6,71.3,1012.0,5.1,0.221
Papua Pegunungan ,2,3,2022,68.3,83.5,74.4,1011.9,5.4,0.214
Papua Pegunungan ,3,3,2022,68.1,85.0,87.6,1011.5,5.6,0.32
Papua Pegunungan ,4,3,2022,66.7,87.2,90.7,1012.0,4.0,0.324
Papua Pegunungan ,5,3,2022,67.3,89.0,94.7,1010.2,3.6,0.664
Papua Pegunungan ,6,3,2022,68.1,85.8,85.0,1010.5,5.4,0.937
Papua Pegunungan ,7,3,2022,67.3,88.0,96.8,1011.0,5.4,0.548
Papua Pegunungan ,8,3,2022,66.9,93.7,91.7,1011.0,4.9,0.789
Papua Pegunungan ,9,3,2022,68.0,89.6,90.8,1011.6,5.1,1.482
Papua Pegunungan ,10,3,2022,67.4,89.1,98.7,1011.3,5.4,0.485
Papua Pegunungan ,11,3,2022,67.5,92.4,89.7,1011.0,4.7,0.725
Papua Pegunungan ,12,3,2022,67.7,91.2,85.3,1010.9,4.7,0.564
Papua Pegunungan ,13,3,2022,69.8,83.4,50.8,1010.4,6.9,0.343
Papua Pegunungan ,14,3,2022,69.7,84.6,92.4,1009.9,6.3,0.405
Papua Pegunungan ,15,3,2022,68.4,84.8,87.9,1010.4,5.6,0.301
Papua Pegunungan ,16,3,2022,69.5,85.2,96.1,1010.0,5.6,0.363
Papua Pegunungan ,17,3,2022,69.1,85.1,57.2,1010.0,6.3,0.182
Papua Pegunungan ,18,3,2022,69.1,82.4,35.4,1009.2,6.3,0.173
Papua Pegunungan ,19,3,2022,69.3,83.1,50.4,1009.4,6.3,0.178
Papua Pegunungan ,20,3,2022,69.2,82.9,89.8,1010.8,5.8,0.315
Papua Pegunungan ,21,3,2022,68.4,87.9,82.9,1011.5,5.1,0.436
Papua Pegunungan ,22,3,2022,66.6,95.8,93.7,1012.0,4.3,0.793
Papua Pegunungan ,23,3,2022,66.5,94.8,95.4,1011.8,4.0,0.862
Papua Pegunungan ,24,3,2022,67.2,86.2,99.8,1011.5,5.8,0.358
Papua Pegunungan ,25,3,2022,66.9,83.0,61.0,1011.9,5.1,0.177
Papua Pegunungan ,26,3,2022,67.8,87.8,90.1,1012.0,5.4,0.353
Papua Pegunungan ,27,3,2022,68.0,89.5,87.1,1012.0,4.0,1.245
Papua Pegunungan ,28,3,2022,67.3,92.6,83.0,1011.5,4.7,1.453
Papua Pegunungan ,29,3,2022,66.8,92.1,88.6,1012.4,4.5,0.662
Papua Pegunungan ,30,3,2022,65.7,94.1,96.2,1012.9,3.4,0.266
Papua Pegunungan ,31,3,2022,66.9,86.5,88.2,1012.7,5.6,0.228
Papua Pegunungan ,1,4,2022,66.5,93.1,87.4,1012.4,4.0,0.345
Papua Pegunungan ,2,4,2022,66.5,90.3,96.7,1012.2,5.1,0.255
Papua Pegunungan ,3,4,2022,68.1,86.3,92.7,1012.5,5.1,0.136
Papua Pegunungan ,4,4,2022,67.8,86.4,93.0,1012.6,5.6,0.36
Papua Pegunungan ,5,4,2022,67.6,88.6,90.6,1012.8,5.4,0.152
Papua Pegunungan ,6,4,2022,67.3,85.3,92.0,1011.3,3.8,0.064
Papua Pegunungan ,7,4,2022,67.3,91.7,99.7,1010.2,5.6,0.454
Papua Pegunungan ,8,4,2022,68.1,89.1,86.7,1009.5,5.4,0.396
Papua Pegunungan ,9,4,2022,66.4,95.2,98.0,1010.2,3.1,0.937
Papua Pegunungan ,10,4,2022,67.5,91.0,84.3,1010.0,5.4,0.524
Papua Pegunungan ,11,4,2022,70.3,78.4,58.5,1009.4,5.4,0.111
Papua Pegunungan ,12,4,2022,69.3,79.5,85.5,1010.3,5.4,0.116
Papua Pegunungan ,13,4,2022,69.1,80.6,54.7,1010.8,6.3,0.145
Papua Pegunungan ,14,4,2022,69.3,80.7,86.5,1010.9,5.8,0.362
Papua Pegunungan ,15,4,2022,68.8,85.5,87.7,1011.5,6.0,0.312
Papua Pegunungan ,16,4,2022,68.6,84.4,76.0,1011.6,5.6,0.497
Papua Pegunungan ,17,4,2022,68.0,88.3,81.7,1011.8,5.6,0.707
Papua Pegunungan ,18,4,2022,66.3,94.8,89.7,1012.9,4.3,0.622
Papua Pegunungan ,19,4,2022,69.0,84.4,90.9,1012.5,5.1,0.472
Papua Pegunungan ,20,4,2022,68.9,89.8,87.9,1011.9,5.1,0.641
Papua Pegunungan ,21,4,2022,67.5,94.8,79.5,1012.2,3.6,0.832
Papua Pegunungan ,22,4,2022,68.2,88.1,84.0,1011.8,5.1,0.42
Papua Pegunungan ,23,4,2022,67.2,89.0,85.9,1011.6,4.5,0.289
Papua Pegunungan ,24,4,2022,67.8,90.1,75.1,1011.2,4.7,0.453
Papua Pegunungan ,25,4,2022,66.3,90.1,90.0,1010.4,4.9,0.328
Papua Pegunungan ,26,4,2022,68.1,85.7,71.1,1010.6,4.9,0.455
Papua Pegunungan ,27,4,2022,67.9,92.2,68.4,1011.5,4.3,0.563
Papua Pegunungan ,28,4,2022,67.7,88.1,77.0,1012.1,4.9,0.213
Papua Pegunungan ,29,4,2022,67.0,91.1,88.2,1012.6,4.3,0.39
Papua Pegunungan ,30,4,2022,67.1,89.2,99.5,1012.3,5.1,0.19
Papua Pegunungan ,1,5,2022,68.9,83.6,94.6,1011.0,4.9,0.108
Papua Pegunungan ,2,5,2022,68.3,90.3,85.6,1011.0,4.0,0.438
Papua Pegunungan ,3,5,2022,69.0,87.3,73.2,1011.1,5.4,0.554
Papua Pegunungan ,4,5,2022,68.4,87.8,83.3,1011.8,5.1,0.441
Papua Pegunungan ,5,5,2022,67.6,92.0,77.3,1012.0,4.7,0.458
Papua Pegunungan ,6,5,2022,67.6,91.9,84.2,1011.8,5.4,0.553
Papua Pegunungan ,7,5,2022,68.8,89.8,77.7,1011.3,5.8,0.467
Papua Pegunungan ,8,5,2022,69.8,85.1,89.9,1010.1,5.6,0.182
Papua Pegunungan ,9,5,2022,71.3,83.9,92.1,1008.9,5.6,0.166
Papua Pegunungan ,10,5,2022,71.3,77.0,98.7,1009.4,5.4,0.122
Papua Pegunungan ,11,5,2022,70.4,74.8,81.5,1010.6,5.6,0.119
Papua Pegunungan ,12,5,2022,69.2,86.0,87.5,1012.0,5.8,0.453
Papua Pegunungan ,13,5,2022,70.2,85.2,69.8,1012.5,5.1,0.317
Papua Pegunungan ,14,5,2022,67.5,95.6,87.4,1013.6,4.5,0.608
Papua Pegunungan ,15,5,2022,68.0,85.7,71.7,1014.1,5.1,0.155
Papua Pegunungan ,16,5,2022,67.4,91.7,77.8,1014.3,4.3,0.273
Papua Pegunungan ,17,5,2022,67.7,88.0,52.7,1014.3,5.1,0.237
Papua Pegunungan ,18,5,2022,67.8,91.1,37.2,1014.5,5.6,0.288
Papua Pegunungan ,19,5,2022,66.4,94.8,55.8,1015.2,4.0,0.492
Papua Pegunungan ,20,5,2022,66.8,90.4,49.7,1014.0,4.7,0.202
Papua Pegunungan ,21,5,2022,66.8,90.4,70.1,1012.5,4.7,0.229
Papua Pegunungan ,22,5,2022,67.9,88.2,84.4,1011.9,5.1,0.202
Papua Pegunungan ,23,5,2022,67.7,87.0,55.9,1013.0,6.0,0.218
Papua Pegunungan ,24,5,2022,67.8,88.9,47.1,1013.5,4.3,0.326
Papua Pegunungan ,25,5,2022,65.9,92.9,78.1,1014.0,4.5,0.296
Papua Pegunungan ,26,5,2022,66.3,87.6,82.8,1012.9,5.4,0.201
Papua Pegunungan ,27,5,2022,66.6,87.4,84.8,1012.8,5.1,0.199
Papua Pegunungan ,28,5,2022,67.6,91.0,59.9,1012.5,5.6,0.304
Papua Pegunungan ,29,5,2022,68.1,88.1,39.2,1012.0,5.6,0.179
Papua Pegunungan ,30,5,2022,66.8,90.3,85.0,1012.6,4.7,0.566
Papua Pegunungan ,31,5,2022,63.0,97.1,100.0,1014.0,4.3,3.03
Papua Pegunungan ,1,6,2022,67.3,83.7,46.6,1013.7,5.1,0.124
Papua Pegunungan ,2,6,2022,66.6,81.5,20.7,1013.8,5.8,0.217
Papua Pegunungan ,3,6,2022,67.9,85.1,47.8,1012.5,6.0,0.531
Papua Pegunungan ,4,6,2022,67.5,87.0,76.5,1012.4,5.1,0.477
Papua Pegunungan ,5,6,2022,66.4,92.4,81.6,1013.0,4.3,0.48
Papua Pegunungan ,6,6,2022,67.7,81.5,37.0,1012.3,5.8,0.036
Papua Pegunungan ,7,6,2022,67.8,82.9,53.9,1012.4,5.6,0.362
Papua Pegunungan ,8,6,2022,66.6,89.4,97.3,1013.3,5.6,0.568
Papua Pegunungan ,9,6,2022,66.1,91.5,64.9,1012.8,4.3,0.503
Papua Pegunungan ,10,6,2022,66.8,87.1,55.8,1012.5,5.8,0.339
Papua Pegunungan ,11,6,2022,66.8,90.2,48.1,1013.0,5.8,0.188
Papua Pegunungan ,12,6,2022,67.0,84.9,64.4,1012.8,5.8,0.128
Papua Pegunungan ,13,6,2022,67.4,80.9,45.4,1013.2,5.6,0.06
Papua Pegunungan ,14,6,2022,68.3,77.8,60.2,1013.3,5.4,0.072
Papua Pegunungan ,15,6,2022,67.9,81.0,49.8,1013.5,5.8,0.076
Papua Pegunungan ,16,6,2022,67.5,83.9,79.8,1012.7,5.8,0.418
Papua Pegunungan ,17,6,2022,66.0,89.1,57.3,1012.4,4.7,0.227
Papua Pegunungan ,18,6,2022,66.2,87.9,51.2,1012.4,4.9,0.331
Papua Pegunungan ,19,6,2022,67.4,85.7,45.5,1011.2,4.9,0.189
Papua Pegunungan ,20,6,2022,65.2,92.1,89.0,1011.6,5.4,0.351
Papua Pegunungan ,21,6,2022,65.9,87.6,63.6,1012.1,5.6,0.08
Papua Pegunungan ,22,6,2022,66.4,85.5,45.2,1013.0,4.7,0.099
Papua Pegunungan ,23,6,2022,67.4,83.8,54.8,1012.8,5.4,0.19
Papua Pegunungan ,24,6,2022,66.9,86.0,86.9,1011.7,4.9,0.362
Papua Pegunungan ,25,6,2022,67.0,89.1,76.0,1011.3,5.1,0.753
Papua Pegunungan ,26,6,2022,67.5,88.1,88.2,1010.7,5.4,0.186
Papua Pegunungan ,27,6,2022,66.3,90.6,95.3,1011.9,4.5,0.387
Papua Pegunungan ,28,6,2022,67.3,84.6,69.1,1011.3,4.9,0.064
Papua Pegunungan ,29,6,2022,67.9,74.2,81.2,1010.5,5.1,0.024
Papua Pegunungan ,30,6,2022,67.3,71.7,66.8,1011.5,5.4,0.036
Papua Pegunungan ,1,7,2022,67.2,82.6,26.8,1012.3,5.6,0.366
Papua Pegunungan ,2,7,2022,67.8,87.9,57.9,1011.3,5.6,0.272
Papua Pegunungan ,3,7,2022,67.2,88.8,97.1,1010.5,4.9,0.178
Papua Pegunungan ,4,7,2022,67.3,77.0,59.4,1010.3,5.6,0.197
Papua Pegunungan ,5,7,2022,66.9,88.5,86.2,1011.3,5.4,0.281
Papua Pegunungan ,6,7,2022,66.0,93.7,96.3,1012.8,4.0,0.359
Papua Pegunungan ,7,7,2022,65.1,95.0,86.1,1013.5,4.5,0.234
Papua Pegunungan ,8,7,2022,67.1,88.2,89.7,1012.3,4.3,0.207
Papua Pegunungan ,9,7,2022,65.9,96.5,91.1,1012.4,3.8,0.286
Papua Pegunungan ,10,7,2022,67.1,92.4,88.0,1012.9,5.4,0.246
Papua Pegunungan ,11,7,2022,66.5,96.2,91.1,1012.9,3.6,0.7
Papua Pegunungan ,12,7,2022,66.6,95.0,85.8,1012.3,3.4,0.224
Papua Pegunungan ,13,7,2022,67.1,86.8,72.4,1012.0,6.3,0.35
Papua Pegunungan ,14,7,2022,65.4,97.5,93.2,1013.2,3.8,0.421
Papua Pegunungan ,15,7,2022,64.0,97.7,98.3,1014.2,4.0,0.191
Papua Pegunungan ,16,7,2022,64.3,96.9,93.1,1014.1,4.0,0.103
Papua Pegunungan ,17,7,2022,64.0,98.1,95.4,1014.3,3.1,0.179
Papua Pegunungan ,18,7,2022,65.9,92.3,92.0,1013.5,4.9,0.154
Papua Pegunungan ,19,7,2022,65.4,92.7,85.8,1013.2,3.4,0.144
Papua Pegunungan ,20,7,2022,65.9,94.3,85.5,1013.5,4.9,0.449
Papua Pegunungan ,21,7,2022,65.2,97.1,79.1,1014.0,3.8,0.329
Papua Pegunungan ,22,7,2022,66.2,92.4,51.3,1013.6,4.5,0.312
Papua Pegunungan ,23,7,2022,66.2,90.0,46.6,1013.4,5.8,0.257
