name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
sulawesi utara,1,1,2014,26.0,85.5,78.7,1010.3,14.0,1.896
sulawesi utara,2,1,2014,26.5,81.6,82.1,1010.6,11.5,7.666
sulawesi utara,3,1,2014,26.9,82.4,81.0,1010.1,18.7,2.8
sulawesi utara,4,1,2014,26.8,80.8,68.4,1009.5,16.2,1.832
sulawesi utara,5,1,2014,27.2,80.1,71.9,1009.4,14.0,0.4
sulawesi utara,6,1,2014,26.9,81.2,79.9,1009.4,15.5,2.925
sulawesi utara,7,1,2014,26.2,84.9,85.9,1010.1,26.6,43.487
sulawesi utara,8,1,2014,26.3,81.7,79.2,1009.9,16.6,42.719
sulawesi utara,9,1,2014,26.3,81.8,84.1,1010.2,23.0,56.795
sulawesi utara,10,1,2014,25.9,82.9,90.4,1010.4,24.8,32.007
sulawesi utara,11,1,2014,26.2,83.2,85.0,1009.2,18.0,13.507
sulawesi utara,12,1,2014,26.7,83.1,83.4,1008.3,27.0,38.503
sulawesi utara,13,1,2014,27.3,80.2,79.6,1007.6,18.7,2.931
sulawesi utara,14,1,2014,27.4,82.8,85.2,1007.8,17.6,42.585
sulawesi utara,15,1,2014,26.4,87.6,96.7,1009.3,31.7,153.093
sulawesi utara,16,1,2014,26.2,86.7,89.0,1009.9,31.0,31.464
sulawesi utara,17,1,2014,26.8,81.5,85.2,1009.4,34.6,6.428
sulawesi utara,18,1,2014,27.2,79.7,79.3,1009.7,30.2,2.143
sulawesi utara,19,1,2014,27.1,82.0,84.6,1009.8,30.6,6.411
sulawesi utara,20,1,2014,26.9,83.5,75.0,1009.7,30.6,15.937
sulawesi utara,21,1,2014,27.0,82.7,83.0,1009.3,18.4,5.382
sulawesi utara,22,1,2014,27.3,82.0,86.5,1009.5,16.4,19.292
sulawesi utara,23,1,2014,27.0,82.4,79.8,1009.8,22.7,27.615
sulawesi utara,24,1,2014,26.6,84.1,84.3,1009.7,27.0,20.877
sulawesi utara,25,1,2014,25.6,89.1,90.5,1010.4,15.1,43.718
sulawesi utara,26,1,2014,25.8,84.7,73.4,1010.4,27.0,1.874
sulawesi utara,27,1,2014,26.6,80.0,63.2,1010.6,28.8,0.1
sulawesi utara,28,1,2014,26.7,79.3,61.6,1010.1,29.2,0.0
sulawesi utara,29,1,2014,26.4,81.1,65.7,1010.1,31.0,0.824
sulawesi utara,30,1,2014,26.2,79.0,57.4,1010.5,27.0,0.0
sulawesi utara,31,1,2014,26.3,80.9,70.4,1009.8,26.3,5.495
sulawesi utara,1,2,2014,26.9,77.8,70.6,1009.3,23.4,0.0
sulawesi utara,2,2,2014,26.6,78.9,77.8,1009.5,25.2,0.0
sulawesi utara,3,2,2014,26.6,79.6,71.1,1008.7,26.3,0.0
sulawesi utara,4,2,2014,26.6,80.5,71.5,1008.4,21.6,0.0
sulawesi utara,5,2,2014,26.8,81.0,44.5,1008.0,25.2,0.0
sulawesi utara,6,2,2014,26.2,87.0,59.1,1007.7,28.4,21.046
sulawesi utara,7,2,2014,27.2,80.5,67.9,1006.5,19.4,7.968
sulawesi utara,8,2,2014,27.2,81.0,64.0,1006.6,11.2,0.8
sulawesi utara,9,2,2014,27.2,82.5,73.8,1006.7,15.1,1.832
sulawesi utara,10,2,2014,26.2,88.3,83.9,1006.3,15.1,0.183
sulawesi utara,11,2,2014,26.4,83.9,75.6,1007.3,12.6,11.886
sulawesi utara,12,2,2014,26.2,83.3,75.8,1009.2,11.2,10.159
sulawesi utara,13,2,2014,25.8,86.1,72.6,1010.6,13.0,29.502
sulawesi utara,14,2,2014,26.2,86.5,58.3,1010.4,17.6,1.099
sulawesi utara,15,2,2014,25.8,81.7,69.8,1011.0,22.0,30.555
sulawesi utara,16,2,2014,26.1,83.2,66.7,1011.5,19.8,3.114
sulawesi utara,17,2,2014,26.3,83.4,73.7,1013.2,20.2,3.847
sulawesi utara,18,2,2014,26.3,86.1,79.3,1012.1,24.5,16.598
sulawesi utara,19,2,2014,26.7,83.0,65.5,1010.8,16.9,1.1
sulawesi utara,20,2,2014,26.4,85.1,51.8,1011.3,17.3,0.4
sulawesi utara,21,2,2014,26.0,83.3,55.4,1012.2,16.6,1.099
sulawesi utara,22,2,2014,26.3,80.0,52.2,1012.2,26.6,0.0
sulawesi utara,23,2,2014,26.6,79.9,55.5,1011.8,20.9,0.2
sulawesi utara,24,2,2014,26.0,85.1,61.6,1012.7,22.7,5.312
sulawesi utara,25,2,2014,26.4,82.7,61.1,1012.7,28.4,0.183
sulawesi utara,26,2,2014,26.6,80.6,53.8,1012.3,20.5,0.0
sulawesi utara,27,2,2014,26.4,82.0,54.5,1012.0,20.9,16.931
sulawesi utara,28,2,2014,26.6,86.4,66.1,1011.9,19.4,32.14
sulawesi utara,1,3,2014,27.1,81.9,52.8,1010.5,16.4,0.366
sulawesi utara,2,3,2014,27.1,83.2,56.7,1010.0,17.6,0.2
sulawesi utara,3,3,2014,27.5,81.3,61.7,1010.7,14.8,2.748
sulawesi utara,4,3,2014,27.2,81.1,68.2,1012.2,20.2,1.832
sulawesi utara,5,3,2014,26.9,81.1,81.9,1011.6,24.8,0.0
sulawesi utara,6,3,2014,27.0,79.1,63.8,1011.4,25.9,0.0
sulawesi utara,7,3,2014,26.7,79.5,54.3,1012.4,24.8,1.832
sulawesi utara,8,3,2014,26.9,79.1,62.8,1011.3,28.4,0.0
sulawesi utara,9,3,2014,26.8,81.9,53.6,1011.5,23.4,0.0
sulawesi utara,10,3,2014,26.4,84.6,56.8,1012.0,22.7,7.563
sulawesi utara,11,3,2014,26.8,82.0,51.1,1011.5,21.6,0.0
sulawesi utara,12,3,2014,27.1,83.0,52.2,1010.0,16.9,0.589
sulawesi utara,13,3,2014,26.8,83.3,46.2,1009.9,14.8,0.2
sulawesi utara,14,3,2014,27.7,78.0,35.5,1011.2,20.5,0.0
sulawesi utara,15,3,2014,26.3,86.0,47.2,1011.9,27.7,15.587
sulawesi utara,16,3,2014,27.2,83.6,64.4,1012.3,22.3,2.29
sulawesi utara,17,3,2014,26.9,84.3,55.1,1011.6,17.6,6.748
sulawesi utara,18,3,2014,27.1,81.0,53.0,1010.5,14.4,0.0
sulawesi utara,19,3,2014,26.9,82.5,51.2,1009.5,16.6,0.2
sulawesi utara,20,3,2014,27.2,81.9,31.2,1008.3,12.8,0.0
sulawesi utara,21,3,2014,27.9,80.2,49.5,1007.8,14.7,2.198
sulawesi utara,22,3,2014,26.5,85.0,63.3,1009.0,12.2,29.955
sulawesi utara,23,3,2014,27.4,78.8,55.2,1010.5,11.2,0.008
sulawesi utara,24,3,2014,27.9,80.2,49.0,1009.6,12.7,0.841
sulawesi utara,25,3,2014,27.9,81.3,52.0,1009.1,14.8,2.748
sulawesi utara,26,3,2014,28.0,81.2,44.6,1009.3,22.3,0.3
sulawesi utara,27,3,2014,26.3,88.9,52.7,1008.7,14.8,5.036
sulawesi utara,28,3,2014,26.9,85.2,75.5,1009.6,14.0,13.45
sulawesi utara,29,3,2014,26.3,82.3,82.9,1010.8,16.6,27.627
sulawesi utara,30,3,2014,26.9,79.5,66.5,1009.8,12.6,1.851
sulawesi utara,31,3,2014,26.3,85.4,73.1,1009.0,12.5,7.877
sulawesi utara,1,4,2014,26.6,83.1,73.6,1009.0,12.6,36.635
sulawesi utara,2,4,2014,27.2,82.8,74.1,1009.3,19.8,14.445
sulawesi utara,3,4,2014,27.2,81.2,59.2,1009.5,16.9,1.4
sulawesi utara,4,4,2014,26.9,82.4,52.1,1010.0,16.6,0.1
sulawesi utara,5,4,2014,27.2,83.5,52.2,1009.9,20.2,1.565
sulawesi utara,6,4,2014,27.2,80.9,59.7,1011.1,16.9,0.8
sulawesi utara,7,4,2014,27.4,81.1,54.3,1011.0,16.6,0.772
sulawesi utara,8,4,2014,27.6,80.9,55.3,1010.6,16.9,0.7
sulawesi utara,9,4,2014,26.6,85.4,62.8,1010.2,24.8,13.748
sulawesi utara,10,4,2014,27.4,82.3,47.8,1010.1,21.6,0.6
sulawesi utara,11,4,2014,27.3,81.8,46.6,1009.5,13.0,0.183
sulawesi utara,12,4,2014,28.1,80.3,57.4,1009.1,14.6,0.183
sulawesi utara,13,4,2014,28.0,82.3,64.0,1009.6,13.0,5.213
sulawesi utara,14,4,2014,27.7,84.4,58.9,1009.6,18.4,2.565
sulawesi utara,15,4,2014,26.6,90.3,59.1,1009.9,13.7,18.495
sulawesi utara,16,4,2014,26.5,87.8,59.6,1009.5,13.3,15.159
sulawesi utara,17,4,2014,27.0,87.8,52.5,1009.6,13.0,2.894
sulawesi utara,18,4,2014,27.9,79.4,38.6,1010.0,11.2,0.421
sulawesi utara,19,4,2014,27.4,81.5,34.2,1009.0,11.2,0.0
sulawesi utara,20,4,2014,27.5,81.8,34.3,1009.0,13.0,0.0
sulawesi utara,21,4,2014,28.1,78.8,37.8,1008.7,11.2,1.009
sulawesi utara,22,4,2014,28.1,79.7,39.5,1009.4,11.2,0.3
sulawesi utara,23,4,2014,28.0,80.5,49.0,1009.9,16.6,42.411
sulawesi utara,24,4,2014,27.8,81.3,39.3,1009.4,13.0,2.7
sulawesi utara,25,4,2014,27.9,79.4,40.7,1009.0,13.0,0.0
sulawesi utara,26,4,2014,26.6,84.8,42.9,1009.5,23.4,0.673
sulawesi utara,27,4,2014,27.3,80.4,43.8,1009.9,14.6,0.4
sulawesi utara,28,4,2014,27.3,79.8,37.2,1009.7,9.4,0.757
sulawesi utara,29,4,2014,27.6,79.9,35.1,1009.3,11.2,1.445
sulawesi utara,30,4,2014,27.7,79.8,37.5,1009.7,13.0,0.0
sulawesi utara,1,5,2014,26.9,84.4,38.7,1010.5,20.5,10.271
sulawesi utara,2,5,2014,27.2,81.6,46.4,1010.8,14.8,5.495
sulawesi utara,3,5,2014,26.6,79.2,32.7,1010.6,14.8,0.0
sulawesi utara,4,5,2014,27.9,76.9,36.4,1009.7,14.8,0.0
sulawesi utara,5,5,2014,28.0,78.9,35.0,1010.0,11.5,0.916
sulawesi utara,6,5,2014,27.2,80.3,37.8,1009.8,11.2,0.1
sulawesi utara,7,5,2014,27.6,81.2,55.4,1009.4,18.0,2.508
sulawesi utara,8,5,2014,27.6,82.7,45.6,1009.0,16.6,0.45
sulawesi utara,9,5,2014,27.7,81.7,52.5,1009.5,13.0,1.192
sulawesi utara,10,5,2014,26.2,87.4,61.9,1010.7,13.0,21.599
sulawesi utara,11,5,2014,27.0,84.8,60.4,1010.6,16.1,7.748
sulawesi utara,12,5,2014,25.7,91.9,46.7,1010.3,14.8,82.112
sulawesi utara,13,5,2014,26.8,85.7,66.6,1009.5,24.2,71.695
sulawesi utara,14,5,2014,26.1,88.6,71.0,1009.5,16.6,39.119
sulawesi utara,15,5,2014,26.3,85.9,58.6,1009.2,11.2,2.178
sulawesi utara,16,5,2014,26.7,85.2,56.7,1010.2,9.7,3.009
sulawesi utara,17,5,2014,27.0,84.3,44.7,1009.9,14.8,13.772
sulawesi utara,18,5,2014,26.9,83.8,46.9,1009.6,11.2,3.664
sulawesi utara,19,5,2014,27.6,81.5,43.6,1010.0,14.8,0.092
sulawesi utara,20,5,2014,27.2,81.4,58.6,1010.1,13.0,15.57
sulawesi utara,21,5,2014,27.7,81.8,48.2,1009.6,13.3,0.336
sulawesi utara,22,5,2014,27.0,84.8,51.9,1009.9,11.1,3.084
sulawesi utara,23,5,2014,27.0,83.1,43.9,1009.9,12.7,1.697
sulawesi utara,24,5,2014,26.8,82.9,42.7,1010.3,11.2,19.234
sulawesi utara,25,5,2014,28.1,78.8,55.4,1010.9,9.4,1.8
sulawesi utara,26,5,2014,28.5,78.3,48.8,1010.0,14.8,0.4
sulawesi utara,27,5,2014,28.1,80.5,59.2,1008.8,20.5,2.748
sulawesi utara,28,5,2014,27.3,85.7,57.3,1009.4,18.4,18.318
sulawesi utara,29,5,2014,27.2,84.5,47.0,1009.4,14.8,0.193
sulawesi utara,30,5,2014,26.3,86.3,49.9,1008.9,11.2,0.017
sulawesi utara,31,5,2014,26.8,84.6,73.6,1008.7,10.1,10.05
sulawesi utara,1,6,2014,27.0,85.3,57.6,1008.4,13.0,28.794
sulawesi utara,2,6,2014,27.0,84.9,48.7,1008.2,11.0,4.292
sulawesi utara,3,6,2014,27.1,84.2,49.0,1007.2,11.2,29.309
sulawesi utara,4,6,2014,26.8,85.3,43.1,1007.3,12.2,19.234
sulawesi utara,5,6,2014,27.6,79.7,40.6,1006.5,23.5,0.168
sulawesi utara,6,6,2014,27.1,85.5,52.8,1006.8,18.4,10.99
sulawesi utara,7,6,2014,27.7,81.8,47.9,1007.2,11.2,1.0
sulawesi utara,8,6,2014,28.3,77.5,44.4,1006.5,9.4,0.4
sulawesi utara,9,6,2014,28.6,75.0,32.5,1005.8,16.6,0.0
sulawesi utara,10,6,2014,26.7,86.7,43.5,1006.5,14.8,32.972
sulawesi utara,11,6,2014,27.8,85.5,61.1,1006.4,11.2,14.789
sulawesi utara,12,6,2014,26.3,88.1,60.9,1007.6,16.6,55.317
sulawesi utara,13,6,2014,27.8,79.0,51.2,1008.2,9.7,1.1
sulawesi utara,14,6,2014,26.5,87.4,50.4,1009.8,16.6,6.0
sulawesi utara,15,6,2014,27.3,82.6,53.7,1009.2,17.3,7.335
sulawesi utara,16,6,2014,26.8,83.6,61.3,1009.6,18.4,12.882
sulawesi utara,17,6,2014,27.1,81.4,64.7,1010.6,25.9,0.618
sulawesi utara,18,6,2014,27.5,79.3,57.5,1010.5,13.0,0.3
sulawesi utara,19,6,2014,27.8,80.8,59.2,1010.0,17.6,0.824
sulawesi utara,20,6,2014,27.1,82.6,59.4,1011.0,16.6,2.108
sulawesi utara,21,6,2014,27.8,80.6,51.4,1011.4,13.0,1.0
sulawesi utara,22,6,2014,28.1,79.0,48.9,1011.7,11.5,3.796
sulawesi utara,23,6,2014,27.6,78.2,40.1,1011.4,9.4,0.235
sulawesi utara,24,6,2014,27.0,78.1,38.3,1010.0,13.0,0.0
sulawesi utara,25,6,2014,27.6,78.7,47.1,1011.0,14.0,0.673
sulawesi utara,26,6,2014,27.0,83.2,45.9,1010.7,16.6,1.832
sulawesi utara,27,6,2014,26.4,85.0,54.2,1010.9,16.6,29.645
sulawesi utara,28,6,2014,26.4,81.8,41.5,1010.0,25.9,0.275
sulawesi utara,29,6,2014,27.3,76.2,39.5,1010.1,21.8,0.2
sulawesi utara,30,6,2014,27.5,77.9,57.8,1011.6,11.2,3.598
sulawesi utara,1,7,2014,27.7,77.0,50.4,1011.8,13.0,0.468
sulawesi utara,2,7,2014,27.3,78.8,50.9,1010.2,18.4,2.084
sulawesi utara,3,7,2014,28.1,70.1,31.6,1008.3,27.7,0.0
sulawesi utara,4,7,2014,29.1,63.1,34.9,1008.3,33.5,0.1
sulawesi utara,5,7,2014,28.4,69.1,51.5,1009.3,33.5,0.0
sulawesi utara,6,7,2014,28.0,67.1,47.4,1009.5,31.0,0.0
sulawesi utara,7,7,2014,27.3,75.6,79.2,1009.2,24.1,3.4
sulawesi utara,8,7,2014,26.2,83.9,81.4,1008.7,24.2,0.421
sulawesi utara,9,7,2014,26.5,82.2,73.2,1009.8,11.2,1.2
sulawesi utara,10,7,2014,27.0,81.6,65.4,1010.3,13.4,1.9
sulawesi utara,11,7,2014,26.1,86.3,69.1,1011.0,11.9,15.814
sulawesi utara,12,7,2014,26.6,84.8,70.1,1010.2,16.9,1.832
sulawesi utara,13,7,2014,27.0,81.5,72.0,1009.8,13.7,0.0
sulawesi utara,14,7,2014,26.9,82.8,72.5,1010.6,10.4,8.243
sulawesi utara,15,7,2014,26.8,84.3,85.3,1011.0,19.1,28.603
sulawesi utara,16,7,2014,27.1,80.5,62.2,1010.1,20.0,0.4
sulawesi utara,17,7,2014,27.7,75.7,44.1,1009.7,21.8,0.2
sulawesi utara,18,7,2014,28.1,74.9,48.4,1009.7,14.8,0.0
sulawesi utara,19,7,2014,26.7,83.7,56.7,1010.1,16.6,31.969
sulawesi utara,20,7,2014,27.2,78.7,56.2,1010.1,13.0,0.703
sulawesi utara,21,7,2014,28.6,66.9,31.7,1009.5,38.9,0.084
sulawesi utara,22,7,2014,28.1,65.4,41.2,1009.6,37.1,0.252
sulawesi utara,23,7,2014,27.6,67.7,40.3,1010.3,19.4,0.0
sulawesi utara,24,7,2014,27.6,71.0,42.0,1010.9,14.8,0.0
sulawesi utara,25,7,2014,27.5,76.5,53.9,1011.1,11.0,0.3
sulawesi utara,26,7,2014,28.3,70.3,51.3,1011.3,29.5,0.084
sulawesi utara,27,7,2014,28.7,61.1,41.4,1010.9,31.5,0.0
sulawesi utara,28,7,2014,28.8,59.6,42.5,1010.0,31.5,0.0
sulawesi utara,29,7,2014,29.0,55.3,32.9,1009.8,27.7,0.0
sulawesi utara,30,7,2014,28.6,63.3,42.0,1010.1,29.5,0.0
sulawesi utara,31,7,2014,27.9,67.4,54.9,1010.2,33.5,0.0
sulawesi utara,1,8,2014,28.2,67.8,42.6,1009.5,20.5,0.0
sulawesi utara,2,8,2014,27.9,74.3,45.1,1010.0,17.6,0.0
sulawesi utara,3,8,2014,27.3,77.2,49.0,1010.2,18.4,10.99
sulawesi utara,4,8,2014,27.6,69.4,33.3,1010.0,29.5,0.1
sulawesi utara,5,8,2014,28.3,68.5,45.5,1010.5,37.1,0.042
sulawesi utara,6,8,2014,27.1,75.5,58.8,1010.9,20.2,1.598
sulawesi utara,7,8,2014,27.5,73.9,45.9,1010.6,16.2,0.183
sulawesi utara,8,8,2014,27.4,75.2,58.3,1010.7,20.5,0.101
sulawesi utara,9,8,2014,26.5,82.4,59.4,1011.5,14.0,35.72
sulawesi utara,10,8,2014,26.0,84.5,53.0,1011.5,13.3,7.327
sulawesi utara,11,8,2014,26.7,78.6,52.9,1009.9,22.3,1.832
sulawesi utara,12,8,2014,26.7,75.6,63.1,1010.0,31.5,5.305
sulawesi utara,13,8,2014,28.2,67.8,60.3,1010.5,27.7,0.183
sulawesi utara,14,8,2014,26.3,81.1,57.0,1011.7,20.5,25.981
sulawesi utara,15,8,2014,26.5,80.3,59.9,1011.6,23.6,0.067
sulawesi utara,16,8,2014,26.4,78.7,62.0,1010.6,23.6,5.361
sulawesi utara,17,8,2014,27.5,71.8,47.4,1010.5,25.9,1.2
sulawesi utara,18,8,2014,26.3,80.9,66.4,1012.2,15.5,9.327
sulawesi utara,19,8,2014,26.4,79.2,52.0,1012.0,14.8,0.8
sulawesi utara,20,8,2014,26.4,80.7,38.5,1011.1,11.2,9.341
sulawesi utara,21,8,2014,27.4,73.2,49.8,1010.1,18.4,0.6
sulawesi utara,22,8,2014,27.5,65.9,46.2,1010.6,24.1,0.0
sulawesi utara,23,8,2014,27.1,67.1,37.9,1010.8,29.5,0.0
sulawesi utara,24,8,2014,27.8,66.4,45.2,1009.8,27.7,0.067
sulawesi utara,25,8,2014,27.1,72.3,60.6,1009.6,25.4,1.262
sulawesi utara,26,8,2014,25.0,86.6,62.8,1010.4,16.6,8.327
sulawesi utara,27,8,2014,25.0,86.4,45.3,1009.6,18.4,7.51
sulawesi utara,28,8,2014,25.9,83.0,55.0,1010.0,20.5,0.9
sulawesi utara,29,8,2014,26.2,82.7,56.9,1010.6,22.3,14.036
sulawesi utara,30,8,2014,25.5,86.2,51.0,1010.4,20.5,35.353
sulawesi utara,31,8,2014,25.5,82.3,44.5,1010.2,18.3,2.832
sulawesi utara,1,9,2014,27.2,74.6,53.7,1010.5,12.6,0.4
sulawesi utara,2,9,2014,26.8,75.1,55.6,1011.1,19.8,0.5
sulawesi utara,3,9,2014,27.2,68.0,51.2,1010.1,28.7,0.0
sulawesi utara,4,9,2014,26.5,69.8,35.0,1009.2,18.4,0.0
sulawesi utara,5,9,2014,28.2,69.2,41.9,1008.7,25.9,0.0
sulawesi utara,6,9,2014,27.7,70.1,37.7,1010.1,18.4,0.0
sulawesi utara,7,9,2014,27.4,69.7,33.3,1011.2,24.1,0.0
sulawesi utara,8,9,2014,25.9,79.7,41.1,1011.9,13.0,8.144
sulawesi utara,9,9,2014,25.9,83.7,59.7,1012.2,13.0,15.57
sulawesi utara,10,9,2014,26.5,79.5,54.1,1011.3,16.9,26.561
sulawesi utara,11,9,2014,26.8,78.8,58.7,1011.4,16.6,7.327
sulawesi utara,12,9,2014,26.4,79.1,38.5,1010.9,19.4,0.1
sulawesi utara,13,9,2014,28.3,55.8,43.8,1009.5,30.6,0.0
sulawesi utara,14,9,2014,26.9,62.2,38.2,1009.1,31.5,0.0
sulawesi utara,15,9,2014,26.5,64.7,34.1,1009.1,24.1,0.0
sulawesi utara,16,9,2014,26.4,72.0,29.4,1009.6,13.0,0.0
sulawesi utara,17,9,2014,27.4,74.3,50.8,1010.9,13.0,0.0
sulawesi utara,18,9,2014,28.0,69.7,42.7,1010.3,27.7,0.0
sulawesi utara,19,9,2014,27.9,65.5,45.2,1011.4,25.9,0.0
sulawesi utara,20,9,2014,27.2,73.6,37.5,1010.4,13.0,0.0
sulawesi utara,21,9,2014,26.4,79.7,53.3,1011.3,18.4,15.57
sulawesi utara,22,9,2014,26.2,84.0,60.3,1011.8,12.2,7.328
sulawesi utara,23,9,2014,27.4,77.3,50.7,1011.3,16.2,0.4
sulawesi utara,24,9,2014,26.8,75.1,41.1,1010.8,14.8,0.0
sulawesi utara,25,9,2014,26.0,69.8,37.7,1011.2,15.1,0.0
sulawesi utara,26,9,2014,26.6,73.3,45.3,1011.0,15.1,0.0
sulawesi utara,27,9,2014,27.2,77.3,49.3,1011.5,18.0,0.0
