name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
sumatera selatan ,1,1,2020,79.3,87.1,90.0,1012.9,16.1,0.008
sumatera selatan ,2,1,2020,81.0,83.3,78.3,1012.8,12.8,0.044
sumatera selatan ,3,1,2020,81.7,83.2,92.4,1011.6,10.3,0.035
sumatera selatan ,4,1,2020,81.5,83.7,81.9,1009.9,17.2,0.004
sumatera selatan ,5,1,2020,81.2,84.5,80.8,1010.0,11.4,0.236
sumatera selatan ,6,1,2020,81.6,82.8,72.5,1010.1,11.4,0.158
sumatera selatan ,7,1,2020,82.6,78.6,69.7,1009.5,15.0,0.0
sumatera selatan ,8,1,2020,81.6,84.3,72.8,1008.5,15.0,0.197
sumatera selatan ,9,1,2020,80.5,87.8,60.7,1008.7,15.0,0.044
sumatera selatan ,10,1,2020,79.0,89.2,76.5,1009.3,11.4,0.473
sumatera selatan ,11,1,2020,81.0,84.4,86.4,1009.7,13.9,0.079
sumatera selatan ,12,1,2020,81.0,86.5,77.2,1009.1,10.3,0.039
sumatera selatan ,13,1,2020,80.3,86.4,66.0,1008.6,11.4,0.315
sumatera selatan ,14,1,2020,79.9,89.4,70.4,1009.5,11.4,0.157
sumatera selatan ,15,1,2020,82.1,83.2,59.3,1009.8,11.4,0.354
sumatera selatan ,16,1,2020,81.0,86.6,68.9,1010.5,15.0,0.039
sumatera selatan ,17,1,2020,79.2,92.9,79.3,1011.1,10.8,0.315
sumatera selatan ,18,1,2020,81.0,85.9,71.9,1010.8,6.9,0.024
sumatera selatan ,19,1,2020,82.2,84.4,67.6,1010.8,8.1,0.194
sumatera selatan ,20,1,2020,80.8,88.2,93.3,1011.8,9.2,0.433
sumatera selatan ,21,1,2020,82.0,84.3,67.3,1012.2,11.4,0.551
sumatera selatan ,22,1,2020,79.3,91.1,82.5,1012.1,12.8,2.677
sumatera selatan ,23,1,2020,80.6,86.4,69.9,1010.8,9.2,0.827
sumatera selatan ,24,1,2020,79.7,88.5,60.9,1010.4,11.4,0.354
sumatera selatan ,25,1,2020,82.3,81.1,66.9,1010.4,8.1,0.0
sumatera selatan ,26,1,2020,81.4,83.1,64.9,1009.6,11.4,0.709
sumatera selatan ,27,1,2020,81.9,84.8,66.5,1009.3,10.3,0.008
sumatera selatan ,28,1,2020,81.5,85.9,70.5,1010.1,9.2,0.276
sumatera selatan ,29,1,2020,78.9,88.2,67.7,1011.0,17.2,0.118
sumatera selatan ,30,1,2020,79.6,83.9,63.1,1010.5,11.4,0.0
sumatera selatan ,31,1,2020,81.3,82.3,69.7,1010.3,13.9,0.0
sumatera selatan ,1,2,2020,82.0,79.9,68.2,1010.3,15.6,0.008
sumatera selatan ,2,2,2020,81.2,83.9,81.1,1011.5,15.0,0.453
sumatera selatan ,3,2,2020,79.3,88.8,81.9,1012.0,10.3,1.189
sumatera selatan ,4,2,2020,81.7,82.2,80.9,1010.8,9.2,0.197
sumatera selatan ,5,2,2020,81.6,79.9,83.8,1010.1,12.8,0.012
sumatera selatan ,6,2,2020,81.0,84.4,87.8,1010.7,10.3,0.197
sumatera selatan ,7,2,2020,80.4,88.4,93.6,1011.1,12.8,0.079
sumatera selatan ,8,2,2020,81.4,80.3,89.9,1012.2,11.4,0.008
sumatera selatan ,9,2,2020,82.7,73.9,88.2,1011.4,13.9,0.008
sumatera selatan ,10,2,2020,81.3,84.3,92.4,1011.2,5.8,0.115
sumatera selatan ,11,2,2020,81.6,84.9,91.3,1011.4,9.2,0.032
sumatera selatan ,12,2,2020,80.9,86.2,86.4,1012.1,11.4,0.433
sumatera selatan ,13,2,2020,80.2,89.9,93.7,1011.3,10.3,0.236
sumatera selatan ,14,2,2020,81.3,86.3,92.1,1010.3,13.9,0.032
sumatera selatan ,15,2,2020,82.1,84.9,91.9,1011.2,11.4,0.752
sumatera selatan ,16,2,2020,79.5,89.0,87.6,1012.5,6.9,1.63
sumatera selatan ,17,2,2020,80.2,88.0,88.4,1012.2,6.5,0.119
sumatera selatan ,18,2,2020,79.3,90.1,94.0,1012.2,6.4,0.701
sumatera selatan ,19,2,2020,79.2,89.3,90.7,1011.9,11.4,0.433
sumatera selatan ,20,2,2020,79.3,88.7,77.2,1011.5,12.8,0.158
sumatera selatan ,21,2,2020,80.5,85.3,73.8,1012.1,13.9,0.087
sumatera selatan ,22,2,2020,79.8,87.4,75.5,1012.7,11.4,0.804
sumatera selatan ,23,2,2020,80.2,84.1,66.6,1011.7,11.4,0.366
sumatera selatan ,24,2,2020,79.7,86.7,56.5,1010.7,13.9,0.512
sumatera selatan ,25,2,2020,80.0,88.1,85.4,1010.6,9.2,0.397
