name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Jawa timur,1,1,2014,75.3,88.3,92.1,1010.7,14.3,0.024
Jawa timur,2,1,2014,80.4,75.8,62.1,1009.5,11.4,0.0
Jawa timur,3,1,2014,80.4,81.1,40.3,1008.8,10.3,2.441
Jawa timur,4,1,2014,78.4,86.1,53.0,1008.7,15.0,3.653
Jawa timur,5,1,2014,78.4,85.1,49.6,1007.6,13.9,0.008
Jawa timur,6,1,2014,78.3,86.9,51.6,1008.1,13.9,0.705
Jawa timur,7,1,2014,80.8,79.0,51.1,1008.7,11.4,0.112
Jawa timur,8,1,2014,81.6,77.4,41.8,1008.9,9.6,0.222
Jawa timur,9,1,2014,81.8,76.0,40.9,1008.6,13.9,0.433
Jawa timur,10,1,2014,81.6,79.4,46.2,1008.6,8.1,0.104
Jawa timur,11,1,2014,79.8,83.5,57.6,1009.6,10.3,0.059
Jawa timur,12,1,2014,79.8,81.7,49.5,1010.3,9.2,0.004
Jawa timur,13,1,2014,80.8,78.4,50.2,1009.3,16.1,0.076
Jawa timur,14,1,2014,82.6,69.8,40.3,1008.6,11.4,0.012
Jawa timur,15,1,2014,81.1,74.8,47.2,1009.1,21.9,0.004
Jawa timur,16,1,2014,80.7,75.9,60.6,1009.4,16.1,0.028
Jawa timur,17,1,2014,81.1,75.3,57.0,1009.5,23.0,0.112
Jawa timur,18,1,2014,79.7,77.7,59.7,1010.6,18.3,0.079
Jawa timur,19,1,2014,76.5,87.3,86.8,1010.9,14.8,0.118
Jawa timur,20,1,2014,79.5,80.6,63.2,1009.2,23.0,0.084
Jawa timur,21,1,2014,77.4,85.2,77.4,1009.6,18.1,0.103
Jawa timur,22,1,2014,80.1,76.6,55.3,1009.6,21.9,0.165
Jawa timur,23,1,2014,79.2,79.0,55.4,1009.9,19.1,0.079
Jawa timur,24,1,2014,79.1,78.8,53.1,1009.4,16.1,0.02
Jawa timur,25,1,2014,79.1,76.8,50.9,1010.1,17.2,0.039
Jawa timur,26,1,2014,80.4,74.9,52.0,1009.7,12.8,0.394
Jawa timur,27,1,2014,80.4,79.9,55.9,1009.1,15.8,0.748
Jawa timur,28,1,2014,79.9,80.8,60.3,1009.0,16.1,0.169
Jawa timur,29,1,2014,79.4,79.7,55.8,1009.0,18.3,0.355
Jawa timur,30,1,2014,79.3,81.8,66.9,1009.1,18.3,0.669
Jawa timur,31,1,2014,76.8,87.4,86.3,1009.7,16.4,0.016
Jawa timur,1,2,2014,76.9,86.7,80.5,1007.7,16.1,0.06
Jawa timur,2,2,2014,76.6,89.5,76.9,1007.5,15.1,0.882
Jawa timur,3,2,2014,77.9,85.6,59.0,1007.0,19.6,0.358
Jawa timur,4,2,2014,80.2,79.3,47.8,1006.5,18.3,0.157
Jawa timur,5,2,2014,82.3,74.6,42.4,1006.1,15.0,0.0
Jawa timur,6,2,2014,82.6,75.7,47.5,1006.5,13.9,0.0
Jawa timur,7,2,2014,81.5,78.8,55.5,1005.9,15.0,0.039
Jawa timur,8,2,2014,80.8,81.4,49.4,1005.2,24.6,0.11
Jawa timur,9,2,2014,80.9,77.5,54.3,1006.0,19.6,0.157
Jawa timur,10,2,2014,79.7,78.9,53.4,1006.5,16.1,0.335
Jawa timur,11,2,2014,81.0,77.7,42.2,1006.8,17.2,0.14
Jawa timur,12,2,2014,82.4,75.1,33.9,1007.3,15.0,0.0
Jawa timur,13,2,2014,80.6,80.3,54.9,1009.2,15.0,0.275
Jawa timur,14,2,2014,78.9,82.7,58.3,1009.3,16.6,0.039
Jawa timur,15,2,2014,77.0,85.4,56.8,1008.9,13.9,1.933
Jawa timur,16,2,2014,78.0,83.0,60.1,1010.7,11.4,0.406
Jawa timur,17,2,2014,79.4,80.0,56.9,1011.5,9.2,1.535
