name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Jawa tengah,1,1,2014,76.7,91.2,88.7,1010.4,15.0,0.528
Jawa tengah,2,1,2014,78.4,86.9,68.2,1009.7,15.5,0.665
Jawa tengah,3,1,2014,79.6,85.5,67.7,1008.6,9.2,0.636
Jawa tengah,4,1,2014,78.9,86.6,77.2,1008.2,18.0,0.031
Jawa tengah,5,1,2014,79.9,84.3,65.4,1007.0,9.2,0.033
Jawa tengah,6,1,2014,77.6,88.6,80.5,1007.2,11.4,3.108
Jawa tengah,7,1,2014,78.1,84.8,77.3,1007.8,9.2,0.229
Jawa tengah,8,1,2014,78.2,85.3,82.2,1008.9,11.4,0.442
Jawa tengah,9,1,2014,79.0,83.7,71.1,1008.3,17.2,0.005
Jawa tengah,10,1,2014,78.5,85.5,77.3,1008.1,11.4,0.044
Jawa tengah,11,1,2014,78.6,84.4,76.3,1009.5,10.3,0.021
Jawa tengah,12,1,2014,77.4,89.1,84.3,1010.2,6.3,10.766
Jawa tengah,13,1,2014,77.6,86.4,86.8,1009.4,25.9,0.01
Jawa tengah,14,1,2014,77.5,86.7,78.5,1009.0,13.9,1.252
Jawa tengah,15,1,2014,77.3,86.1,83.9,1009.4,13.4,0.001
Jawa tengah,16,1,2014,76.9,86.8,73.4,1009.7,11.6,0.016
Jawa tengah,17,1,2014,76.0,92.1,82.7,1010.0,14.2,0.438
Jawa tengah,18,1,2014,75.1,94.0,94.6,1010.6,9.2,1.892
Jawa tengah,19,1,2014,75.4,91.7,90.1,1010.9,18.3,0.62
Jawa tengah,20,1,2014,76.4,90.9,88.9,1009.5,21.9,0.379
Jawa tengah,21,1,2014,75.8,91.0,90.7,1009.3,25.4,0.806
Jawa tengah,22,1,2014,79.0,81.2,72.6,1009.5,21.9,0.118
Jawa tengah,23,1,2014,75.1,93.7,84.6,1010.1,15.0,3.258
Jawa tengah,24,1,2014,77.0,88.8,80.8,1009.1,18.3,1.223
Jawa tengah,25,1,2014,76.2,89.9,83.4,1009.7,19.7,0.152
Jawa tengah,26,1,2014,78.9,83.5,73.5,1009.5,18.1,0.233
Jawa tengah,27,1,2014,79.5,85.8,77.5,1009.3,18.6,0.214
Jawa tengah,28,1,2014,76.0,92.0,91.8,1009.5,9.2,2.077
Jawa tengah,29,1,2014,77.6,88.4,87.3,1009.4,18.2,0.336
Jawa tengah,30,1,2014,77.7,87.7,81.9,1009.5,18.3,1.079
Jawa tengah,31,1,2014,76.3,90.5,89.5,1009.8,17.3,0.326
Jawa tengah,1,2,2014,77.2,88.9,82.6,1008.0,14.3,0.436
Jawa tengah,2,2,2014,76.1,91.7,78.6,1007.2,14.4,1.315
Jawa tengah,3,2,2014,77.4,90.4,82.9,1006.3,15.0,1.576
Jawa tengah,4,2,2014,77.7,90.1,83.0,1006.1,11.4,0.744
Jawa tengah,5,2,2014,80.3,84.8,69.1,1005.6,16.1,0.079
Jawa tengah,6,2,2014,79.2,87.2,78.6,1006.3,8.1,0.761
Jawa tengah,7,2,2014,80.0,85.8,69.5,1005.8,15.0,0.012
Jawa tengah,8,2,2014,78.8,89.4,80.5,1005.2,16.1,0.666
Jawa tengah,9,2,2014,78.0,89.8,75.9,1005.9,14.8,0.532
Jawa tengah,10,2,2014,79.6,82.5,80.2,1006.2,15.1,0.012
Jawa tengah,11,2,2014,81.0,84.5,74.4,1006.7,19.5,0.0
Jawa tengah,12,2,2014,81.1,83.6,66.9,1006.9,18.0,0.0
Jawa tengah,13,2,2014,80.5,81.2,72.2,1008.7,16.1,0.012
Jawa tengah,14,2,2014,78.9,85.9,83.3,1009.2,13.9,0.036
Jawa tengah,15,2,2014,77.7,87.4,75.8,1008.9,14.7,1.355
Jawa tengah,16,2,2014,78.6,83.3,78.0,1010.4,13.9,0.038
Jawa tengah,17,2,2014,79.7,83.1,72.4,1011.0,12.1,0.052
Jawa tengah,18,2,2014,79.7,85.8,80.4,1010.3,16.9,0.239
Jawa tengah,19,2,2014,78.6,85.6,78.1,1009.8,14.3,0.016
Jawa tengah,20,2,2014,79.4,83.6,72.1,1009.8,12.7,0.012
Jawa tengah,21,2,2014,80.3,81.7,71.6,1010.5,16.1,0.048
Jawa tengah,22,2,2014,78.1,85.1,79.5,1010.7,20.8,0.203
Jawa tengah,23,2,2014,77.3,85.5,78.1,1011.3,18.3,0.314
Jawa tengah,24,2,2014,79.3,75.7,65.7,1011.2,18.3,0.001
Jawa tengah,25,2,2014,79.8,75.5,64.6,1010.8,17.9,0.008
Jawa tengah,26,2,2014,80.0,76.1,51.6,1010.5,16.1,0.0
Jawa tengah,27,2,2014,80.2,78.3,50.7,1010.4,16.1,0.004
Jawa tengah,28,2,2014,81.0,80.5,67.9,1010.6,13.9,0.004
Jawa tengah,1,3,2014,81.2,80.6,65.3,1009.2,12.1,0.028
Jawa tengah,2,3,2014,81.3,82.3,71.4,1009.1,13.9,1.14
Jawa tengah,3,3,2014,80.5,83.2,69.3,1009.8,15.0,0.016
Jawa tengah,4,3,2014,81.0,80.3,57.1,1010.7,12.7,0.0
Jawa tengah,5,3,2014,78.9,85.8,64.5,1010.7,16.1,0.368
Jawa tengah,6,3,2014,80.8,80.2,57.7,1009.6,10.6,0.167
Jawa tengah,7,3,2014,82.0,79.7,68.2,1009.9,12.7,0.332
Jawa tengah,8,3,2014,81.4,82.0,78.0,1010.1,12.2,0.06
Jawa tengah,9,3,2014,81.4,83.6,84.4,1009.4,15.0,0.001
Jawa tengah,10,3,2014,78.6,88.9,70.1,1010.3,13.8,0.355
Jawa tengah,11,3,2014,81.2,81.3,64.5,1010.4,16.1,0.019
