name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Maluku,1,1,2014,27.1,82.9,86.7,1009.5,12.6,58.0
Maluku,2,1,2014,26.7,88.2,82.4,1009.9,25.9,37.5
Maluku,3,1,2014,27.8,82.3,84.5,1010.0,12.2,14.3
Maluku,4,1,2014,28.2,82.0,72.2,1009.3,19.8,4.1
Maluku,5,1,2014,28.3,81.8,75.5,,16.2,0.7
Maluku,6,1,2014,28.1,83.3,82.2,,16.6,0.0
Maluku,7,1,2014,28.2,80.3,79.1,1006.6,22.3,5.2
Maluku,8,1,2014,28.0,83.8,81.4,,22.0,4.1
Maluku,9,1,2014,27.6,83.2,73.6,1007.5,19.1,2.4
Maluku,10,1,2014,27.6,85.4,82.1,,19.4,2.5
Maluku,11,1,2014,27.9,85.1,78.7,,23.8,2.9
Maluku,12,1,2014,28.5,84.4,79.9,1005.5,27.0,8.6
Maluku,13,1,2014,28.3,84.2,78.3,1005.3,28.8,12.5
Maluku,14,1,2014,28.3,83.3,75.0,1004.7,22.3,6.2
Maluku,15,1,2014,28.3,85.1,85.9,1008.0,20.9,5.7
Maluku,16,1,2014,27.7,85.8,84.6,1008.0,20.2,10.5
Maluku,17,1,2014,27.4,84.0,82.7,1007.8,17.3,5.2
Maluku,18,1,2014,28.1,81.9,83.6,1008.3,15.5,1.8
Maluku,19,1,2014,28.2,83.6,88.4,,17.3,1.3
Maluku,20,1,2014,27.8,84.6,82.6,,18.0,4.3
Maluku,21,1,2014,27.4,82.1,89.2,,20.5,5.2
Maluku,22,1,2014,26.4,86.0,71.3,1008.9,20.9,10.9
Maluku,23,1,2014,28.0,78.3,59.0,1007.8,23.4,6.6
Maluku,24,1,2014,27.6,84.6,83.6,1007.0,23.0,7.7
Maluku,25,1,2014,26.8,84.2,68.8,1010.0,17.6,4.7
Maluku,26,1,2014,27.0,85.1,74.0,,17.6,5.6
Maluku,27,1,2014,27.2,85.2,81.4,1007.1,21.6,13.3
Maluku,28,1,2014,27.3,87.5,76.7,1007.0,18.7,12.9
Maluku,29,1,2014,27.8,84.8,71.4,1007.4,21.6,8.1
Maluku,30,1,2014,27.7,85.8,83.1,,20.5,12.1
Maluku,31,1,2014,28.0,84.2,76.5,,26.3,5.3
Maluku,1,2,2014,28.1,81.2,87.8,,23.0,1.0
Maluku,2,2,2014,28.0,83.7,75.3,,22.0,1.0
Maluku,3,2,2014,28.1,82.7,83.4,,24.5,0.0
Maluku,4,2,2014,27.9,83.0,66.0,,19.1,0.0
Maluku,5,2,2014,28.0,83.4,70.1,,18.4,0.0
Maluku,6,2,2014,28.2,82.3,58.8,,18.0,0.0
Maluku,7,2,2014,28.5,80.5,70.1,,17.6,0.0
Maluku,8,2,2014,28.5,81.1,57.7,,15.8,0.0
Maluku,9,2,2014,28.0,81.9,74.3,,13.0,0.0
Maluku,10,2,2014,28.3,80.2,83.6,,9.4,0.5
Maluku,11,2,2014,27.8,82.2,72.5,,18.4,1.5
Maluku,12,2,2014,28.6,77.1,68.9,,14.8,5.7
Maluku,13,2,2014,27.0,85.2,90.6,,17.6,15.3
