name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Papua selatan,1,1,2014,25.4,97.0,57.6,1010.7,29.5,37.588
Papua selatan,2,1,2014,25.0,98.4,65.9,1010.7,16.1,28.02
Papua selatan,3,1,2014,25.9,98.2,60.2,1009.9,17.9,35.027
Papua selatan,4,1,2014,26.1,97.4,54.8,1009.3,16.6,24.564
Papua selatan,5,1,2014,26.6,96.2,40.2,1008.9,18.5,1.478
Papua selatan,6,1,2014,26.3,95.8,47.5,1008.9,16.6,3.774
Papua selatan,7,1,2014,26.3,97.0,50.2,1009.6,22.3,34.138
Papua selatan,8,1,2014,27.0,91.0,45.6,1009.1,14.8,1.521
Papua selatan,9,1,2014,26.4,88.6,54.8,1009.2,18.4,21.364
Papua selatan,10,1,2014,26.2,89.6,58.6,1009.5,23.2,39.617
Papua selatan,11,1,2014,27.1,84.2,52.4,1010.5,16.2,14.463
Papua selatan,12,1,2014,27.3,84.4,52.3,1010.3,27.1,2.51
Papua selatan,13,1,2014,26.7,91.1,62.7,1009.4,26.6,72.388
Papua selatan,14,1,2014,26.2,92.9,65.7,1008.6,16.6,22.263
Papua selatan,15,1,2014,26.7,86.9,75.2,1008.7,31.5,25.144
Papua selatan,16,1,2014,25.3,91.4,69.8,1009.8,25.9,96.45
Papua selatan,17,1,2014,26.5,87.7,57.7,1009.6,22.3,1.932
Papua selatan,18,1,2014,26.2,90.8,57.3,1010.7,28.4,41.668
Papua selatan,19,1,2014,26.9,88.3,51.7,1010.3,38.5,10.043
Papua selatan,20,1,2014,26.8,89.2,51.5,1009.6,30.3,26.536
Papua selatan,21,1,2014,26.8,88.1,62.4,1009.2,21.6,13.253
Papua selatan,22,1,2014,25.6,90.9,50.5,1010.2,22.3,13.421
Papua selatan,23,1,2014,25.2,93.9,57.6,1010.2,23.0,37.566
Papua selatan,24,1,2014,23.9,93.1,64.5,1010.4,18.4,86.414
Papua selatan,25,1,2014,26.1,88.6,53.7,1010.3,30.6,1.268
Papua selatan,26,1,2014,26.3,87.8,55.2,1010.1,14.8,24.639
Papua selatan,27,1,2014,27.2,86.3,59.6,1009.7,24.1,13.383
Papua selatan,28,1,2014,27.2,88.1,54.8,1009.1,15.5,5.436
Papua selatan,29,1,2014,25.6,94.9,63.1,1009.1,11.2,31.562
Papua selatan,30,1,2014,26.1,92.7,69.7,1009.3,24.7,75.989
Papua selatan,31,1,2014,26.9,89.2,50.9,1008.8,37.1,6.337
Papua selatan,1,2,2014,26.1,93.0,55.9,1007.9,19.7,32.451
Papua selatan,2,2,2014,27.5,85.8,52.8,1007.6,20.5,5.671
Papua selatan,3,2,2014,26.7,89.5,46.1,1007.3,14.8,3.015
Papua selatan,4,2,2014,27.6,86.1,42.2,1006.9,13.0,0.355
Papua selatan,5,2,2014,27.0,83.8,41.5,1006.9,16.9,0.507
Papua selatan,6,2,2014,28.3,79.9,38.9,1006.7,14.8,0.0
Papua selatan,7,2,2014,28.3,82.7,51.5,1006.2,16.0,1.013
Papua selatan,8,2,2014,27.6,86.5,50.7,1006.1,18.4,0.099
Papua selatan,9,2,2014,27.6,85.9,41.6,1006.5,19.0,5.449
Papua selatan,10,2,2014,27.2,86.4,53.3,1007.5,13.0,50.879
Papua selatan,11,2,2014,27.1,84.3,45.0,1008.0,16.6,0.099
Papua selatan,12,2,2014,27.3,83.0,35.8,1008.4,16.6,0.0
Papua selatan,13,2,2014,27.4,76.2,35.6,1009.8,14.8,0.0
Papua selatan,14,2,2014,25.7,87.4,55.5,1010.2,25.9,2.029
Papua selatan,15,2,2014,26.1,88.2,50.5,1009.9,19.7,36.838
Papua selatan,16,2,2014,25.6,90.3,45.1,1011.4,11.2,27.407
Papua selatan,17,2,2014,25.3,88.6,46.5,1012.5,27.7,5.421
Papua selatan,18,2,2014,27.4,83.4,47.3,1011.0,18.4,7.1
Papua selatan,19,2,2014,26.4,85.7,57.4,1010.8,31.5,61.369
Papua selatan,20,2,2014,27.3,81.2,43.9,1010.7,16.9,0.456
Papua selatan,21,2,2014,27.4,85.2,48.2,1011.0,16.6,0.55
Papua selatan,22,2,2014,25.8,90.5,60.5,1011.4,29.5,17.651
Papua selatan,23,2,2014,23.8,96.3,54.9,1012.2,20.5,73.855
Papua selatan,24,2,2014,25.8,88.9,41.8,1012.5,16.6,17.916
Papua selatan,25,2,2014,25.9,90.2,52.6,1012.0,18.4,9.63
Papua selatan,26,2,2014,27.0,84.7,41.8,1011.8,14.8,4.536
Papua selatan,27,2,2014,27.9,79.6,33.7,1011.3,16.6,0.0
Papua selatan,28,2,2014,27.1,85.8,41.7,1011.4,18.4,1.507
Papua selatan,1,3,2014,26.9,86.0,45.0,1010.3,22.3,2.76
Papua selatan,2,3,2014,27.4,85.4,37.7,1009.7,14.8,1.479
Papua selatan,3,3,2014,27.0,86.7,49.0,1010.7,16.6,10.834
Papua selatan,4,3,2014,26.0,91.9,53.2,1011.9,12.4,29.78
Papua selatan,5,3,2014,27.3,84.4,36.0,1011.0,16.6,16.229
Papua selatan,6,3,2014,25.7,90.1,52.7,1011.1,18.4,30.624
Papua selatan,7,3,2014,27.6,83.6,39.8,1011.0,16.6,5.766
Papua selatan,8,3,2014,26.0,94.3,50.2,1010.8,20.5,23.421
Papua selatan,9,3,2014,27.8,83.1,44.5,1010.4,20.5,0.0
Papua selatan,10,3,2014,27.6,84.8,51.6,1011.0,14.8,23.292
Papua selatan,11,3,2014,26.9,84.5,43.2,1011.1,14.0,1.493
Papua selatan,12,3,2014,27.1,85.0,54.5,1010.0,13.0,31.879
Papua selatan,13,3,2014,27.4,84.8,52.8,1010.0,20.5,25.584
Papua selatan,14,3,2014,27.7,84.9,43.3,1011.3,11.2,3.649
Papua selatan,15,3,2014,27.3,84.9,36.5,1011.3,13.0,0.0
Papua selatan,16,3,2014,27.4,84.7,43.9,1011.6,14.8,0.0
Papua selatan,17,3,2014,26.6,88.2,41.4,1011.5,14.8,1.922
Papua selatan,18,3,2014,26.4,89.0,39.3,1010.8,17.2,3.522
Papua selatan,19,3,2014,26.4,88.8,47.6,1009.6,18.4,2.58
Papua selatan,20,3,2014,26.9,88.5,51.3,1008.9,18.0,10.749
Papua selatan,21,3,2014,26.9,87.0,50.9,1008.9,15.4,36.378
Papua selatan,22,3,2014,27.2,82.6,47.1,1009.2,16.7,10.704
Papua selatan,23,3,2014,28.1,81.3,38.1,1009.8,16.6,0.0
Papua selatan,24,3,2014,28.2,80.7,39.5,1009.2,14.8,0.0
Papua selatan,25,3,2014,28.0,78.9,34.6,1009.1,14.8,0.0
Papua selatan,26,3,2014,28.4,81.4,38.1,1009.0,11.2,0.0
Papua selatan,27,3,2014,27.6,85.5,38.3,1008.3,16.7,6.111
Papua selatan,28,3,2014,26.6,88.9,43.0,1009.7,14.8,5.635
Papua selatan,29,3,2014,27.5,81.5,36.2,1009.3,16.6,0.0
Papua selatan,30,3,2014,27.2,84.2,38.5,1009.6,16.6,101.957
Papua selatan,31,3,2014,27.7,86.2,39.8,1008.5,13.0,16.363
Papua selatan,1,4,2014,28.7,80.2,38.9,1007.7,15.4,0.0
Papua selatan,2,4,2014,27.9,87.4,41.8,1008.1,18.4,4.353
Papua selatan,3,4,2014,27.3,89.2,47.5,1009.2,16.6,10.421
Papua selatan,4,4,2014,27.4,88.6,44.1,1009.2,14.8,5.171
Papua selatan,5,4,2014,26.4,89.8,57.7,1010.3,19.7,12.546
Papua selatan,6,4,2014,27.4,84.0,47.2,1010.9,14.8,0.0
Papua selatan,7,4,2014,25.2,92.9,73.4,1012.0,26.7,118.982
Papua selatan,8,4,2014,26.8,86.5,60.7,1010.7,25.3,9.859
Papua selatan,9,4,2014,25.1,92.3,52.7,1010.8,19.8,18.247
Papua selatan,10,4,2014,27.6,80.3,35.2,1010.6,13.0,21.684
Papua selatan,11,4,2014,27.2,85.6,39.5,1010.2,13.0,0.0
Papua selatan,12,4,2014,27.6,82.9,43.1,1009.7,10.6,49.804
Papua selatan,13,4,2014,26.4,88.2,48.2,1010.4,18.4,17.224
Papua selatan,14,4,2014,26.1,90.3,45.2,1010.6,20.9,0.0
Papua selatan,15,4,2014,25.6,91.7,60.8,1010.7,13.6,32.06
Papua selatan,16,4,2014,27.3,84.3,38.6,1009.6,16.6,0.0
