name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
Sulawesi Tenggara,1,1,2014,78.7,89.7,77.5,,3.6,0.949
Sulawesi Tenggara,2,1,2014,78.9,87.2,78.1,,4.9,0.312
Sulawesi Tenggara,3,1,2014,79.5,86.3,90.8,,3.8,0.24
Sulawesi Tenggara,4,1,2014,79.6,86.1,90.6,,2.9,0.12
Sulawesi Tenggara,5,1,2014,79.9,85.8,78.6,,3.4,0.14
Sulawesi Tenggara,6,1,2014,81.2,81.4,82.1,,3.1,0.124
Sulawesi Tenggara,7,1,2014,79.9,86.1,84.2,,4.3,0.04
Sulawesi Tenggara,8,1,2014,79.5,88.2,80.9,,4.5,0.052
Sulawesi Tenggara,9,1,2014,80.9,83.7,61.0,,3.8,0.451
Sulawesi Tenggara,10,1,2014,79.8,88.1,76.4,,4.3,0.496
Sulawesi Tenggara,11,1,2014,79.2,90.6,81.3,,4.7,0.371
Sulawesi Tenggara,12,1,2014,78.7,91.1,81.8,,6.0,0.14
Sulawesi Tenggara,13,1,2014,79.4,88.5,74.5,,7.2,0.048
Sulawesi Tenggara,14,1,2014,79.4,89.7,79.6,,6.5,0.0
Sulawesi Tenggara,15,1,2014,79.3,89.7,88.3,,5.4,0.064
Sulawesi Tenggara,16,1,2014,79.0,89.7,88.1,,7.4,0.16
Sulawesi Tenggara,17,1,2014,78.7,87.6,88.5,,6.7,0.06
Sulawesi Tenggara,18,1,2014,80.2,85.7,81.0,,7.2,0.012
Sulawesi Tenggara,19,1,2014,79.9,84.0,83.1,,8.7,0.04
Sulawesi Tenggara,20,1,2014,79.3,86.0,87.2,,8.1,0.084
Sulawesi Tenggara,21,1,2014,79.0,87.2,89.9,,4.5,0.068
Sulawesi Tenggara,22,1,2014,79.1,85.2,79.8,,5.6,0.044
Sulawesi Tenggara,23,1,2014,79.5,85.6,73.3,,7.2,0.108
Sulawesi Tenggara,24,1,2014,79.0,86.4,78.3,,4.5,0.236
Sulawesi Tenggara,25,1,2014,78.9,86.1,69.3,,4.9,0.22
Sulawesi Tenggara,26,1,2014,79.3,86.2,73.8,,4.0,0.052
Sulawesi Tenggara,27,1,2014,79.5,86.9,75.5,,5.6,0.02
Sulawesi Tenggara,28,1,2014,80.0,85.0,82.3,,4.3,0.0
Sulawesi Tenggara,29,1,2014,79.8,88.7,79.5,,4.3,0.044
Sulawesi Tenggara,30,1,2014,79.8,87.4,83.3,,4.0,0.008
Sulawesi Tenggara,31,1,2014,80.5,85.5,79.3,,4.3,0.0
Sulawesi Tenggara,1,2,2014,79.9,87.1,77.0,,4.7,0.092
Sulawesi Tenggara,2,2,2014,79.9,87.9,82.2,,3.6,0.124
Sulawesi Tenggara,3,2,2014,79.9,87.4,86.5,,3.1,0.096
Sulawesi Tenggara,4,2,2014,80.7,82.3,82.8,,1.8,0.024
Sulawesi Tenggara,5,2,2014,80.6,85.3,72.5,,4.0,0.012
Sulawesi Tenggara,6,2,2014,81.2,85.0,65.6,,4.0,0.056
