name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
"Padang, Sumatera Barat",1,1,2014,26.5,83.8,75.0,1009.5,17.4,2.4
"Padang, Sumatera Barat",2,1,2014,26.8,84.0,59.5,1009.6,14.3,9.8
"Padang, Sumatera Barat",3,1,2014,26.3,86.3,83.6,1010.3,21.5,44.4
"Padang, Sumatera Barat",4,1,2014,24.9,89.2,87.8,1010.9,18.7,33.8
"Padang, Sumatera Barat",5,1,2014,26.1,81.7,64.1,1009.5,15.8,4.7
"Padang, Sumatera Barat",6,1,2014,26.1,84.1,68.3,1009.5,29.5,18.7
"Padang, Sumatera Barat",7,1,2014,26.2,81.5,66.0,1009.8,15.6,16.6
"Padang, Sumatera Barat",8,1,2014,26.3,85.5,60.6,1008.7,14.0,4.1
"Padang, Sumatera Barat",9,1,2014,25.8,86.8,76.2,1009.8,16.6,9.6
"Padang, Sumatera Barat",10,1,2014,26.2,84.0,65.8,1010.2,22.3,6.6
"Padang, Sumatera Barat",11,1,2014,26.4,80.9,66.6,1010.1,12.5,20.8
"Padang, Sumatera Barat",12,1,2014,25.5,86.8,78.4,1010.5,28.0,20.6
"Padang, Sumatera Barat",13,1,2014,25.7,88.1,80.3,1010.2,13.0,18.0
"Padang, Sumatera Barat",14,1,2014,25.8,85.2,74.4,1010.7,13.0,12.8
"Padang, Sumatera Barat",15,1,2014,26.1,84.5,66.0,1011.3,12.6,5.3
"Padang, Sumatera Barat",16,1,2014,26.5,82.1,63.9,1011.2,14.0,2.4
"Padang, Sumatera Barat",17,1,2014,26.5,83.5,69.8,1010.3,11.2,1.6
"Padang, Sumatera Barat",18,1,2014,27.0,78.2,55.1,1010.3,14.3,0.1
"Padang, Sumatera Barat",19,1,2014,25.6,78.2,79.5,1011.7,18.4,0.0
"Padang, Sumatera Barat",20,1,2014,25.5,80.7,80.9,1011.6,18.4,0.0
"Padang, Sumatera Barat",21,1,2014,25.3,82.7,85.9,1011.4,25.9,2.6
"Padang, Sumatera Barat",22,1,2014,25.9,78.5,52.5,1010.4,13.8,0.0
"Padang, Sumatera Barat",23,1,2014,26.1,78.6,57.7,1011.5,24.1,2.7
"Padang, Sumatera Barat",24,1,2014,26.5,77.4,51.0,1009.4,17.4,0.5
"Padang, Sumatera Barat",25,1,2014,26.9,77.9,45.7,1009.2,16.3,0.0
"Padang, Sumatera Barat",26,1,2014,26.8,81.7,53.1,1009.9,19.7,1.7
"Padang, Sumatera Barat",27,1,2014,27.2,79.2,45.7,1009.1,14.3,1.1
"Padang, Sumatera Barat",28,1,2014,27.5,80.3,57.9,1008.5,16.1,0.6
"Padang, Sumatera Barat",29,1,2014,27.5,80.2,54.7,1009.0,14.8,0.0
"Padang, Sumatera Barat",30,1,2014,26.4,79.4,67.2,1009.7,14.8,0.2
"Padang, Sumatera Barat",31,1,2014,25.1,85.2,89.8,1010.3,18.4,7.1
"Padang, Sumatera Barat",1,2,2014,25.4,84.9,80.7,1009.6,14.8,5.7
"Padang, Sumatera Barat",2,2,2014,25.9,80.7,72.1,1008.6,14.8,0.0
"Padang, Sumatera Barat",3,2,2014,26.6,80.1,53.0,1007.7,24.1,0.6
"Padang, Sumatera Barat",4,2,2014,27.8,77.2,51.2,1006.1,22.8,6.1
"Padang, Sumatera Barat",5,2,2014,27.1,81.4,66.6,1006.1,17.9,5.1
"Padang, Sumatera Barat",6,2,2014,26.9,82.0,70.2,1006.2,22.3,6.7
