name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
sumatera utara,1,1,2014,77.0,88.9,80.0,1009.6,10.3,0.0
sumatera utara,2,1,2014,79.6,86.0,68.4,1009.6,16.1,0.0
sumatera utara,3,1,2014,76.7,93.4,78.8,1011.1,8.1,0.124
sumatera utara,4,1,2014,77.3,90.9,69.0,1011.0,12.8,0.238
sumatera utara,5,1,2014,77.9,88.1,49.8,1009.5,5.8,0.004
sumatera utara,6,1,2014,78.1,85.4,50.3,1009.1,10.3,0.02
sumatera utara,7,1,2014,77.3,86.8,65.2,1009.7,11.4,0.071
sumatera utara,8,1,2014,79.1,85.1,59.2,1009.9,9.2,0.008
sumatera utara,9,1,2014,76.0,90.1,47.1,1009.8,11.4,0.077
sumatera utara,10,1,2014,76.3,91.4,70.8,1010.6,8.1,0.513
sumatera utara,11,1,2014,77.5,90.1,77.0,1011.1,10.3,0.024
sumatera utara,12,1,2014,79.3,83.9,77.6,1011.8,15.0,0.198
sumatera utara,13,1,2014,77.6,87.2,64.7,1010.9,18.3,0.192
sumatera utara,14,1,2014,76.0,90.7,55.7,1011.5,8.1,0.398
sumatera utara,15,1,2014,78.4,84.8,53.7,1012.0,16.4,0.008
sumatera utara,16,1,2014,76.7,86.5,54.8,1012.0,11.4,0.032
sumatera utara,17,1,2014,75.1,87.3,84.4,1012.1,15.0,0.028
sumatera utara,18,1,2014,77.0,86.6,79.8,1012.3,12.8,0.098
sumatera utara,19,1,2014,73.1,86.8,92.5,1014.0,11.4,0.0
sumatera utara,20,1,2014,75.3,82.6,70.2,1013.2,11.3,0.0
sumatera utara,21,1,2014,76.6,81.6,57.3,1013.0,16.1,0.0
sumatera utara,22,1,2014,77.5,81.2,60.6,1012.4,6.9,0.0
sumatera utara,23,1,2014,78.6,80.2,57.7,1012.2,9.2,0.0
sumatera utara,24,1,2014,79.0,79.6,46.0,1011.1,16.0,0.001
sumatera utara,25,1,2014,77.6,80.6,59.7,1009.8,11.0,0.0
sumatera utara,26,1,2014,80.6,79.3,64.3,1010.4,17.2,0.0
sumatera utara,27,1,2014,78.9,84.2,68.9,1010.8,9.2,0.008
sumatera utara,28,1,2014,78.2,81.8,62.9,1010.8,9.2,0.0
sumatera utara,29,1,2014,77.0,80.0,57.2,1010.5,13.5,0.0
sumatera utara,30,1,2014,78.1,84.4,73.9,1011.3,10.3,0.0
sumatera utara,31,1,2014,73.8,83.8,86.3,1011.7,9.1,0.0
sumatera utara,1,2,2014,73.5,84.3,88.0,1010.9,9.2,0.0
sumatera utara,2,2,2014,74.1,84.9,91.0,1010.3,13.7,0.0
sumatera utara,3,2,2014,77.0,80.9,60.5,1008.4,15.9,0.0
sumatera utara,4,2,2014,80.8,79.8,40.6,1007.1,17.2,0.0
