name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
yogyakarta,1,1,2014,79.6,82.3,70.3,1008.9,18.8,0.267
yogyakarta,2,1,2014,82.4,75.7,60.2,1007.8,11.4,0.386
yogyakarta,3,1,2014,81.0,80.7,53.6,1007.1,11.4,0.926
yogyakarta,4,1,2014,79.9,86.0,66.0,1006.5,11.4,1.334
yogyakarta,5,1,2014,80.3,81.4,65.0,1005.8,11.6,0.803
yogyakarta,6,1,2014,77.8,90.4,89.2,1006.4,17.4,1.064
yogyakarta,7,1,2014,80.7,84.3,73.3,1007.4,11.4,0.768
yogyakarta,8,1,2014,81.6,79.4,71.5,1007.0,11.4,0.576
yogyakarta,9,1,2014,81.6,80.3,61.2,1007.2,17.2,0.372
yogyakarta,10,1,2014,81.3,83.9,71.3,1006.8,11.4,0.232
yogyakarta,11,1,2014,81.2,81.6,72.0,1009.0,6.5,0.344
yogyakarta,12,1,2014,80.7,85.1,78.2,,12.1,0.316
yogyakarta,13,1,2014,78.9,88.1,83.0,1008.8,17.0,0.284
yogyakarta,14,1,2014,81.0,80.6,64.2,1007.7,18.3,0.414
yogyakarta,15,1,2014,81.0,82.8,65.2,1008.0,21.5,0.545
yogyakarta,16,1,2014,80.5,83.7,62.0,1008.5,18.1,0.506
yogyakarta,17,1,2014,79.8,85.3,68.9,1009.0,15.4,1.505
yogyakarta,18,1,2014,80.1,85.1,77.0,1008.8,20.6,1.743
yogyakarta,19,1,2014,81.1,84.2,81.7,,20.6,0.795
yogyakarta,20,1,2014,82.0,81.6,68.2,1007.6,23.5,1.135
yogyakarta,21,1,2014,80.8,84.4,76.0,1006.7,22.6,1.019
yogyakarta,22,1,2014,81.0,80.4,69.5,1007.2,20.4,1.494
yogyakarta,23,1,2014,78.7,85.9,60.7,1007.8,17.2,2.078
yogyakarta,24,1,2014,79.5,84.2,67.7,1007.6,14.8,1.116
yogyakarta,25,1,2014,79.0,84.4,64.5,1008.0,19.7,1.072
yogyakarta,26,1,2014,80.1,82.0,57.0,1008.0,16.1,0.984
yogyakarta,27,1,2014,81.2,79.6,72.5,1007.5,16.1,1.586
yogyakarta,28,1,2014,79.7,81.5,60.4,1007.7,11.4,0.132
yogyakarta,29,1,2014,79.8,83.4,65.9,1007.1,16.1,0.852
yogyakarta,30,1,2014,81.1,83.1,72.3,1007.9,17.4,0.747
yogyakarta,31,1,2014,81.1,84.8,76.0,,18.3,0.821
yogyakarta,1,2,2014,81.4,83.6,74.0,,18.8,0.702
yogyakarta,2,2,2014,81.7,83.1,56.9,,18.8,1.38
yogyakarta,3,2,2014,81.3,84.7,48.4,1004.5,16.1,1.927
yogyakarta,4,2,2014,80.5,84.3,70.2,1003.8,23.0,1.045
yogyakarta,5,2,2014,80.2,87.5,65.4,1003.9,11.4,0.224
yogyakarta,6,2,2014,80.8,87.1,68.9,1004.3,13.2,0.381
yogyakarta,7,2,2014,80.6,88.3,79.5,1004.4,13.9,0.096
