name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
GORONTALO,1,1,2014,81.0,80.9,70.0,1008.4,8.9,0.112
GORONTALO,2,1,2014,81.0,82.5,77.1,1009.1,6.5,0.118
GORONTALO,3,1,2014,81.5,81.2,81.4,1008.4,12.1,0.144
GORONTALO,4,1,2014,82.1,80.0,60.6,1008.1,11.6,0.124
GORONTALO,5,1,2014,82.2,78.0,71.9,1007.6,8.9,0.108
GORONTALO,6,1,2014,82.3,79.2,62.9,1007.4,9.8,0.12
GORONTALO,7,1,2014,81.6,82.7,79.0,1008.1,13.6,1.063
GORONTALO,8,1,2014,81.5,82.2,76.8,1007.6,12.8,0.059
GORONTALO,9,1,2014,80.6,83.9,81.9,1008.2,12.8,0.866
GORONTALO,10,1,2014,79.8,84.8,82.0,1008.5,13.0,0.079
GORONTALO,11,1,2014,80.8,83.5,81.8,1008.0,12.8,0.157
GORONTALO,12,1,2014,80.6,84.7,79.9,1007.4,19.2,0.512
GORONTALO,13,1,2014,81.9,81.6,76.9,1006.3,19.2,0.088
GORONTALO,14,1,2014,82.4,81.9,82.5,1006.4,14.5,0.112
GORONTALO,15,1,2014,81.5,83.1,89.1,1007.7,16.6,0.433
GORONTALO,16,1,2014,81.7,82.1,83.5,1008.3,19.7,0.02
GORONTALO,17,1,2014,81.0,83.6,78.4,1008.1,17.2,0.197
GORONTALO,18,1,2014,81.3,80.2,74.3,1008.9,17.0,0.827
GORONTALO,19,1,2014,81.5,81.8,79.8,1008.9,17.7,0.168
GORONTALO,20,1,2014,82.0,81.2,77.0,1008.2,62.2,0.072
GORONTALO,21,1,2014,81.4,82.3,80.1,1007.9,12.3,0.472
GORONTALO,22,1,2014,81.8,81.5,76.6,1008.1,61.1,0.108
GORONTALO,23,1,2014,81.9,80.1,73.6,1008.2,13.4,0.118
GORONTALO,24,1,2014,81.2,83.0,73.4,1008.2,18.6,0.039
GORONTALO,25,1,2014,80.5,83.1,84.7,1008.7,20.6,0.031
GORONTALO,26,1,2014,81.1,80.3,70.2,1008.5,65.5,0.108
GORONTALO,27,1,2014,81.3,80.6,62.5,1009.0,17.0,0.128
GORONTALO,28,1,2014,81.4,79.1,64.1,1008.7,63.3,0.06
GORONTALO,29,1,2014,81.3,77.1,62.8,1008.4,19.9,0.008
GORONTALO,30,1,2014,81.4,74.9,55.8,1008.8,17.4,0.0
GORONTALO,31,1,2014,81.3,76.9,68.5,1008.2,16.6,0.0
GORONTALO,1,2,2014,81.5,75.3,65.0,1007.4,71.4,0.0
GORONTALO,2,2,2014,81.4,78.2,65.6,1007.5,64.4,0.0
GORONTALO,3,2,2014,82.2,76.3,73.9,1007.0,14.1,0.0
GORONTALO,4,2,2014,82.2,77.0,70.7,1006.7,11.2,0.0
GORONTALO,5,2,2014,82.6,75.1,55.1,1006.4,69.1,0.0
GORONTALO,6,2,2014,82.4,77.5,46.3,1006.1,64.4,0.008
GORONTALO,7,2,2014,82.8,77.2,62.5,1005.0,13.9,0.0
GORONTALO,8,2,2014,82.9,77.9,64.2,1005.5,10.5,0.004
GORONTALO,9,2,2014,82.8,77.5,77.1,1005.0,9.4,0.0
GORONTALO,10,2,2014,82.2,80.0,79.7,1005.9,9.2,0.079
GORONTALO,11,2,2014,80.9,83.6,86.3,1006.4,13.0,0.12
GORONTALO,12,2,2014,81.1,78.5,79.4,1007.5,9.2,0.236
GORONTALO,13,2,2014,81.0,78.9,85.0,1009.0,7.6,0.156
GORONTALO,14,2,2014,81.6,78.3,85.1,1008.7,14.5,0.354
GORONTALO,15,2,2014,80.4,80.6,78.7,1009.2,15.0,0.035
GORONTALO,16,2,2014,81.9,76.7,75.9,1010.1,15.0,0.08
GORONTALO,17,2,2014,82.3,76.3,66.2,1011.1,12.5,0.104
GORONTALO,18,2,2014,81.9,78.5,73.9,1010.0,13.9,0.08
GORONTALO,19,2,2014,82.1,78.4,68.9,1009.1,13.4,0.068
GORONTALO,20,2,2014,81.7,78.7,74.3,1009.7,11.0,0.184
GORONTALO,21,2,2014,81.5,76.8,75.5,1010.5,64.4,0.224
GORONTALO,22,2,2014,81.9,74.3,71.5,1010.4,13.6,0.024
GORONTALO,23,2,2014,82.4,72.2,69.1,1009.6,12.8,0.004
GORONTALO,24,2,2014,82.5,73.7,66.6,1010.8,12.3,0.028
GORONTALO,25,2,2014,81.9,75.3,75.7,1010.7,12.3,0.004
GORONTALO,26,2,2014,82.3,74.5,71.0,1010.4,14.1,0.024
GORONTALO,27,2,2014,83.2,71.4,51.9,1010.0,9.4,0.0
GORONTALO,28,2,2014,82.8,75.4,66.3,1010.3,10.3,0.076
GORONTALO,1,3,2014,83.2,76.1,66.2,1008.8,10.7,0.06
GORONTALO,2,3,2014,83.6,75.4,61.3,1008.3,11.6,0.032
GORONTALO,3,3,2014,83.0,76.3,81.7,1008.9,12.8,0.096
GORONTALO,4,3,2014,83.3,75.9,69.3,1010.4,13.9,0.354
GORONTALO,5,3,2014,83.7,72.9,64.6,1010.0,14.5,0.0
GORONTALO,6,3,2014,82.8,73.0,55.9,1010.0,15.2,0.0
GORONTALO,7,3,2014,82.9,72.9,55.4,1010.3,15.2,0.0
GORONTALO,8,3,2014,83.1,72.7,53.8,1010.2,16.6,0.0
GORONTALO,9,3,2014,82.8,75.1,59.5,1010.0,16.3,0.0
GORONTALO,10,3,2014,83.0,73.4,72.0,1010.4,14.1,0.036
GORONTALO,11,3,2014,83.2,72.1,70.0,1009.8,13.9,0.0
GORONTALO,12,3,2014,83.1,71.9,64.0,1008.6,13.9,0.0
GORONTALO,13,3,2014,82.9,77.2,77.7,1008.1,13.9,0.08
GORONTALO,14,3,2014,81.2,83.2,77.6,1009.6,8.1,0.118
GORONTALO,15,3,2014,81.8,78.1,76.5,1010.8,6.3,0.276
GORONTALO,16,3,2014,82.1,76.9,79.9,1010.9,6.9,0.768
GORONTALO,17,3,2014,82.8,76.2,87.1,1010.1,11.4,0.12
GORONTALO,18,3,2014,83.5,74.8,63.1,1009.1,11.2,0.04
GORONTALO,19,3,2014,83.2,76.8,79.4,1008.1,11.4,0.036
GORONTALO,20,3,2014,83.3,75.3,79.1,1007.4,10.5,0.064
GORONTALO,21,3,2014,83.5,76.9,69.7,1006.7,10.1,0.315
GORONTALO,22,3,2014,82.1,78.2,76.5,1007.5,13.2,0.118
GORONTALO,23,3,2014,82.4,75.1,68.2,1008.9,5.8,0.064
GORONTALO,24,3,2014,82.2,78.8,56.5,1008.3,5.8,0.669
GORONTALO,25,3,2014,83.2,77.7,75.4,1007.8,11.4,0.193
GORONTALO,26,3,2014,83.7,75.4,66.0,1007.7,5.8,0.1
GORONTALO,27,3,2014,83.1,78.4,67.5,1007.6,10.3,0.472
GORONTALO,28,3,2014,82.1,83.3,75.3,1008.6,9.2,0.472
GORONTALO,29,3,2014,81.5,82.6,76.0,1009.0,12.3,0.176
GORONTALO,30,3,2014,82.4,77.7,66.1,1008.5,11.4,0.004
GORONTALO,31,3,2014,83.3,80.1,52.0,1007.5,64.4,0.068
GORONTALO,1,4,2014,83.0,78.9,69.0,1007.2,7.8,0.084
GORONTALO,2,4,2014,82.9,78.5,83.9,1007.4,6.9,0.02
GORONTALO,3,4,2014,83.3,76.2,77.9,1008.0,8.3,0.072
GORONTALO,4,4,2014,83.8,73.3,69.5,1008.1,10.3,0.04
GORONTALO,5,4,2014,83.7,74.1,69.4,1008.8,9.2,0.032
GORONTALO,6,4,2014,82.9,76.7,74.4,1009.5,11.4,0.108
GORONTALO,7,4,2014,83.6,75.4,68.7,1009.5,11.4,0.156
GORONTALO,8,4,2014,82.8,80.3,69.4,1009.1,14.8,0.1
GORONTALO,9,4,2014,81.9,82.4,81.2,1009.0,13.9,0.354
GORONTALO,10,4,2014,83.7,76.1,65.5,1008.8,11.6,0.072
GORONTALO,11,4,2014,83.3,76.7,62.1,1008.1,6.9,0.236
GORONTALO,12,4,2014,83.4,77.9,55.4,1007.8,11.4,0.064
GORONTALO,13,4,2014,82.7,82.8,70.1,1008.5,13.4,1.102
GORONTALO,14,4,2014,83.7,79.6,68.6,1008.5,14.3,0.205
GORONTALO,15,4,2014,83.2,80.4,74.5,1008.4,10.3,0.591
GORONTALO,16,4,2014,82.8,81.3,74.0,1008.1,7.8,0.008
GORONTALO,17,4,2014,82.8,81.5,79.7,1008.3,7.8,0.276
GORONTALO,18,4,2014,83.5,77.2,70.5,1008.4,8.1,0.036
GORONTALO,19,4,2014,82.9,78.3,61.8,1007.9,5.8,0.315
GORONTALO,20,4,2014,83.3,77.0,61.1,1007.5,4.7,0.12
GORONTALO,21,4,2014,84.0,75.8,69.0,1007.3,10.3,0.052
GORONTALO,22,4,2014,83.1,80.1,81.8,1008.5,6.9,0.355
GORONTALO,23,4,2014,82.2,82.3,76.0,1009.2,10.1,0.512
GORONTALO,24,4,2014,83.8,75.9,67.9,1007.9,8.1,0.08
GORONTALO,25,4,2014,84.1,74.9,73.9,1007.8,6.9,0.024
GORONTALO,26,4,2014,84.4,74.6,78.5,1008.2,5.8,0.056
GORONTALO,27,4,2014,85.2,71.1,52.1,1008.2,8.1,0.044
GORONTALO,28,4,2014,83.8,77.4,74.0,1008.8,9.2,0.196
GORONTALO,29,4,2014,83.4,77.8,77.8,1008.5,7.8,0.096
GORONTALO,30,4,2014,83.6,76.5,76.8,1008.4,5.8,0.048
GORONTALO,1,5,2014,83.1,80.6,77.8,1009.3,11.4,0.048
GORONTALO,2,5,2014,82.7,80.8,64.1,1009.2,6.0,0.079
GORONTALO,3,5,2014,83.7,76.4,64.5,1008.9,8.1,0.024
GORONTALO,4,5,2014,83.6,76.1,51.9,1008.4,6.9,0.0
GORONTALO,5,5,2014,83.3,78.8,51.4,1008.7,10.7,0.0
GORONTALO,6,5,2014,83.9,78.0,66.4,1008.5,11.4,0.0
GORONTALO,7,5,2014,84.0,79.7,63.4,1007.9,10.3,0.118
GORONTALO,8,5,2014,83.1,82.6,76.0,1008.1,10.3,0.197
GORONTALO,9,5,2014,83.8,80.8,75.6,1008.5,10.5,0.072
GORONTALO,10,5,2014,82.0,75.9,76.8,1009.3,11.2,0.039
GORONTALO,11,5,2014,81.2,78.2,76.9,1009.0,11.6,0.315
GORONTALO,12,5,2014,81.5,84.3,86.6,1009.5,12.8,0.118
GORONTALO,13,5,2014,81.3,84.9,84.6,1009.0,13.0,0.059
GORONTALO,14,5,2014,80.5,84.4,81.8,1008.2,10.3,0.591
GORONTALO,15,5,2014,81.5,81.5,72.9,1007.8,10.1,0.124
GORONTALO,16,5,2014,81.8,82.0,62.0,1008.6,10.5,0.551
GORONTALO,17,5,2014,81.9,82.1,62.5,1008.9,10.5,0.192
GORONTALO,18,5,2014,83.1,78.4,69.7,1008.4,7.6,0.068
GORONTALO,19,5,2014,83.3,77.6,66.5,1008.7,6.9,0.08
GORONTALO,20,5,2014,81.4,84.6,85.8,1009.0,10.1,0.473
GORONTALO,21,5,2014,81.4,82.6,82.4,1008.2,23.0,0.079
GORONTALO,22,5,2014,80.9,85.5,73.0,1008.6,10.5,0.63
GORONTALO,23,5,2014,82.5,78.5,57.9,1008.4,10.3,0.016
GORONTALO,24,5,2014,82.8,80.4,69.9,1009.3,10.3,1.024
GORONTALO,25,5,2014,83.1,82.3,78.7,1009.2,11.9,0.143
GORONTALO,26,5,2014,84.0,81.2,75.3,1009.0,11.0,0.104
GORONTALO,27,5,2014,84.0,80.2,70.4,1007.6,12.8,0.079
GORONTALO,28,5,2014,83.5,81.8,71.5,1007.9,11.6,0.157
GORONTALO,29,5,2014,83.0,82.0,75.6,1007.8,10.1,0.14
GORONTALO,30,5,2014,82.2,80.9,72.9,1007.7,12.5,0.024
GORONTALO,31,5,2014,83.0,82.1,69.4,1006.9,12.3,0.012
GORONTALO,1,6,2014,81.9,83.5,80.9,1007.3,12.1,0.084
GORONTALO,2,6,2014,81.9,84.0,75.9,1006.9,10.7,0.315
GORONTALO,3,6,2014,82.3,84.1,76.0,1006.4,11.9,0.176
GORONTALO,4,6,2014,83.2,82.2,66.4,1006.2,13.0,0.072
GORONTALO,5,6,2014,83.6,80.8,73.6,1005.5,16.1,0.012
GORONTALO,6,6,2014,83.7,80.5,63.9,1005.6,12.3,0.064
GORONTALO,7,6,2014,82.8,83.0,71.7,1005.9,11.0,0.472
GORONTALO,8,6,2014,83.7,79.9,62.7,1005.3,11.2,0.076
GORONTALO,9,6,2014,83.8,81.7,49.9,1005.1,13.2,0.024
GORONTALO,10,6,2014,84.1,81.8,74.0,1005.1,11.2,0.096
GORONTALO,11,6,2014,83.2,81.3,69.9,1005.4,10.3,0.228
GORONTALO,12,6,2014,80.9,83.4,78.8,1006.8,8.1,0.168
GORONTALO,13,6,2014,82.8,78.4,86.3,1007.0,9.8,0.064
GORONTALO,14,6,2014,81.3,82.7,89.0,1008.7,10.5,0.275
GORONTALO,15,6,2014,81.3,84.2,85.6,1008.2,11.9,0.157
GORONTALO,16,6,2014,82.2,82.1,81.9,1008.3,14.8,0.024
GORONTALO,17,6,2014,81.8,82.4,86.3,1009.3,9.4,0.031
GORONTALO,18,6,2014,81.8,83.3,83.3,1009.6,11.0,0.076
GORONTALO,19,6,2014,82.6,81.9,60.7,1008.8,12.8,0.088
GORONTALO,20,6,2014,81.8,80.7,70.2,1009.9,10.7,0.079
GORONTALO,21,6,2014,82.3,80.2,73.0,1010.1,6.7,0.116
GORONTALO,22,6,2014,81.7,81.1,61.8,1010.6,5.6,0.551
GORONTALO,23,6,2014,80.8,81.7,63.5,1010.4,11.4,1.496
GORONTALO,24,6,2014,81.9,79.1,56.4,1009.4,10.5,0.112
GORONTALO,25,6,2014,82.3,82.7,68.0,1009.7,13.2,0.064
GORONTALO,26,6,2014,82.4,82.6,60.9,1009.6,14.3,0.124
GORONTALO,27,6,2014,81.1,86.0,81.3,1010.1,18.8,0.476
GORONTALO,28,6,2014,81.3,82.5,80.3,1009.2,20.1,0.236
GORONTALO,29,6,2014,81.7,81.7,68.8,1009.1,9.4,0.196
GORONTALO,30,6,2014,81.4,80.7,65.4,1010.5,9.2,0.084
GORONTALO,1,7,2014,81.9,79.0,59.8,1010.6,13.2,0.076
GORONTALO,2,7,2014,82.1,80.6,69.5,1009.7,14.3,0.433
GORONTALO,3,7,2014,81.8,83.1,70.7,1007.6,14.1,0.551
GORONTALO,4,7,2014,82.3,80.3,62.0,1007.6,18.6,0.072
GORONTALO,5,7,2014,82.3,80.0,64.5,1008.5,18.6,0.044
GORONTALO,6,7,2014,81.7,78.6,62.7,1008.9,16.3,0.0
GORONTALO,7,7,2014,81.5,79.6,80.2,1008.2,17.0,0.096
GORONTALO,8,7,2014,81.9,79.7,72.3,1007.7,15.7,0.116
GORONTALO,9,7,2014,82.1,80.7,68.9,1008.4,32.2,0.1
GORONTALO,10,7,2014,82.5,81.2,67.9,1008.9,9.2,0.124
GORONTALO,11,7,2014,81.2,85.0,76.5,1009.3,11.9,0.116
GORONTALO,12,7,2014,82.4,81.3,82.7,1008.6,14.3,0.092
GORONTALO,13,7,2014,82.9,79.2,79.1,1008.3,11.6,0.04
GORONTALO,14,7,2014,82.6,78.4,70.9,1009.4,13.9,0.355
GORONTALO,15,7,2014,82.6,79.2,73.7,1009.1,10.7,0.004
GORONTALO,16,7,2014,82.6,79.6,67.5,1008.8,10.5,0.044
GORONTALO,17,7,2014,82.9,79.5,58.6,1008.5,13.0,0.008
GORONTALO,18,7,2014,83.1,78.8,69.4,1008.3,11.0,0.008
GORONTALO,19,7,2014,81.6,82.3,69.2,1009.2,15.2,0.118
GORONTALO,20,7,2014,80.4,83.5,79.2,1009.9,7.2,0.315
GORONTALO,21,7,2014,81.8,83.3,80.0,1010.0,19.9,0.152
GORONTALO,22,7,2014,81.8,77.0,54.0,1009.3,20.6,0.004
GORONTALO,23,7,2014,81.2,76.2,55.2,1009.5,15.7,0.0
GORONTALO,24,7,2014,81.1,79.5,64.6,1009.8,10.7,0.0
GORONTALO,25,7,2014,81.9,81.1,62.4,1010.3,14.1,0.04
GORONTALO,26,7,2014,82.7,77.3,69.2,1010.8,17.4,0.056
GORONTALO,27,7,2014,81.0,78.1,64.6,1010.8,17.7,0.012
GORONTALO,28,7,2014,80.8,76.6,69.5,1010.1,17.2,0.0
GORONTALO,29,7,2014,81.6,77.1,54.3,1009.7,19.0,0.0
GORONTALO,30,7,2014,82.1,75.5,44.1,1010.0,17.2,0.0
GORONTALO,31,7,2014,81.8,78.9,74.8,1009.6,13.2,0.0
GORONTALO,1,8,2014,82.1,79.8,61.3,1008.6,14.5,0.012
GORONTALO,2,8,2014,82.3,79.5,72.1,1009.0,14.5,0.044
GORONTALO,3,8,2014,82.4,79.6,59.6,1009.4,15.0,0.076
GORONTALO,4,8,2014,82.3,78.2,57.6,1009.4,19.0,0.048
GORONTALO,5,8,2014,82.0,78.3,57.4,1009.8,19.2,0.028
GORONTALO,6,8,2014,81.5,76.0,78.8,1010.4,16.8,0.008
GORONTALO,7,8,2014,81.1,81.6,78.1,1011.3,12.5,0.056
GORONTALO,8,8,2014,80.8,81.9,58.6,1009.9,16.6,0.118
GORONTALO,9,8,2014,80.8,83.1,76.0,1010.3,13.2,0.177
GORONTALO,10,8,2014,80.3,84.3,77.0,1010.9,13.9,0.079
GORONTALO,11,8,2014,80.8,82.5,72.6,1009.6,19.0,0.1
GORONTALO,12,8,2014,80.7,80.7,88.4,1008.8,19.0,0.056
GORONTALO,13,8,2014,81.9,77.2,67.7,1010.3,18.3,0.04
