name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
JAMBI,1,1,2014,25.5,93.7,82.9,1011.7,9.4,0.7
JAMBI,2,1,2014,26.0,91.2,77.1,,5.8,0.0
JAMBI,3,1,2014,26.3,91.0,82.7,,5.4,3.8
JAMBI,4,1,2014,25.7,92.6,86.4,,6.5,20.8
JAMBI,5,1,2014,25.7,90.0,78.6,,8.3,7.2
JAMBI,6,1,2014,24.6,94.5,88.3,,5.8,7.4
JAMBI,7,1,2014,25.0,89.5,89.8,,6.5,3.3
JAMBI,8,1,2014,25.4,90.9,78.0,,4.3,3.6
JAMBI,9,1,2014,25.6,87.9,86.8,,5.8,3.8
JAMBI,10,1,2014,25.6,88.0,84.4,,4.7,0.6
JAMBI,11,1,2014,25.9,92.0,70.8,,5.8,7.1
JAMBI,12,1,2014,25.3,95.0,74.9,,10.8,12.2
JAMBI,13,1,2014,25.2,95.0,84.8,,7.9,20.3
JAMBI,14,1,2014,25.3,91.3,76.9,,9.4,2.9
JAMBI,15,1,2014,24.6,93.1,78.1,,5.4,2.5
JAMBI,16,1,2014,25.1,90.7,71.6,,9.7,3.1
JAMBI,17,1,2014,25.3,89.8,71.9,,10.1,1.5
JAMBI,18,1,2014,25.0,88.7,80.7,,9.0,0.0
JAMBI,19,1,2014,25.2,87.2,84.1,,11.2,0.0
JAMBI,20,1,2014,24.5,89.6,86.5,,11.2,0.6
JAMBI,21,1,2014,24.7,88.5,87.2,,9.4,5.4
JAMBI,22,1,2014,24.6,88.8,77.9,,9.4,1.4
JAMBI,23,1,2014,24.6,88.7,83.2,,7.9,1.0
JAMBI,24,1,2014,24.8,88.3,73.3,,9.4,0.0
JAMBI,25,1,2014,25.2,88.4,68.0,,8.6,0.5
JAMBI,26,1,2014,25.4,87.3,57.9,,6.8,0.0
JAMBI,27,1,2014,24.7,89.5,80.4,,9.0,0.0
JAMBI,28,1,2014,25.2,87.2,75.7,,9.7,0.0
JAMBI,29,1,2014,25.1,87.1,94.2,,10.4,0.0
JAMBI,30,1,2014,24.8,86.1,93.7,,10.8,0.0
JAMBI,31,1,2014,24.6,87.0,84.2,,10.8,0.0
JAMBI,1,2,2014,24.8,86.0,86.7,,9.7,0.0
JAMBI,2,2,2014,24.6,87.9,81.7,,8.6,0.0
JAMBI,3,2,2014,25.3,87.6,45.4,,7.6,0.0
JAMBI,4,2,2014,25.6,86.6,81.8,,6.8,0.0
JAMBI,5,2,2014,25.4,89.1,90.5,,6.8,0.0
JAMBI,6,2,2014,25.8,88.2,89.5,,6.5,1.1
JAMBI,7,2,2014,25.2,91.0,94.3,,7.6,1.3
JAMBI,8,2,2014,26.6,85.5,93.6,,6.1,2.5
JAMBI,9,2,2014,25.9,89.0,89.7,,5.8,0.1
JAMBI,10,2,2014,26.6,86.0,84.1,,6.1,0.0
JAMBI,11,2,2014,26.4,88.1,82.4,,5.4,0.0
JAMBI,12,2,2014,26.3,87.0,93.4,,8.6,0.0
JAMBI,13,2,2014,26.5,86.6,81.1,,7.9,0.0
JAMBI,14,2,2014,26.2,88.8,80.9,,6.5,0.0
JAMBI,15,2,2014,25.5,91.2,82.4,,5.8,0.0
JAMBI,16,2,2014,25.5,84.4,78.5,,4.7,1.7
JAMBI,17,2,2014,26.1,88.8,76.4,,4.7,0.0
JAMBI,18,2,2014,26.1,90.4,80.9,,5.8,0.0
JAMBI,19,2,2014,26.0,91.6,77.1,,4.7,0.0
JAMBI,20,2,2014,26.3,88.2,64.3,,6.5,1.0
JAMBI,21,2,2014,25.8,89.1,81.5,,7.2,1.0
JAMBI,22,2,2014,25.7,90.2,73.6,,9.0,19.0
JAMBI,23,2,2014,25.7,87.1,65.4,,7.2,0.2
JAMBI,24,2,2014,25.4,86.2,51.8,,9.7,0.0
JAMBI,25,2,2014,25.6,86.2,51.1,,9.0,0.0
JAMBI,26,2,2014,25.4,88.4,40.3,,6.5,0.0
JAMBI,27,2,2014,25.8,86.9,40.4,,9.4,0.0
JAMBI,28,2,2014,26.1,86.8,55.6,,7.2,0.0
JAMBI,1,3,2014,26.3,86.7,87.2,,5.4,0.0
JAMBI,2,3,2014,26.4,86.8,55.1,,6.1,4.6
JAMBI,3,3,2014,26.9,85.0,79.4,,5.8,0.1
JAMBI,4,3,2014,26.4,86.5,68.0,,7.2,2.1
JAMBI,5,3,2014,26.3,87.3,92.7,,6.5,0.0
JAMBI,6,3,2014,26.0,86.0,55.5,,6.8,0.0
JAMBI,7,3,2014,25.9,86.4,58.0,,7.2,0.0
JAMBI,8,3,2014,26.3,87.6,51.8,,7.2,0.0
JAMBI,9,3,2014,26.4,88.6,59.4,,7.2,3.1
JAMBI,10,3,2014,25.9,88.5,87.0,,9.7,0.7
JAMBI,11,3,2014,26.0,86.0,58.0,,8.6,0.0
JAMBI,12,3,2014,26.1,87.1,42.9,,7.6,0.0
JAMBI,13,3,2014,26.3,86.5,71.8,,7.2,0.0
JAMBI,14,3,2014,26.5,86.0,47.1,,6.1,0.0
JAMBI,15,3,2014,26.6,87.0,82.5,,7.6,0.0
JAMBI,16,3,2014,26.4,88.7,88.6,,5.8,1.2
JAMBI,17,3,2014,26.9,87.6,72.7,,5.0,11.7
JAMBI,18,3,2014,26.7,87.5,63.1,,6.1,1.5
JAMBI,19,3,2014,26.6,88.4,89.8,,5.0,7.5
