name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
KALIMANTAN BARAT,1,1,2014,25.6,92.4,85.2,1010.4,37.1,50.3
KALIMANTAN BARAT,2,1,2014,26.6,87.4,85.0,1010.5,14.8,0.2
KALIMANTAN BARAT,3,1,2014,27.0,84.9,65.6,1010.0,20.5,0.6
KALIMANTAN BARAT,4,1,2014,26.8,87.2,72.7,1009.4,20.5,1.8
KALIMANTAN BARAT,5,1,2014,25.2,93.4,81.8,1008.8,27.7,19.0
KALIMANTAN BARAT,6,1,2014,26.2,87.6,88.2,1008.4,18.4,0.4
KALIMANTAN BARAT,7,1,2014,26.0,87.4,81.6,1009.0,27.7,0.4
KALIMANTAN BARAT,8,1,2014,26.0,87.1,77.7,1010.0,16.6,0.6
KALIMANTAN BARAT,9,1,2014,26.4,88.3,69.4,1009.5,16.6,1.0
KALIMANTAN BARAT,10,1,2014,25.3,94.2,84.8,1010.3,16.6,0.4
KALIMANTAN BARAT,11,1,2014,26.9,84.2,71.4,1010.6,11.2,0.5
KALIMANTAN BARAT,12,1,2014,26.1,87.4,84.7,1010.4,18.4,15.0
KALIMANTAN BARAT,13,1,2014,26.2,88.8,76.8,1009.7,32.4,1.0
KALIMANTAN BARAT,14,1,2014,26.1,85.1,77.7,1010.7,18.4,0.3
KALIMANTAN BARAT,15,1,2014,26.3,83.0,75.4,1011.7,16.6,0.0
KALIMANTAN BARAT,16,1,2014,26.2,80.7,70.0,1011.8,18.0,0.0
KALIMANTAN BARAT,17,1,2014,25.5,85.0,76.6,1011.6,18.4,0.0
KALIMANTAN BARAT,18,1,2014,25.9,84.9,74.3,1012.2,22.3,0.1
KALIMANTAN BARAT,19,1,2014,25.5,85.7,87.5,1013.0,16.6,0.2
KALIMANTAN BARAT,20,1,2014,25.2,85.1,84.4,1012.8,14.8,0.0
KALIMANTAN BARAT,21,1,2014,26.0,79.5,71.6,1011.4,20.5,0.0
KALIMANTAN BARAT,22,1,2014,25.3,82.5,67.4,1011.7,18.4,0.0
KALIMANTAN BARAT,23,1,2014,25.6,82.7,67.3,1011.7,22.3,0.0
KALIMANTAN BARAT,24,1,2014,25.7,84.4,74.1,1010.5,16.6,0.0
KALIMANTAN BARAT,25,1,2014,26.0,82.8,55.8,1010.2,16.6,0.0
KALIMANTAN BARAT,26,1,2014,26.0,82.4,57.9,1011.0,24.1,0.0
KALIMANTAN BARAT,27,1,2014,26.0,79.7,55.9,1010.4,16.6,0.0
KALIMANTAN BARAT,28,1,2014,26.5,78.2,59.1,1010.0,14.8,0.0
KALIMANTAN BARAT,29,1,2014,26.0,82.2,74.1,1011.0,16.6,0.0
KALIMANTAN BARAT,30,1,2014,26.2,80.5,83.4,1010.9,20.5,0.0
KALIMANTAN BARAT,31,1,2014,25.7,82.3,74.2,1011.8,16.6,0.0
KALIMANTAN BARAT,1,2,2014,25.4,84.6,88.1,1010.4,16.6,0.0
KALIMANTAN BARAT,2,2,2014,25.3,84.0,80.9,1009.7,14.8,0.0
KALIMANTAN BARAT,3,2,2014,25.7,75.5,75.5,1008.1,24.1,0.0
KALIMANTAN BARAT,4,2,2014,26.5,69.2,54.3,1007.1,16.6,0.0
KALIMANTAN BARAT,5,2,2014,26.5,70.6,49.4,1006.8,14.8,0.0
KALIMANTAN BARAT,6,2,2014,26.2,84.4,75.0,1007.1,14.8,0.0
KALIMANTAN BARAT,7,2,2014,27.0,86.1,70.7,1006.9,22.3,0.5
KALIMANTAN BARAT,8,2,2014,27.4,85.2,80.1,1006.4,20.5,0.5
KALIMANTAN BARAT,9,2,2014,27.7,80.4,69.8,1006.9,14.8,0.0
KALIMANTAN BARAT,10,2,2014,26.9,83.9,69.4,1007.4,18.4,0.0
KALIMANTAN BARAT,11,2,2014,27.7,79.8,52.2,1007.7,18.4,0.0
KALIMANTAN BARAT,12,2,2014,27.7,79.2,69.1,1007.4,16.6,0.0
KALIMANTAN BARAT,13,2,2014,27.7,82.6,65.4,1009.6,22.3,0.3
KALIMANTAN BARAT,14,2,2014,25.9,85.6,63.9,1010.1,16.6,0.0
KALIMANTAN BARAT,15,2,2014,25.9,86.1,75.2,1010.0,14.8,63.0
KALIMANTAN BARAT,16,2,2014,26.6,81.8,78.4,1010.9,14.8,3.0
KALIMANTAN BARAT,17,2,2014,26.4,86.7,79.7,1012.1,13.0,0.8
KALIMANTAN BARAT,18,2,2014,27.7,82.6,69.2,1010.7,14.8,0.8
