name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
KALIMANTAN UTARA,1,1,2014,25.5,87.6,76.4,1010.3,14.4,0.923
KALIMANTAN UTARA,2,1,2014,25.9,90.4,81.6,1010.3,14.0,5.064
KALIMANTAN UTARA,3,1,2014,25.5,91.4,84.1,1010.4,17.2,6.007
KALIMANTAN UTARA,4,1,2014,25.9,89.1,78.2,1009.6,15.9,3.594
KALIMANTAN UTARA,5,1,2014,25.7,90.7,82.4,1009.4,17.1,5.9
KALIMANTAN UTARA,6,1,2014,25.9,87.9,76.3,1009.0,14.0,0.881
KALIMANTAN UTARA,7,1,2014,25.6,90.7,82.8,1009.5,13.4,3.048
KALIMANTAN UTARA,8,1,2014,26.8,86.9,64.6,1008.9,13.7,2.722
KALIMANTAN UTARA,9,1,2014,25.2,92.3,84.2,1010.5,14.0,28.74
KALIMANTAN UTARA,10,1,2014,25.0,93.2,90.2,1010.5,17.2,42.584
KALIMANTAN UTARA,11,1,2014,24.8,91.8,85.0,1010.9,21.4,2.9
KALIMANTAN UTARA,12,1,2014,24.8,90.1,88.0,1010.1,9.3,0.07
KALIMANTAN UTARA,13,1,2014,25.7,89.0,84.9,1008.7,17.7,1.013
KALIMANTAN UTARA,14,1,2014,25.3,92.5,91.7,1009.0,11.8,1.92
KALIMANTAN UTARA,15,1,2014,25.3,91.3,86.0,1010.2,19.2,14.21
KALIMANTAN UTARA,16,1,2014,25.4,90.2,86.1,1011.1,17.2,0.555
KALIMANTAN UTARA,17,1,2014,25.9,87.4,73.4,1010.5,19.4,1.6
KALIMANTAN UTARA,18,1,2014,26.3,86.4,55.4,1010.9,15.5,1.82
KALIMANTAN UTARA,19,1,2014,26.2,86.6,73.3,1010.9,19.8,2.1
KALIMANTAN UTARA,20,1,2014,25.3,91.4,86.6,1010.9,13.8,20.486
KALIMANTAN UTARA,21,1,2014,25.1,90.1,87.4,1010.6,19.6,5.85
KALIMANTAN UTARA,22,1,2014,25.3,89.1,88.5,1010.2,15.3,0.141
KALIMANTAN UTARA,23,1,2014,24.1,92.7,89.8,1011.1,15.9,24.951
KALIMANTAN UTARA,24,1,2014,24.1,94.5,90.2,1010.9,14.9,33.308
KALIMANTAN UTARA,25,1,2014,24.3,92.5,86.1,1011.2,10.2,12.779
KALIMANTAN UTARA,26,1,2014,25.2,88.9,62.4,1010.8,14.1,0.555
KALIMANTAN UTARA,27,1,2014,25.2,87.2,70.3,1011.1,21.1,0.728
KALIMANTAN UTARA,28,1,2014,25.2,83.5,66.7,1010.6,21.2,0.0
KALIMANTAN UTARA,29,1,2014,25.1,83.8,62.4,1010.7,21.9,0.0
KALIMANTAN UTARA,30,1,2014,25.0,85.4,66.7,1011.0,28.0,0.0
KALIMANTAN UTARA,31,1,2014,25.1,84.7,76.8,1010.4,21.3,0.1
KALIMANTAN UTARA,1,2,2014,25.4,84.8,77.5,1009.0,14.3,0.0
KALIMANTAN UTARA,2,2,2014,25.4,86.5,81.3,1009.1,20.8,0.276
KALIMANTAN UTARA,3,2,2014,25.9,85.4,76.4,1008.4,25.6,0.0
KALIMANTAN UTARA,4,2,2014,25.7,87.9,80.7,1008.4,21.1,0.291
KALIMANTAN UTARA,5,2,2014,25.5,86.4,71.7,1008.4,26.1,0.927
KALIMANTAN UTARA,6,2,2014,25.9,85.1,66.3,1007.9,17.3,0.0
KALIMANTAN UTARA,7,2,2014,26.2,87.5,75.3,1006.8,15.7,0.8
KALIMANTAN UTARA,8,2,2014,26.5,88.0,69.7,1006.4,28.0,24.788
KALIMANTAN UTARA,9,2,2014,26.6,87.3,71.2,1006.4,21.6,0.344
KALIMANTAN UTARA,10,2,2014,25.1,94.7,87.9,1007.6,7.1,9.94
KALIMANTAN UTARA,11,2,2014,24.9,91.6,86.6,1007.8,17.2,6.336
KALIMANTAN UTARA,12,2,2014,25.0,90.7,81.6,1008.7,16.0,2.153
KALIMANTAN UTARA,13,2,2014,25.8,87.9,79.6,1010.3,25.7,2.0
KALIMANTAN UTARA,14,2,2014,25.3,90.2,75.8,1010.7,27.1,20.359
KALIMANTAN UTARA,15,2,2014,25.3,87.7,81.6,1010.8,17.0,6.874
KALIMANTAN UTARA,16,2,2014,24.9,91.2,76.8,1012.1,8.5,69.804
KALIMANTAN UTARA,17,2,2014,25.4,89.7,83.5,1013.2,10.8,25.685
KALIMANTAN UTARA,18,2,2014,25.5,88.8,80.3,1012.0,13.8,0.957
KALIMANTAN UTARA,19,2,2014,25.7,90.5,76.0,1010.9,17.5,0.141
KALIMANTAN UTARA,20,2,2014,25.4,89.1,79.5,1011.4,22.8,1.833
KALIMANTAN UTARA,21,2,2014,25.2,82.8,71.2,1013.0,21.4,0.043
KALIMANTAN UTARA,22,2,2014,24.9,82.6,55.5,1012.7,17.7,0.0
KALIMANTAN UTARA,23,2,2014,25.0,83.6,56.8,1012.5,14.2,0.0
KALIMANTAN UTARA,24,2,2014,25.3,84.8,68.6,1012.5,17.5,0.094
KALIMANTAN UTARA,25,2,2014,25.3,88.5,82.8,1012.8,19.3,2.867
KALIMANTAN UTARA,26,2,2014,25.3,86.6,86.8,1012.4,16.0,8.291
KALIMANTAN UTARA,27,2,2014,25.4,84.7,58.4,1011.9,21.2,1.82
KALIMANTAN UTARA,28,2,2014,26.2,84.4,74.9,1011.8,14.4,0.7
KALIMANTAN UTARA,1,3,2014,25.9,88.1,73.6,1010.8,12.6,1.095
KALIMANTAN UTARA,2,3,2014,26.2,86.9,57.9,1009.9,14.7,1.82
KALIMANTAN UTARA,3,3,2014,25.9,84.9,72.0,1010.9,24.6,1.82
