name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
KEPULAUAN RIAU,1,1,2014,80.2,85.0,83.2,1011.1,13.7,0.0
KEPULAUAN RIAU,2,1,2014,81.3,82.8,73.9,1010.7,19.2,0.0
KEPULAUAN RIAU,3,1,2014,80.3,85.6,78.5,1010.7,15.7,0.055
KEPULAUAN RIAU,4,1,2014,80.1,83.7,66.2,1010.6,10.0,0.11
KEPULAUAN RIAU,5,1,2014,76.9,90.9,81.6,1010.0,9.3,0.848
KEPULAUAN RIAU,6,1,2014,77.7,94.4,81.8,1009.6,7.5,0.654
KEPULAUAN RIAU,7,1,2014,79.8,83.4,70.8,1009.9,10.4,0.0
KEPULAUAN RIAU,8,1,2014,80.8,78.6,74.8,1010.1,10.8,0.0
KEPULAUAN RIAU,9,1,2014,78.6,87.3,66.2,1010.1,7.0,0.134
KEPULAUAN RIAU,10,1,2014,80.1,84.2,68.1,1010.0,7.0,0.0
KEPULAUAN RIAU,11,1,2014,79.7,84.3,72.8,1010.8,12.2,3.199
KEPULAUAN RIAU,12,1,2014,79.2,88.0,87.4,1011.6,11.6,0.791
KEPULAUAN RIAU,13,1,2014,80.7,79.0,84.9,1011.3,16.9,0.012
KEPULAUAN RIAU,14,1,2014,80.1,77.2,85.0,1012.1,12.8,0.0
KEPULAUAN RIAU,15,1,2014,79.0,76.1,84.6,1013.1,13.3,0.055
KEPULAUAN RIAU,16,1,2014,79.3,75.6,79.1,1013.2,15.2,0.0
KEPULAUAN RIAU,17,1,2014,79.0,73.9,87.0,1012.8,13.9,0.0
KEPULAUAN RIAU,18,1,2014,79.2,74.4,81.7,1013.6,19.5,0.0
KEPULAUAN RIAU,19,1,2014,78.8,73.6,89.7,1014.1,14.6,0.0
KEPULAUAN RIAU,20,1,2014,78.3,73.9,88.6,1013.7,13.9,0.0
KEPULAUAN RIAU,21,1,2014,78.4,74.0,87.6,1013.6,15.0,0.0
KEPULAUAN RIAU,22,1,2014,78.2,72.7,80.2,1013.2,17.6,0.0
KEPULAUAN RIAU,23,1,2014,78.8,72.3,88.1,1013.3,17.6,0.0
KEPULAUAN RIAU,24,1,2014,78.4,74.8,77.8,1011.8,14.0,0.0
KEPULAUAN RIAU,25,1,2014,78.5,75.4,88.0,1011.3,16.5,0.0
KEPULAUAN RIAU,26,1,2014,78.1,75.3,87.8,1011.7,16.5,0.0
KEPULAUAN RIAU,27,1,2014,78.8,74.7,80.6,1011.8,18.8,0.0
KEPULAUAN RIAU,28,1,2014,79.7,75.5,79.4,1011.5,19.5,0.0
KEPULAUAN RIAU,29,1,2014,79.7,72.9,79.8,1012.2,19.2,0.0
KEPULAUAN RIAU,30,1,2014,78.6,76.0,83.3,1012.6,15.2,0.0
KEPULAUAN RIAU,31,1,2014,79.3,72.6,86.5,1012.7,16.4,0.0
KEPULAUAN RIAU,1,2,2014,78.7,71.2,85.8,1011.5,15.0,0.0
KEPULAUAN RIAU,2,2,2014,78.1,75.9,89.0,1010.1,15.7,0.0
KEPULAUAN RIAU,3,2,2014,79.0,73.4,77.8,1008.5,15.2,0.0
KEPULAUAN RIAU,4,2,2014,79.5,76.1,84.3,1007.6,15.7,0.0
KEPULAUAN RIAU,5,2,2014,79.3,75.9,84.1,1007.5,15.8,0.0
KEPULAUAN RIAU,6,2,2014,79.3,76.5,77.6,1007.8,22.3,0.0
KEPULAUAN RIAU,7,2,2014,79.6,77.0,79.1,1007.9,13.5,0.0
KEPULAUAN RIAU,8,2,2014,80.2,82.3,81.7,1007.3,14.6,0.002
KEPULAUAN RIAU,9,2,2014,81.4,80.9,83.9,1007.6,10.7,0.0
KEPULAUAN RIAU,10,2,2014,81.8,78.2,83.7,1008.1,10.4,0.0
KEPULAUAN RIAU,11,2,2014,81.2,79.5,75.5,1008.3,19.9,0.0
KEPULAUAN RIAU,12,2,2014,81.4,78.2,77.2,1008.7,21.8,0.0
KEPULAUAN RIAU,13,2,2014,82.1,78.7,83.5,1010.5,16.8,0.0
KEPULAUAN RIAU,14,2,2014,81.8,78.5,84.1,1011.1,19.4,0.0
KEPULAUAN RIAU,15,2,2014,82.2,76.0,87.8,1010.8,18.7,0.0
KEPULAUAN RIAU,16,2,2014,81.7,75.4,80.4,1011.7,17.6,0.0
KEPULAUAN RIAU,17,2,2014,81.9,76.8,82.8,1012.6,16.8,0.0
KEPULAUAN RIAU,18,2,2014,82.0,78.4,85.5,1012.0,15.8,0.0
KEPULAUAN RIAU,19,2,2014,81.5,77.9,85.4,1011.0,16.4,0.0
KEPULAUAN RIAU,20,2,2014,81.9,73.8,87.2,1011.8,17.7,0.0
KEPULAUAN RIAU,21,2,2014,81.9,74.5,79.5,1012.8,20.1,0.0
KEPULAUAN RIAU,22,2,2014,82.4,71.9,81.8,1012.8,20.0,0.0
KEPULAUAN RIAU,23,2,2014,81.3,72.7,83.3,1013.4,21.0,0.0
KEPULAUAN RIAU,24,2,2014,81.0,69.9,84.4,1012.9,18.2,0.0
KEPULAUAN RIAU,25,2,2014,80.7,71.6,80.7,1012.7,19.8,0.0
KEPULAUAN RIAU,26,2,2014,81.1,72.3,78.9,1011.8,18.3,0.0
KEPULAUAN RIAU,27,2,2014,82.0,74.7,81.8,1011.9,23.3,0.0
KEPULAUAN RIAU,28,2,2014,81.8,74.2,84.7,1011.9,18.3,0.0
KEPULAUAN RIAU,1,3,2014,81.7,75.5,85.8,1011.1,19.2,0.0
KEPULAUAN RIAU,2,3,2014,81.9,73.3,76.8,1010.7,17.8,0.0
KEPULAUAN RIAU,3,3,2014,81.4,76.3,75.8,1011.0,17.6,0.0
KEPULAUAN RIAU,4,3,2014,82.0,74.0,85.5,1012.0,20.0,0.0
KEPULAUAN RIAU,5,3,2014,81.6,70.2,83.4,1012.2,17.6,0.0
KEPULAUAN RIAU,6,3,2014,81.5,70.4,76.1,1011.4,18.3,0.0
KEPULAUAN RIAU,7,3,2014,81.6,76.4,73.0,1012.0,17.0,0.0
KEPULAUAN RIAU,8,3,2014,82.0,75.5,79.3,1012.2,18.4,0.0
KEPULAUAN RIAU,9,3,2014,81.6,72.3,81.8,1011.6,20.4,0.0
KEPULAUAN RIAU,10,3,2014,81.9,72.6,82.6,1012.0,22.2,0.0
KEPULAUAN RIAU,11,3,2014,82.4,70.7,88.5,1011.9,18.1,0.0
KEPULAUAN RIAU,12,3,2014,82.5,73.6,75.9,1011.3,18.2,0.0
KEPULAUAN RIAU,13,3,2014,82.9,72.9,77.1,1010.6,16.9,0.0
KEPULAUAN RIAU,14,3,2014,83.1,75.1,78.9,1011.2,19.8,0.0
KEPULAUAN RIAU,15,3,2014,83.1,77.8,85.2,1011.1,18.2,0.027
KEPULAUAN RIAU,16,3,2014,78.8,92.3,82.7,1012.0,11.4,1.309
KEPULAUAN RIAU,17,3,2014,79.6,88.2,80.1,1012.0,13.9,0.227
KEPULAUAN RIAU,18,3,2014,81.4,83.1,68.9,1011.7,15.0,0.005
KEPULAUAN RIAU,19,3,2014,81.5,83.4,68.5,1011.1,11.4,0.357
KEPULAUAN RIAU,20,3,2014,81.6,83.7,75.2,1010.3,14.7,0.051
KEPULAUAN RIAU,21,3,2014,81.8,83.7,74.6,1008.8,12.7,0.06
KEPULAUAN RIAU,22,3,2014,81.5,77.9,72.4,1009.0,15.9,0.0
KEPULAUAN RIAU,23,3,2014,81.9,73.7,58.7,1010.4,14.5,0.0
