name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
MALUKU UTARA,1,1,2014,26.7,85.2,77.2,1011.4,13.3,18.0
MALUKU UTARA,2,1,2014,27.2,81.2,78.9,1011.4,15.5,3.1
MALUKU UTARA,3,1,2014,27.7,80.0,76.7,1010.9,20.5,2.2
MALUKU UTARA,4,1,2014,27.5,79.6,67.0,1010.5,15.8,3.2
MALUKU UTARA,5,1,2014,27.6,82.9,80.1,1010.0,18.4,7.0
MALUKU UTARA,6,1,2014,27.4,83.6,78.3,1009.6,19.1,23.0
MALUKU UTARA,7,1,2014,26.5,87.8,87.4,1010.0,29.5,28.0
MALUKU UTARA,8,1,2014,26.4,86.6,87.8,1010.2,22.0,17.0
MALUKU UTARA,9,1,2014,27.0,84.1,79.8,1010.5,26.6,6.3
MALUKU UTARA,10,1,2014,25.9,87.5,86.5,1010.6,42.5,60.0
MALUKU UTARA,11,1,2014,26.6,85.5,80.0,1009.6,21.6,1.3
MALUKU UTARA,12,1,2014,27.6,82.8,76.9,1008.8,28.8,9.0
MALUKU UTARA,13,1,2014,27.9,80.6,80.8,1008.2,18.0,2.0
MALUKU UTARA,14,1,2014,27.6,80.5,74.2,1008.8,16.6,2.6
MALUKU UTARA,15,1,2014,27.5,86.2,89.9,1009.4,26.6,10.0
MALUKU UTARA,16,1,2014,27.5,84.3,81.6,1010.1,24.1,3.0
MALUKU UTARA,17,1,2014,27.4,80.4,87.4,1010.1,26.3,7.0
MALUKU UTARA,18,1,2014,27.8,80.1,75.9,1010.3,20.5,3.1
MALUKU UTARA,19,1,2014,27.6,82.8,86.3,1010.7,24.8,2.0
MALUKU UTARA,20,1,2014,27.8,82.4,77.1,1010.2,24.1,4.7
MALUKU UTARA,21,1,2014,27.5,83.6,83.1,1009.9,16.6,0.5
MALUKU UTARA,22,1,2014,27.4,83.4,82.7,1010.1,22.0,2.0
MALUKU UTARA,23,1,2014,27.6,78.4,68.4,1010.3,18.4,3.7
MALUKU UTARA,24,1,2014,27.0,85.9,83.4,1010.2,27.7,17.0
MALUKU UTARA,25,1,2014,26.3,87.1,85.9,1011.2,29.2,9.0
MALUKU UTARA,26,1,2014,26.4,86.6,80.4,1010.8,21.6,5.1
MALUKU UTARA,27,1,2014,27.1,81.2,74.8,1010.9,31.7,2.2
MALUKU UTARA,28,1,2014,27.3,78.9,64.3,1010.7,29.2,1.3
MALUKU UTARA,29,1,2014,27.3,78.8,69.1,1010.6,32.4,0.1
MALUKU UTARA,30,1,2014,27.4,80.3,53.1,1010.6,32.4,1.0
MALUKU UTARA,31,1,2014,27.5,79.3,70.8,1010.2,24.5,0.1
MALUKU UTARA,1,2,2014,27.5,79.0,64.1,1010.3,22.3,0.0
MALUKU UTARA,2,2,2014,27.6,78.8,77.0,1010.2,27.7,0.0
MALUKU UTARA,3,2,2014,27.5,79.8,76.3,1009.6,27.7,0.0
MALUKU UTARA,4,2,2014,27.3,80.0,72.0,1008.8,22.3,0.0
MALUKU UTARA,5,2,2014,27.5,82.1,54.4,1008.9,27.7,6.0
MALUKU UTARA,6,2,2014,27.5,81.9,70.6,1008.2,23.0,0.5
MALUKU UTARA,7,2,2014,27.7,80.8,58.2,1007.2,18.4,0.0
MALUKU UTARA,8,2,2014,27.8,83.6,68.9,1007.3,14.8,0.0
MALUKU UTARA,9,2,2014,28.1,82.7,79.3,1007.9,13.0,1.1
MALUKU UTARA,10,2,2014,27.6,81.7,79.9,1008.2,9.4,4.7
MALUKU UTARA,11,2,2014,27.0,84.8,88.9,1008.7,18.4,16.0
MALUKU UTARA,12,2,2014,26.5,83.6,82.7,1009.9,16.6,30.0
MALUKU UTARA,13,2,2014,26.2,85.9,88.2,1011.4,24.1,9.0
MALUKU UTARA,14,2,2014,26.2,85.5,84.2,1011.6,24.1,6.0
MALUKU UTARA,15,2,2014,26.9,81.5,76.8,1011.3,23.4,2.0
MALUKU UTARA,16,2,2014,26.9,82.5,71.8,1012.1,24.1,4.0
MALUKU UTARA,17,2,2014,27.5,80.1,83.0,1013.6,20.5,2.9
MALUKU UTARA,18,2,2014,26.8,86.4,73.5,1012.9,24.8,12.0
MALUKU UTARA,19,2,2014,27.2,81.3,84.2,1011.8,24.1,3.2
MALUKU UTARA,20,2,2014,27.2,81.3,75.5,1012.3,21.6,2.6
MALUKU UTARA,21,2,2014,26.9,81.4,81.3,1012.8,24.1,1.1
MALUKU UTARA,22,2,2014,27.3,80.4,76.0,1012.4,31.3,4.5
MALUKU UTARA,23,2,2014,27.1,78.6,77.0,1012.1,23.0,2.3
MALUKU UTARA,24,2,2014,26.9,83.3,81.1,1013.0,24.1,9.0
MALUKU UTARA,25,2,2014,27.5,78.9,77.7,1013.0,27.7,5.3
MALUKU UTARA,26,2,2014,27.4,82.8,82.2,1013.0,28.1,1.6
MALUKU UTARA,27,2,2014,27.2,84.8,74.9,1012.2,20.9,2.0
MALUKU UTARA,28,2,2014,27.4,82.2,63.3,1012.3,18.7,0.6
MALUKU UTARA,1,3,2014,27.7,80.1,68.1,1011.7,24.1,0.8
MALUKU UTARA,2,3,2014,27.8,78.9,60.7,1011.0,24.1,0.3
MALUKU UTARA,3,3,2014,27.9,78.6,76.2,1011.5,17.6,0.0
MALUKU UTARA,4,3,2014,27.7,79.1,77.1,1012.8,24.1,0.2
MALUKU UTARA,5,3,2014,27.6,82.1,62.5,1012.3,25.6,1.6
MALUKU UTARA,6,3,2014,27.6,81.3,69.9,1011.8,27.4,1.7
MALUKU UTARA,7,3,2014,27.6,77.7,70.2,1013.0,27.4,0.0
MALUKU UTARA,8,3,2014,27.5,76.5,61.0,1012.6,29.5,0.0
MALUKU UTARA,9,3,2014,27.8,76.1,50.3,1012.5,29.5,0.5
MALUKU UTARA,10,3,2014,27.7,75.9,55.7,1013.0,27.7,0.1
MALUKU UTARA,11,3,2014,27.5,78.5,51.6,1012.7,16.6,0.0
MALUKU UTARA,12,3,2014,27.8,79.3,51.7,1011.6,14.8,0.2
MALUKU UTARA,13,3,2014,28.3,76.4,67.3,1011.2,22.3,0.0
MALUKU UTARA,14,3,2014,28.5,74.2,53.1,1012.3,10.4,0.2
MALUKU UTARA,15,3,2014,27.6,80.3,82.6,1013.3,16.2,0.7
MALUKU UTARA,16,3,2014,28.1,78.4,82.5,1013.4,24.1,0.9
MALUKU UTARA,17,3,2014,27.8,80.9,77.7,1012.7,20.5,1.7
MALUKU UTARA,18,3,2014,28.0,81.9,77.4,1011.3,21.6,0.5
MALUKU UTARA,19,3,2014,28.1,80.5,87.0,1010.5,25.9,0.7
MALUKU UTARA,20,3,2014,28.2,80.2,79.1,1009.8,18.4,0.5
MALUKU UTARA,21,3,2014,27.6,81.7,71.1,1009.0,18.4,7.0
MALUKU UTARA,22,3,2014,26.9,84.8,77.9,1010.1,18.4,32.0
MALUKU UTARA,23,3,2014,27.4,80.7,68.9,1011.7,14.8,3.3
MALUKU UTARA,24,3,2014,28.2,76.1,45.5,1011.2,14.8,0.1
MALUKU UTARA,25,3,2014,28.5,78.5,57.0,1010.4,20.5,2.6
MALUKU UTARA,26,3,2014,27.9,79.8,72.2,1010.4,25.9,3.0
MALUKU UTARA,27,3,2014,27.9,80.1,69.2,1010.2,22.3,3.0
MALUKU UTARA,28,3,2014,27.8,81.9,75.6,1010.7,18.4,3.5
MALUKU UTARA,29,3,2014,26.9,83.6,79.5,1011.6,20.5,3.0
MALUKU UTARA,30,3,2014,28.0,76.2,70.2,1011.3,14.8,1.6
