name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
NUSA TENGGARA BARAT,1,1,2014,25.7,90.7,85.3,1010.1,20.9,11.6
NUSA TENGGARA BARAT,2,1,2014,25.4,91.1,80.9,1010.4,20.2,42.0
NUSA TENGGARA BARAT,3,1,2014,26.1,89.0,67.2,1009.4,18.4,110.0
NUSA TENGGARA BARAT,4,1,2014,26.0,85.8,67.3,1008.7,18.4,19.0
NUSA TENGGARA BARAT,5,1,2014,26.6,87.2,65.9,1007.9,16.6,12.0
NUSA TENGGARA BARAT,6,1,2014,27.6,85.3,62.5,1008.0,18.4,1.0
NUSA TENGGARA BARAT,7,1,2014,27.7,83.6,51.9,1009.2,18.4,0.4
NUSA TENGGARA BARAT,8,1,2014,26.9,87.8,61.2,1009.3,18.4,1.0
NUSA TENGGARA BARAT,9,1,2014,28.1,82.1,52.0,1009.6,24.1,0.9
NUSA TENGGARA BARAT,10,1,2014,27.0,87.2,59.8,1009.0,16.6,67.0
NUSA TENGGARA BARAT,11,1,2014,26.9,86.7,61.8,1010.0,24.1,0.5
NUSA TENGGARA BARAT,12,1,2014,26.8,86.2,65.2,1010.1,13.0,1.0
NUSA TENGGARA BARAT,13,1,2014,27.4,83.8,55.4,1009.4,18.4,0.3
NUSA TENGGARA BARAT,14,1,2014,26.6,87.2,65.1,1008.9,25.9,8.0
NUSA TENGGARA BARAT,15,1,2014,27.8,80.3,57.2,1008.2,24.5,0.6
NUSA TENGGARA BARAT,16,1,2014,27.4,84.1,68.9,1008.4,25.9,1.0
NUSA TENGGARA BARAT,17,1,2014,28.0,78.2,62.8,1008.9,29.9,0.5
NUSA TENGGARA BARAT,18,1,2014,27.9,81.7,56.9,1009.7,25.2,1.0
NUSA TENGGARA BARAT,19,1,2014,27.0,86.0,84.7,1009.7,25.9,6.1
NUSA TENGGARA BARAT,20,1,2014,27.1,87.3,72.4,1007.9,31.7,12.0
NUSA TENGGARA BARAT,21,1,2014,26.6,89.1,84.2,1008.1,29.2,108.0
NUSA TENGGARA BARAT,22,1,2014,27.0,88.2,72.4,1009.1,27.7,4.3
NUSA TENGGARA BARAT,23,1,2014,26.3,91.0,68.5,1009.9,22.3,13.0
NUSA TENGGARA BARAT,24,1,2014,25.7,91.0,71.2,1009.3,25.9,17.0
NUSA TENGGARA BARAT,25,1,2014,26.0,90.8,59.4,1009.7,22.3,3.0
NUSA TENGGARA BARAT,26,1,2014,26.7,87.5,55.8,1009.7,20.9,4.0
NUSA TENGGARA BARAT,27,1,2014,25.9,90.1,53.9,1009.3,22.3,12.0
NUSA TENGGARA BARAT,28,1,2014,27.2,84.6,54.7,1008.8,25.9,0.0
NUSA TENGGARA BARAT,29,1,2014,27.6,83.9,52.2,1008.5,27.7,1.0
NUSA TENGGARA BARAT,30,1,2014,27.3,85.9,55.4,1008.2,25.9,0.1
NUSA TENGGARA BARAT,31,1,2014,27.6,85.5,65.5,1007.8,29.5,0.5
NUSA TENGGARA BARAT,1,2,2014,26.9,88.3,68.0,1006.6,28.8,7.0
NUSA TENGGARA BARAT,2,2,2014,26.8,87.0,71.9,1006.2,27.7,34.0
NUSA TENGGARA BARAT,3,2,2014,27.4,84.1,65.9,1006.1,25.9,0.5
NUSA TENGGARA BARAT,4,2,2014,27.4,79.4,58.6,1006.1,25.9,21.5
NUSA TENGGARA BARAT,5,2,2014,28.0,77.5,40.9,1005.8,25.9,0.4
NUSA TENGGARA BARAT,6,2,2014,28.3,77.7,55.3,1006.1,25.9,0.0
NUSA TENGGARA BARAT,7,2,2014,28.1,79.3,63.0,1005.5,27.7,0.1
NUSA TENGGARA BARAT,8,2,2014,27.8,83.5,65.0,1005.0,25.9,2.0
NUSA TENGGARA BARAT,9,2,2014,27.2,87.2,62.3,1005.6,27.7,23.0
NUSA TENGGARA BARAT,10,2,2014,27.7,82.4,60.1,1006.0,25.9,0.6
NUSA TENGGARA BARAT,11,2,2014,27.1,85.0,62.4,1006.7,25.9,0.6
NUSA TENGGARA BARAT,12,2,2014,27.7,82.8,60.9,1007.6,22.3,8.0
NUSA TENGGARA BARAT,13,2,2014,27.5,84.7,64.5,1009.5,24.1,0.4
NUSA TENGGARA BARAT,14,2,2014,25.4,90.7,76.2,1009.7,22.3,19.0
NUSA TENGGARA BARAT,15,2,2014,26.0,85.4,79.9,1009.0,22.3,0.1
NUSA TENGGARA BARAT,16,2,2014,27.4,80.8,61.9,1011.0,22.3,2.1
NUSA TENGGARA BARAT,17,2,2014,26.5,80.1,61.3,1011.6,18.4,1.6
NUSA TENGGARA BARAT,18,2,2014,26.6,86.2,59.4,1010.7,20.5,8.0
NUSA TENGGARA BARAT,19,2,2014,25.8,87.4,52.9,1010.2,24.1,2.0
NUSA TENGGARA BARAT,20,2,2014,26.6,82.6,52.7,1010.2,25.9,0.5
NUSA TENGGARA BARAT,21,2,2014,26.7,87.0,56.3,1010.7,18.4,7.0
NUSA TENGGARA BARAT,22,2,2014,26.0,87.2,60.7,1011.0,14.8,0.5
NUSA TENGGARA BARAT,23,2,2014,25.9,84.2,65.6,1011.8,14.8,1.8
NUSA TENGGARA BARAT,24,2,2014,26.6,84.3,49.2,1011.9,16.6,1.4
NUSA TENGGARA BARAT,25,2,2014,27.3,79.9,47.8,1011.3,22.3,0.1
NUSA TENGGARA BARAT,26,2,2014,27.2,80.6,50.1,1011.2,18.4,0.0
NUSA TENGGARA BARAT,27,2,2014,26.5,86.0,55.1,1011.4,11.2,16.0
NUSA TENGGARA BARAT,28,2,2014,27.3,84.0,47.5,1011.3,16.6,0.4
NUSA TENGGARA BARAT,1,3,2014,27.1,80.9,55.8,1010.3,18.4,0.0
NUSA TENGGARA BARAT,2,3,2014,27.0,80.4,50.4,1009.8,18.4,0.0
NUSA TENGGARA BARAT,3,3,2014,27.0,84.7,66.8,1010.8,13.0,0.2
NUSA TENGGARA BARAT,4,3,2014,27.7,79.9,51.0,1011.4,14.8,0.0
NUSA TENGGARA BARAT,5,3,2014,27.8,80.5,47.2,1011.0,18.4,0.4
NUSA TENGGARA BARAT,6,3,2014,27.6,79.2,45.6,1010.4,16.6,0.0
NUSA TENGGARA BARAT,7,3,2014,27.1,80.2,37.6,1011.0,16.6,0.0
NUSA TENGGARA BARAT,8,3,2014,27.3,82.3,34.4,1010.5,16.6,0.0
NUSA TENGGARA BARAT,9,3,2014,26.9,82.8,54.8,1010.4,14.8,0.4
NUSA TENGGARA BARAT,10,3,2014,27.9,82.7,50.6,1010.6,14.8,0.4
NUSA TENGGARA BARAT,11,3,2014,27.9,80.8,56.6,1010.6,18.4,0.2
NUSA TENGGARA BARAT,12,3,2014,26.7,89.0,59.6,1009.7,16.6,3.0
NUSA TENGGARA BARAT,13,3,2014,26.3,86.9,54.9,1009.5,25.9,11.0
NUSA TENGGARA BARAT,14,3,2014,27.6,80.6,65.0,1010.7,14.8,0.5
NUSA TENGGARA BARAT,15,3,2014,27.2,86.2,44.2,1010.8,13.0,0.0
NUSA TENGGARA BARAT,16,3,2014,27.4,84.3,67.6,1011.3,18.4,5.0
NUSA TENGGARA BARAT,17,3,2014,26.6,88.9,60.6,1011.6,24.1,49.0
NUSA TENGGARA BARAT,18,3,2014,27.7,84.2,61.4,1011.3,18.4,6.4
NUSA TENGGARA BARAT,19,3,2014,26.6,88.2,59.8,1010.1,18.4,0.3
NUSA TENGGARA BARAT,20,3,2014,25.3,93.6,71.6,1008.1,14.8,13.7
NUSA TENGGARA BARAT,21,3,2014,26.2,89.5,67.1,1008.4,18.4,2.0
NUSA TENGGARA BARAT,22,3,2014,26.5,87.6,61.1,1009.2,14.8,38.0
NUSA TENGGARA BARAT,23,3,2014,27.7,82.1,44.2,1010.0,18.4,0.5
NUSA TENGGARA BARAT,24,3,2014,28.0,80.3,50.2,1009.4,14.8,0.0
NUSA TENGGARA BARAT,25,3,2014,27.6,86.8,47.8,1009.5,14.8,0.0
NUSA TENGGARA BARAT,26,3,2014,27.2,85.9,43.6,1009.2,16.6,11.0
NUSA TENGGARA BARAT,27,3,2014,28.4,84.9,54.3,1009.2,16.6,2.9
NUSA TENGGARA BARAT,28,3,2014,27.7,84.5,68.2,1010.1,10.8,7.0
NUSA TENGGARA BARAT,29,3,2014,27.7,84.3,43.8,1009.9,22.3,0.1
NUSA TENGGARA BARAT,30,3,2014,27.0,85.4,53.5,1010.3,16.6,0.0
NUSA TENGGARA BARAT,31,3,2014,27.5,84.3,46.9,1009.8,16.6,0.0
NUSA TENGGARA BARAT,1,4,2014,28.0,83.1,49.5,1008.8,16.6,0.0
NUSA TENGGARA BARAT,2,4,2014,28.2,86.2,57.0,1009.0,15.5,0.0
NUSA TENGGARA BARAT,3,4,2014,28.2,86.0,56.9,1009.9,22.3,0.2
NUSA TENGGARA BARAT,4,4,2014,28.4,85.0,46.7,1009.8,20.5,0.2
NUSA TENGGARA BARAT,5,4,2014,28.3,86.3,56.7,1010.2,18.4,0.2
NUSA TENGGARA BARAT,6,4,2014,27.1,90.4,59.7,1011.0,14.8,3.0
NUSA TENGGARA BARAT,7,4,2014,27.6,85.2,49.8,1011.2,14.8,1.3
NUSA TENGGARA BARAT,8,4,2014,27.8,82.6,46.7,1009.8,18.4,0.0
NUSA TENGGARA BARAT,9,4,2014,27.1,86.7,54.2,1009.6,14.8,0.2
NUSA TENGGARA BARAT,10,4,2014,27.7,81.8,47.1,1010.1,18.4,0.6
NUSA TENGGARA BARAT,11,4,2014,27.8,84.2,51.8,1010.1,18.4,0.0
NUSA TENGGARA BARAT,12,4,2014,27.0,87.8,55.0,1010.0,18.4,0.7
NUSA TENGGARA BARAT,13,4,2014,27.6,84.6,49.3,1010.8,24.1,0.6
NUSA TENGGARA BARAT,14,4,2014,27.2,85.6,58.4,1010.6,18.4,0.7
NUSA TENGGARA BARAT,15,4,2014,27.4,83.4,52.4,1011.0,20.5,3.3
NUSA TENGGARA BARAT,16,4,2014,27.8,82.2,55.8,1009.6,18.4,0.0
NUSA TENGGARA BARAT,17,4,2014,26.6,88.3,56.4,1009.7,18.4,6.0
NUSA TENGGARA BARAT,18,4,2014,26.7,89.9,56.4,1010.0,29.5,0.7
NUSA TENGGARA BARAT,19,4,2014,26.7,90.2,62.5,1009.9,18.4,3.0
NUSA TENGGARA BARAT,20,4,2014,27.1,89.6,52.6,1008.9,14.8,0.2
NUSA TENGGARA BARAT,21,4,2014,26.2,92.5,50.8,1009.4,13.0,37.0
NUSA TENGGARA BARAT,22,4,2014,27.9,87.9,50.7,1010.1,14.8,2.5
NUSA TENGGARA BARAT,23,4,2014,27.6,88.3,47.4,1009.8,14.8,0.1
NUSA TENGGARA BARAT,24,4,2014,28.1,86.4,50.7,1008.6,25.9,0.0
NUSA TENGGARA BARAT,25,4,2014,28.0,87.3,59.9,1009.2,14.8,35.0
NUSA TENGGARA BARAT,26,4,2014,28.3,87.4,51.2,1009.4,18.4,3.0
NUSA TENGGARA BARAT,27,4,2014,28.4,85.3,55.7,1010.1,20.5,0.0
NUSA TENGGARA BARAT,28,4,2014,27.7,83.1,46.0,1010.7,15.5,0.0
NUSA TENGGARA BARAT,29,4,2014,27.5,83.2,47.9,1010.1,18.4,0.0
NUSA TENGGARA BARAT,30,4,2014,26.5,90.2,46.4,1009.9,18.4,49.0
NUSA TENGGARA BARAT,1,5,2014,27.8,85.8,51.3,1009.8,16.6,4.8
NUSA TENGGARA BARAT,2,5,2014,27.1,89.4,56.7,1011.4,14.8,3.0
NUSA TENGGARA BARAT,3,5,2014,27.7,84.1,45.9,1010.5,18.4,0.2
NUSA TENGGARA BARAT,4,5,2014,27.3,87.1,37.5,1009.6,14.8,0.0
NUSA TENGGARA BARAT,5,5,2014,28.2,84.3,42.1,1010.4,16.6,0.0
NUSA TENGGARA BARAT,6,5,2014,28.4,83.7,37.7,1010.3,16.9,0.0
NUSA TENGGARA BARAT,7,5,2014,28.1,83.2,47.4,1010.1,13.0,0.0
NUSA TENGGARA BARAT,8,5,2014,28.2,83.7,45.1,1010.1,16.6,0.0
NUSA TENGGARA BARAT,9,5,2014,28.0,81.9,47.3,1010.8,18.4,0.0
NUSA TENGGARA BARAT,10,5,2014,27.1,84.0,34.3,1010.4,16.6,0.0
NUSA TENGGARA BARAT,11,5,2014,28.2,81.6,48.3,1011.1,18.4,0.0
NUSA TENGGARA BARAT,12,5,2014,27.7,83.9,63.1,1011.6,22.3,3.4
NUSA TENGGARA BARAT,13,5,2014,27.9,82.3,41.7,1010.6,20.2,0.8
NUSA TENGGARA BARAT,14,5,2014,27.8,82.2,41.2,1009.6,18.7,0.0
NUSA TENGGARA BARAT,15,5,2014,28.0,80.9,47.9,1009.8,18.4,0.0
NUSA TENGGARA BARAT,16,5,2014,27.6,84.7,46.6,1010.2,22.3,0.2
NUSA TENGGARA BARAT,17,5,2014,27.2,84.7,39.6,1010.6,19.1,0.0
NUSA TENGGARA BARAT,18,5,2014,27.2,86.7,51.5,1011.0,18.4,0.0
NUSA TENGGARA BARAT,19,5,2014,27.6,86.4,49.6,1010.9,18.4,0.0
NUSA TENGGARA BARAT,20,5,2014,27.5,83.2,49.7,1011.2,15.1,0.2
NUSA TENGGARA BARAT,21,5,2014,27.9,81.3,48.6,1010.6,27.7,0.0
NUSA TENGGARA BARAT,22,5,2014,27.3,80.8,41.9,1010.4,22.3,0.0
NUSA TENGGARA BARAT,23,5,2014,27.5,79.5,36.9,1010.9,18.4,0.0
NUSA TENGGARA BARAT,24,5,2014,28.1,79.6,46.5,1011.3,18.4,0.0
NUSA TENGGARA BARAT,25,5,2014,27.6,83.9,44.2,1012.0,18.4,0.0
NUSA TENGGARA BARAT,26,5,2014,27.9,80.8,36.5,1011.4,20.2,0.1
NUSA TENGGARA BARAT,27,5,2014,27.6,79.8,42.5,1010.7,27.7,0.0
NUSA TENGGARA BARAT,28,5,2014,27.7,82.8,61.9,1010.8,22.0,0.3
NUSA TENGGARA BARAT,29,5,2014,27.3,79.7,45.8,1011.2,23.0,0.0
