name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
NUSA TENGGARA TIMUR,1,1,2014,81.5,86.2,77.3,1010.0,8.9,0.945
NUSA TENGGARA TIMUR,2,1,2014,81.5,80.9,79.1,1009.6,8.1,0.787
NUSA TENGGARA TIMUR,3,1,2014,82.9,80.0,79.5,1009.3,8.1,0.088
NUSA TENGGARA TIMUR,4,1,2014,82.5,82.3,82.8,1009.1,12.8,1.575
NUSA TENGGARA TIMUR,5,1,2014,83.6,81.5,82.0,1008.6,8.3,1.535
NUSA TENGGARA TIMUR,6,1,2014,82.5,83.3,78.5,1009.1,8.3,0.128
NUSA TENGGARA TIMUR,7,1,2014,82.7,82.1,79.6,1008.4,9.2,0.354
NUSA TENGGARA TIMUR,8,1,2014,84.5,75.8,68.6,1008.8,8.9,0.032
NUSA TENGGARA TIMUR,9,1,2014,83.9,82.9,65.0,1008.4,9.2,0.118
NUSA TENGGARA TIMUR,10,1,2014,83.6,80.3,73.6,1009.5,11.4,0.024
NUSA TENGGARA TIMUR,11,1,2014,82.4,83.9,71.2,1010.1,11.6,1.496
NUSA TENGGARA TIMUR,12,1,2014,83.3,83.2,77.9,1009.0,16.6,0.591
NUSA TENGGARA TIMUR,13,1,2014,83.6,83.1,78.9,1007.0,17.9,0.039
NUSA TENGGARA TIMUR,14,1,2014,83.5,82.9,85.2,1005.9,25.7,0.028
NUSA TENGGARA TIMUR,15,1,2014,83.5,83.6,89.1,1005.8,21.9,1.339
NUSA TENGGARA TIMUR,16,1,2014,82.2,85.3,93.0,1006.2,22.4,2.512
NUSA TENGGARA TIMUR,17,1,2014,82.1,84.5,89.8,1006.8,22.1,1.812
NUSA TENGGARA TIMUR,18,1,2014,82.7,82.9,82.9,1007.7,23.9,2.047
NUSA TENGGARA TIMUR,19,1,2014,82.8,84.2,68.0,1007.9,24.8,0.079
NUSA TENGGARA TIMUR,20,1,2014,81.0,87.7,83.1,1007.8,21.5,2.067
NUSA TENGGARA TIMUR,21,1,2014,79.3,89.3,88.3,1008.0,19.2,3.504
NUSA TENGGARA TIMUR,22,1,2014,80.2,89.1,87.3,1008.5,18.6,0.755
