name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
SULAWESI SELATAN,1,1,2014,25.4,97.0,57.4,1010.7,29.5,37.481
SULAWESI SELATAN,2,1,2014,25.0,98.4,65.8,1010.7,16.1,28.314
SULAWESI SELATAN,3,1,2014,25.9,98.2,60.1,1009.9,17.9,34.901
SULAWESI SELATAN,4,1,2014,26.1,97.5,54.8,1009.3,16.6,24.676
SULAWESI SELATAN,5,1,2014,26.6,96.2,40.1,1008.9,18.5,1.441
SULAWESI SELATAN,6,1,2014,26.3,95.8,47.5,1008.9,16.6,3.729
SULAWESI SELATAN,7,1,2014,26.3,97.0,50.1,1009.6,22.4,33.859
SULAWESI SELATAN,8,1,2014,27.0,91.0,45.5,1009.1,14.8,1.559
SULAWESI SELATAN,9,1,2014,26.4,88.8,55.1,1009.2,18.4,20.96
SULAWESI SELATAN,10,1,2014,26.2,89.6,58.4,1009.5,23.3,39.043
SULAWESI SELATAN,11,1,2014,27.1,84.1,52.5,1010.5,18.0,14.402
SULAWESI SELATAN,12,1,2014,27.3,84.5,52.3,1010.3,27.1,2.527
SULAWESI SELATAN,13,1,2014,26.7,91.2,62.6,1009.4,24.1,73.23
SULAWESI SELATAN,14,1,2014,26.2,92.9,65.6,1008.6,16.6,22.284
SULAWESI SELATAN,15,1,2014,26.7,86.9,75.1,1008.7,31.5,25.221
SULAWESI SELATAN,16,1,2014,25.3,91.4,69.8,1009.8,25.9,96.363
SULAWESI SELATAN,17,1,2014,26.5,87.7,57.6,1009.6,22.3,1.901
SULAWESI SELATAN,18,1,2014,26.1,90.9,57.2,1010.7,25.2,41.093
SULAWESI SELATAN,19,1,2014,26.9,88.3,51.6,1010.3,32.4,10.117
SULAWESI SELATAN,20,1,2014,26.8,89.2,51.4,1009.6,30.4,26.598
SULAWESI SELATAN,21,1,2014,26.8,88.1,62.4,1009.2,21.6,13.082
SULAWESI SELATAN,22,1,2014,25.6,90.9,50.3,1010.2,22.3,13.285
SULAWESI SELATAN,23,1,2014,25.2,93.9,57.5,1010.2,17.3,37.417
SULAWESI SELATAN,24,1,2014,23.9,93.1,64.4,1010.4,18.4,86.866
SULAWESI SELATAN,25,1,2014,26.1,88.6,53.1,1010.3,25.2,1.299
SULAWESI SELATAN,26,1,2014,26.3,87.8,55.1,1010.1,14.8,25.137
SULAWESI SELATAN,27,1,2014,27.2,86.2,59.5,1009.7,24.1,13.699
SULAWESI SELATAN,28,1,2014,27.2,88.1,54.8,1009.1,15.4,5.324
SULAWESI SELATAN,29,1,2014,25.6,94.9,63.0,1009.1,11.2,31.498
SULAWESI SELATAN,30,1,2014,26.1,92.7,69.6,1009.3,24.7,76.315
SULAWESI SELATAN,31,1,2014,26.9,89.2,50.8,1008.8,31.7,6.228
SULAWESI SELATAN,1,2,2014,26.1,93.0,55.8,1007.9,19.7,32.363
SULAWESI SELATAN,2,2,2014,27.5,85.8,52.7,1007.6,20.5,5.795
SULAWESI SELATAN,3,2,2014,26.7,89.5,46.0,1007.3,14.8,3.039
SULAWESI SELATAN,4,2,2014,27.6,86.1,42.2,1006.9,13.0,0.364
SULAWESI SELATAN,5,2,2014,27.0,83.8,41.5,1006.9,15.1,0.52
SULAWESI SELATAN,6,2,2014,28.3,79.9,38.9,1006.7,14.8,0.0
SULAWESI SELATAN,7,2,2014,28.3,82.8,51.4,1006.2,15.9,1.032
SULAWESI SELATAN,8,2,2014,27.6,86.5,50.7,1006.1,18.4,0.096
SULAWESI SELATAN,9,2,2014,27.6,85.9,41.5,1006.5,18.9,5.363
SULAWESI SELATAN,10,2,2014,27.2,86.4,53.1,1007.5,13.0,51.357
SULAWESI SELATAN,11,2,2014,27.1,84.3,44.9,1008.0,16.6,0.096
SULAWESI SELATAN,12,2,2014,27.3,83.0,35.7,1008.4,16.6,0.0
SULAWESI SELATAN,13,2,2014,27.4,76.2,35.5,1009.8,14.8,0.0
SULAWESI SELATAN,14,2,2014,25.7,87.4,55.4,1010.2,25.9,2.079
SULAWESI SELATAN,15,2,2014,26.1,88.2,50.4,1009.9,19.7,37.078
SULAWESI SELATAN,16,2,2014,25.6,90.3,45.0,1011.4,11.2,27.504
SULAWESI SELATAN,17,2,2014,25.3,88.6,46.4,1012.5,27.7,5.285
SULAWESI SELATAN,18,2,2014,27.4,83.4,47.0,1011.0,18.4,7.273
SULAWESI SELATAN,19,2,2014,26.4,85.7,57.3,1010.8,31.5,60.284
SULAWESI SELATAN,20,2,2014,27.3,81.2,43.9,1010.7,15.8,0.468
SULAWESI SELATAN,21,2,2014,27.4,85.2,47.7,1011.0,16.6,0.548
SULAWESI SELATAN,22,2,2014,25.8,90.5,60.4,1011.4,29.5,17.911
SULAWESI SELATAN,23,2,2014,23.8,96.3,54.8,1012.2,20.5,73.433
SULAWESI SELATAN,24,2,2014,25.8,88.9,41.7,1012.5,16.6,17.944
SULAWESI SELATAN,25,2,2014,25.9,90.2,52.6,1012.0,18.4,9.509
SULAWESI SELATAN,26,2,2014,27.0,84.7,41.7,1011.8,14.8,4.598
SULAWESI SELATAN,27,2,2014,27.9,79.6,33.6,1011.3,16.6,0.0
SULAWESI SELATAN,28,2,2014,27.1,85.8,41.6,1011.4,18.4,1.52
SULAWESI SELATAN,1,3,2014,26.9,86.0,45.0,1010.3,22.3,2.69
SULAWESI SELATAN,2,3,2014,27.4,85.4,37.6,1009.7,14.8,1.441
SULAWESI SELATAN,3,3,2014,27.0,86.7,48.9,1010.7,16.6,11.064
SULAWESI SELATAN,4,3,2014,26.0,91.9,53.1,1011.9,12.3,30.261
SULAWESI SELATAN,5,3,2014,27.3,84.4,35.9,1011.0,16.6,16.625
SULAWESI SELATAN,6,3,2014,25.7,90.1,52.6,1011.1,18.4,30.925
SULAWESI SELATAN,7,3,2014,27.7,83.6,39.7,1011.0,16.6,5.622
SULAWESI SELATAN,8,3,2014,26.0,94.3,50.1,1010.8,17.6,23.886
SULAWESI SELATAN,9,3,2014,27.8,83.1,44.4,1010.4,20.5,0.0
SULAWESI SELATAN,10,3,2014,27.6,84.8,51.5,1011.0,14.8,22.934
SULAWESI SELATAN,11,3,2014,26.9,84.5,43.1,1011.1,13.3,1.481
SULAWESI SELATAN,12,3,2014,27.1,85.1,54.4,1010.0,11.2,32.357
SULAWESI SELATAN,13,3,2014,27.3,85.1,52.4,1010.0,20.5,26.158
SULAWESI SELATAN,14,3,2014,27.7,84.9,43.2,1011.3,11.2,3.733
SULAWESI SELATAN,15,3,2014,27.3,84.9,36.5,1011.3,13.0,0.0
SULAWESI SELATAN,16,3,2014,27.4,84.9,44.2,1011.6,14.8,0.1
SULAWESI SELATAN,17,3,2014,26.5,88.4,42.2,1011.5,14.8,1.873
SULAWESI SELATAN,18,3,2014,26.4,89.0,39.2,1010.8,17.1,3.559
SULAWESI SELATAN,19,3,2014,26.4,88.8,47.5,1009.6,18.4,2.545
SULAWESI SELATAN,20,3,2014,26.9,88.5,51.3,1008.9,17.9,10.917
SULAWESI SELATAN,21,3,2014,26.9,87.0,50.9,1008.9,15.3,36.168
SULAWESI SELATAN,22,3,2014,27.2,82.5,46.7,1009.2,16.7,10.454
SULAWESI SELATAN,23,3,2014,28.1,81.3,38.0,1009.8,16.6,0.0
SULAWESI SELATAN,24,3,2014,28.2,80.7,39.4,1009.2,14.8,0.0
SULAWESI SELATAN,25,3,2014,28.0,78.9,34.5,1009.1,14.8,0.0
SULAWESI SELATAN,26,3,2014,28.4,81.4,38.0,1009.0,11.2,0.0
SULAWESI SELATAN,27,3,2014,27.6,85.5,38.3,1008.3,16.8,5.958
SULAWESI SELATAN,28,3,2014,26.6,88.9,42.9,1009.7,14.8,5.525
SULAWESI SELATAN,29,3,2014,27.5,81.5,36.1,1009.3,16.6,0.0
SULAWESI SELATAN,30,3,2014,27.2,84.1,38.4,1009.6,16.6,101.883
SULAWESI SELATAN,31,3,2014,27.7,86.2,39.7,1008.5,13.0,16.128
SULAWESI SELATAN,1,4,2014,28.6,80.4,38.9,1007.7,15.4,0.0
SULAWESI SELATAN,2,4,2014,27.9,87.4,41.7,1008.1,18.4,4.444
SULAWESI SELATAN,3,4,2014,27.3,89.2,47.4,1009.2,16.6,10.285
SULAWESI SELATAN,4,4,2014,27.4,88.6,44.1,1009.2,14.8,5.291
