name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
SULAWESI TENGAH,1,1,2014,21.9,91.6,88.6,1011.7,16.6,3.0
SULAWESI TENGAH,2,1,2014,21.7,88.3,90.7,1011.6,11.2,1.5
SULAWESI TENGAH,3,1,2014,22.4,86.0,86.5,1011.1,14.8,281.0
SULAWESI TENGAH,4,1,2014,22.2,85.1,73.6,1010.4,22.3,6.9
SULAWESI TENGAH,5,1,2014,22.1,87.9,80.7,1010.3,16.6,2.0
SULAWESI TENGAH,6,1,2014,21.9,86.7,80.1,1010.0,22.3,6.1
SULAWESI TENGAH,7,1,2014,22.1,88.8,86.4,1009.9,18.4,4.9
SULAWESI TENGAH,8,1,2014,22.4,87.8,83.5,1010.5,18.4,3.7
SULAWESI TENGAH,9,1,2014,21.4,92.3,85.4,1011.1,20.5,7.0
SULAWESI TENGAH,10,1,2014,21.3,91.2,84.7,1012.0,13.0,6.0
SULAWESI TENGAH,11,1,2014,21.4,89.7,85.9,1011.6,13.0,2.0
SULAWESI TENGAH,12,1,2014,21.5,89.5,89.7,1011.6,9.4,10.0
SULAWESI TENGAH,13,1,2014,21.7,85.8,83.5,1009.8,22.3,2.2
SULAWESI TENGAH,14,1,2014,21.8,86.5,83.0,1008.7,7.6,1.4
SULAWESI TENGAH,15,1,2014,21.4,89.2,90.5,1009.7,7.2,1.0
SULAWESI TENGAH,16,1,2014,20.4,93.8,91.9,1012.5,20.5,33.0
SULAWESI TENGAH,17,1,2014,20.2,88.1,82.6,1011.7,18.4,3.4
SULAWESI TENGAH,18,1,2014,21.7,86.7,85.8,1012.1,14.8,6.0
SULAWESI TENGAH,19,1,2014,21.9,86.3,81.0,1011.7,24.1,0.0
SULAWESI TENGAH,20,1,2014,21.5,86.8,81.3,1011.2,22.3,0.7
SULAWESI TENGAH,21,1,2014,21.8,88.0,80.0,1010.8,24.1,0.3
SULAWESI TENGAH,22,1,2014,21.4,84.2,76.5,1010.8,16.6,0.0
SULAWESI TENGAH,23,1,2014,21.6,85.0,77.0,1011.0,22.3,0.8
SULAWESI TENGAH,24,1,2014,21.3,86.4,83.3,1011.0,16.6,2.0
SULAWESI TENGAH,25,1,2014,20.8,87.9,86.6,1011.6,11.2,5.0
SULAWESI TENGAH,26,1,2014,21.4,85.6,73.6,1011.4,11.2,2.0
SULAWESI TENGAH,27,1,2014,22.0,86.1,77.4,1011.6,24.1,1.0
SULAWESI TENGAH,28,1,2014,22.4,85.9,81.4,1011.2,22.3,0.5
SULAWESI TENGAH,29,1,2014,22.3,86.4,88.1,1011.4,18.4,0.4
SULAWESI TENGAH,30,1,2014,21.3,87.0,87.5,1011.9,13.0,1.2
SULAWESI TENGAH,31,1,2014,21.6,87.2,84.8,1011.3,18.4,3.0
SULAWESI TENGAH,1,2,2014,21.0,89.6,84.3,1010.0,16.6,2.0
