name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
BENGKULU,1,1,2014,27.2,80.6,73.1,1009.4,22.3,3.6
BENGKULU,2,1,2014,27.4,81.2,73.0,1009.2,16.9,0.1
BENGKULU,3,1,2014,27.5,82.3,82.6,1009.3,17.3,1.0
BENGKULU,4,1,2014,26.7,86.5,81.3,1009.9,22.3,22.0
BENGKULU,5,1,2014,26.6,85.9,82.4,1008.8,19.1,19.1
BENGKULU,6,1,2014,26.4,86.1,88.7,1009.0,20.2,26.0
BENGKULU,7,1,2014,26.6,83.9,85.3,1008.9,27.7,2.0
BENGKULU,8,1,2014,27.0,82.2,83.1,1008.5,23.0,0.1
BENGKULU,9,1,2014,26.8,79.0,70.0,1009.8,13.0,1.0
BENGKULU,10,1,2014,26.9,79.7,73.0,1009.5,13.0,2.0
BENGKULU,11,1,2014,27.0,82.9,84.6,1009.2,17.3,1.7
BENGKULU,12,1,2014,27.4,83.8,84.7,1009.4,28.8,15.0
BENGKULU,13,1,2014,26.5,88.9,91.4,1010.2,29.9,12.0
BENGKULU,14,1,2014,26.9,85.4,83.5,1010.2,22.3,14.1
BENGKULU,15,1,2014,26.4,83.3,78.4,1011.3,18.4,1.0
BENGKULU,16,1,2014,27.2,81.5,72.0,1010.4,22.3,2.1
BENGKULU,17,1,2014,27.1,83.1,80.9,1009.7,19.1,2.7
BENGKULU,18,1,2014,27.4,78.3,86.8,1010.2,16.2,0.7
BENGKULU,19,1,2014,27.5,79.7,84.1,1010.6,22.3,2.0
BENGKULU,20,1,2014,27.0,83.8,85.6,1010.8,21.2,3.0
BENGKULU,21,1,2014,25.4,88.9,89.2,1011.4,33.1,68.0
BENGKULU,22,1,2014,26.8,80.1,80.4,1009.8,26.3,15.1
BENGKULU,23,1,2014,26.2,82.9,86.1,1010.7,31.3,24.5
BENGKULU,24,1,2014,26.8,80.1,72.2,1008.7,22.7,2.0
BENGKULU,25,1,2014,27.2,81.1,56.5,1009.1,22.7,3.8
BENGKULU,26,1,2014,27.1,80.4,46.5,1009.7,14.8,16.0
BENGKULU,27,1,2014,27.7,77.6,73.4,1008.6,22.3,0.0
