name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
JAKARTA,1,1,2014,25.2,87.9,83.5,1011.4,16.6,1.166
JAKARTA,2,1,2014,27.2,80.0,65.2,1010.6,23.1,0.022
JAKARTA,3,1,2014,28.2,78.5,62.3,1009.7,18.3,0.013
JAKARTA,4,1,2014,28.2,76.5,60.7,1009.3,36.0,0.003
JAKARTA,5,1,2014,27.2,75.5,58.9,1008.8,27.5,0.005
JAKARTA,6,1,2014,26.7,79.7,74.6,1008.6,25.9,23.79
JAKARTA,7,1,2014,27.1,80.9,73.2,1009.2,14.6,9.784
JAKARTA,8,1,2014,24.8,92.9,86.4,1010.2,14.8,74.455
JAKARTA,9,1,2014,28.4,71.3,58.6,1009.7,26.7,0.3
JAKARTA,10,1,2014,27.9,75.7,70.3,1009.0,24.1,7.816
JAKARTA,11,1,2014,27.4,80.0,66.1,1009.7,17.7,24.339
JAKARTA,12,1,2014,24.6,93.1,82.5,1011.1,23.9,38.017
JAKARTA,13,1,2014,25.4,88.7,83.2,1011.5,14.8,14.644
JAKARTA,14,1,2014,27.1,82.0,78.5,1011.0,22.3,4.433
JAKARTA,15,1,2014,25.0,89.8,85.3,1012.3,16.5,13.419
JAKARTA,16,1,2014,25.8,86.2,88.4,1011.6,20.5,16.966
JAKARTA,17,1,2014,25.4,88.5,93.0,1011.2,24.1,91.041
JAKARTA,18,1,2014,25.6,85.2,94.5,1012.0,33.5,143.311
JAKARTA,19,1,2014,26.5,82.6,88.9,1012.0,24.1,34.885
JAKARTA,20,1,2014,25.8,86.7,84.4,1011.3,22.3,19.948
JAKARTA,21,1,2014,24.6,90.6,96.1,1011.4,22.3,43.527
JAKARTA,22,1,2014,25.6,85.2,80.1,1011.5,20.5,71.076
JAKARTA,23,1,2014,25.2,86.0,92.4,1011.5,20.5,7.337
JAKARTA,24,1,2014,25.9,84.7,87.6,1010.6,22.3,12.772
JAKARTA,25,1,2014,26.5,81.6,65.5,1010.6,18.1,0.215
JAKARTA,26,1,2014,27.1,80.8,65.7,1010.7,24.1,12.185
JAKARTA,27,1,2014,26.2,86.6,80.6,1010.6,18.4,6.269
JAKARTA,28,1,2014,26.4,84.8,85.2,1010.3,17.8,10.563
JAKARTA,29,1,2014,26.1,85.1,84.2,1010.8,22.3,28.428
JAKARTA,30,1,2014,26.2,83.4,80.7,1011.3,16.2,0.072
JAKARTA,31,1,2014,24.8,87.9,81.3,1011.4,60.9,10.391
JAKARTA,1,2,2014,24.9,88.8,69.8,1010.0,18.4,0.088
JAKARTA,2,2,2014,24.4,90.0,71.4,1008.7,25.2,14.677
JAKARTA,3,2,2014,25.1,89.4,89.2,1007.5,16.6,41.798
JAKARTA,4,2,2014,26.5,85.3,90.3,1006.9,22.3,42.712
JAKARTA,5,2,2014,26.3,88.5,76.9,1006.6,17.7,84.898
JAKARTA,6,2,2014,26.7,86.5,72.0,1007.1,14.8,13.739
JAKARTA,7,2,2014,27.0,84.1,70.6,1007.0,15.8,1.024
JAKARTA,8,2,2014,26.3,87.1,70.0,1006.3,16.8,4.251
JAKARTA,9,2,2014,26.5,86.0,89.1,1006.9,22.3,4.247
JAKARTA,10,2,2014,26.5,85.5,82.9,1007.8,18.7,39.48
JAKARTA,11,2,2014,27.4,82.2,63.9,1007.4,19.0,0.242
JAKARTA,12,2,2014,28.2,78.7,55.3,1007.8,18.4,0.0
JAKARTA,13,2,2014,28.6,77.4,65.8,1009.7,18.4,0.0
JAKARTA,14,2,2014,27.7,78.4,58.6,1010.0,21.1,0.062
JAKARTA,15,2,2014,25.1,84.8,76.9,1010.0,33.5,8.547
JAKARTA,16,2,2014,26.0,83.5,79.8,1011.0,19.0,0.0
JAKARTA,17,2,2014,27.5,82.1,66.2,1011.4,16.6,0.001
JAKARTA,18,2,2014,26.7,86.3,82.8,1011.1,18.2,25.799
JAKARTA,19,2,2014,27.6,83.1,73.5,1010.4,16.0,0.016
JAKARTA,20,2,2014,28.4,79.2,60.1,1010.3,19.0,0.004
JAKARTA,21,2,2014,26.7,84.7,72.8,1011.6,19.0,44.508
JAKARTA,22,2,2014,24.3,94.0,95.9,1012.3,12.4,29.635
JAKARTA,23,2,2014,26.2,82.8,73.2,1012.5,15.5,14.067
JAKARTA,24,2,2014,26.3,83.6,72.9,1012.3,89.4,11.699
JAKARTA,25,2,2014,26.8,82.9,70.9,1011.9,22.6,39.658
JAKARTA,26,2,2014,25.1,91.5,85.7,1011.8,11.7,37.297
JAKARTA,27,2,2014,25.8,87.2,79.4,1011.8,11.9,9.212
JAKARTA,28,2,2014,26.8,83.3,68.5,1011.4,13.7,0.188
JAKARTA,1,3,2014,27.7,79.5,61.6,1010.6,17.8,0.002
JAKARTA,2,3,2014,27.7,81.8,59.7,1010.1,17.3,23.268
JAKARTA,3,3,2014,27.9,77.3,61.8,1010.4,16.0,0.001
JAKARTA,4,3,2014,28.5,76.4,53.8,1011.4,16.6,0.001
JAKARTA,5,3,2014,27.6,79.6,54.5,1011.6,13.0,1.683
JAKARTA,6,3,2014,27.7,80.1,66.4,1010.3,14.8,2.941
JAKARTA,7,3,2014,27.5,80.8,73.5,1010.9,18.4,0.458
JAKARTA,8,3,2014,27.7,82.3,74.9,1011.1,18.4,0.002
JAKARTA,9,3,2014,27.5,83.5,69.6,1010.7,16.6,0.091
JAKARTA,10,3,2014,26.1,88.3,85.2,1011.0,9.4,14.745
JAKARTA,11,3,2014,26.4,86.8,82.4,1011.3,12.6,0.353
JAKARTA,12,3,2014,26.3,86.9,86.8,1010.7,14.8,20.447
JAKARTA,13,3,2014,27.3,83.5,83.5,1010.0,25.9,0.433
JAKARTA,14,3,2014,27.0,83.6,72.9,1010.6,11.2,24.556
JAKARTA,15,3,2014,27.5,82.8,67.2,1010.5,18.0,0.036
JAKARTA,16,3,2014,28.1,80.5,70.3,1011.0,13.0,0.007
JAKARTA,17,3,2014,27.9,82.8,73.9,1011.1,16.6,1.045
JAKARTA,18,3,2014,27.9,81.1,66.3,1011.0,16.6,0.398
JAKARTA,19,3,2014,27.7,79.8,59.0,1010.3,18.4,0.004
JAKARTA,20,3,2014,28.2,80.2,73.8,1008.9,18.4,2.431
JAKARTA,21,3,2014,27.0,83.8,64.0,1007.4,20.5,0.02
JAKARTA,22,3,2014,27.7,79.4,59.2,1007.8,21.2,0.01
JAKARTA,23,3,2014,27.0,85.0,62.7,1009.8,14.8,19.654
JAKARTA,24,3,2014,28.1,80.0,70.4,1009.4,18.4,0.006
