name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
KALIMANTAN SELATAN,1,1,2014,26.2,84.5,68.4,1010.1,19.4,0.4
KALIMANTAN SELATAN,2,1,2014,26.6,86.2,69.3,1010.1,18.7,4.0
KALIMANTAN SELATAN,3,1,2014,25.9,90.0,76.2,1009.3,15.8,14.0
KALIMANTAN SELATAN,4,1,2014,26.6,85.9,66.5,1008.9,22.3,13.0
KALIMANTAN SELATAN,5,1,2014,26.2,87.5,65.9,1008.7,24.8,2.0
KALIMANTAN SELATAN,6,1,2014,26.3,85.1,73.2,1008.6,23.3,16.0
KALIMANTAN SELATAN,7,1,2014,26.9,85.2,66.4,1008.9,24.1,20.0
KALIMANTAN SELATAN,8,1,2014,27.3,85.1,65.7,1009.0,22.3,0.8
KALIMANTAN SELATAN,9,1,2014,25.4,93.0,69.2,1009.3,16.6,31.0
KALIMANTAN SELATAN,10,1,2014,26.1,88.6,73.1,1009.3,13.0,9.0
KALIMANTAN SELATAN,11,1,2014,26.9,85.0,70.9,1010.4,11.5,0.2
KALIMANTAN SELATAN,12,1,2014,27.0,85.0,70.9,1009.6,18.4,2.7
KALIMANTAN SELATAN,13,1,2014,27.8,84.4,61.1,1008.9,27.0,3.0
KALIMANTAN SELATAN,14,1,2014,27.2,86.1,65.7,1008.9,28.4,12.0
KALIMANTAN SELATAN,15,1,2014,27.5,82.9,65.0,1009.3,31.7,35.0
KALIMANTAN SELATAN,16,1,2014,25.6,89.7,72.6,1010.7,33.1,7.0
KALIMANTAN SELATAN,17,1,2014,26.8,85.6,68.6,1009.8,25.9,1.8
KALIMANTAN SELATAN,18,1,2014,27.9,79.5,62.3,1010.1,22.0,0.8
KALIMANTAN SELATAN,19,1,2014,27.3,84.7,80.5,1010.4,25.2,15.0
KALIMANTAN SELATAN,20,1,2014,26.9,83.8,79.3,1010.2,34.2,3.2
KALIMANTAN SELATAN,21,1,2014,27.9,77.4,66.2,1008.8,33.1,0.0
KALIMANTAN SELATAN,22,1,2014,28.0,75.7,58.2,1009.6,33.1,0.0
KALIMANTAN SELATAN,23,1,2014,28.2,76.3,50.0,1009.6,28.8,0.0
KALIMANTAN SELATAN,24,1,2014,27.4,82.2,60.9,1009.2,25.6,0.4
KALIMANTAN SELATAN,25,1,2014,28.0,80.1,52.8,1009.2,14.8,0.0
KALIMANTAN SELATAN,26,1,2014,27.4,82.9,58.8,1009.6,22.3,0.1
KALIMANTAN SELATAN,27,1,2014,27.5,84.4,59.5,1009.5,22.0,5.0
KALIMANTAN SELATAN,28,1,2014,27.6,85.1,60.3,1008.5,15.1,1.2
