name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
RIAU,1,1,2014,79.7,84.0,74.5,1009.9,8.1,0.024
RIAU,2,1,2014,80.0,85.1,73.3,1009.1,9.2,1.181
RIAU,3,1,2014,79.7,88.1,70.6,1009.5,6.9,0.231
RIAU,4,1,2014,78.5,87.8,69.1,1009.6,47.0,0.268
RIAU,5,1,2014,77.4,89.9,61.1,1008.5,8.1,0.016
RIAU,6,1,2014,77.8,88.6,65.2,1008.4,12.8,1.811
RIAU,7,1,2014,78.6,85.7,65.5,1008.6,11.4,0.236
RIAU,8,1,2014,78.2,87.5,50.7,1008.7,9.2,0.276
RIAU,9,1,2014,77.8,88.1,54.1,1008.6,8.1,0.036
RIAU,10,1,2014,79.8,85.2,51.7,1009.0,6.9,0.012
RIAU,11,1,2014,79.8,84.7,68.4,1009.0,12.8,0.213
RIAU,12,1,2014,76.3,95.0,74.3,1010.4,5.8,1.495
RIAU,13,1,2014,77.1,91.4,71.6,1010.3,8.1,0.704
RIAU,14,1,2014,78.4,84.0,57.1,1010.8,8.1,0.031
RIAU,15,1,2014,78.5,81.8,58.1,1011.7,8.1,0.012
RIAU,16,1,2014,78.3,84.6,61.6,1011.5,9.2,0.008
RIAU,17,1,2014,77.5,84.6,67.9,1011.5,5.8,0.031
RIAU,18,1,2014,77.4,83.7,74.9,1012.2,10.3,0.039
RIAU,19,1,2014,76.5,85.2,90.2,1013.2,5.8,5.567
RIAU,20,1,2014,77.0,83.6,88.2,1012.4,6.9,0.0
RIAU,21,1,2014,77.6,81.1,79.6,1011.8,5.8,0.0
RIAU,22,1,2014,77.1,80.1,59.7,1011.5,7.5,0.0
RIAU,23,1,2014,77.9,78.0,53.9,1011.5,6.9,0.0
RIAU,24,1,2014,78.2,79.8,64.4,1009.9,8.1,0.004
RIAU,25,1,2014,78.4,83.8,67.4,1009.7,5.8,0.079
RIAU,26,1,2014,80.2,79.3,58.0,1009.6,8.1,0.0
RIAU,27,1,2014,78.1,80.8,62.1,1010.0,10.3,0.0
RIAU,28,1,2014,80.1,76.7,57.4,1009.8,8.1,0.0
RIAU,29,1,2014,79.6,77.5,62.4,1010.3,6.9,0.0
RIAU,30,1,2014,77.9,77.8,82.4,1011.1,9.2,0.0
RIAU,31,1,2014,77.2,82.0,83.6,1011.4,6.9,0.092
RIAU,1,2,2014,77.6,82.5,85.7,1009.9,9.2,0.012
RIAU,2,2,2014,79.0,83.2,79.5,1008.6,8.1,0.0
