name,tanggal,bulan,tahun,temp,humidity,cloudcover,sealevelpressure,windspeed,precip
SULAWESI BARAT,1,1,2014,26.4,80.7,84.1,1010.5,14.8,16.0
SULAWESI BARAT,2,1,2014,26.2,81.1,82.7,1010.7,7.6,17.0
SULAWESI BARAT,3,1,2014,27.1,78.9,84.1,1009.5,14.4,1.9
SULAWESI BARAT,4,1,2014,26.7,84.2,84.5,1008.8,17.6,5.0
SULAWESI BARAT,5,1,2014,26.5,82.7,79.8,1008.6,20.5,0.2
SULAWESI BARAT,6,1,2014,26.5,83.6,67.3,1008.5,22.3,3.1
SULAWESI BARAT,7,1,2014,26.3,83.4,84.9,1009.4,10.4,1.0
SULAWESI BARAT,8,1,2014,26.0,85.7,78.0,1008.9,18.4,1.6
SULAWESI BARAT,9,1,2014,25.7,87.9,86.3,1009.3,14.8,3.3
SULAWESI BARAT,10,1,2014,26.4,85.2,66.4,1008.7,24.8,3.0
SULAWESI BARAT,11,1,2014,26.6,84.4,79.8,1009.7,20.9,0.9
SULAWESI BARAT,12,1,2014,26.7,80.6,80.3,1009.8,19.1,2.4
SULAWESI BARAT,13,1,2014,26.9,80.7,72.1,1009.2,12.2,4.0
SULAWESI BARAT,14,1,2014,26.3,86.8,85.9,1008.7,16.2,12.0
SULAWESI BARAT,15,1,2014,26.3,85.5,83.4,1009.0,18.4,22.0
SULAWESI BARAT,16,1,2014,25.9,85.3,87.9,1009.6,33.1,9.1
SULAWESI BARAT,17,1,2014,26.6,77.5,85.1,1008.9,14.4,3.4
SULAWESI BARAT,18,1,2014,26.9,79.0,90.8,1010.1,12.6,1.0
SULAWESI BARAT,19,1,2014,26.8,80.4,83.1,1009.6,13.0,1.0
SULAWESI BARAT,20,1,2014,27.2,78.9,80.0,1009.1,42.5,0.1
SULAWESI BARAT,21,1,2014,27.5,79.1,84.9,1008.4,19.4,0.0
SULAWESI BARAT,22,1,2014,27.4,75.8,82.5,1009.0,11.9,0.1
SULAWESI BARAT,23,1,2014,27.0,78.7,74.9,1009.6,11.2,1.1
SULAWESI BARAT,24,1,2014,26.1,82.5,83.6,1009.5,16.6,0.4
SULAWESI BARAT,25,1,2014,26.8,79.4,74.6,1009.5,22.0,3.5
SULAWESI BARAT,26,1,2014,26.5,81.6,74.9,1008.5,15.5,2.0
SULAWESI BARAT,27,1,2014,26.5,82.7,63.7,1009.4,19.1,3.0
SULAWESI BARAT,28,1,2014,27.0,81.2,68.7,1008.0,20.5,1.9
SULAWESI BARAT,29,1,2014,26.8,83.8,85.4,1007.9,23.8,3.0
SULAWESI BARAT,30,1,2014,26.5,81.6,82.5,1008.2,32.0,3.0
SULAWESI BARAT,31,1,2014,27.1,78.1,72.5,1007.8,28.1,1.1
SULAWESI BARAT,1,2,2014,27.1,79.8,75.2,1007.4,22.0,1.1
SULAWESI BARAT,2,2,2014,27.6,77.9,72.5,1006.3,23.0,0.3
SULAWESI BARAT,3,2,2014,27.3,82.2,82.4,1006.2,19.8,0.0
SULAWESI BARAT,4,2,2014,27.8,81.8,69.1,1006.2,24.8,0.0
SULAWESI BARAT,5,2,2014,27.3,84.2,77.6,1006.4,21.2,4.0
SULAWESI BARAT,6,2,2014,27.3,84.0,69.2,1006.5,23.0,2.2
SULAWESI BARAT,7,2,2014,27.7,83.8,77.7,1005.5,26.6,0.0
SULAWESI BARAT,8,2,2014,27.6,82.3,83.4,1005.6,21.6,0.0
SULAWESI BARAT,9,2,2014,27.7,81.1,75.1,1006.0,24.8,2.4
SULAWESI BARAT,10,2,2014,27.3,81.4,83.3,1007.0,14.0,1.9
SULAWESI BARAT,11,2,2014,26.1,85.2,88.9,1007.5,15.8,11.0
SULAWESI BARAT,12,2,2014,26.5,82.6,77.5,1008.5,11.5,0.0
SULAWESI BARAT,13,2,2014,27.4,78.4,75.1,1009.9,12.2,0.0
SULAWESI BARAT,14,2,2014,27.2,80.5,76.8,1009.5,14.8,10.0
SULAWESI BARAT,15,2,2014,26.6,79.8,85.1,1009.7,27.4,2.6
SULAWESI BARAT,16,2,2014,26.7,77.6,73.4,1010.9,18.0,4.3
SULAWESI BARAT,17,2,2014,26.9,78.5,75.4,1012.0,22.7,17.0
SULAWESI BARAT,18,2,2014,27.4,78.6,73.2,1010.4,22.7,0.5
SULAWESI BARAT,19,2,2014,26.9,81.1,68.0,1010.1,16.2,2.0
SULAWESI BARAT,20,2,2014,27.0,81.7,78.3,1010.2,13.3,5.6
SULAWESI BARAT,21,2,2014,26.6,82.2,69.3,1010.3,27.4,8.0
