name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
denpasar,2014-01-01,27.1,24.0,26.0,30.6,24.0,26.9,24.2,89.8,64.0,100,16.67,rain,,,,28.9,254.3,1009.9,82.6,4.8,114.1,9.9,4,,2014-01-01T06:04:02,2014-01-01T18:41:06,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WADD,97230099999,97192599999,remote"
denpasar,2014-01-02,27.0,24.0,25.5,29.6,24.0,25.8,23.7,89.9,20.4,100,16.67,rain,,,,22.0,274.5,1009.8,84.6,7.5,125.7,10.7,4,,2014-01-02T06:04:34,2014-01-02T18:41:30,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WADD,97230099999,97192599999,remote"
denpasar,2014-01-03,29.0,25.0,27.1,34.5,25.0,30.1,24.2,84.2,0.6,100,4.17,rain,,,,18.4,294.8,1008.6,49.2,10.0,194.6,16.7,7,,2014-01-03T06:05:06,2014-01-03T18:41:54,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WADD,97230099999,97192599999"
denpasar,2014-01-04,29.0,25.0,26.9,34.5,25.0,29.2,24.3,85.9,0.9,100,8.33,rain,,,,16.6,10.8,1008.0,48.8,9.7,214.6,18.4,7,,2014-01-04T06:05:38,2014-01-04T18:42:16,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WADD,97230099999,97192599999"
denpasar,2014-01-05,30.0,25.0,27.0,36.2,25.0,29.5,24.1,84.9,5.1,100,66.67,rain,,,,17.8,345.5,1007.1,50.4,10.0,226.7,19.7,8,,2014-01-05T06:06:10,2014-01-05T18:42:39,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WADD,97230099999,97192599999"
denpasar,2014-01-06,31.0,25.0,28.2,39.0,25.0,31.9,24.7,81.6,2.5,100,54.17,rain,,,,18.4,253.8,1007.0,45.1,10.0,165.6,14.3,6,,2014-01-06T06:06:42,2014-01-06T18:43:00,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WADD,97230099999,97192599999"
denpasar,2014-01-07,30.2,26.0,28.1,35.5,26.0,32.3,24.6,81.6,8.0,100,4.17,rain,,,,14.8,222.2,1008.3,50.9,10.0,241.4,20.6,8,,2014-01-07T06:07:13,2014-01-07T18:43:20,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WADD,97230099999,97192599999,remote"
denpasar,2014-01-08,30.0,25.0,27.7,37.4,25.0,31.4,25.0,85.4,1.0,100,4.17,rain,,,,18.4,273.7,1008.6,43.5,10.0,149.5,12.8,5,,2014-01-08T06:07:45,2014-01-08T18:43:40,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"WADD,97230099999,97192599999"
denpasar,2014-01-09,31.0,26.0,28.8,39.1,26.0,34.2,25.2,81.4,0.8,100,4.17,rain,,,,25.9,269.2,1008.3,51.1,10.0,190.0,16.5,6,,2014-01-09T06:08:16,2014-01-09T18:43:59,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WADD,97230099999,97192599999"
denpasar,2014-01-10,30.0,25.0,27.9,37.4,25.0,32.1,24.7,82.5,9.0,100,4.17,rain,,,,22.3,280.3,1008.1,57.9,9.8,147.6,12.8,5,,2014-01-10T06:08:47,2014-01-10T18:44:17,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WADD,97230099999,97192599999,remote"
