name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bangka belitung,2014-01-01,27.3,24.2,25.6,30.5,24.2,26.1,24.3,92.6,68.4,100,29.17,rain,,,,13.3,352.9,1011.2,90.1,5.9,121.8,10.5,4,,2014-01-01T05:52:52,2014-01-01T18:06:35,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka belitung,2014-01-02,28.3,24.4,25.9,33.1,24.4,27.2,24.4,91.3,28.0,100,12.5,rain,,,,15.1,10.2,1011.2,83.6,7.1,173.5,14.9,6,,2014-01-02T05:53:21,2014-01-02T18:07:02,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka belitung,2014-01-03,28.9,24.1,26.0,33.8,24.1,27.6,24.6,91.9,27.0,100,8.33,rain,,,,12.2,344.6,1011.0,86.3,6.3,132.6,11.4,4,,2014-01-03T05:53:50,2014-01-03T18:07:29,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-04,28.7,24.1,26.0,33.8,24.1,27.2,24.6,91.9,1.2,100,8.33,rain,,,,14.4,318.3,1010.5,89.4,7.6,116.5,10.1,4,,2014-01-04T05:54:18,2014-01-04T18:07:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-05,29.2,22.6,25.7,33.5,22.6,26.7,24.0,90.7,30.4,100,16.67,rain,,,,14.8,310.1,1009.7,86.6,7.6,165.0,14.3,6,,2014-01-05T05:54:46,2014-01-05T18:08:21,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka belitung,2014-01-06,27.6,24.2,25.5,31.7,24.2,25.8,24.1,92.3,2.5,100,8.33,rain,,,,14.4,285.7,1009.6,90.2,7.9,83.7,7.4,3,,2014-01-06T05:55:14,2014-01-06T18:08:46,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka belitung,2014-01-07,27.7,24.1,25.5,31.0,24.1,25.9,23.5,88.7,1.7,100,20.83,rain,,,,16.2,305.4,1009.9,91.0,8.5,121.0,10.5,4,,2014-01-07T05:55:42,2014-01-07T18:09:11,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"96237099999,remote"
Bangka belitung,2014-01-08,29.7,24.2,26.0,33.8,24.2,27.5,23.6,87.0,2.0,100,4.17,rain,,,,16.9,328.9,1010.3,70.8,7.9,173.9,15.0,5,,2014-01-08T05:56:09,2014-01-08T18:09:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-09,30.4,24.1,26.4,36.8,24.1,27.9,23.7,85.5,3.0,100,4.17,rain,,,,9.4,266.9,1010.4,90.4,7.9,163.6,14.1,6,,2014-01-09T05:56:35,2014-01-09T18:09:59,0.26,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-10,29.4,22.4,25.8,34.8,22.4,26.8,23.3,86.0,10.0,100,8.33,rain,,,,13.0,291.3,1010.2,88.1,8.1,130.8,11.1,5,,2014-01-10T05:57:02,2014-01-10T18:10:22,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-11,27.9,24.1,25.6,32.3,24.1,26.5,23.8,90.2,37.0,100,12.5,rain,,,,14.0,4.6,1010.6,90.0,6.9,119.4,10.2,4,,2014-01-11T05:57:27,2014-01-11T18:10:44,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-12,28.9,23.9,25.9,33.9,23.9,27.0,24.0,89.8,23.0,100,8.33,rain,,,,19.1,4.4,1011.2,83.6,8.3,146.4,12.7,5,,2014-01-12T05:57:52,2014-01-12T18:11:06,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka belitung,2014-01-13,28.2,24.7,26.1,32.9,24.7,27.5,24.6,91.6,18.0,100,16.67,rain,,,,17.6,345.7,1011.3,82.4,8.5,154.2,13.2,6,,2014-01-13T05:58:17,2014-01-13T18:11:27,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-14,27.9,23.9,25.7,32.1,23.9,26.7,24.1,90.8,4.0,100,8.33,rain,,,,22.3,333.6,1011.7,83.1,7.1,169.6,14.8,6,,2014-01-14T05:58:41,2014-01-14T18:11:48,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-15,27.9,23.9,25.7,31.4,23.9,26.4,23.6,88.4,1.5,100,50.0,rain,,,,18.7,338.1,1012.9,84.5,8.3,122.3,10.5,4,,2014-01-15T05:59:05,2014-01-15T18:12:07,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka belitung,2014-01-16,28.1,23.2,25.7,31.1,23.2,26.4,23.3,87.4,0.6,100,4.17,rain,,,,23.8,344.8,1012.8,83.8,7.6,196.0,16.9,7,,2014-01-16T05:59:28,2014-01-16T18:12:26,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-17,28.1,23.2,25.5,30.8,23.2,26.1,23.2,87.3,2.2,100,33.33,rain,,,,26.6,350.6,1012.3,87.3,7.3,158.4,13.6,6,,2014-01-17T05:59:50,2014-01-17T18:12:45,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka belitung,2014-01-18,29.1,23.2,25.7,32.1,23.2,26.5,23.0,85.7,0.0,0,0.0,,,,,23.0,344.3,1013.1,90.5,8.0,198.4,17.0,9,,2014-01-18T06:00:12,2014-01-18T18:13:02,0.57,Overcast,Cloudy skies throughout the day.,cloudy,"96237099999,remote"
