name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Banten,2014-01-01,30.0,22.3,25.6,35.1,22.3,26.9,23.1,86.5,13.329,100.0,16.67,rain,,,,16.6,288.3,1010.9,94.7,6.1,177.8,15.5,6.0,,2014-01-01T05:44:45,2014-01-01T18:12:52,0.0,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96737099999,96741099999,96739099999,WIII,remote,96749099999,96745099999"
Banten,2014-01-02,32.0,21.9,27.2,39.2,21.9,29.9,23.3,80.1,3.715,100.0,4.17,rain,,,,22.3,283.4,1010.4,61.6,7.9,288.7,24.9,10.0,,2014-01-02T05:45:16,2014-01-02T18:13:17,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,96739099999,WIII,remote,96749099999,96745099999"
Banten,2014-01-03,32.0,25.0,27.9,39.2,25.0,30.8,24.0,80.1,0.801,100.0,8.33,rain,,,,16.6,301.4,1009.5,58.4,7.0,278.6,24.1,9.0,,2014-01-03T05:45:47,2014-01-03T18:13:42,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96745099999"
Banten,2014-01-04,31.1,24.4,27.7,38.0,24.4,30.6,23.9,80.4,0.0,0.0,0.0,,,,,37.1,274.6,1009.0,67.8,7.8,235.6,20.3,8.0,,2014-01-04T05:46:17,2014-01-04T18:14:06,0.09,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96741099999,WIII,96739099999,96749099999,remote,96745099999"
Banten,2014-01-05,31.0,20.5,26.2,35.5,20.5,27.2,22.5,80.4,0.717,100.0,12.5,rain,,,40.7,29.5,249.3,1008.6,58.2,8.4,135.2,11.7,4.0,,2014-01-05T05:46:48,2014-01-05T18:14:30,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96741099999,WIII,96739099999,96749099999,96745099999"
Banten,2014-01-06,29.4,24.0,26.2,33.6,24.0,27.7,23.0,82.7,8.68,100.0,4.17,rain,,,40.7,25.9,248.0,1008.5,81.2,6.7,168.3,14.7,6.0,,2014-01-06T05:47:18,2014-01-06T18:14:53,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,96745099999"
Banten,2014-01-07,31.0,22.3,27.1,36.5,22.3,29.6,23.6,82.0,5.245,100.0,8.33,rain,,,,18.4,298.8,1008.9,65.2,6.7,222.1,19.2,7.0,,2014-01-07T05:47:48,2014-01-07T18:15:15,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96741099999,WIII,96739099999,96749099999,remote,96745099999"
Banten,2014-01-08,26.0,24.0,24.9,26.0,24.0,24.9,23.4,91.8,45.411,100.0,20.83,rain,,,,14.8,228.9,1010.1,86.1,5.1,198.4,17.1,7.0,,2014-01-08T05:48:18,2014-01-08T18:15:36,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,WIII,96739099999,96749099999,96745099999"
Banten,2014-01-09,33.0,23.0,27.9,38.1,23.0,30.3,22.6,74.6,0.7,100.0,4.17,rain,,,,37.1,252.7,1009.5,55.6,6.9,213.7,18.5,8.0,,2014-01-09T05:48:47,2014-01-09T18:15:57,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96741099999,WIII,96739099999,96749099999,96745099999"
Banten,2014-01-10,33.0,25.0,27.9,40.6,25.0,30.4,23.3,76.5,1.8,100.0,8.33,rain,,,44.3,27.7,244.9,1008.8,68.2,8.5,172.8,14.8,6.0,,2014-01-10T05:49:16,2014-01-10T18:16:17,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,96745099999"
Banten,2014-01-11,33.0,23.8,27.7,39.3,23.8,30.3,23.5,78.9,29.078,100.0,12.5,rain,,,,20.5,322.8,1009.3,65.2,7.2,168.9,14.6,6.0,,2014-01-11T05:49:45,2014-01-11T18:16:36,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96741099999,WIII,96739099999,96749099999,remote,96745099999"
Banten,2014-01-12,29.0,22.8,25.4,33.6,22.8,26.5,23.6,90.0,42.252,100.0,25.0,rain,,,,27.7,294.6,1010.8,88.8,5.5,165.4,14.2,6.0,,2014-01-12T05:50:13,2014-01-12T18:16:55,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96741099999,96739099999,WIII,remote,96749099999,96745099999"
