name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bengkulu, Bengkulu",2013-01-01,30.2,23.6,27.1,35.7,23.6,29.2,23.8,82.8,17.0,100,8.33,rain,,,,24.1,312.8,1007.6,82.6,8.0,191.7,16.6,7,,2013-01-01T06:04:22,2013-01-01T18:24:31,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-02,28.9,23.2,26.1,33.0,23.2,26.6,24.0,88.7,39.6,100,20.83,rain,,,,33.5,303.6,1008.9,85.2,6.6,146.4,12.8,5,,2013-01-02T06:04:52,2013-01-02T18:24:57,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-03,30.7,23.9,26.7,35.4,23.9,28.4,24.0,85.9,2.5,100,8.33,rain,,,,22.3,306.1,1009.2,77.1,8.8,157.7,13.7,6,,2013-01-03T06:05:21,2013-01-03T18:25:23,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-04,27.6,23.2,26.5,31.2,23.2,28.6,23.7,84.9,33.1,100,16.67,rain,,,,25.9,304.8,1008.6,85.3,6.5,167.5,14.3,5,,2013-01-04T06:05:51,2013-01-04T18:25:48,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-05,29.9,23.7,27.1,36.1,23.7,29.5,24.0,83.3,0.9,100,4.17,rain,,,,31.3,313.9,1006.9,75.3,8.7,252.8,21.9,9,,2013-01-05T06:06:20,2013-01-05T18:26:13,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-06,27.5,22.7,26.5,31.4,22.7,28.9,24.0,86.4,21.4,100,12.5,rain,,,,29.5,295.2,1008.6,84.0,7.6,195.2,16.8,7,,2013-01-06T06:06:48,2013-01-06T18:26:37,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-07,31.1,22.9,27.1,35.7,22.9,29.5,24.0,83.4,7.1,100,4.17,rain,,,,33.5,312.5,1008.2,81.5,8.4,227.8,19.6,8,,2013-01-07T06:07:17,2013-01-07T18:27:01,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-08,27.9,23.6,26.6,32.4,23.6,29.3,24.2,86.6,10.1,100,16.67,rain,,,,32.8,302.3,1008.8,80.1,6.9,179.0,15.7,5,,2013-01-08T06:07:45,2013-01-08T18:27:23,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-09,27.8,22.7,26.5,31.3,22.7,28.9,23.5,84.3,39.6,100,16.67,rain,,,,40.0,301.0,1010.6,82.5,5.7,226.6,19.7,8,,2013-01-09T06:08:13,2013-01-09T18:27:46,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-10,30.1,22.7,26.8,34.5,22.7,29.2,23.3,81.8,12.6,100,8.33,rain,,,,34.9,296.5,1008.9,79.3,8.4,184.8,15.9,6,,2013-01-10T06:08:40,2013-01-10T18:28:07,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-11,29.7,22.9,26.6,34.3,22.9,29.0,23.8,84.9,58.0,100,16.67,rain,,,,30.2,304.7,1009.8,92.5,7.3,225.5,19.5,8,,2013-01-11T06:09:07,2013-01-11T18:28:28,0.98,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-12,31.1,23.7,27.3,35.4,23.7,29.7,23.5,80.6,7.3,100,66.67,rain,,,,37.1,309.8,1008.9,86.9,8.3,200.1,17.2,6,,2013-01-12T06:09:34,2013-01-12T18:28:48,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-13,28.3,23.2,26.8,32.8,23.2,29.6,24.0,85.0,39.0,100,20.83,rain,,,,34.6,314.5,1009.2,63.7,6.0,254.7,22.1,8,,2013-01-13T06:10:00,2013-01-13T18:29:07,0.05,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-14,29.7,23.7,27.2,34.6,23.7,30.4,24.2,83.9,9.0,100,8.33,rain,,,,28.8,313.3,1008.3,73.0,7.3,201.4,17.4,7,,2013-01-14T06:10:26,2013-01-14T18:29:26,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-15,27.9,23.4,26.8,31.8,23.4,29.6,24.0,84.9,9.2,100,16.67,rain,,,,37.1,323.0,1009.8,90.3,6.4,168.6,14.3,6,,2013-01-15T06:10:51,2013-01-15T18:29:44,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-16,31.4,24.2,27.9,35.5,24.2,31.3,23.8,78.8,3.0,100,66.67,rain,,,,26.3,315.1,1008.9,71.8,8.9,284.9,24.5,10,,2013-01-16T06:11:15,2013-01-16T18:30:01,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2013-01-17,32.1,24.7,27.8,37.0,24.7,31.5,24.4,82.5,3.0,100,4.17,rain,,,,20.5,297.9,1008.3,81.9,7.9,160.4,14.0,6,,2013-01-17T06:11:39,2013-01-17T18:30:17,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
