name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kalimantan barat,2014-01-01,31.0,23.9,25.6,37.4,23.9,26.7,24.1,92.4,50.3,100,12.5,rain,,,,37.1,32.6,1010.4,85.2,6.7,126.3,10.8,5,,2014-01-01T05:42:24,2014-01-01T17:49:43,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-02,32.0,23.7,26.6,37.9,23.7,28.5,24.2,87.4,0.2,100,4.17,rain,,,,14.8,346.0,1010.5,85.0,8.8,148.7,13.0,5,,2014-01-02T05:42:53,2014-01-02T17:50:11,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-03,32.0,23.9,27.0,37.9,23.9,28.9,24.0,84.9,0.6,100,8.33,rain,,,,20.5,312.9,1010.0,65.6,8.4,217.1,18.7,8,,2014-01-03T05:43:21,2014-01-03T17:50:39,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-04,31.7,24.0,26.8,36.7,24.0,28.7,24.3,87.2,1.8,100,20.83,rain,,,,20.5,322.6,1009.4,72.7,7.7,174.8,15.0,6,,2014-01-04T05:43:48,2014-01-04T17:51:06,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-05,27.0,23.8,25.2,30.1,23.8,25.6,24.0,93.4,19.0,100,8.33,rain,,,,27.7,263.0,1008.8,81.8,7.8,101.9,8.9,3,,2014-01-05T05:44:15,2014-01-05T17:51:33,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-06,30.1,23.7,26.2,35.2,23.7,27.7,23.8,87.6,0.4,100,4.17,rain,,,,18.4,325.8,1008.4,88.2,7.8,199.0,17.2,7,,2014-01-06T05:44:42,2014-01-06T17:51:59,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-07,30.0,23.8,26.0,35.1,23.8,27.3,23.6,87.4,0.4,100,16.67,rain,,,,27.7,303.4,1009.0,81.6,7.9,147.8,12.8,6,,2014-01-07T05:45:08,2014-01-07T17:52:25,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-08,30.1,23.0,26.0,35.1,23.0,27.5,23.5,87.1,0.6,100,25.0,rain,,,,16.6,300.5,1010.0,77.7,7.7,184.7,16.0,7,,2014-01-08T05:45:34,2014-01-08T17:52:50,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-09,30.0,23.8,26.4,35.2,23.8,28.5,24.2,88.3,1.0,100,4.17,rain,,,,16.6,285.1,1009.5,69.4,8.1,217.3,18.9,7,,2014-01-09T05:46:00,2014-01-09T17:53:15,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-10,28.0,23.8,25.3,32.7,23.8,25.6,24.2,94.2,0.4,100,16.67,rain,,,,16.6,7.8,1010.3,84.8,7.3,166.2,14.3,6,,2014-01-10T05:46:25,2014-01-10T17:53:40,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-11,32.0,23.0,26.9,37.9,23.0,29.0,23.8,84.2,0.5,100,16.67,rain,,,,11.2,1.6,1010.6,71.4,8.9,212.5,18.4,7,,2014-01-11T05:46:49,2014-01-11T17:54:04,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-12,32.2,23.7,26.1,37.7,23.7,27.5,23.6,87.4,15.0,100,4.17,rain,,,,18.4,10.0,1010.4,84.7,7.1,206.2,17.9,7,,2014-01-12T05:47:13,2014-01-12T17:54:27,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-13,32.0,23.0,26.2,37.9,23.0,27.9,24.0,88.8,1.0,100,4.17,rain,,,,32.4,347.7,1009.7,76.8,7.6,186.2,16.1,7,,2014-01-13T05:47:36,2014-01-13T17:54:50,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-14,30.0,23.0,26.1,34.1,23.0,27.3,23.2,85.1,0.3,100,12.5,rain,,,,18.4,357.5,1010.7,77.7,7.7,190.3,16.5,7,,2014-01-14T05:47:58,2014-01-14T17:55:12,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-15,30.0,23.0,26.3,34.1,23.0,27.9,23.1,83.0,0.0,0,0.0,,,,,16.6,14.6,1011.7,75.4,8.3,163.2,14.0,6,,2014-01-15T05:48:20,2014-01-15T17:55:33,0.47,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-16,31.0,23.0,26.2,33.7,23.0,27.4,22.3,80.7,0.0,0,0.0,,,,,18.0,26.4,1011.8,70.0,7.9,212.0,18.2,8,,2014-01-16T05:48:42,2014-01-16T17:55:54,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-17,29.4,21.9,25.5,33.5,21.9,26.7,22.6,85.0,0.0,0,0.0,,,,,18.4,359.0,1011.6,76.6,8.0,251.1,21.8,9,,2014-01-17T05:49:02,2014-01-17T17:56:14,0.53,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-18,30.9,22.0,25.9,33.6,22.0,27.3,23.0,84.9,0.1,100,4.17,rain,,,,22.3,354.0,1012.2,74.3,7.3,270.8,23.3,9,,2014-01-18T05:49:22,2014-01-18T17:56:33,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-19,30.9,22.2,25.5,35.6,22.2,26.5,22.8,85.7,0.2,100,8.33,rain,,,,16.6,353.8,1013.0,87.5,7.6,260.5,22.4,8,,2014-01-19T05:49:41,2014-01-19T17:56:52,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96581099999,remote"
Kalimantan barat,2014-01-20,30.9,22.4,25.2,33.3,22.4,26.0,22.4,85.1,0.0,0,0.0,,,,,14.8,347.1,1012.8,84.4,6.9,283.2,24.4,10,,2014-01-20T05:50:00,2014-01-20T17:57:09,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-21,31.1,22.4,26.0,34.6,22.4,27.2,21.9,79.5,0.0,0,0.0,,,,,20.5,341.7,1011.4,71.6,5.9,273.4,23.6,9,,2014-01-21T05:50:18,2014-01-21T17:57:27,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-22,30.1,22.0,25.3,33.6,22.0,26.4,22.0,82.5,0.0,0,0.0,,,,,18.4,342.2,1011.7,67.4,6.9,204.1,17.6,7,,2014-01-22T05:50:35,2014-01-22T17:57:43,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-23,30.0,21.0,25.6,34.4,21.0,27.1,22.2,82.7,0.0,0,0.0,,,,,22.3,2.5,1011.7,67.3,7.1,273.0,23.7,9,,2014-01-23T05:50:51,2014-01-23T17:57:58,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-24,31.0,20.0,25.7,34.6,20.0,26.9,22.8,84.4,0.0,0,0.0,,,,,16.6,350.2,1010.5,74.1,6.6,236.7,20.5,8,,2014-01-24T05:51:06,2014-01-24T17:58:13,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
Kalimantan barat,2014-01-25,31.8,22.0,26.0,35.5,22.0,27.3,22.5,82.8,0.0,0,0.0,,,,,16.6,347.9,1010.2,55.8,7.2,138.9,12.0,5,,2014-01-25T05:51:21,2014-01-25T17:58:27,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96581099999,WIOO,remote"
