name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kalimantan Selatan,2014-01-01,29.0,22.2,26.2,32.9,22.2,27.4,23.3,84.5,0.4,100,4.17,rain,,,,19.4,254.5,1010.1,68.4,9.6,161.2,13.9,6,,2014-01-01T06:15:44,2014-01-01T18:34:19,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-02,30.0,24.2,26.6,35.1,24.2,28.3,24.0,86.2,4.0,100,4.17,rain,,,,18.7,246.1,1010.1,69.3,9.6,211.8,18.2,7,,2014-01-02T06:16:14,2014-01-02T18:34:45,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-03,27.5,24.0,25.9,31.2,24.0,27.5,24.1,90.0,14.0,100,4.17,rain,,,,15.8,250.2,1009.3,76.2,8.7,160.6,13.9,5,,2014-01-03T06:16:43,2014-01-03T18:35:11,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-04,29.0,23.7,26.6,34.5,23.7,28.9,24.0,85.9,13.0,100,8.33,rain,,,,22.3,245.9,1008.9,66.5,9.1,108.6,9.4,3,,2014-01-04T06:17:12,2014-01-04T18:35:37,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-05,30.0,23.0,26.2,35.1,23.0,27.7,24.0,87.5,2.0,100,4.17,rain,,,,24.8,263.0,1008.7,65.9,9.2,118.4,10.3,4,,2014-01-05T06:17:41,2014-01-05T18:36:02,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-06,29.1,23.9,26.3,33.6,23.9,27.6,23.6,85.1,16.0,100,4.17,rain,,,,23.3,260.1,1008.6,73.2,9.4,130.2,11.3,4,,2014-01-06T06:18:10,2014-01-06T18:36:27,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-07,31.6,24.1,26.9,37.0,24.1,29.0,24.1,85.2,20.0,100,4.17,rain,,,,24.1,242.1,1008.9,66.4,8.8,209.4,18.1,7,,2014-01-07T06:18:38,2014-01-07T18:36:51,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-08,31.1,24.6,27.3,37.7,24.6,29.9,24.5,85.1,0.8,100,4.17,rain,,,,22.3,257.9,1009.0,65.7,9.6,226.1,19.5,8,,2014-01-08T06:19:06,2014-01-08T18:37:14,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-09,27.0,23.0,25.4,30.6,23.0,26.0,24.1,93.0,31.0,100,12.5,rain,,,,16.6,278.7,1009.3,69.2,5.6,130.1,11.2,4,,2014-01-09T06:19:34,2014-01-09T18:37:37,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-10,28.0,24.2,26.1,32.7,24.2,27.1,24.0,88.6,9.0,100,4.17,rain,,,,13.0,324.1,1009.3,73.1,8.4,171.0,14.8,5,,2014-01-10T06:20:01,2014-01-10T18:37:59,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-11,30.4,24.0,26.9,36.0,24.0,29.3,24.0,85.0,0.2,100,4.17,rain,,,,11.5,339.8,1010.4,70.9,9.3,214.1,18.4,8,,2014-01-11T06:20:28,2014-01-11T18:38:20,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-12,29.2,24.1,27.0,34.5,24.1,29.1,24.2,85.0,2.7,100,37.5,rain,,,,18.4,221.9,1009.6,70.9,9.3,174.1,15.1,6,,2014-01-12T06:20:54,2014-01-12T18:38:41,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-13,31.2,25.0,27.8,37.7,25.0,31.1,24.8,84.4,3.0,100,8.33,rain,,,,27.0,230.3,1008.9,61.1,9.2,171.6,15.0,6,,2014-01-13T06:21:20,2014-01-13T18:39:01,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-14,30.0,24.2,27.2,36.2,24.2,30.2,24.6,86.1,12.0,100,8.33,rain,,,,28.4,239.2,1008.9,65.7,9.1,126.5,10.8,4,,2014-01-14T06:21:45,2014-01-14T18:39:20,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-15,34.0,23.4,27.5,41.7,23.4,30.8,24.2,82.9,35.0,100,8.33,rain,,,,31.7,267.5,1009.3,65.0,8.9,164.5,14.2,6,,2014-01-15T06:22:10,2014-01-15T18:39:38,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-16,27.1,23.6,25.6,30.4,23.6,26.6,23.8,89.7,7.0,100,8.33,rain,,,,33.1,300.1,1010.7,72.6,8.7,121.3,10.4,4,,2014-01-16T06:22:34,2014-01-16T18:39:56,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-17,31.0,24.0,26.8,36.5,24.0,28.7,24.0,85.6,1.8,100,37.5,rain,,,,25.9,296.0,1009.8,68.6,9.4,171.7,15.0,6,,2014-01-17T06:22:58,2014-01-17T18:40:13,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-18,31.9,24.7,27.9,37.5,24.7,30.6,23.9,79.5,0.8,100,33.33,rain,,,,22.0,271.1,1010.1,62.3,9.7,201.8,17.5,7,,2014-01-18T06:23:21,2014-01-18T18:40:29,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-19,32.1,25.1,27.3,39.5,25.1,29.9,24.4,84.7,15.0,100,4.17,rain,,,,25.2,273.9,1010.4,80.5,8.8,129.2,11.2,4,,2014-01-19T06:23:43,2014-01-19T18:40:44,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96685099999,remote"
Kalimantan Selatan,2014-01-20,30.9,23.7,26.9,34.9,23.7,29.4,23.9,83.8,3.2,100,33.33,rain,,,,34.2,288.7,1010.2,79.3,8.9,203.5,17.5,7,,2014-01-20T06:24:05,2014-01-20T18:40:59,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96685099999,remote"
Kalimantan Selatan,2014-01-21,32.0,25.2,27.9,35.5,25.2,30.0,23.3,77.4,0.0,0,0.0,,,,,33.1,300.0,1008.8,66.2,9.3,269.6,23.3,9,,2014-01-21T06:24:26,2014-01-21T18:41:13,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-22,32.0,25.0,28.0,35.5,25.0,30.3,23.1,75.7,0.0,0,0.0,,,,,33.1,284.5,1009.6,58.2,9.7,206.6,17.9,7,,2014-01-22T06:24:47,2014-01-22T18:41:25,0.7,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-23,32.5,24.0,28.2,37.6,24.0,30.7,23.3,76.3,0.0,0,0.0,,,,,28.8,281.1,1009.6,50.0,9.5,280.8,24.1,9,,2014-01-23T06:25:07,2014-01-23T18:41:37,0.74,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-24,30.0,25.0,27.4,35.1,25.0,29.7,24.0,82.2,0.4,100,16.67,rain,,,,25.6,302.7,1009.2,60.9,9.1,124.3,10.6,4,,2014-01-24T06:25:26,2014-01-24T18:41:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-25,32.0,24.9,28.0,37.7,24.9,31.0,24.1,80.1,0.0,0,0.0,,,,,14.8,253.8,1009.2,52.8,9.5,203.2,17.7,7,,2014-01-25T06:25:44,2014-01-25T18:41:59,0.8,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-26,30.0,25.0,27.4,35.1,25.0,29.9,24.2,82.9,0.1,100,4.17,rain,,,,22.3,244.9,1009.6,58.8,8.9,142.7,12.5,5,,2014-01-26T06:26:02,2014-01-26T18:42:08,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-27,31.0,24.0,27.5,36.5,24.0,30.7,24.5,84.4,5.0,100,4.17,rain,,,,22.0,275.5,1009.5,59.5,8.6,147.4,12.6,5,,2014-01-27T06:26:19,2014-01-27T18:42:16,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-28,31.0,25.0,27.6,36.5,25.0,31.0,24.8,85.1,1.2,100,20.83,rain,,,,15.1,247.4,1008.5,60.3,8.4,198.1,17.0,7,,2014-01-28T06:26:35,2014-01-28T18:42:24,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-29,29.0,25.0,27.4,34.5,25.0,30.7,24.9,86.6,0.5,100,4.17,rain,,,,23.4,242.0,1008.6,66.4,7.6,128.7,11.2,4,,2014-01-29T06:26:51,2014-01-29T18:42:31,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-30,31.6,24.2,27.8,38.1,24.2,31.4,24.7,83.9,16.0,100,4.17,rain,,,,26.6,284.5,1009.0,76.9,9.2,215.5,18.6,8,,2014-01-30T06:27:06,2014-01-30T18:42:37,0.97,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-01-31,30.9,25.7,27.6,37.0,25.7,30.7,24.3,82.4,1.8,100,25.0,rain,,,,30.2,273.5,1009.5,77.9,8.1,291.7,25.3,10,,2014-01-31T06:27:20,2014-01-31T18:42:41,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96685099999,remote"
Kalimantan Selatan,2014-02-01,30.1,25.7,27.4,35.9,25.7,30.7,24.4,83.9,0.0,0,0.0,,,,,31.3,277.5,1008.3,64.7,8.4,281.0,24.2,9,,2014-02-01T06:27:33,2014-02-01T18:42:45,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96685099999,remote"
Kalimantan Selatan,2014-02-02,32.1,25.1,27.8,37.3,25.1,31.3,24.4,82.5,0.5,100,20.83,rain,,,,27.4,289.7,1007.5,75.9,8.1,245.1,21.2,10,,2014-02-02T06:27:46,2014-02-02T18:42:49,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96685099999,remote"
Kalimantan Selatan,2014-02-03,32.0,26.2,28.2,37.9,26.2,32.2,24.8,82.3,8.0,100,4.17,rain,,,,23.0,296.9,1006.6,62.8,8.4,237.9,20.6,8,,2014-02-03T06:27:57,2014-02-03T18:42:51,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-04,33.0,25.0,28.5,38.1,25.0,31.9,24.3,79.2,1.5,100,16.67,rain,,,,14.4,324.7,1006.3,59.5,8.9,228.9,20.0,8,,2014-02-04T06:28:08,2014-02-04T18:42:52,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-05,30.0,26.0,27.3,36.2,26.0,30.3,24.6,85.5,8.0,100,4.17,rain,,,,11.2,295.3,1006.4,68.1,6.7,167.7,14.4,6,,2014-02-05T06:28:19,2014-02-05T18:42:53,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-06,30.2,24.9,27.2,36.6,24.9,30.0,24.4,85.1,4.0,100,45.83,rain,,,,16.6,213.1,1006.4,68.1,7.9,159.9,13.7,6,,2014-02-06T06:28:28,2014-02-06T18:42:52,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-07,30.0,24.3,27.1,35.1,24.3,29.6,23.9,83.3,20.0,100,4.17,rain,,,,14.8,246.7,1006.1,67.4,8.6,141.0,12.1,5,,2014-02-07T06:28:37,2014-02-07T18:42:51,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-08,32.0,25.0,28.1,37.3,25.0,31.4,24.0,79.5,5.7,100,25.0,rain,,,,14.8,255.3,1005.5,55.0,9.2,244.5,21.0,8,,2014-02-08T06:28:45,2014-02-08T18:42:49,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-09,31.0,23.0,26.9,37.7,23.0,29.6,24.1,85.4,8.0,100,8.33,rain,,,,18.4,274.7,1006.4,63.9,8.1,149.0,13.0,5,,2014-02-09T06:28:52,2014-02-09T18:42:46,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-10,31.9,23.0,26.7,38.5,23.0,29.4,24.0,85.6,45.0,100,12.5,rain,,,,31.5,273.7,1006.6,70.3,8.0,184.8,16.1,7,,2014-02-10T06:28:59,2014-02-10T18:42:42,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WAOO,96685099999,remote"
Kalimantan Selatan,2014-02-11,29.0,24.4,26.6,34.5,24.4,28.9,23.9,85.3,11.0,100,4.17,rain,,,,14.4,245.6,1007.3,65.3,8.6,174.3,15.2,6,,2014-02-11T06:29:04,2014-02-11T18:42:38,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WAOO,96685099999,remote"
