name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kalimantan Tengah,2014-01-01,83.9,74.0,78.1,92.6,74.0,80.0,74.5,89.5,0.039,100.0,4.17,rain,,,,4.7,117.4,1012.6,87.8,4.3,122.8,10.6,4.0,,2014-01-01T05:20:22,2014-01-01T17:35:07,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-02,90.2,73.7,80.2,98.7,73.7,83.1,74.7,84.9,0.154,100.0,33.33,rain,,,,4.7,217.4,1012.5,77.8,4.2,264.9,22.8,9.0,,2014-01-02T05:20:52,2014-01-02T17:35:34,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-03,87.9,74.6,79.8,99.0,74.6,83.4,75.5,87.8,0.433,100.0,8.33,rain,,,,10.3,269.2,1011.5,86.9,4.0,193.3,16.6,8.0,,2014-01-03T05:21:20,2014-01-03T17:36:01,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-04,89.0,74.9,78.7,99.5,74.9,81.5,75.2,89.9,0.394,100.0,4.17,rain,,,,12.8,239.0,1011.3,85.3,4.1,146.6,12.5,6.0,,2014-01-04T05:21:49,2014-01-04T17:36:27,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-05,86.3,73.7,77.8,94.9,73.7,79.7,74.2,89.4,0.41,100.0,8.33,rain,,,,5.8,265.6,1011.3,86.4,4.2,177.8,15.3,6.0,,2014-01-05T05:22:17,2014-01-05T17:36:53,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-06,87.3,73.5,78.1,94.9,73.5,80.3,73.9,88.1,0.63,100.0,4.17,rain,,,,9.2,211.4,1011.1,82.0,4.3,210.1,18.1,9.0,,2014-01-06T05:22:46,2014-01-06T17:37:18,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-07,88.1,72.8,78.5,97.0,72.8,81.3,74.4,88.4,0.476,100.0,12.5,rain,,,,13.9,216.4,1011.4,83.9,3.5,248.3,21.5,9.0,,2014-01-07T05:23:13,2014-01-07T17:37:42,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-08,87.9,73.7,78.8,96.6,73.7,81.5,74.6,88.2,0.551,100.0,8.33,rain,,,,13.9,251.4,1011.8,73.0,3.5,234.4,20.3,8.0,,2014-01-08T05:23:40,2014-01-08T17:38:07,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-09,86.1,73.8,78.7,95.1,73.8,81.4,74.7,88.4,0.193,100.0,16.67,rain,,,,9.2,214.2,1011.9,84.1,4.1,221.9,19.2,8.0,,2014-01-09T05:24:07,2014-01-09T17:38:30,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-10,86.1,74.0,79.4,96.8,74.0,83.4,75.3,87.9,0.157,100.0,4.17,rain,,,,11.4,8.7,1012.1,87.8,4.6,142.5,12.3,5.0,,2014-01-10T05:24:34,2014-01-10T17:38:53,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-11,87.0,73.3,79.2,95.4,73.3,82.3,75.2,88.7,0.336,100.0,70.83,rain,,,,6.9,27.5,1011.9,84.1,4.3,230.8,19.9,8.0,,2014-01-11T05:25:00,2014-01-11T17:39:15,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96655099999,remote"
Kalimantan Tengah,2014-01-12,88.1,74.7,79.3,100.0,74.7,82.3,75.0,87.5,0.048,100.0,25.0,rain,,,,8.1,246.2,1012.5,88.2,4.7,134.6,11.6,5.0,,2014-01-12T05:25:25,2014-01-12T17:39:37,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96655099999,remote"
