name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kalimantan Utara,2014-01-01,33.0,21.8,25.5,40.1,21.8,26.9,23.1,87.6,0.923,100,8.33,rain,,,,14.4,213.8,1010.3,76.4,8.0,220.6,19.1,8,,2014-01-01T06:14:44,2014-01-01T18:12:35,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-02,32.9,23.8,25.9,38.7,23.8,26.9,24.1,90.4,5.064,100,12.5,rain,,,,14.0,178.5,1010.3,81.6,8.9,128.8,11.1,5,,2014-01-02T06:15:11,2014-01-02T18:13:05,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-03,30.1,23.8,25.5,36.2,23.8,26.2,24.0,91.4,6.007,100,12.5,rain,,,,17.2,24.6,1010.4,84.1,7.3,96.5,8.3,3,,2014-01-03T06:15:38,2014-01-03T18:13:34,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-04,32.3,22.6,25.9,38.6,22.6,27.3,23.8,89.1,3.594,100,16.67,rain,,,,15.9,36.4,1009.6,78.2,7.5,196.0,17.2,7,,2014-01-04T06:16:04,2014-01-04T18:14:02,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-05,30.7,24.0,25.7,37.1,24.0,26.8,24.0,90.7,5.9,100,66.67,rain,,,,17.1,151.4,1009.4,82.4,8.3,167.5,14.5,6,,2014-01-05T06:16:30,2014-01-05T18:14:31,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-06,31.7,23.1,25.9,37.4,23.1,27.2,23.6,87.9,0.881,100,12.5,rain,,,,14.0,144.9,1009.0,76.3,8.7,221.0,19.1,7,,2014-01-06T06:16:55,2014-01-06T18:14:59,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-07,29.6,23.5,25.6,34.8,23.5,26.5,23.9,90.7,3.048,100,12.5,rain,,,,13.4,129.4,1009.5,82.8,7.3,170.4,14.6,7,,2014-01-07T06:17:20,2014-01-07T18:15:26,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-08,33.8,23.4,26.8,41.7,23.4,28.8,24.2,86.9,2.722,100,8.33,rain,,,,13.7,177.3,1008.9,64.6,8.0,224.3,19.4,8,,2014-01-08T06:17:44,2014-01-08T18:15:54,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-09,30.5,23.0,25.2,35.3,23.0,25.8,23.8,92.3,28.74,100,8.33,rain,,,,14.0,89.3,1010.5,84.2,7.2,100.0,8.5,4,,2014-01-09T06:18:08,2014-01-09T18:16:20,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-10,31.7,22.9,25.0,36.9,22.9,25.7,23.7,93.2,42.584,100,20.83,rain,,,,17.2,345.0,1010.5,90.2,7.2,91.9,7.9,3,,2014-01-10T06:18:30,2014-01-10T18:16:47,0.3,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-11,31.3,22.3,24.8,36.5,22.3,25.4,23.3,91.8,2.9,100,62.5,rain,,,,21.4,324.1,1010.9,85.0,7.9,126.7,11.0,4,,2014-01-11T06:18:53,2014-01-11T18:17:13,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-12,28.9,22.1,24.8,32.6,22.1,25.2,23.0,90.1,0.07,100,12.5,rain,,,,9.3,329.2,1010.1,88.0,7.7,134.1,11.4,5,,2014-01-12T06:19:14,2014-01-12T18:17:38,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-13,32.1,22.5,25.7,38.2,22.5,27.1,23.5,89.0,1.013,100,8.33,rain,,,,17.7,234.9,1008.7,84.9,8.3,172.3,15.0,5,,2014-01-13T06:19:35,2014-01-13T18:18:03,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-14,30.0,23.5,25.3,36.4,23.5,26.2,24.0,92.5,1.92,100,12.5,rain,,,,11.8,208.0,1009.0,91.7,8.2,82.8,7.3,3,,2014-01-14T06:19:56,2014-01-14T18:18:28,0.43,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-15,30.5,23.1,25.3,35.8,23.1,26.3,23.7,91.3,14.21,100,20.83,rain,,,,19.2,321.6,1010.2,86.0,6.1,163.8,14.2,7,,2014-01-15T06:20:15,2014-01-15T18:18:51,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-16,31.3,23.6,25.4,35.2,23.6,26.3,23.5,90.2,0.555,100,8.33,rain,,,,17.2,328.7,1011.1,86.1,8.2,134.6,11.6,5,,2014-01-16T06:20:34,2014-01-16T18:19:15,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-17,31.2,22.5,25.9,36.0,22.5,27.3,23.5,87.4,1.6,100,54.17,rain,,,,19.4,21.6,1010.5,73.4,8.5,232.0,20.0,8,,2014-01-17T06:20:52,2014-01-17T18:19:37,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96529099999,96525099999,remote,96509099999"
Kalimantan Utara,2014-01-18,32.8,22.8,26.3,39.3,22.8,27.9,23.6,86.4,1.82,100,4.17,rain,,,,15.5,22.6,1010.9,55.4,8.3,254.5,22.2,9,,2014-01-18T06:21:09,2014-01-18T18:19:59,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96529099999,96525099999,remote,96509099999"
