name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nusa Tenggara Timur,2014-01-01,86.6,76.2,81.5,102.1,76.2,88.2,76.9,86.2,0.945,100,8.33,rain,,,,8.9,242.8,1010.0,77.3,4.6,155.8,13.5,6,,2014-01-01T05:27:35,2014-01-01T18:09:52,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"remote,97372099999"
Nusa Tenggara Timur,2014-01-02,86.8,74.4,81.5,99.7,74.4,86.2,74.4,80.9,0.787,100,4.17,rain,,,,8.1,263.5,1009.6,79.1,4.9,214.6,18.5,7,,2014-01-02T05:28:07,2014-01-02T18:10:16,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-03,88.1,76.2,82.9,103.1,76.2,90.6,75.5,80.0,0.088,100,50.0,rain,,,,8.1,225.7,1009.3,79.5,5.7,208.4,17.9,7,,2014-01-03T05:28:40,2014-01-03T18:10:39,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-04,87.5,75.3,82.5,101.4,75.3,89.6,76.4,82.3,1.575,100,8.33,rain,,,,12.8,296.2,1009.1,82.8,5.7,191.3,16.4,7,,2014-01-04T05:29:13,2014-01-04T18:11:01,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-05,88.4,74.0,83.6,103.0,74.0,92.9,77.1,81.5,1.535,100,4.17,rain,,,,8.3,295.9,1008.6,82.0,6.2,226.9,19.5,7,,2014-01-05T05:29:45,2014-01-05T18:11:22,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"remote,97372099999"
Nusa Tenggara Timur,2014-01-06,89.0,77.1,82.5,100.8,77.1,90.1,76.8,83.3,0.128,100,50.0,rain,,,,8.3,176.1,1009.1,78.5,5.6,123.6,10.7,4,,2014-01-06T05:30:18,2014-01-06T18:11:43,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"remote,97372099999"
Nusa Tenggara Timur,2014-01-07,96.8,75.8,82.7,107.3,75.8,89.5,76.0,82.1,0.354,100,8.33,rain,,,,9.2,218.6,1008.4,79.6,5.3,189.3,16.3,7,,2014-01-07T05:30:50,2014-01-07T18:12:02,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-08,121.9,67.9,84.5,121.9,67.9,92.9,73.3,75.8,0.032,100,25.0,rain,,,,8.9,259.4,1008.8,68.6,5.4,210.5,18.2,7,,2014-01-08T05:31:23,2014-01-08T18:12:21,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-09,92.6,77.0,83.9,110.5,77.0,93.8,78.0,82.9,0.118,100,4.17,rain,,,,9.2,264.6,1008.4,65.0,5.3,160.2,13.9,5,,2014-01-09T05:31:55,2014-01-09T18:12:39,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-10,88.1,76.4,83.6,104.3,76.4,92.5,76.8,80.3,0.024,100,25.0,rain,,,,11.4,285.5,1009.5,73.6,6.1,214.9,18.6,7,,2014-01-10T05:32:27,2014-01-10T18:12:56,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-11,87.9,76.4,82.4,101.6,76.4,89.8,76.8,83.9,1.496,100,4.17,rain,,,,11.6,262.9,1010.1,71.2,5.3,238.9,20.6,8,,2014-01-11T05:32:59,2014-01-11T18:13:12,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-12,89.7,75.5,83.3,104.1,75.5,92.6,77.5,83.2,0.591,100,4.17,rain,,,,16.6,243.3,1009.0,77.9,5.7,192.7,16.6,6,,2014-01-12T05:33:30,2014-01-12T18:13:28,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-13,87.5,77.6,83.6,100.1,77.6,93.8,77.9,83.1,0.039,100,4.17,rain,,,,17.9,246.5,1007.0,78.9,5.5,127.5,11.1,4,,2014-01-13T05:34:02,2014-01-13T18:13:42,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"WATT,97372599999,remote,97372099999"
Nusa Tenggara Timur,2014-01-14,88.0,76.7,83.5,102.8,76.7,93.4,77.7,82.9,0.028,100,8.33,rain,,,27.5,25.7,256.6,1005.9,85.2,4.9,164.2,14.4,7,,2014-01-14T05:34:33,2014-01-14T18:13:55,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"WATT,97372599999,remote,97372099999"
