name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
papua barat,2014-01-01,85.6,75.5,81.1,92.7,75.5,85.6,74.1,80.1,0.079,100,4.17,rain,,,,6.9,290.4,1009.5,69.8,4.5,214.5,18.4,7,,2014-01-01T06:02:01,2014-01-01T18:12:11,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97530099999,remote"
papua barat,2014-01-01,85.6,75.5,81.1,92.7,75.5,85.6,74.1,80.1,0.079,100,4.17,rain,,,,6.9,290.4,1009.5,69.8,4.5,214.5,18.4,7,,2014-01-01T06:02:01,2014-01-01T18:12:11,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97530099999,remote"
papua barat,2014-01-02,89.7,73.5,82.0,104.1,73.5,88.3,74.6,78.8,0.276,100,4.17,rain,,,,8.1,140.1,1009.2,70.4,5.0,281.8,24.4,9,,2014-01-02T06:02:30,2014-01-02T18:12:39,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-02,89.7,73.5,82.0,104.1,73.5,88.3,74.6,78.8,0.276,100,4.17,rain,,,,8.1,140.1,1009.2,70.4,5.0,281.8,24.4,9,,2014-01-02T06:02:30,2014-01-02T18:12:39,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-03,89.9,75.8,82.3,104.9,75.8,87.5,73.0,74.5,0.039,100,4.17,rain,,,,7.8,324.5,1008.9,73.4,4.8,208.3,18.1,8,,2014-01-03T06:02:58,2014-01-03T18:13:06,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-03,89.9,75.8,82.3,104.9,75.8,87.5,73.0,74.5,0.039,100,4.17,rain,,,,7.8,324.5,1008.9,73.4,4.8,208.3,18.1,8,,2014-01-03T06:02:58,2014-01-03T18:13:06,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-04,89.9,74.4,82.2,103.1,74.4,88.0,74.8,79.2,0.197,100,4.17,rain,,,,8.1,336.8,1008.3,85.2,3.7,211.2,18.2,8,,2014-01-04T06:03:26,2014-01-04T18:13:33,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-04,89.9,74.4,82.2,103.1,74.4,88.0,74.8,79.2,0.197,100,4.17,rain,,,,8.1,336.8,1008.3,85.2,3.7,211.2,18.2,8,,2014-01-04T06:03:26,2014-01-04T18:13:33,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-05,92.0,74.9,82.9,107.4,74.9,89.9,75.6,79.3,0.157,100,4.17,rain,,,,5.8,129.8,1008.2,66.7,5.0,151.6,13.0,5,,2014-01-05T06:03:54,2014-01-05T18:14:00,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-05,92.0,74.9,82.9,107.4,74.9,89.9,75.6,79.3,0.157,100,4.17,rain,,,,5.8,129.8,1008.2,66.7,5.0,151.6,13.0,5,,2014-01-05T06:03:54,2014-01-05T18:14:00,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-06,89.7,74.9,82.7,103.1,74.9,90.0,75.7,79.8,0.035,100,4.17,rain,,,,5.8,17.6,1007.4,78.8,5.0,152.6,13.1,6,,2014-01-06T06:04:21,2014-01-06T18:14:26,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-06,89.7,74.9,82.7,103.1,74.9,90.0,75.7,79.8,0.035,100,4.17,rain,,,,5.8,17.6,1007.4,78.8,5.0,152.6,13.1,6,,2014-01-06T06:04:21,2014-01-06T18:14:26,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-07,89.3,75.8,82.5,104.2,75.8,89.2,75.2,78.9,0.036,100,37.5,rain,,,,9.2,357.6,1007.4,84.4,4.9,135.8,11.5,5,,2014-01-07T06:04:48,2014-01-07T18:14:51,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97530099999,remote"
papua barat,2014-01-07,89.3,75.8,82.5,104.2,75.8,89.2,75.2,78.9,0.036,100,37.5,rain,,,,9.2,357.6,1007.4,84.4,4.9,135.8,11.5,5,,2014-01-07T06:04:48,2014-01-07T18:14:51,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97530099999,remote"
papua barat,2014-01-08,88.1,76.4,81.1,98.9,76.4,86.4,75.4,83.1,0.63,100,4.17,rain,,,,9.2,310.6,1007.5,88.1,4.3,96.2,8.4,4,,2014-01-08T06:05:15,2014-01-08T18:15:16,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-08,88.1,76.4,81.1,98.9,76.4,86.4,75.4,83.1,0.63,100,4.17,rain,,,,9.2,310.6,1007.5,88.1,4.3,96.2,8.4,4,,2014-01-08T06:05:15,2014-01-08T18:15:16,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97530099999,remote"
papua barat,2014-01-09,89.3,78.9,82.5,103.8,78.9,88.9,74.3,76.7,0.035,100,4.17,rain,,,,9.6,206.7,1007.0,85.1,4.5,159.5,13.7,6,,2014-01-09T06:05:41,2014-01-09T18:15:40,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97530099999,remote"
papua barat,2014-01-09,89.3,78.9,82.5,103.8,78.9,88.9,74.3,76.7,0.035,100,4.17,rain,,,,9.6,206.7,1007.0,85.1,4.5,159.5,13.7,6,,2014-01-09T06:05:41,2014-01-09T18:15:40,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97530099999,remote"
papua barat,2014-01-10,86.6,77.6,82.2,97.8,77.6,88.7,75.4,80.0,0.08,100,58.33,rain,,,,8.5,237.7,1007.0,84.1,5.3,137.5,11.8,5,,2014-01-10T06:06:06,2014-01-10T18:16:04,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97530099999,remote"
papua barat,2014-01-10,86.6,77.6,82.2,97.8,77.6,88.7,75.4,80.0,0.08,100,58.33,rain,,,,8.5,237.7,1007.0,84.1,5.3,137.5,11.8,5,,2014-01-10T06:06:06,2014-01-10T18:16:04,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97530099999,remote"
papua barat,2014-01-11,91.7,79.1,82.8,110.2,79.1,89.6,74.9,77.4,0.04,100,37.5,rain,,,,6.9,135.7,1007.1,83.6,4.7,135.3,11.6,5,,2014-01-11T06:06:31,2014-01-11T18:16:28,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97530099999,remote"
papua barat,2014-01-11,91.7,79.1,82.8,110.2,79.1,89.6,74.9,77.4,0.04,100,37.5,rain,,,,6.9,135.7,1007.1,83.6,4.7,135.3,11.6,5,,2014-01-11T06:06:31,2014-01-11T18:16:28,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97530099999,remote"
