name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua Pegunungan ,2022-01-01,75.8,63.8,68.0,75.8,63.8,68.0,64.1,87.5,0.504,100,58.33,rain,0.0,0.0,18.3,4.7,206.4,1013.6,100.0,,174.5,14.3,7,,2022-01-01T05:28:52,2022-01-01T17:52:52,0.94,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-02,75.1,63.2,67.1,75.1,63.2,67.1,64.5,91.5,1.418,100,83.33,rain,0.0,0.0,17.2,4.7,206.8,1013.0,99.8,,118.2,10.1,6,,2022-01-02T05:29:22,2022-01-02T17:53:17,0.98,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-03,75.3,62.1,67.2,75.3,62.1,67.2,64.3,90.8,0.568,100,95.83,rain,0.0,0.0,15.4,4.0,236.7,1011.8,100.0,,133.1,11.4,5,,2022-01-03T05:29:53,2022-01-03T17:53:43,0.0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-04,74.0,63.1,67.2,74.0,63.1,67.2,64.6,91.7,0.905,100,91.67,rain,0.0,0.0,17.0,3.4,244.3,1012.0,99.6,,152.7,13.2,5,,2022-01-04T05:30:23,2022-01-04T17:54:08,0.04,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-05,72.2,63.2,66.4,72.2,63.2,66.4,62.9,88.6,0.689,100,100.0,rain,0.0,0.0,18.6,4.9,213.8,1013.0,97.2,,82.5,7.1,3,,2022-01-05T05:30:52,2022-01-05T17:54:32,0.08,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-06,73.7,62.1,66.4,73.7,62.1,66.4,63.1,89.2,0.699,100,91.67,rain,0.0,0.0,26.4,4.9,225.6,1013.5,99.9,,148.8,12.7,6,,2022-01-06T05:31:22,2022-01-06T17:54:55,0.11,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-07,73.3,60.5,66.5,73.3,60.5,66.5,61.0,83.2,0.068,100,50.0,rain,0.0,0.0,26.2,6.3,219.5,1014.1,99.7,,238.0,20.5,8,,2022-01-07T05:31:51,2022-01-07T17:55:18,0.14,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-08,76.0,61.2,66.8,76.0,61.2,66.8,60.2,80.1,0.072,100,33.33,rain,0.0,0.0,24.8,5.8,204.8,1014.0,98.0,,230.2,19.9,9,,2022-01-08T05:32:20,2022-01-08T17:55:41,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Papua Pegunungan ,2022-01-09,72.8,61.4,66.1,72.8,61.4,66.1,61.4,85.5,0.394,100,54.17,rain,0.0,0.0,13.0,3.1,289.3,1013.7,100.0,,119.6,10.3,4,,2022-01-09T05:32:49,2022-01-09T17:56:02,0.21,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Papua Pegunungan ,2022-01-10,75.3,62.9,67.5,75.3,62.9,67.5,62.8,85.8,0.473,100,95.83,rain,0.0,0.0,13.6,4.3,283.4,1013.3,97.9,14.8,167.6,14.6,7,10.0,2022-01-10T05:33:17,2022-01-10T17:56:23,0.25,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-11,80.0,61.6,70.1,80.0,61.6,70.1,61.4,76.1,0.131,100,45.83,rain,0.0,0.0,3.8,5.4,28.8,1012.1,79.1,14.9,249.9,21.7,9,30.0,2022-01-11T05:33:45,2022-01-11T17:56:43,0.27,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-12,82.7,63.6,69.4,83.7,63.6,69.6,63.8,84.1,0.342,100,58.33,rain,0.0,0.0,5.8,6.0,18.6,1011.5,39.9,12.3,261.7,22.8,9,60.0,2022-01-12T05:34:13,2022-01-12T17:57:03,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-13,73.7,62.5,66.6,73.7,62.5,66.6,65.0,95.0,0.664,100,79.17,rain,0.0,0.0,4.5,4.5,41.5,1012.9,97.1,8.1,207.3,17.9,8,30.0,2022-01-13T05:34:40,2022-01-13T17:57:22,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-14,76.0,62.7,67.5,76.0,62.7,67.5,64.6,91.4,0.57,100,75.0,rain,0.0,0.0,4.9,4.7,20.7,1012.4,79.7,7.7,256.7,22.2,9,60.0,2022-01-14T05:35:06,2022-01-14T17:57:40,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-15,74.0,61.8,66.5,74.0,61.8,66.5,64.3,93.0,0.679,100,83.33,rain,0.0,0.0,4.9,4.5,16.2,1012.4,80.8,8.3,252.6,21.7,8,30.0,2022-01-15T05:35:33,2022-01-15T17:57:57,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-16,69.5,61.8,64.8,69.5,61.8,64.8,63.4,95.3,0.24,100,62.5,rain,0.0,0.0,2.9,4.3,17.5,1012.9,97.0,11.9,56.4,4.7,3,10.0,2022-01-16T05:35:58,2022-01-16T17:58:13,0.44,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-17,75.1,61.8,67.4,75.1,61.8,67.4,64.3,90.3,0.353,100,66.67,rain,0.0,0.0,3.6,4.3,23.3,1011.4,76.8,9.3,244.6,21.0,8,30.0,2022-01-17T05:36:23,2022-01-17T17:58:28,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-18,73.8,62.3,66.0,73.8,62.3,66.0,64.6,95.3,0.789,100,83.33,rain,0.0,0.0,4.7,3.8,40.7,1010.0,96.3,8.0,126.8,11.0,5,30.0,2022-01-18T05:36:48,2022-01-18T17:58:43,0.5,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-19,74.9,62.9,66.9,74.9,62.9,66.9,63.7,90.3,0.263,100,66.67,rain,0.0,0.0,3.4,4.7,57.9,1009.6,96.4,12.1,177.9,15.4,7,10.0,2022-01-19T05:37:12,2022-01-19T17:58:57,0.54,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-20,73.8,62.9,66.9,73.8,62.9,66.9,64.6,92.9,0.275,100,50.0,rain,0.0,0.0,4.3,4.0,68.3,1010.4,94.2,10.1,224.6,19.3,7,30.0,2022-01-20T05:37:35,2022-01-20T17:59:10,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
Papua Pegunungan ,2022-01-21,78.3,61.8,68.2,78.3,61.8,68.2,63.2,85.5,0.259,100,41.67,rain,0.0,0.0,5.1,4.5,25.5,1010.8,63.4,11.5,258.6,22.4,9,30.0,2022-01-21T05:37:58,2022-01-21T17:59:22,0.61,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-22,78.0,62.7,67.4,78.0,62.7,67.4,63.5,88.5,0.415,100,70.83,rain,0.0,0.0,4.7,4.7,49.4,1011.2,88.4,9.7,189.2,16.3,6,10.0,2022-01-22T05:38:20,2022-01-22T17:59:33,0.65,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-23,75.6,62.5,67.3,75.6,62.5,67.3,63.8,89.4,0.343,100,62.5,rain,0.0,0.0,3.4,4.0,22.0,1011.0,94.8,11.9,90.4,7.8,3,10.0,2022-01-23T05:38:42,2022-01-23T17:59:43,0.68,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-24,79.6,61.8,68.5,79.6,61.8,68.5,63.8,86.3,0.263,100,50.0,rain,0.0,0.0,5.8,4.9,3.4,1009.8,95.9,12.5,231.1,20.2,8,60.0,2022-01-24T05:39:03,2022-01-24T17:59:52,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Papua Pegunungan ,2022-01-25,83.6,62.7,69.8,85.2,62.7,70.0,64.9,86.1,0.61,100,62.5,rain,0.0,0.0,6.0,4.5,12.3,1010.5,95.5,13.8,282.7,24.4,9,75.0,2022-01-25T05:39:23,2022-01-25T18:00:01,0.75,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
