name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Papua,2014-01-01,31.1,22.2,25.4,36.4,22.2,26.6,23.0,87.5,84.8,100,12.5,rain,,,,11.2,283.2,1008.2,72.9,7.3,218.9,18.9,7,,2014-01-01T05:32:32,2014-01-01T17:48:30,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"97698099999,remote,97690099999"
Papua,2014-01-02,32.9,21.8,25.9,37.9,21.8,27.4,22.5,82.7,0.1,100,4.17,rain,,,,14.8,313.2,1008.7,82.1,8.7,245.2,21.2,9,,2014-01-02T05:33:01,2014-01-02T17:48:57,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97698099999,remote,AYVN"
Papua,2014-01-03,27.4,22.5,24.9,31.1,22.5,25.4,23.3,90.8,6.0,100,4.17,rain,,,,11.2,296.9,1009.7,89.6,6.2,136.5,11.8,5,,2014-01-03T05:33:30,2014-01-03T17:49:23,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97698099999,remote"
Papua,2014-01-04,27.9,22.3,24.8,32.1,22.3,25.5,22.9,89.7,5.5,100,8.33,rain,,,,13.0,332.7,1009.0,77.4,5.8,193.2,16.8,7,,2014-01-04T05:33:59,2014-01-04T17:49:49,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"97698099999,remote"
Papua,2014-01-05,30.7,22.4,25.5,37.9,22.4,26.8,23.3,88.3,7.3,100,12.5,rain,,,,27.7,329.1,1008.0,66.5,7.1,218.8,18.8,7,,2014-01-05T05:34:28,2014-01-05T17:50:15,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92022099999,97698099999,remote"
Papua,2014-01-06,31.9,23.2,26.1,38.5,23.2,28.0,23.8,87.5,4.0,100,8.33,rain,,,,16.6,329.6,1007.8,85.1,9.0,154.0,13.3,5,,2014-01-06T05:34:56,2014-01-06T17:50:40,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"92022099999,97698099999,remote,AYVN"
Papua,2014-01-07,31.0,23.1,26.1,37.6,23.1,28.0,23.6,86.7,4.0,100,4.17,rain,,,,16.6,330.7,1007.1,76.6,9.1,211.9,18.3,7,,2014-01-07T05:35:24,2014-01-07T17:51:04,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"92022099999,97698099999,remote,AYVN"
Papua,2014-01-08,30.1,23.2,25.5,36.6,23.2,26.9,23.7,90.2,8.5,100,16.67,rain,,,,10.1,318.0,1007.1,89.9,6.9,162.8,14.2,6,,2014-01-08T05:35:52,2014-01-08T17:51:28,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97698099999,remote,AYVN"
Papua,2014-01-09,30.1,22.0,25.1,36.5,22.0,26.2,23.0,88.7,51.0,100,4.17,rain,,,,13.0,304.4,1006.1,82.8,8.0,215.4,18.6,8,,2014-01-09T05:36:19,2014-01-09T17:51:51,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97698099999,remote"
Papua,2014-01-10,29.0,22.4,25.3,35.6,22.4,26.5,23.6,90.7,18.0,100,16.67,rain,,,,15.4,312.8,1007.7,83.8,7.5,221.9,19.0,8,,2014-01-10T05:36:45,2014-01-10T17:52:14,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92022099999,97698099999,remote,AYVN"
Papua,2014-01-11,30.4,22.6,25.1,36.3,22.6,26.2,23.5,91.3,41.0,100,4.17,rain,,,,14.8,319.1,1007.5,88.1,6.0,176.3,15.3,7,,2014-01-11T05:37:12,2014-01-11T17:52:36,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97698099999,remote"
Papua,2014-01-12,31.1,22.0,24.8,38.3,22.0,25.7,23.1,90.6,12.0,100,8.33,rain,,,,7.6,321.3,1008.0,84.2,7.5,181.1,15.7,7,,2014-01-12T05:37:37,2014-01-12T17:52:57,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97698099999,remote"
Papua,2014-01-13,28.9,22.1,24.6,32.8,22.1,25.5,22.7,89.4,34.0,100,8.33,rain,,,,16.3,325.4,1008.7,82.3,7.6,223.7,19.1,8,,2014-01-13T05:38:03,2014-01-13T17:53:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92022099999,97698099999,remote,AYVN"
Papua,2014-01-14,30.0,22.2,25.4,36.1,22.2,27.0,22.8,86.1,0.0,0,0.0,,,,,21.4,335.9,1008.6,83.2,9.1,193.5,16.7,7,,2014-01-14T05:38:27,2014-01-14T17:53:38,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92022099999,97698099999,remote,AYVN"
Papua,2014-01-15,31.9,22.6,26.1,39.0,22.6,28.0,23.2,84.7,0.0,0,0.0,,,,,8.2,344.8,1008.3,77.0,9.4,253.9,21.8,9,,2014-01-15T05:38:52,2014-01-15T17:53:57,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92022099999,97698099999,remote"
Papua,2014-01-16,30.9,23.1,25.9,38.6,23.1,27.5,23.2,85.9,0.0,0,0.0,,,,,10.0,330.3,1008.2,84.4,8.2,181.0,15.5,6,,2014-01-16T05:39:15,2014-01-16T17:54:15,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"92022099999,97698099999,remote"
Papua,2014-01-17,30.6,22.8,26.0,37.7,22.8,27.8,23.5,86.5,1.1,100,45.83,rain,,,,18.4,317.3,1007.8,89.9,11.1,231.3,20.2,8,,2014-01-17T05:39:38,2014-01-17T17:54:33,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"92022099999,97698099999,remote"
Papua,2014-01-18,30.2,22.9,25.6,34.7,22.9,26.8,22.8,85.3,2.0,100,4.17,rain,,,,18.4,317.9,1008.6,89.2,7.2,212.4,18.4,8,,2014-01-18T05:40:00,2014-01-18T17:54:50,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"92022099999,97698099999,remote"
