name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
riau,2014-01-01,86.1,73.7,79.7,95.2,73.7,82.8,74.1,84.0,0.024,100,25.0,rain,,,,8.1,66.3,1009.9,74.5,5.3,126.4,10.9,4,,2014-01-01T06:14:57,2014-01-01T18:20:32,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-02,88.0,74.0,80.0,97.1,74.0,83.4,74.8,85.1,1.181,100,8.33,rain,,,,9.2,323.7,1009.1,73.3,4.1,189.2,16.4,7,,2014-01-02T06:15:25,2014-01-02T18:21:00,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-03,87.8,75.1,79.7,97.8,75.1,82.7,75.5,88.1,0.231,100,20.83,rain,,,,6.9,354.6,1009.5,70.6,4.0,138.7,12.1,5,,2014-01-03T06:15:53,2014-01-03T18:21:28,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-04,87.8,73.1,78.5,97.8,73.1,80.9,74.4,87.8,0.268,100,20.83,rain,,,,47.0,5.2,1009.6,69.1,4.2,100.6,8.6,3,,2014-01-04T06:16:20,2014-01-04T18:21:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96109099999,WIBB,remote"
riau,2014-01-05,84.3,72.6,77.4,91.1,72.6,79.1,73.9,89.9,0.016,100,8.33,rain,,,,8.1,7.9,1008.5,61.1,3.8,143.8,12.5,5,,2014-01-05T06:16:47,2014-01-05T18:22:22,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-06,89.7,71.6,77.8,98.2,71.6,80.0,73.7,88.6,1.811,100,8.33,rain,,,,12.8,60.5,1008.4,65.2,4.6,136.6,11.8,5,,2014-01-06T06:17:14,2014-01-06T18:22:49,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-07,86.0,72.8,78.6,93.4,72.8,81.3,73.5,85.7,0.236,100,4.17,rain,,,,11.4,1.0,1008.6,65.5,4.7,111.0,9.6,4,,2014-01-07T06:17:40,2014-01-07T18:23:15,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-08,87.8,72.8,78.2,97.8,72.8,80.3,74.0,87.5,0.276,100,8.33,rain,,,,9.2,18.3,1008.7,50.7,5.0,105.7,9.1,4,,2014-01-08T06:18:05,2014-01-08T18:23:41,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-09,86.0,72.2,77.8,93.4,72.2,80.2,73.8,88.1,0.036,100,16.67,rain,,,,8.1,327.6,1008.6,54.1,5.0,165.9,14.3,7,,2014-01-09T06:18:30,2014-01-09T18:24:06,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96109099999,WIBB,remote"
riau,2014-01-10,87.8,73.5,79.8,97.8,73.5,83.0,74.6,85.2,0.012,100,4.17,rain,,,,6.9,348.6,1009.0,51.7,4.8,199.2,17.4,7,,2014-01-10T06:18:55,2014-01-10T18:24:31,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96109099999,WIBB,remote"
