name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sulawesi Barat,2014-01-01,30.6,24.1,26.4,37.9,24.1,27.6,22.8,80.7,16.0,100,4.17,rain,,,,14.8,238.1,1010.5,84.1,10.1,172.1,14.8,6,,2014-01-01T05:59:24,2014-01-01T18:15:56,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-02,28.2,24.2,26.2,32.3,24.2,27.0,22.7,81.1,17.0,100,4.17,rain,,,,7.6,246.8,1010.7,82.7,10.0,227.5,19.8,8,,2014-01-02T05:59:53,2014-01-02T18:16:22,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-03,30.2,24.4,27.1,34.2,24.4,28.9,23.1,78.9,1.9,100,58.33,rain,,,,14.4,315.4,1009.5,84.1,10.3,281.3,24.1,9,,2014-01-03T06:00:22,2014-01-03T18:16:49,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-04,29.2,24.2,26.7,33.9,24.2,28.1,23.7,84.2,5.0,100,8.33,rain,,,,17.6,322.8,1008.8,84.5,9.9,238.5,20.6,8,,2014-01-04T06:00:51,2014-01-04T18:17:15,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-05,31.2,24.9,26.5,35.8,24.9,27.4,23.2,82.7,0.2,100,4.17,rain,,,,20.5,341.4,1008.6,79.8,10.1,132.7,11.3,4,,2014-01-05T06:01:20,2014-01-05T18:17:40,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-06,30.9,23.2,26.5,35.8,23.2,27.4,23.4,83.6,3.1,100,66.67,rain,,,,22.3,328.8,1008.5,67.3,10.8,172.2,15.1,6,,2014-01-06T06:01:48,2014-01-06T18:18:05,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-07,29.1,24.9,26.3,34.0,24.9,27.1,23.2,83.4,1.0,100,4.17,rain,,,,10.4,327.9,1009.4,84.9,10.3,168.5,14.6,6,,2014-01-07T06:02:16,2014-01-07T18:18:29,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-08,29.7,23.4,26.0,33.8,23.4,26.3,23.3,85.7,1.6,100,41.67,rain,,,,18.4,310.3,1008.9,78.0,10.1,168.6,14.6,6,,2014-01-08T06:02:44,2014-01-08T18:18:53,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-09,28.7,23.9,25.7,32.9,23.9,26.1,23.5,87.9,3.3,100,12.5,rain,,,,14.8,327.9,1009.3,86.3,10.3,103.4,9.0,4,,2014-01-09T06:03:11,2014-01-09T18:19:16,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-10,31.1,23.7,26.4,37.0,23.7,27.2,23.7,85.2,3.0,100,75.0,rain,,,,24.8,354.6,1008.7,66.4,10.8,187.0,16.3,6,,2014-01-10T06:03:38,2014-01-10T18:19:39,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-11,30.4,25.1,26.6,36.5,25.1,27.9,23.8,84.4,0.9,100,25.0,rain,,,,20.9,350.3,1009.7,79.8,11.0,151.1,13.0,5,,2014-01-11T06:04:04,2014-01-11T18:20:00,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-12,31.9,25.2,26.7,35.7,25.2,27.8,23.0,80.6,2.4,100,41.67,rain,,,,19.1,357.1,1009.8,80.3,10.5,188.1,16.1,7,,2014-01-12T06:04:30,2014-01-12T18:20:22,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-13,30.4,25.4,26.9,35.8,25.4,28.2,23.2,80.7,4.0,100,8.33,rain,,,,12.2,314.9,1009.2,72.1,9.9,261.7,22.5,9,,2014-01-13T06:04:55,2014-01-13T18:20:42,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-14,28.2,23.2,26.3,34.0,23.2,27.5,23.9,86.8,12.0,100,8.33,rain,,,,16.2,269.7,1008.7,85.9,9.7,137.1,11.6,5,,2014-01-14T06:05:20,2014-01-14T18:21:02,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-15,30.9,24.7,26.3,36.2,24.7,27.0,23.6,85.5,22.0,100,12.5,rain,,,,18.4,316.1,1009.0,83.4,10.1,132.0,11.3,4,,2014-01-15T06:05:45,2014-01-15T18:21:21,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-16,28.7,24.7,25.9,32.7,24.7,26.4,23.2,85.3,9.1,100,16.67,rain,,,,33.1,333.9,1009.6,87.9,10.0,123.5,10.7,4,,2014-01-16T06:06:08,2014-01-16T18:21:39,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-17,28.1,24.7,26.6,30.5,24.7,27.7,22.2,77.5,3.4,100,54.17,rain,,,,14.4,348.4,1008.9,85.1,9.2,219.1,18.7,8,,2014-01-17T06:06:31,2014-01-17T18:21:57,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-18,30.4,25.3,26.9,35.0,25.3,28.1,22.9,79.0,1.0,100,37.5,rain,,,,12.6,342.6,1010.1,90.8,10.5,150.0,13.1,5,,2014-01-18T06:06:54,2014-01-18T18:22:13,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-19,31.9,25.2,26.8,36.1,25.2,27.7,23.0,80.4,1.0,100,41.67,rain,,,,13.0,350.4,1009.6,83.1,10.7,137.3,11.9,5,,2014-01-19T06:07:16,2014-01-19T18:22:29,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-20,31.7,25.1,27.2,35.2,25.1,28.9,23.1,78.9,0.1,100,4.17,rain,,,,42.5,352.1,1009.1,80.0,10.4,184.4,16.0,7,,2014-01-20T06:07:37,2014-01-20T18:22:44,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-21,32.6,25.8,27.5,36.3,25.8,28.8,23.3,79.1,0.0,0,0.0,,,,,19.4,336.6,1008.4,84.9,10.5,194.3,16.7,7,,2014-01-21T06:07:58,2014-01-21T18:22:59,0.67,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"97120099999,remote"
Sulawesi Barat,2014-01-22,31.4,26.1,27.4,35.0,26.1,29.0,22.6,75.8,0.1,100,4.17,rain,,,,11.9,342.1,1009.0,82.5,10.3,194.1,16.8,7,,2014-01-22T06:08:17,2014-01-22T18:23:12,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-23,30.9,24.7,27.0,37.3,24.7,28.7,22.9,78.7,1.1,100,25.0,rain,,,,11.2,347.4,1009.6,74.9,10.6,194.2,16.7,7,,2014-01-23T06:08:37,2014-01-23T18:23:25,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"97120099999,remote"
Sulawesi Barat,2014-01-24,27.9,24.9,26.1,31.1,24.9,26.6,22.9,82.5,0.4,100,4.17,rain,,,,16.6,2.5,1009.5,83.6,9.8,146.9,12.7,5,,2014-01-24T06:08:55,2014-01-24T18:23:37,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97120099999,remote"
