name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sulawesi Tengah ,2014-01-01,30.2,17.7,21.9,34.1,17.7,22.2,20.3,91.6,3.0,100.0,4.17,rain,,,,16.6,279.4,1011.7,88.6,8.0,109.7,9.6,4.0,,2014-01-01T05:58:47,2014-01-01T18:09:05,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-02,30.1,17.3,21.7,33.9,17.3,22.1,19.5,88.3,1.5,100.0,37.5,rain,,,,11.2,235.6,1011.6,90.7,8.2,213.4,18.5,8.0,,2014-01-02T05:59:15,2014-01-02T18:09:32,0.02,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-03,29.4,16.7,22.4,33.5,16.7,22.9,19.7,86.0,281.0,100.0,4.17,rain,,,,14.8,284.6,1011.1,86.5,8.3,263.6,22.8,9.0,,2014-01-03T05:59:44,2014-01-03T18:09:59,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-04,29.1,16.5,22.2,33.1,16.5,22.6,19.4,85.1,6.9,100.0,45.83,rain,,,,22.3,294.5,1010.4,73.6,8.6,275.5,23.8,10.0,,2014-01-04T06:00:12,2014-01-04T18:10:26,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-05,29.2,17.4,22.1,32.1,17.4,22.6,19.8,87.9,2.0,100.0,4.17,rain,,,,16.6,302.6,1010.3,80.7,8.8,216.2,18.6,9.0,,2014-01-05T06:00:40,2014-01-05T18:10:53,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-06,30.7,16.9,21.9,34.5,16.9,22.4,19.4,86.7,6.1,100.0,66.67,rain,,,,22.3,309.2,1010.0,80.1,8.6,165.5,14.3,6.0,,2014-01-06T06:01:07,2014-01-06T18:11:19,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-07,30.4,17.0,22.1,34.0,17.0,23.0,19.9,88.8,4.9,100.0,58.33,rain,,,,18.4,307.2,1009.9,86.4,8.9,89.5,7.8,3.0,,2014-01-07T06:01:34,2014-01-07T18:11:44,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-08,29.9,17.2,22.4,34.9,17.2,23.0,20.1,87.8,3.7,100.0,66.67,rain,,,,18.4,317.1,1010.5,83.5,8.4,197.4,16.9,7.0,,2014-01-08T06:02:00,2014-01-08T18:12:09,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-09,27.9,18.1,21.4,31.2,18.1,21.5,20.0,92.3,7.0,100.0,4.17,rain,,,,20.5,284.6,1011.1,85.4,5.5,154.6,13.4,6.0,,2014-01-09T06:02:26,2014-01-09T18:12:33,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97072099999,remote"
Sulawesi Tengah ,2014-01-10,27.7,17.3,21.3,30.8,17.3,21.4,19.7,91.2,6.0,100.0,8.33,rain,,,,13.0,333.0,1012.0,84.7,6.6,162.3,14.2,5.0,,2014-01-10T06:02:52,2014-01-10T18:12:57,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97072099999,remote"
