name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sulawesi Tenggara,2014-01-01,81.8,76.6,78.7,87.9,76.6,80.1,75.3,89.7,0.949,100,100.0,rain,,,,3.6,248.0,,77.5,,130.5,11.1,5,,2014-01-01T05:42:39,2014-01-01T18:03:26,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-02,82.8,75.1,78.9,89.5,75.1,81.0,74.7,87.2,0.312,100,100.0,rain,,,,4.9,274.0,,78.1,,184.5,16.0,6,,2014-01-02T05:43:09,2014-01-02T18:03:52,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-03,85.0,75.8,79.5,92.8,75.8,82.2,74.9,86.3,0.24,100,91.67,rain,,,,3.8,341.5,,90.8,,193.5,16.8,7,,2014-01-03T05:43:39,2014-01-03T18:04:18,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-04,82.1,76.9,79.6,88.7,76.9,81.9,75.0,86.1,0.12,100,100.0,rain,,,,2.9,142.3,,90.6,,133.8,11.5,4,,2014-01-04T05:44:08,2014-01-04T18:04:43,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-05,83.2,77.4,79.9,90.6,77.4,82.5,75.2,85.8,0.14,100,95.83,rain,,,,3.4,312.6,,78.6,,137.5,11.8,5,,2014-01-05T05:44:37,2014-01-05T18:05:08,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-06,85.4,78.2,81.2,93.7,78.2,85.8,74.9,81.4,0.124,100,100.0,rain,,,,3.1,262.8,,82.1,,203.9,17.5,7,,2014-01-06T05:45:06,2014-01-06T18:05:32,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-07,83.4,76.4,79.9,90.8,76.4,82.5,75.3,86.1,0.04,100,33.33,rain,,,,4.3,273.3,,84.2,,141.2,12.3,5,,2014-01-07T05:45:35,2014-01-07T18:05:56,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Sulawesi Tenggara,2014-01-08,82.8,76.6,79.5,90.2,76.6,82.2,75.6,88.2,0.052,100,54.17,rain,,,,4.5,303.2,,80.9,,123.8,10.7,4,,2014-01-08T05:46:04,2014-01-08T18:06:19,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Sulawesi Tenggara,2014-01-09,84.8,77.1,80.9,93.4,77.1,85.6,75.4,83.7,0.451,100,87.5,rain,,,,3.8,279.0,,61.0,,184.8,15.9,6,,2014-01-09T05:46:32,2014-01-09T18:06:41,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-10,83.4,77.1,79.8,91.7,77.1,83.1,75.9,88.1,0.496,100,100.0,rain,,,,4.3,356.9,,76.4,,137.1,11.8,5,,2014-01-10T05:46:59,2014-01-10T18:07:02,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-11,82.3,76.9,79.2,89.6,76.9,81.6,76.2,90.6,0.371,100,87.5,rain,,,,4.7,237.7,,81.3,,133.1,11.5,4,,2014-01-11T05:47:26,2014-01-11T18:07:23,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-12,81.9,76.4,78.7,88.7,76.4,80.6,75.8,91.1,0.14,100,100.0,rain,,,,6.0,251.0,,81.8,,126.9,11.0,4,,2014-01-12T05:47:53,2014-01-12T18:07:44,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-13,83.6,76.2,79.4,91.1,76.2,81.9,75.5,88.5,0.048,100,33.33,rain,,,,7.2,256.0,,74.5,,175.4,14.9,6,,2014-01-13T05:48:20,2014-01-13T18:08:03,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Sulawesi Tenggara,2014-01-14,83.0,76.6,79.4,91.2,76.6,82.5,76.1,89.7,0.0,0,0.0,,,,,6.5,271.1,,79.6,,125.7,10.8,4,,2014-01-14T05:48:45,2014-01-14T18:08:22,0.43,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
Sulawesi Tenggara,2014-01-15,83.0,76.4,79.3,91.5,76.4,82.2,76.0,89.7,0.064,100,66.67,rain,,,,5.4,283.2,,88.3,,127.8,11.1,4,,2014-01-15T05:49:11,2014-01-15T18:08:40,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Sulawesi Tenggara,2014-01-16,82.8,76.2,79.0,90.3,76.2,81.2,75.6,89.7,0.16,100,87.5,rain,,,,7.4,279.9,,88.1,,129.5,11.1,5,,2014-01-16T05:49:36,2014-01-16T18:08:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-17,82.7,75.6,78.7,89.0,75.6,80.8,74.6,87.6,0.06,100,29.17,rain,,,,6.7,269.0,,88.5,,152.9,13.3,5,,2014-01-17T05:50:00,2014-01-17T18:09:13,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Sulawesi Tenggara,2014-01-18,85.9,75.8,80.2,94.8,75.8,84.1,75.4,85.7,0.012,100,12.5,rain,,,,7.2,275.4,,81.0,,238.4,20.6,8,,2014-01-18T05:50:24,2014-01-18T18:09:29,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
Sulawesi Tenggara,2014-01-19,85.4,76.2,79.9,93.2,76.2,82.7,74.4,84.0,0.04,100,41.67,rain,,,,8.7,273.3,,83.1,,238.0,20.8,8,,2014-01-19T05:50:47,2014-01-19T18:09:43,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
Sulawesi Tenggara,2014-01-20,84.1,75.6,79.3,90.6,75.6,81.7,74.6,86.0,0.084,100,87.5,rain,,,,8.1,261.5,,87.2,,184.9,15.9,6,,2014-01-20T05:51:09,2014-01-20T18:09:57,0.63,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-21,82.8,76.2,79.0,89.0,76.2,81.0,74.7,87.2,0.068,100,58.33,rain,,,,4.5,245.9,,89.9,,148.9,12.7,5,,2014-01-21T05:51:31,2014-01-21T18:10:10,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Sulawesi Tenggara,2014-01-22,84.5,75.5,79.1,91.1,75.5,81.4,74.1,85.2,0.044,100,29.17,rain,,,,5.6,252.3,,79.8,,202.6,17.5,8,,2014-01-22T05:51:52,2014-01-22T18:10:22,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Sulawesi Tenggara,2014-01-23,85.0,75.1,79.5,92.2,75.1,82.1,74.5,85.6,0.108,100,50.0,rain,,,,7.2,256.7,,73.3,,233.4,20.3,8,,2014-01-23T05:52:13,2014-01-23T18:10:34,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Sulawesi Tenggara,2014-01-24,83.6,75.6,79.0,89.6,75.6,81.2,74.4,86.4,0.236,100,79.17,rain,,,,4.5,243.4,,78.3,,198.1,17.2,7,,2014-01-24T05:52:33,2014-01-24T18:10:44,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-25,83.4,74.9,78.9,89.3,74.9,81.1,74.2,86.1,0.22,100,100.0,rain,,,,4.9,259.3,,69.3,,183.5,15.8,7,,2014-01-25T05:52:52,2014-01-25T18:10:53,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Sulawesi Tenggara,2014-01-26,83.7,76.4,79.3,90.6,76.4,81.8,74.7,86.2,0.052,100,45.83,rain,,,,4.0,255.6,,73.8,,169.2,14.6,7,,2014-01-26T05:53:10,2014-01-26T18:11:02,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Sulawesi Tenggara,2014-01-27,84.5,75.6,79.5,92.5,75.6,82.3,75.1,86.9,0.02,100,20.83,rain,,,,5.6,266.4,,75.5,,172.3,14.8,6,,2014-01-27T05:53:28,2014-01-27T18:11:10,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
