name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
sumatera selatan ,1/1/2020,86.4,75.3,79.3,95.3,75.3,81.7,74.9,87.1,0.008,100,4.17,rain,0,0,23,16.1,315.4,1012.9,90,4.5,186.6,15.4,8,,2020-01-01T05:55:26,2020-01-01T18:12:52,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/2/2020,89.5,75.5,81,100,75.5,85.3,75,83.3,0.044,100,20.83,rain,0,0,22.4,12.8,314,1012.8,78.3,4.6,223.9,19.4,7,,2020-01-02T05:55:56,2020-01-02T18:13:19,0.22,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/3/2020,87.7,77.6,81.7,99.7,77.6,86.5,76,83.2,0.035,100,4.17,rain,0,0,21.3,10.3,322.8,1011.6,92.4,5.8,192.3,16.4,7,,2020-01-03T05:56:25,2020-01-03T18:13:45,0.25,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"96221099999,remote"
sumatera selatan ,1/4/2020,87.4,77.3,81.5,98.9,77.3,86.2,75.9,83.7,0.004,100,4.17,rain,0,0,24.6,17.2,326.5,1009.9,81.9,5.2,188.3,16.2,8,,2020-01-04T05:56:55,2020-01-04T18:14:11,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/5/2020,89.6,77.3,81.2,100.2,77.3,84.8,75.7,84.5,0.236,100,8.33,rain,0,0,24.6,11.4,336.2,1010,80.8,5.5,199.4,17,8,,2020-01-05T05:57:23,2020-01-05T18:14:37,0.32,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/6/2020,89.6,76.7,81.6,98.2,76.7,86.8,75.6,82.8,0.158,100,8.33,rain,0,0,23,11.4,327.9,1010.1,72.5,4.7,230.7,19.9,8,,2020-01-06T05:57:52,2020-01-06T18:15:02,0.35,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/7/2020,89.6,76.7,82.6,98.2,76.7,87.3,74.8,78.6,0,0,0,,0,0,22.6,15,322.1,1009.5,69.7,5.6,236.5,20.5,8,,2020-01-07T05:58:20,2020-01-07T18:15:26,0.38,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96221099999,WIPP,remote"
sumatera selatan ,1/8/2020,88.1,77,81.6,99.9,77,86.3,76.1,84.3,0.197,100,4.17,rain,0,0,25.9,15,337.3,1008.5,72.8,5.6,232.1,20,8,,2020-01-08T05:58:48,2020-01-08T18:15:50,0.42,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/9/2020,87.8,77,80.5,97.8,77,83.9,76.3,87.8,0.044,100,8.33,rain,0,0,24.6,15,325.3,1008.7,60.7,4.9,201.7,17.5,8,,2020-01-09T05:59:16,2020-01-09T18:16:13,0.45,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/10/2020,84.2,74.8,79,94.2,74.8,82,75.4,89.2,0.473,100,12.5,rain,0,0,19.5,11.4,303.7,1009.3,76.5,4.6,102.6,9,4,,2020-01-10T05:59:43,2020-01-10T18:16:36,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/11/2020,89.6,74.9,81,98.2,74.9,86.4,75.4,84.4,0.079,100,4.17,rain,0,0,24.8,13.9,302.9,1009.7,86.4,5.7,200.2,17.4,8,,2020-01-11T06:00:10,2020-01-11T18:16:58,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/12/2020,89.6,76.4,81,100.2,76.4,85.2,76.3,86.5,0.039,100,4.17,rain,0,0,19.5,10.3,324.2,1009.1,77.2,5.1,165.4,14.5,6,,2020-01-12T06:00:36,2020-01-12T18:17:19,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/13/2020,84.3,76.2,80.3,92.5,76.2,83.9,75.7,86.4,0.315,100,8.33,rain,0,0,20.8,11.4,329.8,1008.6,66,4.8,201.2,17.4,8,,2020-01-13T06:01:02,2020-01-13T18:17:39,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/14/2020,87.2,76,79.9,96.6,76,83.1,76.4,89.4,0.157,100,4.17,rain,0,0,19.9,11.4,296.1,1009.5,70.4,4.2,169.7,14.6,7,,2020-01-14T06:01:27,2020-01-14T18:17:59,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/15/2020,91,76.8,82.1,101.6,76.8,87.3,76,83.2,0.354,100,4.17,rain,0,0,17.4,11.4,337.3,1009.8,59.3,5,239.4,20.7,8,,2020-01-15T06:01:52,2020-01-15T18:18:18,0.66,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/16/2020,87.8,76.7,81,97.8,76.7,85.8,76.4,86.6,0.039,100,4.17,rain,0,0,16.6,15,347.4,1010.5,68.9,5.2,217,18.6,8,,2020-01-16T06:02:16,2020-01-16T18:18:37,0.69,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/17/2020,83.1,76.7,79.2,93.7,76.7,82,77,92.9,0.315,100,8.33,rain,0,0,18.6,10.8,338.2,1011.1,79.3,2.9,179.4,15.4,7,,2020-01-17T06:02:39,2020-01-17T18:18:54,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/18/2020,89,76.2,81,101.3,76.2,86.2,76.2,85.9,0.024,100,4.17,rain,0,0,16.3,6.9,326,1010.8,71.9,3.6,249.9,21.6,9,,2020-01-18T06:03:02,2020-01-18T18:19:11,0.76,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96221099999,remote"
sumatera selatan ,1/19/2020,90.6,76.7,82.2,101.9,76.7,87.6,76.6,84.4,0.194,100,50,rain,0,0,13.9,8.1,347,1010.8,67.6,4.7,196.2,17.1,7,,2020-01-19T06:03:25,2020-01-19T18:19:27,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96221099999,remote"
sumatera selatan ,1/20/2020,85.9,77.1,80.8,98.6,77.1,85.3,76.8,88.2,0.433,100,4.17,rain,0,0,15,9.2,316.5,1011.8,93.3,4,174.5,15,7,,2020-01-20T06:03:47,2020-01-20T18:19:42,0.83,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96221099999,remote"
sumatera selatan ,1/21/2020,91.4,77.3,82,102.7,77.3,87.4,76.5,84.3,0.551,100,4.17,rain,0,0,19.2,11.4,340.2,1012.2,67.3,4.9,214.9,18.6,7,,2020-01-21T06:04:08,2020-01-21T18:19:57,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/22/2020,86.4,75.2,79.3,98.4,75.2,81.2,76.3,91.1,2.677,100,8.33,rain,0,0,15.7,12.8,308.5,1012.1,82.5,3.4,164.2,14.2,7,,2020-01-22T06:04:28,2020-01-22T18:20:10,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/23/2020,88.1,76.2,80.6,101.9,76.2,85,76,86.4,0.827,100,12.5,rain,0,0,15.9,9.2,311.4,1010.8,69.9,4.7,218.9,18.9,8,,2020-01-23T06:04:48,2020-01-23T18:20:23,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/24/2020,86,76.8,79.7,95.2,76.8,82.6,75.9,88.5,0.354,100,8.33,rain,0,0,17.7,11.4,352.1,1010.4,60.9,4.5,186.3,16.2,7,,2020-01-24T06:05:07,2020-01-24T18:20:35,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/25/2020,89.6,77,82.3,100.8,77,87.4,75.5,81.1,0,0,0,,0,0,15.7,8.1,349.2,1010.4,66.9,5.6,185.3,16.1,7,,2020-01-25T06:05:25,2020-01-25T18:20:46,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96221099999,WIPP,remote"
sumatera selatan ,1/26/2020,89.6,75.2,81.4,100.2,75.2,85.9,75.5,83.1,0.709,100,12.5,rain,0,0,13.2,11.4,336.5,1009.6,64.9,5.2,207,17.9,8,,2020-01-26T06:05:43,2020-01-26T18:20:56,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/27/2020,87.8,77.3,81.9,99.9,77.3,87.8,76.7,84.8,0.008,100,8.33,rain,0,0,13.4,10.3,351.9,1009.3,66.5,4.8,161.6,13.9,6,,2020-01-27T06:06:00,2020-01-27T18:21:05,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/28/2020,89,76.6,81.5,102.7,76.6,86.4,76.6,85.9,0.276,100,8.33,rain,0,0,13,9.2,338,1010.1,70.5,5.2,180,15.4,7,,2020-01-28T06:06:16,2020-01-28T18:21:13,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/29/2020,89.2,75.2,78.9,102.4,75.2,81.8,75,88.2,0.118,100,4.17,rain,0,0,17.7,17.2,305.7,1011,67.7,4.8,179.2,15.5,7,,2020-01-29T06:06:32,2020-01-29T18:21:21,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,1/30/2020,87.8,73.4,79.6,95.2,73.4,82.8,73.9,83.9,0,0,0,,0,0,17.9,11.4,310.9,1010.5,63.1,5.7,238,20.5,8,,2020-01-30T06:06:46,2020-01-30T18:21:28,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96221099999,WIPP,remote"
sumatera selatan ,1/31/2020,87.9,77,81.3,97.8,77,85.5,75.1,82.3,0,0,0,,0,0,18.8,13.9,358.8,1010.3,69.7,5,225,19.3,8,,2020-01-31T06:07:00,2020-01-31T18:21:33,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96221099999,WIPP,remote"
sumatera selatan ,2/1/2020,89.6,76.4,82,98.2,76.4,86.6,74.8,79.9,0.008,100,8.33,rain,0,0,20.1,15.6,345.3,1010.3,68.2,4.6,216.8,18.6,8,,2020-02-01T06:07:13,2020-02-01T18:21:38,0.24,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/2/2020,87.8,77,81.2,100.4,77,85.6,75.7,83.9,0.453,100,8.33,rain,0,0,19.9,15,5,1011.5,81.1,4.9,214.8,18.6,7,,2020-02-02T06:07:26,2020-02-02T18:21:42,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/3/2020,83,76.7,79.3,92.4,76.7,82,75.6,88.8,1.189,100,16.67,rain,0,0,20.6,10.3,342.9,1012,81.9,4.6,135.1,11.6,5,,2020-02-03T06:07:37,2020-02-03T18:21:45,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/4/2020,91.2,76.2,81.7,98.7,76.2,86.1,75.3,82.2,0.197,100,4.17,rain,0,0,16.3,9.2,352.8,1010.8,80.9,5,190.1,16.4,7,,2020-02-04T06:07:48,2020-02-04T18:21:48,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/5/2020,88.6,76.2,81.6,95.8,76.2,85.4,74.4,79.9,0.012,100,12.5,rain,0,0,16.6,12.8,342.6,1010.1,83.8,4.5,243.4,21,8,,2020-02-05T06:07:58,2020-02-05T18:21:49,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/6/2020,88.1,78,81,96.8,78,84.4,75.6,84.4,0.197,100,33.33,rain,0,0,15.7,10.3,331.6,1010.7,87.8,4.4,141.2,12.2,6,,2020-02-06T06:08:08,2020-02-06T18:21:49,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/7/2020,85.7,77.8,80.4,98.6,77.8,84,76.6,88.4,0.079,100,4.17,rain,0,0,22.6,12.8,340.9,1011.1,93.6,4.6,170.7,14.8,7,,2020-02-07T06:08:16,2020-02-07T18:21:49,0.43,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/8/2020,88.1,76.6,81.4,95.1,76.6,84.8,74.3,80.3,0.008,100,8.33,rain,0,0,19.5,11.4,305.2,1012.2,89.9,4.8,218,18.9,7,,2020-02-08T06:08:24,2020-02-08T18:21:48,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/9/2020,91.5,75.2,82.7,98.6,75.2,87.6,73.1,73.9,0.008,100,8.33,rain,0,0,18.1,13.9,301.8,1011.4,88.2,5.4,216.3,18.6,7,,2020-02-09T06:08:31,2020-02-09T18:21:46,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/10/2020,89.5,76.6,81.3,99.2,76.6,86,75.8,84.3,0.115,100,29.17,rain,0,0,12.1,5.8,324.2,1011.2,92.4,4.9,191.4,16.6,8,,2020-02-10T06:08:38,2020-02-10T18:21:43,0.53,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/11/2020,90.2,77.3,81.6,102.2,77.3,86.3,76.3,84.9,0.032,100,12.5,rain,0,0,11.4,9.2,62.1,1011.4,91.3,4.8,234.7,20.2,8,,2020-02-11T06:08:43,2020-02-11T18:21:39,0.57,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/12/2020,89.6,75.8,80.9,100.2,75.8,85.5,76.1,86.2,0.433,100,8.33,rain,0,0,13.6,11.4,9.4,1012.1,86.4,5.2,189.5,16.4,7,,2020-02-12T06:08:48,2020-02-12T18:21:35,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96221099999,WIPP,remote"
sumatera selatan ,2/13/2020,84.8,76.9,80.2,96.5,76.9,84.3,76.9,89.9,0.236,100,8.33,rain,0,0,14.3,10.3,349.5,1011.3,93.7,4.6,166,14.4,7,,2020-02-13T06:08:52,2020-02-13T18:21:29,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96221099999,remote"
sumatera selatan ,2/14/2020,87.7,77.1,81.3,99.2,77.1,86.4,76.6,86.3,0.032,100,8.33,rain,0,0,15.2,13.9,330.2,1010.3,92.1,3.6,205.8,17.8,7,,2020-02-14T06:08:55,2020-02-14T18:21:23,0.67,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"96221099999,remote"
sumatera selatan ,2/15/2020,91.4,77.1,82.1,103.5,77.1,87.9,76.8,84.9,0.752,100,12.5,rain,0,0,14.1,11.4,309.8,1011.2,91.9,4.7,239,20.7,8,,2020-02-15T06:08:58,2020-02-15T18:21:16,0.71,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96221099999,WIPP,remote"
