name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Sumatera Utara ,2021-01-01,85.9,75.2,79.6,96.0,75.2,83.7,77.0,92.4,0.004,100.0,4.17,rain,0.0,0.0,9.4,8.4,273.6,1009.3,64.0,3.7,177.8,15.3,7.0,,2021-01-01T06:31:20,2021-01-01T18:26:23,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96033099999,96035099999,WIMM,remote"
Sumatera Utara ,2021-01-02,84.2,75.2,78.5,96.0,75.2,81.1,76.4,93.7,0.391,100.0,12.5,rain,0.0,0.0,16.6,11.4,280.0,1009.7,75.3,4.9,152.6,13.0,6.0,,2021-01-02T06:31:47,2021-01-02T18:26:53,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-03,78.8,75.2,76.7,78.8,75.2,76.7,75.3,95.8,0.292,100.0,25.0,rain,0.0,0.0,14.5,10.3,270.6,1009.8,73.5,4.8,65.9,5.6,2.0,,2021-01-03T06:32:13,2021-01-03T18:27:22,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-04,86.0,74.4,79.3,97.1,74.4,83.3,76.7,92.6,0.004,100.0,4.17,rain,0.0,0.0,10.3,8.1,14.4,1009.0,55.6,4.4,153.8,13.2,7.0,,2021-01-04T06:32:39,2021-01-04T18:27:51,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM,remote"
Sumatera Utara ,2021-01-05,86.0,75.2,80.7,97.1,75.2,85.8,77.0,89.4,0.115,100.0,4.17,rain,0.0,0.0,17.4,11.4,287.6,1009.1,55.3,5.6,167.9,14.4,7.0,,2021-01-05T06:33:04,2021-01-05T18:28:20,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-06,80.6,73.4,77.4,88.0,73.4,79.1,76.2,96.5,2.528,100.0,20.83,rain,0.0,0.0,11.9,13.9,281.1,1008.9,74.5,4.1,78.4,6.7,4.0,,2021-01-06T06:33:29,2021-01-06T18:28:48,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-07,85.6,75.2,79.8,98.2,75.2,84.6,78.1,94.8,0.015,100.0,8.33,rain,0.0,0.0,13.0,8.1,292.6,1007.4,57.9,4.9,213.8,18.3,7.0,,2021-01-07T06:33:53,2021-01-07T18:29:16,0.79,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-08,86.0,75.2,79.2,99.3,75.2,82.8,77.3,94.3,0.003,100.0,4.17,rain,0.0,0.0,13.4,8.1,241.1,1007.1,59.1,5.1,187.8,16.1,8.0,,2021-01-08T06:34:16,2021-01-08T18:29:44,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-09,86.0,75.2,79.2,99.3,75.2,82.6,77.2,94.0,0.426,100.0,12.5,rain,0.0,0.0,13.6,10.3,173.3,1008.2,72.5,5.0,133.5,11.5,7.0,,2021-01-09T06:34:39,2021-01-09T18:30:11,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-10,84.2,75.2,79.1,96.0,75.2,83.0,77.6,95.5,0.054,100.0,12.5,rain,0.0,0.0,13.0,11.4,61.8,1008.7,67.4,4.6,157.3,13.7,8.0,,2021-01-10T06:35:01,2021-01-10T18:30:38,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-11,86.0,75.0,79.3,99.3,75.0,84.3,77.3,93.9,0.0,0.0,0.0,,0.0,0.0,12.8,15.0,316.0,1009.3,57.2,4.7,183.4,15.7,7.0,,2021-01-11T06:35:22,2021-01-11T18:31:05,0.93,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-12,84.2,75.0,78.7,96.0,75.0,82.3,76.3,92.5,0.276,100.0,12.5,rain,0.0,0.0,11.6,10.3,286.3,1009.5,63.0,5.0,154.0,13.2,7.0,,2021-01-12T06:35:43,2021-01-12T18:31:31,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-13,82.4,75.1,77.8,90.8,75.1,80.3,75.6,93.3,0.554,100.0,20.83,rain,0.0,0.0,8.1,15.0,194.2,1009.8,65.0,5.4,77.8,6.6,3.0,,2021-01-13T06:36:03,2021-01-13T18:31:56,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-14,86.0,75.1,79.7,99.3,75.1,84.7,76.4,90.0,0.0,0.0,0.0,,0.0,0.0,12.5,10.2,57.9,1009.5,71.5,4.4,186.4,16.2,7.0,,2021-01-14T06:36:23,2021-01-14T18:32:21,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96033099999,96035099999,WIMM"
Sumatera Utara ,2021-01-15,87.8,75.2,80.7,105.0,75.2,86.6,77.8,91.3,0.039,100.0,4.17,rain,0.0,0.0,14.5,16.1,109.4,1007.9,51.5,4.6,220.3,19.0,8.0,,2021-01-15T06:36:41,2021-01-15T18:32:45,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96033099999,96035099999,WIMM"
