name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
yogyakarta,2014-01-01,81.4,77.1,79.6,86.6,77.1,81.6,73.7,82.3,0.267,100,100.0,rain,,,,18.8,245.5,1008.9,70.3,3.5,115.1,10.2,4,,2014-01-01T05:24:53,2014-01-01T17:58:54,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-02,87.9,80.7,82.4,95.4,85.4,88.4,73.9,75.7,0.386,100,100.0,rain,,,,11.4,205.3,1007.8,60.2,4.1,292.1,25.4,10,,2014-01-02T05:25:24,2014-01-02T17:59:18,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-03,89.7,75.3,81.0,98.4,75.3,84.6,74.3,80.7,0.926,100,100.0,rain,,,,11.4,205.8,1007.1,53.6,3.6,194.5,16.8,6,,2014-01-03T05:25:56,2014-01-03T17:59:42,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-04,87.9,75.3,79.9,96.1,75.3,81.8,75.0,86.0,1.334,100,100.0,rain,,,,11.4,217.9,1006.5,66.0,2.8,173.1,15.0,6,,2014-01-04T05:26:27,2014-01-04T18:00:06,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-05,87.9,75.3,80.3,96.1,75.3,82.3,73.8,81.4,0.803,100,100.0,rain,,,,11.6,181.9,1005.8,65.0,3.7,221.5,19.2,8,,2014-01-05T05:26:59,2014-01-05T18:00:28,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-06,84.3,73.5,77.8,92.7,73.5,79.2,74.6,90.4,1.064,100,100.0,rain,,,,17.4,212.0,1006.4,89.2,2.6,49.5,4.2,2,,2014-01-06T05:27:30,2014-01-06T18:00:50,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-07,86.1,75.3,80.7,95.4,75.3,84.7,75.4,84.3,0.768,100,79.17,rain,,,,11.4,245.9,1007.4,73.3,3.2,80.8,7.0,3,,2014-01-07T05:28:01,2014-01-07T18:01:11,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-08,89.7,77.1,81.6,98.4,77.1,87.1,74.4,79.4,0.576,100,100.0,rain,,,,11.4,235.0,1007.0,71.5,5.0,192.9,16.6,6,,2014-01-08T05:28:32,2014-01-08T18:01:32,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-09,89.7,78.9,81.6,96.6,78.9,86.5,74.7,80.3,0.372,100,100.0,rain,,,,17.2,222.0,1007.2,61.2,5.6,222.8,19.2,7,,2014-01-09T05:29:02,2014-01-09T18:01:51,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-10,89.7,77.1,81.3,98.4,77.1,87.3,75.8,83.9,0.232,100,100.0,rain,,,,11.4,250.2,1006.8,71.3,4.5,157.1,13.6,6,,2014-01-10T05:29:33,2014-01-10T18:02:10,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-11,82.1,77.1,81.2,88.9,77.1,87.1,75.0,81.6,0.344,100,100.0,rain,,,,6.5,163.9,1009.0,72.0,1.9,201.0,17.2,7,,2014-01-11T05:30:03,2014-01-11T18:02:28,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-12,81.6,79.4,80.7,88.1,79.4,85.8,75.8,85.1,0.316,100,100.0,rain,,,,12.1,200.2,,78.2,,154.8,13.2,6,,2014-01-12T05:30:33,2014-01-12T18:02:45,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
yogyakarta,2014-01-13,80.7,75.3,78.9,86.4,75.3,79.1,75.1,88.1,0.284,100,100.0,rain,,,,17.0,253.3,1008.8,83.0,3.2,116.7,10.0,5,,2014-01-13T05:31:02,2014-01-13T18:03:01,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-14,86.1,75.3,81.0,93.7,75.3,85.8,74.4,80.6,0.414,100,100.0,rain,,,,18.3,252.8,1007.7,64.2,4.2,237.7,20.6,8,,2014-01-14T05:31:31,2014-01-14T18:03:17,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-15,82.1,75.3,81.0,89.5,75.3,86.9,75.3,82.8,0.545,100,100.0,rain,,,,21.5,266.7,1008.0,65.2,2.9,243.5,20.9,8,,2014-01-15T05:32:00,2014-01-15T18:03:31,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-16,84.3,73.5,80.5,92.7,73.5,85.9,75.0,83.7,0.506,100,100.0,rain,,,,18.1,264.6,1008.5,62.0,3.4,213.6,18.3,8,,2014-01-16T05:32:28,2014-01-16T18:03:45,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-17,84.3,75.3,79.8,92.7,75.3,83.9,74.9,85.3,1.505,100,100.0,rain,,,,15.4,278.4,1009.0,68.9,2.8,201.0,17.4,6,,2014-01-17T05:32:56,2014-01-17T18:03:57,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-18,80.9,75.3,80.1,86.8,75.3,85.2,75.2,85.1,1.743,100,100.0,rain,,,,20.6,268.5,1008.8,77.0,3.7,192.6,16.7,7,,2014-01-18T05:33:23,2014-01-18T18:04:09,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-19,81.6,80.1,81.1,88.9,85.5,87.4,75.9,84.2,0.795,100,100.0,rain,,,,20.6,279.2,,81.7,,148.6,12.6,6,,2014-01-19T05:33:50,2014-01-19T18:04:20,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
yogyakarta,2014-01-20,84.3,78.9,82.0,92.7,78.9,88.9,75.8,81.6,1.135,100,100.0,rain,,,,23.5,277.3,1007.6,68.2,3.6,163.9,14.1,5,,2014-01-20T05:34:16,2014-01-20T18:04:30,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
yogyakarta,2014-01-21,82.5,77.1,80.8,90.1,77.1,86.2,75.6,84.4,1.019,100,100.0,rain,,,,22.6,278.2,1006.7,76.0,2.8,200.4,17.3,8,,2014-01-21T05:34:42,2014-01-21T18:04:39,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96633699999,remote"
