name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Nanggroe Aceh Darussalam,2014-01-01,30.1,22.4,24.5,36.0,22.4,25.0,22.5,89.2,8.806,100,8.33,rain,,,,13.0,89.2,1010.7,85.8,7.7,83.8,7.3,3,,2014-01-01T06:47:58,2014-01-01T18:36:19,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-02,29.9,21.2,24.7,35.4,21.2,25.5,22.0,85.5,76.537,100,16.67,rain,,,,14.8,120.1,1011.1,78.7,8.3,208.7,18.1,8,,2014-01-02T06:48:24,2014-01-02T18:36:50,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-03,29.3,21.8,23.9,35.4,21.8,24.5,22.2,90.4,1.14,100,8.33,rain,,,,16.2,291.0,1012.4,90.1,9.7,74.6,6.3,3,,2014-01-03T06:48:50,2014-01-03T18:37:20,0.06,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-04,31.0,21.5,24.5,36.0,21.5,25.2,21.9,86.1,1.5,100,37.5,rain,,,,10.8,316.5,1011.6,83.4,8.9,156.5,13.5,6,,2014-01-04T06:49:15,2014-01-04T18:37:50,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-05,29.2,21.0,24.6,33.4,21.0,25.1,21.8,85.5,10.012,100,8.33,rain,,,,9.7,11.4,1010.3,66.4,9.4,242.1,21.0,9,,2014-01-05T06:49:39,2014-01-05T18:38:20,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-06,30.3,21.4,24.9,35.6,21.4,25.6,21.5,82.4,0.962,100,4.17,rain,,,,9.5,64.8,1010.2,78.1,9.2,164.7,14.1,6,,2014-01-06T06:50:02,2014-01-06T18:38:50,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-07,31.9,22.1,24.8,37.7,22.1,25.5,22.2,86.0,1.81,100,4.17,rain,,,,13.5,62.1,1010.7,77.1,9.5,133.1,11.4,5,,2014-01-07T06:50:25,2014-01-07T18:39:19,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-08,31.5,21.6,24.8,35.4,21.6,25.5,21.7,84.0,0.0,0,0.0,,,,,19.1,57.1,1010.5,70.4,9.7,222.6,19.3,8,,2014-01-08T06:50:48,2014-01-08T18:39:48,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-09,30.8,21.0,24.8,34.2,21.0,25.6,21.3,81.8,0.19,100,4.17,rain,,,,15.8,80.8,1010.6,68.3,9.1,258.9,22.4,9,,2014-01-09T06:51:09,2014-01-09T18:40:17,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-10,27.9,21.3,24.0,30.7,21.3,24.3,22.0,88.6,1.905,100,8.33,rain,,,,13.8,112.0,1011.3,83.2,9.3,104.9,9.1,5,,2014-01-10T06:51:30,2014-01-10T18:40:45,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-11,29.5,21.7,24.6,33.7,21.7,25.2,22.1,86.5,1.905,100,4.17,rain,,,,12.2,89.0,1012.4,83.3,9.3,127.5,11.0,6,,2014-01-11T06:51:51,2014-01-11T18:41:13,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-12,30.4,22.4,25.2,35.9,22.4,26.2,22.3,84.5,0.475,100,4.17,rain,,,,14.2,52.7,1012.6,72.2,9.3,162.5,13.9,6,,2014-01-12T06:52:10,2014-01-12T18:41:41,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-13,30.5,21.4,25.0,33.5,21.4,25.9,21.7,83.0,0.0,0,0.0,,,,,19.2,64.9,1011.9,67.6,9.3,228.1,19.5,8,,2014-01-13T06:52:29,2014-01-13T18:42:08,0.4,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96001099999,remote,96011099999"
Nanggroe Aceh Darussalam,2014-01-14,30.7,20.9,24.7,35.9,20.9,25.4,21.5,83.3,3.1,100,37.5,rain,,,,25.4,65.2,1011.9,65.1,9.6,199.3,17.1,7,,2014-01-14T06:52:47,2014-01-14T18:42:35,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96001099999,remote,96011099999"
