name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bangka Belitung,2023-01-01,30.3,24.2,26.6,32.7,24.2,27.6,22.2,77.4,0.8,100,4.17,rain,0,0,34.6,22.3,331,1011.3,97.6,17.9,196.2,17,7,10,2023-01-01T05:52:48,2023-01-01T18:06:31,0.3,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-02,31.1,23.5,26.7,35,23.5,27.8,22.5,79,0.6,100,16.67,rain,0,0,28.4,20.5,324.2,1011.3,95.4,18.5,197,17.1,8,30,2023-01-02T05:53:17,2023-01-02T18:06:58,0.34,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka Belitung,2023-01-03,29.6,23.2,25.7,31.7,23.2,26.3,22.4,83.1,2.1,100,8.33,rain,0,0,31.7,11.9,306,1011.3,97.4,17.9,164.9,14.4,6,30,2023-01-03T05:53:46,2023-01-03T18:07:25,0.37,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-04,27.5,22.9,24.8,29.7,22.9,25,22.5,87.2,11.9,100,20.83,rain,0,0,33.5,14.8,305.5,1010.8,99.2,18.1,53.7,4.6,3,10,2023-01-04T05:54:14,2023-01-04T18:07:52,0.41,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka Belitung,2023-01-05,31.7,23.1,26.5,36.4,23.1,27.8,22.7,81,2,100,25,rain,0,0,28.4,22.3,316,1010.2,93.2,17.7,254.3,21.9,9,30,2023-01-05T05:54:42,2023-01-05T18:08:17,0.44,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka Belitung,2023-01-06,31.6,23.3,26.6,38.2,23.3,28.2,23.2,83,9.1,100,12.5,rain,0,0,16.2,9.4,293.6,1010.1,90.3,17.2,166.9,14.4,7,30,2023-01-06T05:55:10,2023-01-06T18:08:43,0.47,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-07,30.8,24,26.7,35.1,24,28.3,23.3,82.4,0.6,100,4.17,rain,0,0,18,11.2,287,1009.2,72.7,16.4,242.2,21,8,60,2023-01-07T05:55:38,2023-01-07T18:09:08,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-08,31.1,24.1,26.8,35.2,24.1,28.5,23.5,83.1,0.5,100,4.17,rain,0,0,13,13,298.1,1009.9,89.3,15.4,212.1,18.5,8,30,2023-01-08T05:56:05,2023-01-08T18:09:32,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-09,27.2,22.9,25,30.3,22.9,25.2,23.1,89.9,33,100,8.33,rain,0,0,12.2,13,295.6,1011.1,97.5,17.3,52.1,4.6,2,30,2023-01-09T05:56:32,2023-01-09T18:09:56,0.58,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-10,33.1,23.4,27.1,38.7,23.4,29.2,23,80.1,0.5,100,16.67,rain,0,0,11.5,13,32.1,1010.6,85.4,18.6,191.2,16.6,8,60,2023-01-10T05:56:58,2023-01-10T18:10:19,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-11,31.1,23.2,26.6,36,23.2,28.3,23.5,84.2,53,100,8.33,rain,0,0,9,13,93.6,1010.3,93.8,16.2,227.1,19.6,8,60,2023-01-11T05:57:24,2023-01-11T18:10:42,0.64,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"96237099999,remote"
Bangka Belitung,2023-01-12,33.4,23.4,27.2,38.5,23.4,29.2,23,79.5,0.5,100,8.33,rain,0,0,11.2,16.6,78.4,1009.9,79.4,18.3,229.8,19.8,10,30,2023-01-12T05:57:49,2023-01-12T18:11:04,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka Belitung,2023-01-13,32.6,23.8,26.9,38.3,23.8,28.5,23.3,82.1,6,100,8.33,rain,0,0,14,13,351.4,1010.2,68.4,16.8,253.3,21.9,9,30,2023-01-13T05:58:14,2023-01-13T18:11:25,0.71,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka Belitung,2023-01-14,32.7,23.6,26.6,35.8,23.6,28.1,23.1,82.4,2,100,25,rain,0,0,11.5,7.6,340.5,1009.3,89.5,17,174.9,15.2,8,30,2023-01-14T05:58:38,2023-01-14T18:11:45,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-15,32,23.5,26.8,35.2,23.5,28,23,81.2,0.7,100,4.17,rain,0,0,10.8,11.2,307.5,1008.6,89,18,233.1,20.2,8,30,2023-01-15T05:59:02,2023-01-15T18:12:05,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka Belitung,2023-01-16,31.3,23.7,26.5,34.6,23.7,27.4,23,82.7,13,100,8.33,rain,0,0,24.8,13,325.8,1009,70.7,17.6,235,20.2,9,30,2023-01-16T05:59:25,2023-01-16T18:12:24,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
