name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Bangka belitung,2014-01-01,27.3,24.2,25.6,30.5,24.2,26.1,24.3,92.6,68.4,100,29.17,rain,,,,13.3,352.9,1011.2,90.1,5.9,121.8,10.5,4,,2014-01-01T05:52:52,2014-01-01T18:06:35,0,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka belitung,2014-01-02,28.3,24.4,25.9,33.1,24.4,27.2,24.4,91.3,28,100,12.5,rain,,,,15.1,10.2,1011.2,83.6,7.1,173.5,14.9,6,,2014-01-02T05:53:21,2014-01-02T18:07:02,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka belitung,2014-01-03,28.9,24.1,26,33.8,24.1,27.6,24.6,91.9,27,100,8.33,rain,,,,12.2,344.6,1011,86.3,6.3,132.6,11.4,4,,2014-01-03T05:53:50,2014-01-03T18:07:29,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-04,28.7,24.1,26,33.8,24.1,27.2,24.6,91.9,1.2,100,8.33,rain,,,,14.4,318.3,1010.5,89.4,7.6,116.5,10.1,4,,2014-01-04T05:54:18,2014-01-04T18:07:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-05,29.2,22.6,25.7,33.5,22.6,26.7,24,90.7,30.4,100,16.67,rain,,,,14.8,310.1,1009.7,86.6,7.6,165,14.3,6,,2014-01-05T05:54:46,2014-01-05T18:08:21,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96237099999,remote"
Bangka belitung,2014-01-06,27.6,24.2,25.5,31.7,24.2,25.8,24.1,92.3,2.5,100,8.33,rain,,,,14.4,285.7,1009.6,90.2,7.9,83.7,7.4,3,,2014-01-06T05:55:14,2014-01-06T18:08:46,0.16,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"96237099999,remote"
Bangka belitung,2014-01-07,27.7,24.1,25.5,31,24.1,25.9,23.5,88.7,1.7,100,20.83,rain,,,,16.2,305.4,1009.9,91,8.5,121,10.5,4,,2014-01-07T05:55:42,2014-01-07T18:09:11,0.19,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"96237099999,remote"
Bangka belitung,2014-01-08,29.7,24.2,26,33.8,24.2,27.5,23.6,87,2,100,4.17,rain,,,,16.9,328.9,1010.3,70.8,7.9,173.9,15,5,,2014-01-08T05:56:09,2014-01-08T18:09:35,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-09,30.4,24.1,26.4,36.8,24.1,27.9,23.7,85.5,3,100,4.17,rain,,,,9.4,266.9,1010.4,90.4,7.9,163.6,14.1,6,,2014-01-09T05:56:35,2014-01-09T18:09:59,0.26,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96237099999,remote"
Bangka belitung,2014-01-10,29.4,22.4,25.8,34.8,22.4,26.8,23.3,86,10,100,8.33,rain,,,,13,291.3,1010.2,88.1,8.1,130.8,11.1,5,,2014-01-10T05:57:02,2014-01-10T18:10:22,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96237099999,remote"
