name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Bengkulu, Bengkulu",1/1/2014,30.4,24.9,27.2,35.5,24.9,29.4,23.5,80.6,3.6,100,66.67,rain,,,,22.3,289.3,1009.4,73.1,8.4,234.3,20.2,8,,2014-01-01T06:04:15,2014-01-01T18:24:25,0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/2/2014,31.4,23.9,27.4,37.2,23.9,30.4,23.8,81.2,0.1,100,4.17,rain,,,,16.9,184.9,1009.2,73,8,279.9,24.2,9,,2014-01-02T06:04:45,2014-01-02T18:24:51,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/3/2014,31.2,24.6,27.5,37.8,24.6,30.6,24.1,82.3,1,100,4.17,rain,,,,17.3,208.6,1009.3,82.6,7.7,137,11.7,5,,2014-01-03T06:05:14,2014-01-03T18:25:17,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/4/2014,28.9,23.9,26.7,33.8,23.9,29.3,24.2,86.5,22,100,8.33,rain,,,,22.3,265.3,1009.9,81.3,7,207.4,18,8,,2014-01-04T06:05:44,2014-01-04T18:25:43,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/5/2014,29.2,23.2,26.6,33.3,23.2,28.3,24,85.9,19.1,100,66.67,rain,,,,19.1,280.2,1008.8,82.4,8.5,154.6,13.5,5,,2014-01-05T06:06:13,2014-01-05T18:26:07,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/6/2014,29.7,23.9,26.4,34.6,23.9,27.8,23.9,86.1,26,100,8.33,rain,,,,20.2,275.8,1009,88.7,6.4,117.2,10.1,4,,2014-01-06T06:06:42,2014-01-06T18:26:32,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/7/2014,31.1,23.4,26.6,35.9,23.4,27.7,23.6,83.9,2,100,4.17,rain,,,,27.7,301,1008.9,85.3,7.6,199.2,17.2,7,,2014-01-07T06:07:10,2014-01-07T18:26:55,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/8/2014,30.7,24.7,27,34.5,24.7,28.7,23.6,82.2,0.1,100,4.17,rain,,,,23,310.5,1008.5,83.1,8.6,143.3,12.3,5,,2014-01-08T06:07:39,2014-01-08T18:27:18,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/9/2014,30.1,24.1,26.8,35.9,24.1,28.4,22.9,79,1,100,4.17,rain,,,,13,240.2,1009.8,70,9,199.6,17.2,7,,2014-01-09T06:08:06,2014-01-09T18:27:40,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/10/2014,30.4,24.1,26.9,34.5,24.1,28.3,23,79.7,2,100,4.17,rain,,,,13,270,1009.5,73,8.6,201.1,17.1,7,,2014-01-10T06:08:34,2014-01-10T18:28:02,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/11/2014,28.2,24.2,27,32.3,24.2,29.4,23.8,82.9,1.7,100,29.17,rain,,,,17.3,304,1009.2,84.6,8.4,176.2,15.3,6,,2014-01-11T06:09:01,2014-01-11T18:28:23,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/12/2014,30.7,24.2,27.4,34.7,24.2,30.8,24.4,83.8,15,100,4.17,rain,,,,28.8,283.6,1009.4,84.7,8,92.1,8,3,,2014-01-12T06:09:28,2014-01-12T18:28:43,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/13/2014,27.7,24.2,26.5,31.7,24.2,29,24.5,88.9,12,100,4.17,rain,,,,29.9,284.5,1010.2,91.4,6.1,106.2,9.1,4,,2014-01-13T06:09:54,2014-01-13T18:29:03,0.4,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/14/2014,30.7,23.7,26.9,35.3,23.7,29.6,24.1,85.4,14.1,100,8.33,rain,,,,22.3,281.7,1010.2,83.5,7.3,114.8,10,4,,2014-01-14T06:10:20,2014-01-14T18:29:22,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/15/2014,28.2,23.9,26.4,31.9,23.9,27.6,23.3,83.3,1,100,4.17,rain,,,,18.4,295.8,1011.3,78.4,7.9,200.8,17.3,7,,2014-01-15T06:10:45,2014-01-15T18:29:40,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/16/2014,30.2,24.2,27.2,35.2,24.2,29.5,23.7,81.5,2.1,100,66.67,rain,,,,22.3,303.6,1010.4,72,9,244.8,21.1,9,,2014-01-16T06:11:09,2014-01-16T18:29:57,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/17/2014,29.9,25.1,27.1,35.8,25.1,29.9,24,83.1,2.7,100,70.83,rain,,,,19.1,310.4,1009.7,80.9,7,124.9,10.8,4,,2014-01-17T06:11:33,2014-01-17T18:30:14,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/18/2014,32.2,24.2,27.4,37.6,24.2,29.8,23.2,78.3,0.7,100,29.17,rain,,,,16.2,318.7,1010.2,86.8,6.6,128,11,5,,2014-01-18T06:11:57,2014-01-18T18:30:29,0.57,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/19/2014,30.4,23.9,27.5,36,23.9,30.5,23.6,79.7,2,100,54.17,rain,,,,22.3,300.3,1010.6,84.1,9.1,143.2,12.4,5,,2014-01-19T06:12:20,2014-01-19T18:30:44,0.6,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/20/2014,29.2,23.9,27,34.2,23.9,29.9,24,83.8,3,100,4.17,rain,,,,21.2,296.4,1010.8,85.6,8,175.9,15.2,6,,2014-01-20T06:12:42,2014-01-20T18:30:58,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/21/2014,26.9,22.4,25.4,30,22.4,25.6,23.4,88.9,68,100,12.5,rain,,,,33.1,307.9,1011.4,89.2,3.5,100.8,8.9,3,,2014-01-21T06:13:04,2014-01-21T18:31:11,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/22/2014,29.7,22.2,26.8,34.3,22.2,28.9,23,80.1,15.1,100,66.67,rain,,,,26.3,311.2,1009.8,80.4,8.1,212.4,18.3,8,,2014-01-22T06:13:25,2014-01-22T18:31:23,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/23/2014,29.7,23.2,26.2,32.2,23.2,27.3,23,82.9,24.5,100,12.5,rain,,,,31.3,324.1,1010.7,86.1,6.3,168.9,14.6,6,,2014-01-23T06:13:45,2014-01-23T18:31:35,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/24/2014,28.9,23.4,26.8,32.8,23.4,28.8,23,80.1,2,100,4.17,rain,,,,22.7,316,1008.7,72.2,7.1,315.2,27.3,10,,2014-01-24T06:14:05,2014-01-24T18:31:45,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/25/2014,30.6,23.1,27.2,35,23.1,29.5,23.6,81.1,3.8,100,62.5,rain,,,,22.7,302.3,1009.1,56.5,9.4,312.5,26.9,10,,2014-01-25T06:14:24,2014-01-25T18:31:55,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/26/2014,29.9,24.1,27.1,34.5,24.1,29.7,23.4,80.4,16,100,8.33,rain,,,,14.8,275.4,1009.7,46.5,8.3,302.4,26.1,10,,2014-01-26T06:14:42,2014-01-26T18:32:04,0.84,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/27/2014,30.9,24.1,27.7,35.6,24.1,30.6,23.3,77.6,0,0,0,,,,,22.3,288.7,1008.6,73.4,8.5,205.9,17.7,7,,2014-01-27T06:15:00,2014-01-27T18:32:12,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96253099999,remote"
"Bengkulu, Bengkulu",1/28/2014,31.9,24.4,27.4,38.8,24.4,30.2,23.8,81.3,0.2,100,4.17,rain,,,,22.3,248,1008.3,86.6,6.5,210.6,18.2,7,,2014-01-28T06:15:16,2014-01-28T18:32:19,0.91,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/29/2014,31.2,24.7,27.3,36.6,24.7,29.9,23.5,80.5,0.3,100,4.17,rain,,,,19.4,266.4,1008.9,93.1,6.6,102.9,8.9,4,,2014-01-29T06:15:32,2014-01-29T18:32:25,0.94,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/30/2014,31.9,24.9,27.6,39.1,24.9,30.2,23.2,77,8,100,8.33,rain,,,,25.9,273.2,1009.1,87.4,7.3,246.9,21.4,9,,2014-01-30T06:15:48,2014-01-30T18:32:30,0.98,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",1/31/2014,28.9,23.9,26.9,32.2,23.9,28.8,23,79.7,1.4,100,33.33,rain,,,,14.8,287.5,1010.1,89.2,7.1,220.2,19,8,,2014-01-31T06:16:02,2014-01-31T18:32:34,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/1/2014,31.2,24.2,27.1,35.5,24.2,29.4,23.7,82,0.8,100,33.33,rain,,,,22.3,264.3,1008.7,79.4,8.4,181.2,15.7,6,,2014-02-01T06:16:16,2014-02-01T18:32:38,0.04,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/2/2014,31.2,24.2,27.7,37.4,24.2,31.4,24.6,83.5,2,100,4.17,rain,,,,27.7,305.4,1007.4,71.3,7.4,214.9,18.5,7,,2014-02-02T06:16:29,2014-02-02T18:32:40,0.08,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/3/2014,31.1,25.4,27.9,37,25.4,31.7,24.6,82.7,0.5,100,8.33,rain,,,,29.9,303.8,1006.5,73.8,7.9,138.5,12.1,5,,2014-02-03T06:16:42,2014-02-03T18:32:42,0.11,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/4/2014,29.9,24.4,27.5,35,24.4,31.2,24.9,86.2,9,100,8.33,rain,,,,25.6,310.8,1005.5,77.9,6.9,166.2,14.4,7,,2014-02-04T06:16:53,2014-02-04T18:32:42,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/5/2014,30.7,24.1,27.5,35.8,24.1,31.2,24.5,83.7,3,100,4.17,rain,,,,23,304.4,1005.5,77.9,7.9,205.3,17.6,7,,2014-02-05T06:17:04,2014-02-05T18:32:42,0.18,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/6/2014,31.4,24.9,27.6,37.1,24.9,31.1,24.4,83.4,18.3,100,66.67,rain,,,,22.3,292,1005.5,83.9,8.3,126.3,11.1,4,,2014-02-06T06:17:14,2014-02-06T18:32:41,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/7/2014,31.4,23.9,27,36.1,23.9,29.9,24.3,85.6,29,100,8.33,rain,,,,21.2,287.1,1006.5,91.4,8,197.7,17.1,6,,2014-02-07T06:17:24,2014-02-07T18:32:39,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/8/2014,26.9,24.2,26.1,30.2,24.2,26.6,24.3,90,18,100,12.5,rain,,,,29.5,307.2,1006.4,92.1,6.1,114.4,10,4,,2014-02-08T06:17:32,2014-02-08T18:32:37,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/9/2014,29.4,23.7,26.8,33.7,23.7,28.9,23.6,82.8,1.8,100,29.17,rain,,,,30.2,308.9,1006.2,78.2,8,254.7,21.9,9,,2014-02-09T06:17:40,2014-02-09T18:32:33,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/10/2014,30.7,22.9,27.3,35,22.9,30.2,23.5,79.9,0.1,100,4.17,rain,,,,23,296.5,1006.7,78.9,8.6,227.4,19.7,8,,2014-02-10T06:17:47,2014-02-10T18:32:28,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/11/2014,30.4,23.9,27.5,35,23.9,30.6,23.8,80.8,0.3,100,12.5,rain,,,,20.5,298,1006.2,84.5,7.1,217.8,18.7,8,,2014-02-11T06:17:54,2014-02-11T18:32:23,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/12/2014,31.7,24.7,27.9,36.7,24.7,31.2,24.1,80.3,0.8,100,25,rain,,,,11.9,305.8,1006,86.3,5.8,175.3,15.1,6,,2014-02-12T06:17:59,2014-02-12T18:32:17,0.41,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/13/2014,32.9,25.2,28.1,35.7,25.2,31.6,24.1,79.6,0,0,0,,,,,18.4,291.4,1008,81.7,5,189.1,16.6,7,,2014-02-13T06:18:04,2014-02-13T18:32:10,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96253099999,remote"
"Bengkulu, Bengkulu",2/14/2014,31.1,24.9,27.8,37.7,24.9,31.6,24.6,83.2,1.8,100,50,rain,,,,14.8,274,1008.7,73.7,5.4,156.5,13.3,6,,2014-02-14T06:18:08,2014-02-14T18:32:02,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/15/2014,32.1,24.7,27.5,36.9,24.7,30.5,24,81.7,1.3,100,25,rain,,,,14.8,249.5,1008.8,79.5,5.6,157.8,13.7,6,,2014-02-15T06:18:12,2014-02-15T18:31:54,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/16/2014,31.1,24.2,27.8,37.6,24.2,30.6,23.2,76.7,0.3,100,12.5,rain,,,,18.4,267.8,1009.6,68.8,6.3,252.5,21.7,9,,2014-02-16T06:18:15,2014-02-16T18:31:45,0.54,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/17/2014,31.4,23.1,27.8,38.7,23.1,30.3,22.3,72.9,0,0,0,,,,,22.3,296,1010,71.2,6.5,256.7,22.2,10,,2014-02-17T06:18:17,2014-02-17T18:31:35,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96253099999,remote"
"Bengkulu, Bengkulu",2/18/2014,31.4,25.2,28,37.6,25.2,31.4,23.8,78.3,0,0,0,,,,,27.7,293.6,1010.3,77,4.6,291,25.1,10,,2014-02-18T06:18:18,2014-02-18T18:31:24,0.61,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96253099999,remote"
"Bengkulu, Bengkulu",2/19/2014,31.2,23.9,27.8,37.2,23.9,31,23.9,79.6,0,0,0,,,,,22.3,279.5,1009.3,62.9,6.3,240.6,20.7,8,,2014-02-19T06:18:19,2014-02-19T18:31:12,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"96253099999,remote"
"Bengkulu, Bengkulu",2/20/2014,32.2,23.6,27.9,37.5,23.6,31.2,23.6,78.2,0.1,100,4.17,rain,,,,18.4,288.5,1009.5,67.9,6.4,181.9,15.7,7,,2014-02-20T06:18:19,2014-02-20T18:31:00,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/21/2014,32.1,24.4,27.8,37.6,24.4,31.2,24,80.3,33,100,4.17,rain,,,,20.5,303.6,1010,61,7.1,243.6,21,9,,2014-02-21T06:18:19,2014-02-21T18:30:47,0.72,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/22/2014,28.7,22.7,26.5,32.4,22.7,28.7,23.8,85.4,38,100,12.5,rain,,,,19.8,276.9,1011.2,88.3,5.6,102.5,8.9,4,,2014-02-22T06:18:17,2014-02-22T18:30:34,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/23/2014,33.1,22.4,27.5,37,22.4,29.7,22.7,75.6,0.9,100,4.17,rain,,,,22.3,338.4,1010.4,57.7,6.6,236.5,20.3,8,,2014-02-23T06:18:16,2014-02-23T18:30:20,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/24/2014,31.1,23.7,27.2,37.3,23.7,29.4,23.1,78.6,4,100,4.17,rain,,,,20.5,326.7,1010.5,73.5,5.8,212.3,18.5,7,,2014-02-24T06:18:13,2014-02-24T18:30:05,0.82,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/25/2014,31.7,23.1,27.5,35.6,23.1,30.3,23,77.1,2.3,100,33.33,rain,,,,22.3,302.1,1010.4,53.1,6,302.4,26,10,,2014-02-25T06:18:10,2014-02-25T18:29:49,0.86,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/26/2014,31.2,23.4,27.6,37.2,23.4,31,23.7,79.8,0.4,100,16.67,rain,,,,16.6,270.9,1008.9,63.6,3.8,233,20.1,8,,2014-02-26T06:18:07,2014-02-26T18:29:33,0.89,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/27/2014,31.7,24.7,27.9,38.1,24.7,31.5,24.2,80.5,1,100,41.67,rain,,,,18.4,287.5,1009.2,84,4.5,169.1,14.6,6,,2014-02-27T06:18:03,2014-02-27T18:29:17,0.93,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",2/28/2014,31.9,24.4,28.1,39.9,24.4,31.6,23.9,78.5,1.2,100,50,rain,,,,20.5,178.1,1009.2,70,4.5,208.9,17.8,8,,2014-02-28T06:17:58,2014-02-28T18:28:59,0.96,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"96253099999,remote"
"Bengkulu, Bengkulu",3/1/2014,32.7,24.4,27.9,41.4,24.4,31.6,24.3,80.9,0.5,100,20.83,rain,,,,22.3,181.5,1008.5,79.9,4.7,126.9,11.2,4,,2014-03-01T06:17:53,2014-03-01T18:28:42,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96253099999,remote"
