name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gorontalo,2014-01-01,88.1,74.4,81.0,95.6,74.4,85.9,74.4,80.9,0.112,100,66.67,rain,,,,8.9,350.5,1008.4,70.0,4.8,135.2,11.6,5,,2014-01-01T05:48:26,2014-01-01T17:53:51,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97048099999,remote"
Gorontalo,2014-01-02,86.3,75.8,81.0,96.4,75.8,86.5,75.0,82.5,0.118,100,4.17,rain,,,,6.5,325.0,1009.1,77.1,4.8,137.3,11.9,5,,2014-01-02T05:48:54,2014-01-02T17:54:19,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97048099999,remote"
Gorontalo,2014-01-03,87.5,74.0,81.5,96.2,74.0,87.6,75.0,81.2,0.144,100,66.67,rain,,,,12.1,331.8,1008.4,81.4,4.1,121.3,10.6,4,,2014-01-03T05:49:22,2014-01-03T17:54:47,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97048099999,remote"
Gorontalo,2014-01-04,88.1,74.9,82.1,96.7,74.9,88.4,75.2,80.0,0.124,100,66.67,rain,,,,11.6,317.6,1008.1,60.6,4.0,220.3,19.1,8,,2014-01-04T05:49:49,2014-01-04T17:55:15,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97048099999,remote"
Gorontalo,2014-01-05,88.4,74.9,82.2,95.1,74.9,88.1,74.5,78.0,0.108,100,66.67,rain,,,,8.9,309.2,1007.6,71.9,4.4,170.8,14.9,6,,2014-01-05T05:50:16,2014-01-05T17:55:42,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97048099999,remote"
Gorontalo,2014-01-06,86.3,73.5,82.3,93.6,73.5,88.7,74.7,79.2,0.12,100,66.67,rain,,,,9.8,305.9,1007.4,62.9,3.6,247.8,21.5,8,,2014-01-06T05:50:42,2014-01-06T17:56:09,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97048099999,remote"
Gorontalo,2014-01-07,88.4,75.8,81.6,97.9,75.8,87.6,75.7,82.7,1.063,100,4.17,rain,,,,13.6,318.2,1008.1,79.0,3.6,132.9,11.6,4,,2014-01-07T05:51:08,2014-01-07T17:56:35,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97048099999,remote"
Gorontalo,2014-01-08,87.9,75.5,81.5,97.0,75.5,87.3,75.5,82.2,0.059,100,8.33,rain,,,,12.8,310.0,1007.6,76.8,3.9,164.5,14.0,6,,2014-01-08T05:51:34,2014-01-08T17:57:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97048099999,remote"
Gorontalo,2014-01-09,85.7,74.6,80.6,94.9,74.6,86.1,75.3,83.9,0.866,100,8.33,rain,,,,12.8,319.8,1008.2,81.9,3.0,132.7,11.6,5,,2014-01-09T05:51:59,2014-01-09T17:57:26,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97048099999,remote"
Gorontalo,2014-01-10,84.3,73.1,79.8,92.3,73.1,83.7,74.8,84.8,0.079,100,4.17,rain,,,,13.0,294.4,1008.5,82.0,3.6,147.1,12.6,6,,2014-01-10T05:52:24,2014-01-10T17:57:51,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97048099999,remote"
