name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
jambi,1/1/2014,27.8,23.5,25.5,31.7,23.5,26.4,24.4,93.7,0.7,100,29.17,rain,,,,9.4,330,1011.7,82.9,4.5,88.7,7.8,3,,2014-01-01T06:02:38,2014-01-01T18:15:23,0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"remote,96195099999"
jambi,1/2/2014,29,24,26,33.6,24,27.6,24.4,91.2,0,0,0,,,,,5.8,18.9,,77.1,,137.4,11.8,5,,2014-01-02T06:03:07,2014-01-02T18:15:50,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,1/3/2014,29.6,23.7,26.3,34.8,23.7,28.2,24.6,91,3.8,100,70.83,rain,,,,5.4,10.7,,82.7,,170,14.6,6,,2014-01-03T06:03:36,2014-01-03T18:16:17,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/4/2014,28,24,25.7,31.9,24,26.9,24.3,92.6,20.8,100,91.67,rain,,,,6.5,326.9,,86.4,,132,11.4,5,,2014-01-04T06:04:04,2014-01-04T18:16:44,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/5/2014,29.5,23.4,25.7,33.7,23.4,26.9,23.8,90,7.2,100,100,rain,,,,8.3,331.8,,78.6,,211.7,18.5,9,,2014-01-05T06:04:32,2014-01-05T18:17:10,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/6/2014,26.3,22.9,24.6,26.3,22.9,24.6,23.6,94.5,7.4,100,83.33,rain,,,,5.8,300.7,,88.3,,80.9,7.2,3,,2014-01-06T06:05:00,2014-01-06T18:17:35,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/7/2014,28.3,22.8,25,31.3,22.8,25.8,23,89.5,3.3,100,29.17,rain,,,,6.5,316.9,,89.8,,152.3,13,6,,2014-01-07T06:05:27,2014-01-07T18:18:00,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,remote
jambi,1/8/2014,28.2,23.4,25.4,32.1,23.4,26.6,23.8,90.9,3.6,100,70.83,rain,,,,4.3,4.4,,78,,138.1,12,5,,2014-01-08T06:05:54,2014-01-08T18:18:25,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/9/2014,29,22.7,25.6,32.7,22.7,26.8,23.3,87.9,3.8,100,91.67,rain,,,,5.8,217.4,,86.8,,167.9,14.3,6,,2014-01-09T06:06:21,2014-01-09T18:18:48,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/10/2014,29.2,22.8,25.6,32.7,22.8,26.7,23.3,88,0.6,100,16.67,rain,,,,4.7,172.5,,84.4,,175.7,15.1,6,,2014-01-10T06:06:47,2014-01-10T18:19:12,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
jambi,1/11/2014,28.8,23.3,25.9,33.9,23.3,27.6,24.4,92,7.1,100,70.83,rain,,,,5.8,1.8,,70.8,,156.4,13.5,5,,2014-01-11T06:07:12,2014-01-11T18:19:34,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/12/2014,27.3,23.8,25.3,31,23.8,26.2,24.4,95,12.2,100,100,rain,,,,10.8,11.9,,74.9,,120.1,10.4,4,,2014-01-12T06:07:37,2014-01-12T18:19:56,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/13/2014,27.3,23.3,25.2,30.9,23.3,25.9,24.3,95,20.3,100,100,rain,,,,7.9,343.1,,84.8,,115.2,9.9,4,,2014-01-13T06:08:02,2014-01-13T18:20:18,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/14/2014,28.5,23,25.3,32.4,23,26.4,23.7,91.3,2.9,100,62.5,rain,,,,9.4,353.9,,76.9,,186.6,16.1,7,,2014-01-14T06:08:26,2014-01-14T18:20:38,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/15/2014,26.6,22.8,24.6,26.6,22.8,24.6,23.4,93.1,2.5,100,58.33,rain,,,,5.4,12.1,,78.1,,119.8,10.4,4,,2014-01-15T06:08:49,2014-01-15T18:20:58,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/16/2014,28.7,22.8,25.1,32.5,22.8,26.1,23.3,90.7,3.1,100,62.5,rain,,,,9.7,359.8,,71.6,,227.7,19.5,9,,2014-01-16T06:09:12,2014-01-16T18:21:17,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/17/2014,28.8,22.8,25.3,32.7,22.8,26.4,23.3,89.8,1.5,100,37.5,rain,,,,10.1,358.4,,71.9,,228.3,19.6,8,,2014-01-17T06:09:34,2014-01-17T18:21:36,0.53,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/18/2014,28.6,22.6,25,32.1,22.6,25.9,22.9,88.7,0,0,0,,,,,9,1.7,,80.7,,203.9,17.7,8,,2014-01-18T06:09:55,2014-01-18T18:21:54,0.57,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,1/19/2014,29.2,22.1,25.2,32.8,22.1,26.3,22.7,87.2,0,0,0,,,,,11.2,358.7,,84.1,,273.7,23.7,9,,2014-01-19T06:10:16,2014-01-19T18:22:11,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,1/20/2014,28.2,21.8,24.5,31.3,21.8,25.1,22.6,89.6,0.6,100,25,rain,,,,11.2,0.7,,86.5,,201.9,17.4,8,,2014-01-20T06:10:36,2014-01-20T18:22:27,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,remote
jambi,1/21/2014,28.7,21.9,24.7,32,21.9,25.5,22.5,88.5,5.4,100,70.83,rain,,,,9.4,359.8,,87.2,,264.5,22.8,9,,2014-01-21T06:10:55,2014-01-21T18:22:42,0.67,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/22/2014,28.6,22,24.6,31.7,22,25.4,22.5,88.8,1.4,100,58.33,rain,,,,9.4,353.8,,77.9,,238.8,20.6,8,,2014-01-22T06:11:14,2014-01-22T18:22:57,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
jambi,1/23/2014,28.4,21.8,24.6,31.4,21.8,25.3,22.5,88.7,1,100,33.33,rain,,,,7.9,347.5,,83.2,,206.9,17.9,8,,2014-01-23T06:11:32,2014-01-23T18:23:11,0.74,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
jambi,1/24/2014,29.1,21.4,24.8,32.6,21.4,25.8,22.6,88.3,0,0,0,,,,,9.4,2.9,,73.3,,226.2,19.6,8,,2014-01-24T06:11:49,2014-01-24T18:23:24,0.75,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,1/25/2014,29.5,22.1,25.2,33.5,22.1,26.4,23,88.4,0.5,100,20.83,rain,,,,8.6,12.5,,68,,247.1,21.4,9,,2014-01-25T06:12:06,2014-01-25T18:23:36,0.81,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
jambi,1/26/2014,30.2,22.1,25.4,34.8,22.1,26.9,23,87.3,0,0,0,,,,,6.8,23.2,,57.9,,243.6,21,9,,2014-01-26T06:12:21,2014-01-26T18:23:47,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,1/27/2014,28.6,22.2,24.7,32.2,22.2,25.5,22.7,89.5,0,0,0,,,,,9,14.8,,80.4,,182,15.7,7,,2014-01-27T06:12:36,2014-01-27T18:23:58,0.87,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,1/28/2014,29.8,21.8,25.2,33.9,21.8,26.4,22.8,87.2,0,0,0,,,,,9.7,18.8,,75.7,,270.5,23.4,9,,2014-01-28T06:12:51,2014-01-28T18:24:07,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,1/29/2014,29.2,21.9,25.1,32.8,21.9,26.2,22.6,87.1,0,0,0,,,,,10.4,8.7,,94.2,,251.4,21.6,9,,2014-01-29T06:13:04,2014-01-29T18:24:16,0.94,Overcast,Cloudy skies throughout the day.,cloudy,remote
jambi,1/30/2014,29.3,21.5,24.8,31.9,21.5,25.6,22,86.1,0,0,0,,,,,10.8,9.3,,93.7,,286.1,24.6,10,,2014-01-30T06:13:17,2014-01-30T18:24:24,0.98,Overcast,Cloudy skies throughout the day.,cloudy,remote
jambi,1/31/2014,29.2,20.9,24.6,32.2,20.9,25.5,22.1,87,0,0,0,,,,,10.8,0.9,,84.2,,270.6,23.4,10,,2014-01-31T06:13:28,2014-01-31T18:24:31,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,2/1/2014,29.4,21.3,24.8,32.4,21.3,25.7,22.1,86,0,0,0,,,,,9.7,4.9,,86.7,,258.4,22.2,9,,2014-02-01T06:13:39,2014-02-01T18:24:37,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,2/2/2014,28.7,22.1,24.6,31.6,22.1,25.4,22.3,87.9,0,0,0,,,,,8.6,11.1,,81.7,,213.4,18.5,8,,2014-02-02T06:13:50,2014-02-02T18:24:43,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,2/3/2014,29.9,21.9,25.3,34.6,21.9,26.8,23,87.6,0,0,0,,,,,7.6,9.3,,45.4,,221.5,19.3,8,,2014-02-03T06:13:59,2014-02-03T18:24:47,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,2/4/2014,29.6,21.9,25.6,34,21.9,27.1,23.1,86.6,0,0,0,,,,,6.8,9.7,,81.8,,207.6,18.1,7,,2014-02-04T06:14:08,2014-02-04T18:24:51,0.14,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,remote
jambi,2/5/2014,28.9,23.2,25.4,32.8,23.2,26.4,23.3,89.1,0,0,0,,,,,6.8,28.5,,90.5,,159.3,13.7,6,,2014-02-05T06:14:16,2014-02-05T18:24:54,0.18,Overcast,Cloudy skies throughout the day.,cloudy,remote
jambi,2/6/2014,30.3,22.9,25.8,35.1,22.9,27.2,23.5,88.2,1.1,100,33.33,rain,,,,6.5,14.4,,89.5,,207.2,17.9,8,,2014-02-06T06:14:23,2014-02-06T18:24:56,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,remote
jambi,2/7/2014,28.5,23.2,25.2,32.3,23.2,26.2,23.5,91,1.3,100,54.17,rain,,,,7.6,9.9,,94.3,,155,13.4,6,,2014-02-07T06:14:29,2014-02-07T18:24:57,0.25,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
jambi,2/8/2014,30.8,23.2,26.6,36,23.2,28.8,23.8,85.5,2.5,100,66.67,rain,,,,6.1,305.2,,93.6,,226.9,19.8,9,,2014-02-08T06:14:35,2014-02-08T18:24:57,0.28,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,remote
jambi,2/9/2014,29.4,24,25.9,33.7,24,27.3,23.9,89,0.1,100,4.17,rain,,,,5.8,326,,89.7,,149.2,12.9,6,,2014-02-09T06:14:39,2014-02-09T18:24:57,0.31,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,remote
