name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Kalimantan Timur,2014-01-01,32.1,23.5,26.2,36.0,23.5,27.6,23.2,84.6,6.6,100,33.33,rain,,,,13.0,90.8,1010.4,79.3,8.6,180.6,15.5,7,,2014-01-01T06:10:21,2014-01-01T18:19:17,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-02,30.7,23.9,25.8,36.4,23.9,27.1,23.7,88.6,2.5,100,66.67,rain,,,,7.6,117.2,1011.3,88.0,7.8,184.3,16.0,7,,2014-01-02T06:10:50,2014-01-02T18:19:45,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-03,29.9,23.8,26.3,34.9,23.8,27.9,23.7,86.3,5.5,100,100.0,rain,,,,7.6,35.1,1010.6,84.4,8.8,197.1,17.0,7,,2014-01-03T06:11:18,2014-01-03T18:20:12,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-04,31.7,24.0,26.3,38.2,24.0,27.7,24.2,88.9,19.9,100,100.0,rain,,,,11.2,333.0,1009.2,83.9,9.0,143.1,12.3,5,,2014-01-04T06:11:46,2014-01-04T18:20:39,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-05,31.1,23.6,26.0,36.1,23.6,27.0,23.5,86.5,11.1,100,100.0,rain,,,,7.6,308.8,1010.0,88.6,9.2,150.3,13.0,6,,2014-01-05T06:12:13,2014-01-05T18:21:06,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-06,32.2,23.5,26.2,37.7,23.5,27.5,23.4,85.4,8.5,100,100.0,rain,,,,9.4,260.9,1009.5,82.3,8.8,191.9,16.8,7,,2014-01-06T06:12:40,2014-01-06T18:21:32,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-07,30.7,24.0,26.0,35.1,24.0,27.2,23.4,86.2,9.8,100,100.0,rain,,,,9.4,197.9,1010.0,81.9,7.8,201.4,17.4,7,,2014-01-07T06:13:07,2014-01-07T18:21:57,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-08,30.7,24.1,26.0,36.1,24.1,27.3,23.8,88.0,11.8,100,100.0,rain,,,,13.0,262.1,1009.8,76.5,9.2,141.8,12.3,5,,2014-01-08T06:13:33,2014-01-08T18:22:23,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-09,29.9,23.8,25.7,34.3,23.8,26.7,23.7,89.1,23.3,100,100.0,rain,,,,13.0,277.1,1010.4,85.1,6.8,150.8,13.3,5,,2014-01-09T06:13:59,2014-01-09T18:22:47,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-10,27.9,23.9,25.4,31.2,23.9,26.1,23.8,91.1,9.6,100,83.33,rain,,,,9.4,6.3,1011.0,87.9,7.8,109.1,9.4,4,,2014-01-10T06:14:24,2014-01-10T18:23:11,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-11,31.2,22.9,25.5,37.2,22.9,26.3,23.5,89.6,11.3,100,100.0,rain,,,,11.2,357.7,1010.7,86.7,9.6,187.0,16.0,6,,2014-01-11T06:14:49,2014-01-11T18:23:35,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-12,29.2,21.8,25.3,33.9,21.8,26.3,23.0,87.7,5.9,100,75.0,rain,,,,5.8,11.0,1010.9,85.4,8.2,181.4,15.7,7,,2014-01-12T06:15:13,2014-01-12T18:23:58,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-13,30.2,23.9,25.8,35.5,23.9,26.9,23.6,87.8,14.4,100,91.67,rain,,,,7.6,196.0,1009.7,86.7,7.4,151.3,13.0,5,,2014-01-13T06:15:36,2014-01-13T18:24:20,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-14,32.1,24.3,25.6,38.8,24.3,26.1,24.3,92.9,13.3,100,100.0,rain,,,,13.0,224.6,1009.9,90.8,8.6,99.3,8.5,3,,2014-01-14T06:15:59,2014-01-14T18:24:42,0.43,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
Kalimantan Timur,2014-01-15,30.7,23.6,25.8,36.4,23.6,27.2,24.2,91.1,15.9,100,100.0,rain,,,,13.0,270.7,1010.2,85.5,9.2,136.5,12.0,4,,2014-01-15T06:16:22,2014-01-15T18:25:03,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96607099999,remote"
