name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"Kepulauan Riau , tanjung pinang",2014-01-01,84.2,77.0,80.2,93.6,77.0,83.7,75.1,85.0,0.0,0,0.0,,,,,13.7,25.5,1011.1,83.2,5.1,125.9,11.1,4,,2014-01-01T06:03:16,2014-01-01T18:07:25,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,WSSS,96087099999,WIDD,96091099999"
"Kepulauan Riau , tanjung pinang",2014-01-02,86.5,77.0,81.3,95.8,77.0,85.7,75.4,82.8,0.0,0,0.0,,,,,19.2,31.9,1010.7,73.9,5.4,180.4,15.7,6,,2014-01-02T06:03:44,2014-01-02T18:07:53,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-03,84.3,77.0,80.3,93.8,77.0,84.0,75.5,85.6,0.055,100,4.17,rain,,,,15.7,20.6,1010.7,78.5,5.2,193.1,16.6,7,,2014-01-03T06:04:11,2014-01-03T18:08:21,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-04,86.4,77.0,80.1,93.9,77.0,83.2,74.5,83.7,0.11,100,4.17,rain,,,,10.0,354.1,1010.6,66.2,5.6,165.4,14.3,6,,2014-01-04T06:04:38,2014-01-04T18:08:49,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-05,79.7,73.4,76.9,79.7,73.4,76.9,74.0,90.9,0.848,100,25.0,rain,,,,9.3,356.0,1010.0,81.6,5.4,83.7,7.3,3,,2014-01-05T06:05:05,2014-01-05T18:09:16,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-06,80.6,75.2,77.7,88.2,75.2,78.9,75.9,94.4,0.654,100,29.17,rain,,,,7.5,15.7,1009.6,81.8,3.8,114.8,9.9,4,,2014-01-06T06:05:31,2014-01-06T18:09:43,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-07,85.0,75.2,79.8,92.8,75.2,82.8,74.2,83.4,0.0,0,0.0,,,,,10.4,359.3,1009.9,70.8,5.3,94.6,8.1,3,,2014-01-07T06:05:57,2014-01-07T18:10:10,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-08,87.9,77.0,80.8,95.0,77.0,83.8,73.2,78.6,0.0,0,0.0,,,,,10.8,4.4,1010.1,74.8,6.3,111.7,9.7,4,,2014-01-08T06:06:22,2014-01-08T18:10:36,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-09,82.4,76.0,78.6,89.3,76.0,79.8,74.5,87.3,0.134,100,4.17,rain,,,,7.0,348.7,1010.1,66.2,5.8,149.5,12.9,5,,2014-01-09T06:06:47,2014-01-09T18:11:01,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-10,86.0,75.2,80.1,94.1,75.2,83.4,74.6,84.2,0.0,0,0.0,,,,,7.0,10.5,1010.0,68.1,6.1,173.2,15.1,7,,2014-01-10T06:07:11,2014-01-10T18:11:26,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48698099999,WSSS,96087099999,WIDD"
"Kepulauan Riau , tanjung pinang",2014-01-11,86.5,75.2,79.7,96.0,75.2,82.5,74.4,84.3,3.199,100,4.17,rain,,,20.8,12.2,7.2,1010.8,72.8,6.2,134.1,11.5,5,,2014-01-11T06:07:35,2014-01-11T18:11:51,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48698099999,WSSS,96087099999,WIDD"
