name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Lampung,2014-01-01,83.0,75.3,81.0,88.1,75.3,84.5,73.0,77.2,0.542,100,95.83,rain,,,,6.9,280.9,1011.6,78.1,3.1,204.1,17.5,7,,2014-01-01T05:49:29,2014-01-01T18:15:14,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"96295099999,remote"
Lampung,2014-01-02,82.3,79.8,81.0,88.6,79.8,85.8,74.0,79.5,0.252,100,100.0,rain,,,,8.3,187.2,,64.8,,278.9,24.1,9,,2014-01-02T05:49:59,2014-01-02T18:15:40,0.03,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-03,83.2,79.8,81.2,90.0,79.8,86.3,74.7,80.6,0.068,100,54.17,rain,,,,8.9,211.6,,82.1,,195.2,16.9,7,,2014-01-03T05:50:30,2014-01-03T18:16:05,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,remote
Lampung,2014-01-04,81.2,80.0,80.5,88.0,80.0,85.4,76.2,86.6,0.144,100,100.0,rain,,,,13.2,239.3,,69.7,,193.4,16.7,6,,2014-01-04T05:51:00,2014-01-04T18:16:30,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-05,80.3,79.2,79.7,85.7,79.2,81.0,75.3,86.5,0.332,100,100.0,rain,,,,13.4,254.9,,82.5,,193.5,16.7,6,,2014-01-05T05:51:30,2014-01-05T18:16:54,0.13,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-06,80.5,79.1,79.6,86.4,79.1,81.0,75.3,86.7,0.344,100,100.0,rain,,,,15.4,254.7,,75.0,,141.7,12.2,5,,2014-01-06T05:52:00,2014-01-06T18:17:17,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-07,82.1,78.9,80.3,88.6,78.9,83.0,74.9,83.6,0.481,100,100.0,rain,,,,14.3,280.6,,79.9,,203.4,17.5,7,,2014-01-07T05:52:29,2014-01-07T18:17:39,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-08,81.2,79.2,80.1,87.0,79.2,82.8,74.4,82.7,0.776,100,100.0,rain,,,,11.6,296.4,,84.3,,155.4,13.5,5,,2014-01-08T05:52:59,2014-01-08T18:18:01,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-09,81.2,79.1,80.5,86.9,79.1,84.4,74.1,81.1,0.465,100,100.0,rain,,,,14.8,255.4,,75.2,,210.3,18.2,7,,2014-01-09T05:53:28,2014-01-09T18:18:23,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-10,81.4,80.1,80.8,88.3,85.4,86.8,75.6,84.2,0.24,100,100.0,rain,,,,15.0,249.3,,72.4,,193.9,16.7,6,,2014-01-10T05:53:56,2014-01-10T18:18:43,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-11,83.4,78.7,81.4,87.7,78.7,84.2,71.4,72.1,0.591,100,100.0,rain,,,,12.8,272.5,,73.6,,222.4,19.1,8,,2014-01-11T05:54:25,2014-01-11T18:19:03,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-12,83.0,79.2,81.0,89.4,79.2,85.2,74.4,80.7,0.927,100,100.0,rain,,,,9.6,1.7,,72.9,,198.8,17.0,8,,2014-01-12T05:54:53,2014-01-12T18:19:22,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-13,79.2,77.6,78.6,79.2,77.6,78.6,74.6,87.5,0.976,100,100.0,rain,,,,10.3,271.7,,90.6,,105.1,9.2,3,,2014-01-13T05:55:20,2014-01-13T18:19:40,0.4,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,remote
Lampung,2014-01-14,80.5,78.3,79.2,86.4,78.3,80.4,75.2,87.3,1.012,100,100.0,rain,,,,9.6,268.6,,86.4,,106.4,9.2,4,,2014-01-14T05:55:47,2014-01-14T18:19:58,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,remote
