name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Maluku utara,1/1/2014,27.7,24.4,26.7,32.1,24.4,28.4,24,85.2,18,100,8.33,rain,,,,13.3,329.5,1011.4,77.2,8.9,106.9,9.2,3,,2014-01-01T06:30:46,2014-01-01T18:35:31,0,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"97430099999,remote"
Maluku utara,1/2/2014,29.4,23.9,27.2,35,23.9,29.6,23.6,81.2,3.1,100,66.67,rain,,,,15.5,256,1011.4,78.9,10,220.4,18.9,7,,2014-01-02T06:31:14,2014-01-02T18:35:59,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97430099999,remote"
Maluku utara,1/3/2014,31.2,24.2,27.7,37.8,24.2,31.2,23.9,80,2.2,100,58.33,rain,,,,20.5,340.5,1010.9,76.7,10,187.1,16.2,6,,2014-01-03T06:31:41,2014-01-03T18:36:27,0.06,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97430099999,remote"
Maluku utara,1/4/2014,30.4,24.7,27.5,36.3,24.7,30,23.6,79.6,3.2,100,70.83,rain,,,,15.8,331.3,1010.5,67,9.7,187,16.1,7,,2014-01-04T06:32:09,2014-01-04T18:36:55,0.09,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97430099999,remote"
Maluku utara,1/5/2014,30.1,25.9,27.6,35.8,25.9,30.6,24.4,82.9,7,100,12.5,rain,,,,18.4,324.5,1010,80.1,9,152.5,13.2,5,,2014-01-05T06:32:35,2014-01-05T18:37:22,0.12,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97430099999,remote"
Maluku utara,1/6/2014,30.1,24.4,27.4,36.5,24.4,30.4,24.3,83.6,23,100,16.67,rain,,,,19.1,310.7,1009.6,78.3,9,193.3,16.6,7,,2014-01-06T06:33:02,2014-01-06T18:37:49,0.16,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97430099999,remote"
Maluku utara,1/7/2014,27.9,23.4,26.5,32.3,23.4,28.6,24.3,87.8,28,100,12.5,rain,,,,29.5,310.6,1010,87.4,6,144.7,12.4,5,,2014-01-07T06:33:28,2014-01-07T18:38:15,0.19,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97430099999,remote"
Maluku utara,1/8/2014,28.4,24.1,26.4,33.1,24.1,28,24,86.6,17,100,12.5,rain,,,,22,307.2,1010.2,87.8,7,125.7,10.9,4,,2014-01-08T06:33:53,2014-01-08T18:38:41,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97430099999,remote"
Maluku utara,1/9/2014,28.9,25.4,27,33.9,25.4,28.5,24,84.1,6.3,100,8.33,rain,,,,26.6,317.5,1010.5,79.8,8.6,172.9,14.9,7,,2014-01-09T06:34:18,2014-01-09T18:39:07,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97430099999,remote"
Maluku utara,1/10/2014,27,24.2,25.9,29.9,24.2,26.4,23.7,87.5,60,100,8.33,rain,,,,42.5,308.2,1010.6,86.5,5.6,149,12.9,5,,2014-01-10T06:34:43,2014-01-10T18:39:32,0.29,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97430099999,remote"
Maluku utara,1/11/2014,28.9,24.7,26.6,33.2,24.7,28,23.9,85.5,1.3,100,8.33,rain,,,,21.6,275.4,1009.6,80,9.3,234.3,20.2,8,,2014-01-11T06:35:06,2014-01-11T18:39:56,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"97430099999,remote"
Maluku utara,1/12/2014,31.4,25.2,27.6,37.8,25.2,30.6,24.3,82.8,9,100,4.17,rain,,,,28.8,253,1008.8,76.9,9.3,129.2,11.1,5,,2014-01-12T06:35:30,2014-01-12T18:40:20,0.36,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"97430099999,remote"
Maluku utara,1/13/2014,32.1,26.7,27.9,37.6,26.7,31.1,24.1,80.6,2,100,4.17,rain,,,,18,280.3,1008.2,80.8,9.8,106.9,9.3,4,,2014-01-13T06:35:52,2014-01-13T18:40:43,0.4,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"97430099999,remote"
Maluku utara,1/14/2014,30.1,25.2,27.6,35.3,25.2,30.4,23.9,80.5,2.6,100,66.67,rain,,,,16.6,323.5,1008.8,74.2,10,152.3,12.9,6,,2014-01-14T06:36:14,2014-01-14T18:41:06,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"97430099999,remote"
Maluku utara,1/15/2014,29.7,26.7,27.5,36.4,26.7,31.3,25,86.2,10,100,8.33,rain,,,,26.6,324.4,1009.4,89.9,7.3,125.4,10.7,4,,2014-01-15T06:36:35,2014-01-15T18:41:28,0.46,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"97430099999,remote"
Maluku utara,1/16/2014,30.1,26.7,27.5,35.8,26.7,31.2,24.6,84.3,3,100,4.17,rain,,,,24.1,297.6,1010.1,81.6,8.7,122.9,10.5,4,,2014-01-16T06:36:56,2014-01-16T18:41:50,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"97430099999,remote"
